c,h,l,n,o,t,v,vw
10.0,10.04,9.99,10082,10.03,2022-01-14T05:00:00Z,32697770,10.026442
10.01,10.02,10.0,456,10.0,2022-01-18T05:00:00Z,827784,10.011776
10.0,10.01,10.0,1375,10.01,2022-01-19T05:00:00Z,1153269,10.00483
9.99,10.01,9.99,626,10.01,2022-01-20T05:00:00Z,828776,9.999544
9.995,9.995,9.99,156,9.99,2022-01-21T05:00:00Z,36461,9.990217
9.99,10.0,9.99,273,9.9999,2022-01-24T05:00:00Z,104807,9.990679
10.0,10.0,9.99,282,9.99,2022-01-25T05:00:00Z,35030,9.999265
9.99,10.0,9.99,26,9.99,2022-01-26T05:00:00Z,26988,9.999517
9.99,9.99,9.99,82,9.99,2022-01-27T05:00:00Z,7309,9.99
9.99,9.99,9.99,0,9.99,2022-01-28T05:00:00Z,0,0.0
9.99,10.0,9.98,27,10.0,2022-01-31T05:00:00Z,23069,9.989737
9.99,10.0,9.99,141,10.0,2022-02-01T05:00:00Z,173944,9.99627
9.99,9.99,9.99,8,9.99,2022-02-02T05:00:00Z,418,9.99
9.99,9.99,9.99,17,9.99,2022-02-03T05:00:00Z,5270,9.99
9.99,9.99,9.99,3,9.99,2022-02-04T05:00:00Z,26030,9.99
9.99,10.0,9.99,216,10.0,2022-02-07T05:00:00Z,28770,9.99933
9.99,10.01,9.99,36,10.0,2022-02-08T05:00:00Z,127268,9.999914
10.0,10.005,10.0,33,10.0,2022-02-09T05:00:00Z,87047,10.000017
10.0,10.0,10.0,0,10.0,2022-02-10T05:00:00Z,0,0.0
9.98,9.995,9.98,319,9.99,2022-02-11T05:00:00Z,312725,9.988396
9.98,9.99,9.98,193,9.99,2022-02-14T05:00:00Z,57330,9.989362
9.99,9.99,9.99,39,9.99,2022-02-15T05:00:00Z,902,9.99
9.99,9.99,9.99,0,9.99,2022-02-16T05:00:00Z,0,0.0
9.99,9.99,9.99,29,9.99,2022-02-17T05:00:00Z,69251,9.99
9.985,9.99,9.985,27,9.99,2022-02-18T05:00:00Z,93697,9.989977
9.99,9.99,9.99,198,9.99,2022-02-22T05:00:00Z,68355,9.99
9.98,9.99,9.98,34,9.99,2022-02-23T05:00:00Z,59400,9.989096
9.98,9.98,9.98,0,9.98,2022-02-24T05:00:00Z,0,0.0
9.99,9.99,9.99,29,9.99,2022-02-25T05:00:00Z,25072,9.99
9.96,9.99,9.96,113,9.96,2022-02-28T05:00:00Z,29138,9.987333
9.9689,9.9689,9.968,6,9.968,2022-03-01T05:00:00Z,2422,9.968549
9.97,9.97,9.97,1,9.97,2022-03-02T05:00:00Z,15229,9.97
9.99,9.99,9.98,27,9.98,2022-03-03T05:00:00Z,15769,9.989131
9.99,9.99,9.99,1,9.99,2022-03-04T05:00:00Z,2000,9.99
9.985,9.99,9.985,3,9.99,2022-03-07T05:00:00Z,220,9.9875
9.985,9.985,9.985,0,9.985,2022-03-08T05:00:00Z,0,0.0
9.98,9.98,9.98,4,9.98,2022-03-09T05:00:00Z,246,9.98
9.98,9.98,9.98,0,9.98,2022-03-10T05:00:00Z,0,0.0
9.98,9.98,9.98,0,9.98,2022-03-11T05:00:00Z,0,0.0
9.98,9.98,9.98,0,9.98,2022-03-14T04:00:00Z,0,0.0
9.9596,10.01,9.9561,12,9.9561,2022-03-15T04:00:00Z,62165,10.001131
9.95,9.95,9.95,3,9.95,2022-03-16T04:00:00Z,348,9.95
9.98,10.02,9.98,37,10.02,2022-03-17T04:00:00Z,25252,10.019742
9.9563,9.9563,9.9563,1,9.9563,2022-03-18T04:00:00Z,432,9.9563
9.95,9.9502,9.935,19,9.95,2022-03-21T04:00:00Z,25696,9.949768
9.96,9.96,9.94,10,9.94,2022-03-22T04:00:00Z,624,9.956
9.96,9.96,9.96,0,9.96,2022-03-23T04:00:00Z,0,0.0
10.01,10.01,10.01,5,10.01,2022-03-24T04:00:00Z,359639,10.01
10.0,10.01,9.97,16,10.01,2022-03-25T04:00:00Z,1711,9.999645
10.02,10.02,10.02,25,10.02,2022-03-28T04:00:00Z,2730,10.02
10.01,10.02,9.982,31,10.02,2022-03-29T04:00:00Z,9115,9.991944
10.01,10.01,10.01,0,10.01,2022-03-30T04:00:00Z,0,0.0
9.97,9.97,9.97,7,9.97,2022-03-31T04:00:00Z,452,9.97
9.99,10.0,9.97,4,9.97,2022-04-01T04:00:00Z,3209,9.972711
10.01,10.01,10.0,16,10.0,2022-04-04T04:00:00Z,4186,10.009367
10.01,10.01,10.01,4,10.01,2022-04-05T04:00:00Z,315,10.01
10.01,10.01,10.01,0,10.01,2022-04-06T04:00:00Z,0,0.0
10.01,10.01,9.995,41,10.01,2022-04-07T04:00:00Z,16928,10.000787
10.0,10.0,10.0,3,10.0,2022-04-08T04:00:00Z,500000,10.0
10.0,10.0,10.0,0,10.0,2022-04-11T04:00:00Z,0,0.0
10.01,10.01,10.01,2,10.01,2022-04-12T04:00:00Z,2874,10.01
10.02,10.02,10.02,7,10.02,2022-04-13T04:00:00Z,1927,10.02
10.02,10.03,10.02,5,10.03,2022-04-14T04:00:00Z,4116,10.020328
10.04,10.04,10.04,49,10.04,2022-04-18T04:00:00Z,1332,10.04
