c,h,l,n,o,t,v,vw
14.04,14.07,13.31,1610,13.86,2016-01-04T05:00:00Z,189128,13.84
13.63,14.11,13.44,740,14.11,2016-01-05T05:00:00Z,75698,13.66
13.25,13.71,13.18,1101,13.44,2016-01-06T05:00:00Z,136868,13.25
13.16,13.63,12.98,1003,12.98,2016-01-07T05:00:00Z,100365,13.15
13.12,13.48,12.99,1315,13.14,2016-01-08T05:00:00Z,307932,13.15
13.29,13.43,12.93,979,13.1,2016-01-11T05:00:00Z,111122,13.15
13.24,13.56,12.9,1011,13.56,2016-01-12T05:00:00Z,142911,13.2
12.77,13.37,12.53,1481,13.25,2016-01-13T05:00:00Z,160241,12.75
12.82,13.07,12.61,656,12.82,2016-01-14T05:00:00Z,66820,12.85
12.8,12.86,12.52,918,12.52,2016-01-15T05:00:00Z,135547,12.67
11.46,12.83,11.09,2685,12.83,2016-01-19T05:00:00Z,324530,11.58
12.16,12.17,11.09,1220,11.25,2016-01-20T05:00:00Z,134223,11.78
12.4,12.64,12.14,918,12.27,2016-01-21T05:00:00Z,113673,12.43
12.69,12.9,12.53,771,12.62,2016-01-22T05:00:00Z,102162,12.67
12.27,12.76,12.17,752,12.68,2016-01-25T05:00:00Z,70868,12.39
12.57,12.74,12.22,542,12.29,2016-01-26T05:00:00Z,70042,12.54
12.39,12.61,12.22,487,12.5,2016-01-27T05:00:00Z,58297,12.38
12.43,12.63,12.32,439,12.44,2016-01-28T05:00:00Z,59480,12.44
12.79,12.82,12.43,755,12.43,2016-01-29T05:00:00Z,132107,12.73
13.1,13.25,12.56,701,12.7,2016-02-01T05:00:00Z,84024,12.98
12.74,13.01,12.67,433,12.93,2016-02-02T05:00:00Z,56969,12.81
12.54,12.86,12.35,553,12.86,2016-02-03T05:00:00Z,62231,12.6
12.55,12.72,12.35,474,12.49,2016-02-04T05:00:00Z,60555,12.51
12.05,12.59,12.05,535,12.46,2016-02-05T05:00:00Z,84142,12.17
12.15,12.24,11.79,449,11.97,2016-02-08T05:00:00Z,51656,12.05
11.92,12.08,11.36,780,11.93,2016-02-09T05:00:00Z,77326,11.79
11.92,12.26,11.77,603,12.04,2016-02-10T05:00:00Z,53362,12.02
11.79,11.93,11.17,747,11.71,2016-02-11T05:00:00Z,73142,11.57
11.91,12.0,11.61,568,11.88,2016-02-12T05:00:00Z,56773,11.83
12.24,12.49,11.67,1005,12.06,2016-02-16T05:00:00Z,133090,12.09
11.74,12.83,11.73,1177,12.37,2016-02-17T05:00:00Z,160036,12.07
13.77,14.83,13.18,4207,13.18,2016-02-18T05:00:00Z,522895,13.96
14.58,14.89,13.73,1740,13.76,2016-02-19T05:00:00Z,212093,14.43
15.07,15.77,14.73,1880,14.73,2016-02-22T05:00:00Z,279274,15.27
15.44,15.58,15.11,1540,15.11,2016-02-23T05:00:00Z,187622,15.4
15.39,15.65,14.81,1237,15.37,2016-02-24T05:00:00Z,112494,15.41
15.77,15.94,15.44,1753,15.49,2016-02-25T05:00:00Z,195581,15.69
15.34,16.28,15.26,1296,15.76,2016-02-26T05:00:00Z,136244,15.75
16.07,16.31,15.35,2796,15.55,2016-02-29T05:00:00Z,388745,15.93
16.11,16.51,16.09,778,16.19,2016-03-01T05:00:00Z,108846,16.24
16.28,16.49,15.65,1649,16.13,2016-03-02T05:00:00Z,191046,16.25
15.65,16.55,15.61,2753,16.31,2016-03-03T05:00:00Z,342534,16.07
15.04,15.71,14.97,1991,15.71,2016-03-04T05:00:00Z,209178,15.21
14.52,15.04,14.31,3310,15.03,2016-03-07T05:00:00Z,488540,14.62
14.77,14.88,14.33,2063,14.45,2016-03-08T05:00:00Z,317562,14.64
14.56,14.88,14.09,1038,14.86,2016-03-09T05:00:00Z,117234,14.56
14.71,14.88,14.37,1002,14.69,2016-03-10T05:00:00Z,126908,14.64
14.86,15.0,14.76,1509,14.82,2016-03-11T05:00:00Z,166496,14.87
14.44,15.28,14.38,1043,15.11,2016-03-14T04:00:00Z,126868,14.66
14.21,14.44,14.13,636,14.44,2016-03-15T04:00:00Z,65997,14.26
14.86,15.01,14.1,1578,14.1,2016-03-16T04:00:00Z,152950,14.74
14.83,14.92,14.57,810,14.81,2016-03-17T04:00:00Z,92456,14.79
15.14,15.21,14.74,984,14.91,2016-03-18T04:00:00Z,239317,15.04
14.88,15.0,14.4,1794,14.44,2016-03-21T04:00:00Z,250859,14.81
14.81,15.12,14.75,1002,14.86,2016-03-22T04:00:00Z,91203,14.9
14.69,14.88,14.56,1358,14.85,2016-03-23T04:00:00Z,101928,14.7
14.96,14.96,14.49,1179,14.69,2016-03-24T04:00:00Z,118185,14.86
15.2,15.23,14.79,1703,14.93,2016-03-28T04:00:00Z,213448,14.97
15.6,15.66,15.08,1219,15.23,2016-03-29T04:00:00Z,146418,15.4
15.76,16.0,15.47,1113,15.71,2016-03-30T04:00:00Z,129207,15.8
15.86,16.01,15.43,1992,15.81,2016-03-31T04:00:00Z,292852,15.79
15.45,15.93,15.38,1782,15.78,2016-04-01T04:00:00Z,214385,15.61
15.66,16.29,15.33,2646,15.59,2016-04-04T04:00:00Z,317283,15.68
15.02,15.71,14.99,1956,15.58,2016-04-05T04:00:00Z,269948,15.31
14.26,15.11,14.19,1610,14.69,2016-04-06T04:00:00Z,199893,14.44
14.27,14.44,14.1,1264,14.21,2016-04-07T04:00:00Z,286281,14.26
14.02,14.56,13.91,1506,14.29,2016-04-08T04:00:00Z,206704,14.18
13.92,14.24,13.71,1144,14.15,2016-04-11T04:00:00Z,191157,13.96
14.24,14.27,13.62,2177,14.01,2016-04-12T04:00:00Z,297916,13.94
14.43,14.47,13.43,1740,14.09,2016-04-13T04:00:00Z,399697,14.03
13.53,14.34,13.18,2131,14.34,2016-04-14T04:00:00Z,387005,13.78
13.32,13.85,13.21,1433,13.53,2016-04-15T04:00:00Z,281265,13.48
13.42,13.83,13.2,1519,13.5,2016-04-18T04:00:00Z,181849,13.41
13.26,13.44,13.07,1661,13.42,2016-04-19T04:00:00Z,196528,13.27
13.05,13.25,12.96,869,13.25,2016-04-20T04:00:00Z,97151,13.09
12.67,13.23,12.59,1290,13.14,2016-04-21T04:00:00Z,172325,12.94
12.79,12.9,12.58,926,12.67,2016-04-22T04:00:00Z,150434,12.77
12.17,12.84,11.97,2560,12.68,2016-04-25T04:00:00Z,318899,12.32
12.26,12.41,12.04,1921,12.25,2016-04-26T04:00:00Z,233710,12.26
12.25,12.34,12.02,1786,12.34,2016-04-27T04:00:00Z,212720,12.17
13.2,14.3,12.62,2817,12.62,2016-04-28T04:00:00Z,356396,13.52
13.47,13.65,13.05,1608,13.22,2016-04-29T04:00:00Z,217127,13.43
13.47,14.43,13.11,1955,13.66,2016-05-02T04:00:00Z,266600,13.5
13.64,13.8,13.1,1478,13.43,2016-05-03T04:00:00Z,154752,13.48
13.52,13.67,13.38,1956,13.64,2016-05-04T04:00:00Z,247061,13.5
13.72,13.85,13.5,1245,13.5,2016-05-05T04:00:00Z,146074,13.73
14.26,14.4,13.62,1330,13.62,2016-05-06T04:00:00Z,191196,14.1
14.37,14.57,14.04,1281,14.18,2016-05-09T04:00:00Z,151079,14.37
14.65,14.66,14.29,1104,14.48,2016-05-10T04:00:00Z,110470,14.54
14.59,14.71,14.52,1111,14.71,2016-05-11T04:00:00Z,101805,14.61
14.56,14.73,14.44,989,14.69,2016-05-12T04:00:00Z,97377,14.58
14.49,14.71,14.29,1151,14.56,2016-05-13T04:00:00Z,113539,14.57
14.97,15.07,14.24,1348,14.45,2016-05-16T04:00:00Z,149294,14.79
14.38,14.93,14.22,1657,14.93,2016-05-17T04:00:00Z,194184,14.52
14.62,14.78,13.22,1196,14.34,2016-05-18T04:00:00Z,106445,14.56
14.72,14.91,14.49,2026,14.6,2016-05-19T04:00:00Z,188936,14.71
14.94,15.15,14.3,1341,14.91,2016-05-20T04:00:00Z,176098,14.96
14.62,15.01,14.59,1119,15.01,2016-05-23T04:00:00Z,137884,14.76
15.03,15.09,14.21,1250,14.63,2016-05-24T04:00:00Z,149302,14.97
14.71,15.14,14.68,648,15.03,2016-05-25T04:00:00Z,70596,14.9
14.9,15.1,14.79,679,14.79,2016-05-26T04:00:00Z,74848,14.93
14.81,15.11,14.71,698,14.86,2016-05-27T04:00:00Z,78215,14.85
14.55,14.8,14.43,1426,14.77,2016-05-31T04:00:00Z,216242,14.57
15.13,15.13,14.48,952,14.51,2016-06-01T04:00:00Z,109986,14.89
14.75,15.12,14.69,872,15.05,2016-06-02T04:00:00Z,98757,14.81
14.65,14.83,14.51,847,14.73,2016-06-03T04:00:00Z,99407,14.7
14.66,14.72,14.5,851,14.62,2016-06-06T04:00:00Z,100123,14.65
14.67,14.91,14.49,781,14.69,2016-06-07T04:00:00Z,90989,14.63
14.67,14.94,14.5,530,14.72,2016-06-08T04:00:00Z,67112,14.7
14.71,14.99,14.51,505,14.68,2016-06-09T04:00:00Z,51758,14.69
14.57,14.74,14.45,455,14.61,2016-06-10T04:00:00Z,53652,14.58
14.28,14.69,14.21,605,14.51,2016-06-13T04:00:00Z,55989,14.38
14.28,14.33,14.05,531,14.24,2016-06-14T04:00:00Z,57486,14.26
14.16,14.31,14.09,529,14.28,2016-06-15T04:00:00Z,53451,14.2
14.2,14.21,13.96,616,14.05,2016-06-16T04:00:00Z,66829,14.13
14.19,14.29,13.97,889,14.24,2016-06-17T04:00:00Z,189191,14.17
14.19,14.79,14.15,775,14.29,2016-06-20T04:00:00Z,96825,14.3
14.2,14.27,14.04,707,14.15,2016-06-21T04:00:00Z,77580,14.17
13.95,14.28,13.93,463,14.28,2016-06-22T04:00:00Z,42817,14.03
14.14,14.26,13.96,381,14.11,2016-06-23T04:00:00Z,44676,14.13
13.51,13.67,13.32,1045,13.35,2016-06-24T04:00:00Z,590249,13.49
13.05,13.37,12.93,897,13.37,2016-06-27T04:00:00Z,111282,13.09
13.14,13.42,12.97,670,13.22,2016-06-28T04:00:00Z,90703,13.21
12.91,13.23,12.84,1322,13.23,2016-06-29T04:00:00Z,154625,12.97
13.57,13.6,12.7,1215,12.89,2016-06-30T04:00:00Z,145415,13.4
13.45,13.73,13.25,689,13.53,2016-07-01T04:00:00Z,76340,13.46
13.08,13.46,12.79,1163,13.38,2016-07-05T04:00:00Z,136292,13.12
13.05,13.38,12.98,780,13.03,2016-07-06T04:00:00Z,91357,13.06
13.05,13.13,12.93,1062,13.13,2016-07-07T04:00:00Z,99717,13.03
12.98,13.41,12.96,1504,13.19,2016-07-08T04:00:00Z,161136,13.01
13.22,13.27,12.92,1319,13.04,2016-07-11T04:00:00Z,145407,13.14
13.26,13.32,13.22,1591,13.26,2016-07-12T04:00:00Z,178518,13.27
13.52,13.61,13.24,2792,13.34,2016-07-13T04:00:00Z,353271,13.36
13.57,13.86,13.57,2209,13.7,2016-07-14T04:00:00Z,228261,13.71
13.46,13.69,13.43,1338,13.64,2016-07-15T04:00:00Z,137539,13.55
13.76,13.78,13.5,1163,13.55,2016-07-18T04:00:00Z,88438,13.69
13.61,13.91,13.55,994,13.7,2016-07-19T04:00:00Z,101594,13.63
13.65,13.94,13.61,1180,13.69,2016-07-20T04:00:00Z,163397,13.77
13.41,13.73,13.15,1387,13.6,2016-07-21T04:00:00Z,179139,13.41
13.42,13.53,13.35,1417,13.37,2016-07-22T04:00:00Z,145886,13.43
13.42,13.6,13.35,2133,13.35,2016-07-25T04:00:00Z,267248,13.47
13.27,13.52,13.22,1374,13.47,2016-07-26T04:00:00Z,168437,13.39
13.27,13.43,13.24,1047,13.27,2016-07-27T04:00:00Z,117262,13.3
13.29,13.47,13.19,1561,13.19,2016-07-28T04:00:00Z,75600,13.31
13.14,13.43,12.91,1229,13.32,2016-07-29T04:00:00Z,196078,13.1
12.93,13.13,12.82,1023,13.1,2016-08-01T04:00:00Z,130681,12.95
12.88,13.03,12.83,1124,12.92,2016-08-02T04:00:00Z,131366,12.93
12.58,12.76,11.84,1888,12.4,2016-08-03T04:00:00Z,225049,12.49
12.32,12.59,12.26,1193,12.59,2016-08-04T04:00:00Z,123437,12.35
12.36,12.54,12.3,919,12.35,2016-08-05T04:00:00Z,122779,12.41
12.95,12.99,12.36,1545,12.37,2016-08-08T04:00:00Z,211641,12.75
12.82,12.99,12.77,777,12.98,2016-08-09T04:00:00Z,104714,12.82
12.74,12.83,12.56,889,12.83,2016-08-10T04:00:00Z,115150,12.7
12.61,12.76,12.61,638,12.76,2016-08-11T04:00:00Z,81833,12.67
12.36,12.68,12.35,450,12.56,2016-08-12T04:00:00Z,50880,12.45
12.37,12.45,12.31,485,12.35,2016-08-15T04:00:00Z,66008,12.37
12.27,12.38,12.25,588,12.35,2016-08-16T04:00:00Z,78511,12.3
12.23,12.35,12.1,713,12.25,2016-08-17T04:00:00Z,59206,12.23
13.17,13.29,12.23,2586,12.34,2016-08-18T04:00:00Z,392984,12.97
13.07,13.25,13.04,769,13.15,2016-08-19T04:00:00Z,113003,13.1
12.93,13.06,12.84,738,13.01,2016-08-22T04:00:00Z,74099,12.91
12.83,12.96,12.78,952,12.93,2016-08-23T04:00:00Z,98835,12.86
12.72,12.86,12.66,648,12.86,2016-08-24T04:00:00Z,76142,12.73
12.94,12.95,12.56,1258,12.88,2016-08-25T04:00:00Z,144126,12.81
12.88,13.11,12.82,493,12.93,2016-08-26T04:00:00Z,48254,12.91
13.03,13.13,12.85,515,12.86,2016-08-29T04:00:00Z,53414,13.02
13.13,13.19,12.99,738,13.08,2016-08-30T04:00:00Z,85552,13.12
13.1,13.21,12.89,718,13.1,2016-08-31T04:00:00Z,109375,13.11
13.2,13.21,12.78,782,13.08,2016-09-01T04:00:00Z,83557,13.1
12.47,13.18,12.3,1671,13.18,2016-09-02T04:00:00Z,184148,12.62
13.11,13.2,12.48,1071,12.6,2016-09-06T04:00:00Z,134673,13.02
13.04,13.15,12.91,905,13.11,2016-09-07T04:00:00Z,128999,13.05
12.93,13.07,12.74,547,13.07,2016-09-08T04:00:00Z,67349,12.91
12.58,12.82,12.58,621,12.82,2016-09-09T04:00:00Z,73040,12.66
12.94,12.94,12.49,820,12.49,2016-09-12T04:00:00Z,82005,12.82
13.1,13.13,12.66,953,12.81,2016-09-13T04:00:00Z,98439,12.97
13.1,13.22,12.17,1148,13.1,2016-09-14T04:00:00Z,113265,13.12
13.04,13.11,12.48,656,13.05,2016-09-15T04:00:00Z,65932,13.04
13.31,13.37,13.03,939,13.1,2016-09-16T04:00:00Z,247506,13.23
13.5,13.59,13.19,999,13.31,2016-09-19T04:00:00Z,110533,13.36
13.59,13.65,13.5,634,13.52,2016-09-20T04:00:00Z,49776,13.58
13.82,13.86,13.59,397,13.65,2016-09-21T04:00:00Z,50486,13.76
14.17,14.18,13.69,803,13.82,2016-09-22T04:00:00Z,127786,14.05
14.16,14.26,13.98,604,14.11,2016-09-23T04:00:00Z,78137,14.14
13.95,14.16,13.82,716,14.11,2016-09-26T04:00:00Z,107192,13.96
13.99,14.04,13.82,832,13.88,2016-09-27T04:00:00Z,75812,13.96
14.26,14.26,13.91,966,13.97,2016-09-28T04:00:00Z,92154,14.1
13.93,14.27,13.92,697,14.18,2016-09-29T04:00:00Z,87471,14.05
14.12,14.21,13.85,557,13.9,2016-09-30T04:00:00Z,61636,14.08
13.88,14.11,13.82,618,14.11,2016-10-03T04:00:00Z,74857,13.89
13.51,13.9,13.0,1530,13.77,2016-10-04T04:00:00Z,272350,13.42
13.53,13.78,13.36,1343,13.42,2016-10-05T04:00:00Z,204444,13.51
12.49,13.41,11.77,2971,13.41,2016-10-06T04:00:00Z,425095,12.53
13.13,13.91,13.1,1359,13.34,2016-10-07T04:00:00Z,210290,13.45
12.78,13.37,12.77,986,13.22,2016-10-10T04:00:00Z,81864,13.0
12.51,12.86,12.46,1360,12.79,2016-10-11T04:00:00Z,149216,12.6
12.47,12.58,12.4,1095,12.57,2016-10-12T04:00:00Z,141341,12.47
12.65,12.78,12.41,689,12.41,2016-10-13T04:00:00Z,80463,12.62
12.63,13.13,12.56,465,12.7,2016-10-14T04:00:00Z,58134,12.69
12.7,12.91,12.58,668,12.58,2016-10-17T04:00:00Z,76955,12.74
12.49,12.8,12.48,633,12.8,2016-10-18T04:00:00Z,53201,12.59
12.67,12.68,12.4,692,12.49,2016-10-19T04:00:00Z,82174,12.58
12.09,12.57,12.08,1230,12.57,2016-10-20T04:00:00Z,173107,12.24
11.87,12.02,11.77,801,11.97,2016-10-21T04:00:00Z,118440,11.84
11.86,12.02,11.71,987,11.89,2016-10-24T04:00:00Z,132800,11.87
11.84,11.94,11.75,763,11.85,2016-10-25T04:00:00Z,72370,11.82
11.76,11.93,11.71,502,11.8,2016-10-26T04:00:00Z,57818,11.78
11.61,11.83,11.56,902,11.79,2016-10-27T04:00:00Z,103713,11.63
11.58,11.6,11.43,481,11.58,2016-10-28T04:00:00Z,62152,11.55
12.06,12.08,11.36,976,11.56,2016-10-31T04:00:00Z,120224,11.85
12.18,12.37,11.88,1634,12.09,2016-11-01T04:00:00Z,180847,12.12
9.257,10.81,7.918,7048,9.989,2016-11-02T04:00:00Z,936725,9.576
8.95,9.826,8.908,3306,9.557,2016-11-03T04:00:00Z,408129,9.188
9.432,9.532,8.833,2120,9.008,2016-11-04T04:00:00Z,243623,9.338
9.482,9.84,9.382,1857,9.515,2016-11-07T05:00:00Z,208704,9.594
9.307,9.507,9.166,1275,9.507,2016-11-08T05:00:00Z,150004,9.314
9.341,9.665,9.149,2046,9.191,2016-11-09T05:00:00Z,244444,9.314
10.27,10.28,9.395,1986,9.449,2016-11-10T05:00:00Z,220993,10.06
11.31,11.33,10.26,1948,10.26,2016-11-11T05:00:00Z,250435,11.06
11.29,11.54,11.19,1773,11.41,2016-11-14T05:00:00Z,218541,11.36
11.21,11.31,11.07,1289,11.31,2016-11-15T05:00:00Z,128745,11.19
11.44,11.47,11.11,725,11.2,2016-11-16T05:00:00Z,97206,11.33
11.27,11.57,11.16,1455,11.4,2016-11-17T05:00:00Z,146246,11.38
10.85,11.41,10.85,1094,11.29,2016-11-18T05:00:00Z,154482,11.02
11.0,11.04,10.81,967,10.93,2016-11-21T05:00:00Z,87828,10.94
11.32,11.39,11.05,822,11.05,2016-11-22T05:00:00Z,107931,11.26
11.4,11.46,11.25,595,11.32,2016-11-23T05:00:00Z,80360,11.38
11.84,11.96,11.36,614,11.36,2016-11-25T05:00:00Z,76501,11.77
11.41,11.78,11.37,1098,11.78,2016-11-28T05:00:00Z,144640,11.49
11.6,11.79,11.36,843,11.36,2016-11-29T05:00:00Z,94900,11.57
11.35,11.81,11.31,630,11.74,2016-11-30T05:00:00Z,88591,11.46
11.43,11.68,11.32,590,11.34,2016-12-01T05:00:00Z,69588,11.42
11.04,11.47,10.8,826,11.44,2016-12-02T05:00:00Z,99311,11.03
11.42,11.76,11.2,1364,11.25,2016-12-05T05:00:00Z,182600,11.46
11.43,11.53,11.38,984,11.43,2016-12-06T05:00:00Z,114586,11.44
11.48,11.59,11.41,833,11.45,2016-12-07T05:00:00Z,99154,11.46
12.19,12.2,11.42,884,11.46,2016-12-08T05:00:00Z,117115,12.04
12.28,12.37,12.16,725,12.16,2016-12-09T05:00:00Z,99783,12.26
12.37,12.43,12.26,1327,12.35,2016-12-12T05:00:00Z,143935,12.36
12.59,12.88,12.44,1165,12.52,2016-12-13T05:00:00Z,129755,12.59
12.63,12.63,12.13,1207,12.5,2016-12-14T05:00:00Z,158618,12.58
12.66,12.83,12.55,1884,12.58,2016-12-15T05:00:00Z,342213,12.7
12.98,13.03,12.62,2353,12.62,2016-12-16T05:00:00Z,816111,12.91
13.22,13.34,12.87,1536,12.87,2016-12-19T05:00:00Z,186378,13.19
13.8,13.98,13.19,1746,13.26,2016-12-20T05:00:00Z,229817,13.65
13.9,14.24,13.72,1344,13.83,2016-12-21T05:00:00Z,155096,14.01
13.68,13.95,13.38,943,13.86,2016-12-22T05:00:00Z,147064,13.67
13.59,13.78,13.48,540,13.63,2016-12-23T05:00:00Z,57695,13.59
13.1,13.88,13.08,945,13.73,2016-12-27T05:00:00Z,102653,13.34
13.08,13.23,12.93,805,13.23,2016-12-28T05:00:00Z,109327,13.08
12.91,13.42,12.86,669,12.98,2016-12-29T05:00:00Z,101556,12.98
12.65,12.89,12.6,740,12.86,2016-12-30T05:00:00Z,98828,12.68
13.32,13.4,12.63,1211,12.64,2017-01-03T05:00:00Z,137535,13.15
13.44,13.63,13.29,678,13.33,2017-01-04T05:00:00Z,90448,13.46
13.54,13.63,13.41,828,13.49,2017-01-05T05:00:00Z,106621,13.5
13.54,13.63,13.37,1141,13.58,2017-01-06T05:00:00Z,127708,13.53
13.49,13.63,13.33,901,13.54,2017-01-09T05:00:00Z,115397,13.55
13.13,13.59,13.12,735,13.49,2017-01-10T05:00:00Z,76697,13.23
13.06,13.33,13.01,517,13.19,2017-01-11T05:00:00Z,66623,13.11
12.87,13.03,12.45,677,13.03,2017-01-12T05:00:00Z,81068,12.71
12.59,13.03,12.58,455,12.82,2017-01-13T05:00:00Z,57163,12.71
