c,h,l,n,o,t,v,vw
16.8,19.0,15.7933,7439,19.0,2022-02-04T05:00:00Z,1329031,17.467039
17.84,18.05,15.65,4579,18.05,2022-02-07T05:00:00Z,467215,17.112596
17.78,18.1373,16.75,1465,16.98,2022-02-08T05:00:00Z,139718,17.770244
16.4,18.49,16.37,1368,18.07,2022-02-09T05:00:00Z,138791,17.383236
16.86,17.34,16.19,1203,16.99,2022-02-10T05:00:00Z,114699,16.834254
17.0,17.85,16.45,2359,16.51,2022-02-11T05:00:00Z,240397,16.945021
16.45,17.44,15.9,1944,17.16,2022-02-14T05:00:00Z,150205,16.339693
17.03,17.34,16.555,1443,16.88,2022-02-15T05:00:00Z,84960,17.010204
17.2,17.74,16.59,2189,17.0,2022-02-16T05:00:00Z,122746,17.259768
17.28,17.73,16.5,1589,17.49,2022-02-17T05:00:00Z,140061,17.265833
17.82,18.09,17.0,1794,17.06,2022-02-18T05:00:00Z,100112,17.579961
18.65,19.25,16.94,4241,18.04,2022-02-22T05:00:00Z,243662,18.212297
19.06,19.06,18.01,2090,18.49,2022-02-23T05:00:00Z,110918,18.780251
18.96,19.0,16.68,2650,18.68,2022-02-24T05:00:00Z,135019,18.523171
16.94,19.18,16.23,4342,19.18,2022-02-25T05:00:00Z,252415,17.668448
19.14,19.925,15.55,2923,17.12,2022-02-28T05:00:00Z,214530,17.228728
17.07,19.28,16.705,2303,19.28,2022-03-01T05:00:00Z,168703,17.785304
16.7,17.49,16.556,2025,16.9,2022-03-02T05:00:00Z,113871,16.997763
17.9,18.24,16.55,1565,16.55,2022-03-03T05:00:00Z,80796,17.680066
18.0,18.625,17.08,1620,18.15,2022-03-04T05:00:00Z,77597,17.910657
17.18,19.04,16.94,2767,18.16,2022-03-07T05:00:00Z,151656,17.602488
17.14,17.91,16.51,2166,17.03,2022-03-08T05:00:00Z,123863,17.057039
16.39,18.22,16.38,1831,17.62,2022-03-09T05:00:00Z,122927,17.259058
16.5,17.095,15.6217,2329,16.28,2022-03-10T05:00:00Z,107810,16.237857
16.68,17.35,15.3072,1725,16.67,2022-03-11T05:00:00Z,78283,16.81658
16.35,17.65,16.17,1805,16.98,2022-03-14T04:00:00Z,82074,16.598865
17.02,17.67,16.212,2666,16.38,2022-03-15T04:00:00Z,118797,16.815433
17.38,18.2,16.515,2742,17.63,2022-03-16T04:00:00Z,217400,17.407244
17.12,18.0075,16.89,3667,17.54,2022-03-17T04:00:00Z,272429,17.408095
15.57,17.52,15.55,6093,17.18,2022-03-18T04:00:00Z,2381777,15.658344
14.68,16.3,14.445,4053,15.36,2022-03-21T04:00:00Z,335289,14.838232
15.42,15.68,14.1822,2046,14.52,2022-03-22T04:00:00Z,253431,15.293762
15.35,15.69,14.785,2077,15.31,2022-03-23T04:00:00Z,125506,15.407392
15.79,15.99,15.025,1198,15.19,2022-03-24T04:00:00Z,47576,15.669449
16.26,17.19,15.725,2214,15.94,2022-03-25T04:00:00Z,145633,16.178744
15.34,16.58,14.74,1529,16.12,2022-03-28T04:00:00Z,72064,15.527727
