c,h,l,n,o,t,v,vw
119.04,122.4,113.28,100,115.2,2016-01-04T05:00:00Z,444,116.73
115.68,120.96,113.28,52,118.56,2016-01-05T05:00:00Z,87,116.93
107.04,116.64,106.08,189,114.24,2016-01-06T05:00:00Z,890,110.7
98.4,107.04,96.96,205,107.04,2016-01-07T05:00:00Z,986,103.38
89.76,96.96,88.32,142,96.77,2016-01-08T05:00:00Z,820,92.34
83.52,89.76,81.12,70,89.76,2016-01-11T05:00:00Z,873,85.74
84.56,86.25,84.56,32,86.25,2016-01-12T05:00:00Z,177,85.78
73.92,86.4,73.17,88,86.4,2016-01-13T05:00:00Z,402,76.85
80.16,85.44,73.44,66,74.88,2016-01-14T05:00:00Z,419,78.72
78.24,81.6,73.68,122,81.6,2016-01-15T05:00:00Z,1523,77.39
79.2,80.64,78.72,21,80.64,2016-01-19T05:00:00Z,238,80.05
75.36,76.8,72.0,31,76.8,2016-01-20T05:00:00Z,171,74.75
77.76,78.72,73.92,28,77.76,2016-01-21T05:00:00Z,163,75.17
81.6,82.08,79.68,15,79.68,2016-01-22T05:00:00Z,44,80.55
80.64,83.04,79.2,13,81.12,2016-01-25T05:00:00Z,40,80.7
81.6,81.6,78.72,8,79.2,2016-01-26T05:00:00Z,15,79.68
79.68,80.64,77.28,10,80.64,2016-01-27T05:00:00Z,31,78.4
80.16,80.16,72.96,55,76.8,2016-01-28T05:00:00Z,208,75.08
74.88,80.16,73.92,32,74.88,2016-01-29T05:00:00Z,227,75.0
74.4,74.88,73.44,13,74.88,2016-02-01T05:00:00Z,66,74.15
68.16,73.34,64.32,99,64.32,2016-02-02T05:00:00Z,371,69.12
72.96,72.96,64.8,32,65.76,2016-02-03T05:00:00Z,161,68.34
72.0,76.8,71.52,28,76.8,2016-02-04T05:00:00Z,127,73.23
75.84,75.84,69.6,18,69.6,2016-02-05T05:00:00Z,42,72.73
69.6,72.84,69.6,13,71.52,2016-02-08T05:00:00Z,107,70.99
68.4,69.6,65.28,40,67.2,2016-02-09T05:00:00Z,323,67.83
65.28,66.84,65.28,19,65.28,2016-02-10T05:00:00Z,51,65.57
68.64,68.64,62.4,16,62.4,2016-02-11T05:00:00Z,58,63.9
64.8,68.16,62.88,31,65.76,2016-02-12T05:00:00Z,94,65.08
68.16,68.64,65.76,21,67.2,2016-02-16T05:00:00Z,89,68.38
73.44,73.44,66.95,45,67.95,2016-02-17T05:00:00Z,429,68.17
73.44,76.8,66.72,22,73.44,2016-02-18T05:00:00Z,257,75.95
76.25,76.8,72.48,37,76.32,2016-02-19T05:00:00Z,347,74.55
75.36,75.36,67.2,24,72.48,2016-02-22T05:00:00Z,166,69.74
76.8,77.28,67.2,20,68.16,2016-02-23T05:00:00Z,73,72.65
69.12,77.28,69.12,19,76.8,2016-02-24T05:00:00Z,154,75.92
71.49,72.96,71.49,4,72.48,2016-02-25T05:00:00Z,14,71.84
72.0,72.48,71.93,7,72.48,2016-02-26T05:00:00Z,64,72.05
72.0,72.48,72.0,17,72.48,2016-02-29T05:00:00Z,41,72.14
72.48,72.48,69.12,13,69.12,2016-03-01T05:00:00Z,54,71.37
79.68,82.56,74.4,22,78.24,2016-03-02T05:00:00Z,108,79.03
86.4,90.24,82.56,33,82.56,2016-03-03T05:00:00Z,221,84.75
84.96,86.4,84.0,23,86.4,2016-03-04T05:00:00Z,323,84.95
85.73,86.4,83.04,45,83.07,2016-03-07T05:00:00Z,645,84.74
82.08,83.04,76.8,16,82.62,2016-03-08T05:00:00Z,15,79.86
79.68,79.68,76.8,9,77.76,2016-03-09T05:00:00Z,18,78.4
78.72,84.96,76.8,17,84.96,2016-03-10T05:00:00Z,104,81.33
82.08,83.52,82.08,5,83.52,2016-03-11T05:00:00Z,18,83.02
82.08,82.08,82.08,4,82.08,2016-03-14T04:00:00Z,4,82.12
79.68,81.6,70.21,7,81.6,2016-03-15T04:00:00Z,33,74.54
78.24,80.88,78.24,41,80.16,2016-03-16T04:00:00Z,759,78.67
78.19,78.24,74.88,7,77.88,2016-03-17T04:00:00Z,15,77.58
78.19,78.19,78.19,0,78.19,2016-03-18T04:00:00Z,0,0.0
75.36,75.36,72.43,3,72.43,2016-03-21T04:00:00Z,37,75.09
73.6,74.36,73.44,5,73.58,2016-03-22T04:00:00Z,43,73.83
72.0,75.36,72.0,5,75.36,2016-03-23T04:00:00Z,15,73.13
70.56,72.96,70.56,30,72.96,2016-03-24T04:00:00Z,1004,71.05
72.96,72.96,70.08,6,70.08,2016-03-28T04:00:00Z,77,70.75
71.52,71.52,69.6,29,70.97,2016-03-29T04:00:00Z,433,70.53
72.48,72.48,70.08,17,72.0,2016-03-30T04:00:00Z,71,71.2
72.96,74.4,68.16,30,69.6,2016-03-31T04:00:00Z,200,71.32
72.0,72.96,72.0,7,72.96,2016-04-01T04:00:00Z,78,72.05
70.56,72.24,70.56,15,72.0,2016-04-04T04:00:00Z,103,71.2
69.12,70.97,69.12,5,69.12,2016-04-05T04:00:00Z,9,69.67
70.56,71.52,68.64,10,71.52,2016-04-06T04:00:00Z,25,69.7
66.72,68.64,64.8,28,68.64,2016-04-07T04:00:00Z,85,66.62
67.68,68.16,64.8,12,67.68,2016-04-08T04:00:00Z,46,66.83
66.72,66.72,64.8,4,64.8,2016-04-11T04:00:00Z,12,65.44
70.56,70.56,65.28,26,66.72,2016-04-12T04:00:00Z,199,66.54
65.76,67.2,65.76,7,67.2,2016-04-13T04:00:00Z,6,66.84
68.16,68.16,65.95,13,65.95,2016-04-14T04:00:00Z,24,67.46
64.8,68.64,64.8,13,68.64,2016-04-15T04:00:00Z,65,68.53
69.12,69.12,64.99,23,65.14,2016-04-18T04:00:00Z,33,66.44
68.74,69.6,66.24,11,66.24,2016-04-19T04:00:00Z,49,68.69
68.16,70.91,67.2,14,67.2,2016-04-20T04:00:00Z,24,68.84
69.6,69.6,67.84,17,68.64,2016-04-21T04:00:00Z,37,68.46
69.6,69.6,69.6,0,69.6,2016-04-22T04:00:00Z,0,0.0
66.7,66.75,62.54,26,66.24,2016-04-25T04:00:00Z,122,65.57
67.2,67.2,67.2,1,67.2,2016-04-26T04:00:00Z,2,67.2
65.23,68.16,65.23,23,66.72,2016-04-27T04:00:00Z,233,67.22
69.12,69.6,65.76,16,65.76,2016-04-28T04:00:00Z,61,66.81
67.68,67.68,63.36,6,63.36,2016-04-29T04:00:00Z,34,64.81
67.68,67.68,67.68,0,67.68,2016-05-02T04:00:00Z,0,0.0
63.84,68.64,63.36,39,67.68,2016-05-03T04:00:00Z,165,66.42
64.8,64.8,63.84,17,63.84,2016-05-04T04:00:00Z,40,64.5
64.95,65.84,64.32,21,64.32,2016-05-05T04:00:00Z,98,65.16
64.32,65.28,63.36,9,63.36,2016-05-06T04:00:00Z,21,63.93
64.8,65.28,62.4,12,65.28,2016-05-09T04:00:00Z,94,64.59
58.56,63.84,57.74,23,57.74,2016-05-10T04:00:00Z,100,59.44
58.08,58.08,57.6,3,57.6,2016-05-11T04:00:00Z,5,57.4
61.44,61.44,57.6,9,57.6,2016-05-12T04:00:00Z,58,57.98
64.8,65.76,60.0,43,60.96,2016-05-13T04:00:00Z,2036,62.2
66.16,69.6,61.44,46,61.44,2016-05-16T04:00:00Z,146,67.01
63.84,66.72,62.88,13,66.72,2016-05-17T04:00:00Z,62,64.13
66.72,67.2,66.24,8,66.24,2016-05-18T04:00:00Z,45,66.55
62.4,62.88,62.4,9,62.88,2016-05-19T04:00:00Z,22,62.86
62.06,64.32,60.48,11,64.32,2016-05-20T04:00:00Z,42,62.0
64.8,67.68,64.8,27,64.8,2016-05-23T04:00:00Z,85,66.3
67.68,69.6,61.72,63,64.32,2016-05-24T04:00:00Z,577,66.45
80.16,80.16,68.64,20,68.64,2016-05-25T04:00:00Z,273,69.47
71.52,71.52,67.68,18,68.16,2016-05-26T04:00:00Z,17,71.86
72.0,72.0,71.52,8,71.52,2016-05-27T04:00:00Z,11,71.91
72.0,78.24,72.0,41,73.44,2016-05-31T04:00:00Z,185,73.59
71.52,76.32,66.1,10,76.32,2016-06-01T04:00:00Z,21,74.6
70.56,72.0,67.3,25,71.52,2016-06-02T04:00:00Z,61,69.99
67.83,69.12,64.8,18,69.12,2016-06-03T04:00:00Z,43,66.33
65.28,67.2,65.28,6,67.2,2016-06-06T04:00:00Z,9,65.96
65.36,68.16,64.8,15,68.16,2016-06-07T04:00:00Z,52,66.83
73.92,74.88,67.2,59,68.16,2016-06-08T04:00:00Z,239,73.4
73.44,77.28,72.0,11,77.28,2016-06-09T04:00:00Z,21,73.5
73.44,76.8,72.0,18,75.36,2016-06-10T04:00:00Z,62,74.6
73.44,73.44,73.44,0,73.44,2016-06-13T04:00:00Z,0,0.0
73.44,73.44,73.44,9,73.44,2016-06-14T04:00:00Z,3,72.86
70.56,70.56,70.08,8,70.56,2016-06-15T04:00:00Z,84,70.42
71.87,71.87,71.87,6,71.87,2016-06-16T04:00:00Z,3,71.18
73.92,73.92,71.52,5,72.96,2016-06-17T04:00:00Z,17,73.25
72.48,72.96,72.0,9,72.96,2016-06-20T04:00:00Z,19,72.59
70.56,76.8,70.13,12,70.42,2016-06-21T04:00:00Z,39,70.68
70.26,70.26,70.26,7,70.26,2016-06-22T04:00:00Z,5,70.62
70.26,70.26,70.26,0,70.26,2016-06-23T04:00:00Z,0,0.0
65.76,74.4,64.8,16,73.17,2016-06-24T04:00:00Z,73,67.33
65.75,65.76,64.8,9,64.8,2016-06-27T04:00:00Z,63,65.61
67.15,68.44,66.72,9,66.72,2016-06-28T04:00:00Z,184,67.25
66.24,67.2,66.24,9,67.2,2016-06-29T04:00:00Z,16,66.91
66.24,66.24,66.24,0,66.24,2016-06-30T04:00:00Z,0,0.0
66.24,66.24,66.24,0,66.24,2016-07-01T04:00:00Z,0,0.0
65.95,65.95,64.8,4,64.8,2016-07-05T04:00:00Z,30,65.38
63.84,64.8,58.08,24,64.8,2016-07-06T04:00:00Z,213,62.76
63.51,63.51,61.7,3,61.7,2016-07-07T04:00:00Z,27,62.86
62.4,63.36,61.44,9,63.36,2016-07-08T04:00:00Z,21,63.07
62.4,62.4,62.4,0,62.4,2016-07-11T04:00:00Z,0,0.0
64.32,64.32,61.44,17,62.88,2016-07-12T04:00:00Z,63,63.01
63.36,64.32,63.36,6,64.32,2016-07-13T04:00:00Z,35,64.18
75.04,82.94,61.92,1774,63.39,2016-07-14T04:00:00Z,18428,75.27
72.96,85.92,72.0,115,85.92,2016-07-15T04:00:00Z,1035,73.69
70.56,77.29,70.56,63,74.88,2016-07-18T04:00:00Z,380,74.13
68.64,70.0,68.25,12,68.25,2016-07-19T04:00:00Z,38,68.77
72.0,72.92,66.72,17,66.72,2016-07-20T04:00:00Z,165,71.53
73.44,73.44,69.6,17,70.37,2016-07-21T04:00:00Z,41,71.19
71.52,71.52,71.52,2,71.52,2016-07-22T04:00:00Z,4,71.52
74.4,78.72,64.8,105,71.05,2016-07-25T04:00:00Z,987,73.36
73.92,75.84,70.56,26,74.4,2016-07-26T04:00:00Z,120,74.76
75.36,81.6,68.64,267,74.45,2016-07-27T04:00:00Z,2528,73.64
72.04,74.4,69.12,155,71.52,2016-07-28T04:00:00Z,405,72.61
74.4,76.8,67.2,113,76.8,2016-07-29T04:00:00Z,381,76.0
74.4,74.4,66.72,267,68.16,2016-08-01T04:00:00Z,1701,71.85
