c,h,l,n,o,t,v,vw
4.18,4.3,4.05,5498,4.21,2016-01-04T05:00:00Z,1139727,4.171254
3.93,4.02,3.62,8020,3.96,2016-01-05T05:00:00Z,1507180,3.892629
4.18,4.2401,3.68,5836,3.9,2016-01-06T05:00:00Z,1224967,4.123718
3.77,4.14,3.74,5416,4.08,2016-01-07T05:00:00Z,955869,3.829285
3.795,3.96,3.7,3537,3.81,2016-01-08T05:00:00Z,634759,3.806056
3.6,3.975,3.59,4683,3.81,2016-01-11T05:00:00Z,826770,3.640505
3.58,3.75,3.5,3604,3.65,2016-01-12T05:00:00Z,830236,3.575905
3.49,3.705,3.44,3855,3.58,2016-01-13T05:00:00Z,654599,3.490968
3.8,3.87,3.47,5069,3.53,2016-01-14T05:00:00Z,906721,3.675691
3.67,3.75,3.48,3930,3.69,2016-01-15T05:00:00Z,708150,3.633347
3.47,3.61,3.39,4177,3.6,2016-01-19T05:00:00Z,896005,3.482746
3.66,3.69,3.3,5277,3.43,2016-01-20T05:00:00Z,817356,3.510621
3.84,3.89,3.6304,5861,3.71,2016-01-21T05:00:00Z,1061519,3.82141
3.8,3.97,3.78,2763,3.88,2016-01-22T05:00:00Z,443465,3.835486
3.67,3.89,3.66,2792,3.8,2016-01-25T05:00:00Z,439706,3.739978
3.85,3.87,3.66,3643,3.66,2016-01-26T05:00:00Z,577777,3.801026
3.6,3.91,3.52,4265,3.85,2016-01-27T05:00:00Z,665495,3.63247
3.62,3.68,3.49,2771,3.62,2016-01-28T05:00:00Z,404790,3.603448
3.74,3.77,3.61,3391,3.61,2016-01-29T05:00:00Z,561351,3.724739
3.73,3.79,3.6,2208,3.73,2016-02-01T05:00:00Z,376897,3.713639
3.53,3.77,3.47,2733,3.69,2016-02-02T05:00:00Z,418879,3.543575
3.52,3.57,3.41,3612,3.53,2016-02-03T05:00:00Z,596847,3.503083
3.75,3.9,3.6,4241,3.6,2016-02-04T05:00:00Z,824632,3.776132
3.62,3.815,3.58,2906,3.71,2016-02-05T05:00:00Z,458040,3.652388
3.67,3.72,3.44,3788,3.57,2016-02-08T05:00:00Z,528374,3.584331
3.63,3.7,3.5028,2708,3.63,2016-02-09T05:00:00Z,421199,3.648984
3.42,3.69,3.38,3782,3.63,2016-02-10T05:00:00Z,558472,3.476923
3.41,3.5104,3.2036,2723,3.36,2016-02-11T05:00:00Z,506018,3.431115
3.46,3.47,3.27,3084,3.42,2016-02-12T05:00:00Z,333554,3.402041
3.72,3.74,3.43,3272,3.5,2016-02-16T05:00:00Z,468870,3.64752
3.87,3.93,3.77,4458,3.77,2016-02-17T05:00:00Z,601357,3.872514
3.81,3.93,3.715,3777,3.88,2016-02-18T05:00:00Z,378639,3.794856
3.81,3.86,3.72,1904,3.8,2016-02-19T05:00:00Z,285987,3.808082
3.86,3.94,3.74,2795,3.84,2016-02-22T05:00:00Z,427059,3.839166
3.76,3.9,3.74,2181,3.84,2016-02-23T05:00:00Z,290806,3.77683
3.81,3.83,3.61,1620,3.7,2016-02-24T05:00:00Z,265145,3.728141
3.78,3.89,3.74,2507,3.83,2016-02-25T05:00:00Z,501637,3.770814
2.98,3.22,2.82,10101,3.07,2016-02-26T05:00:00Z,3540245,2.988805
3.16,3.235,2.96,8965,2.97,2016-02-29T05:00:00Z,2625148,3.057997
3.12,3.21,3.08,7192,3.15,2016-03-01T05:00:00Z,1265111,3.141315
3.16,3.25,3.1,12453,3.14,2016-03-02T05:00:00Z,3251604,3.174783
3.3,3.44,3.16,9782,3.16,2016-03-03T05:00:00Z,2371312,3.316626
3.34,3.44,3.23,10412,3.31,2016-03-04T05:00:00Z,2763058,3.321955
3.55,3.65,3.32,7101,3.36,2016-03-07T05:00:00Z,1380599,3.531093
3.54,3.65,3.45,5709,3.53,2016-03-08T05:00:00Z,874024,3.580481
3.6,3.68,3.5283,4341,3.58,2016-03-09T05:00:00Z,679602,3.624486
3.48,3.64,3.29,3482,3.58,2016-03-10T05:00:00Z,634533,3.429599
3.53,3.56,3.41,3124,3.5,2016-03-11T05:00:00Z,494435,3.520071
3.71,3.92,3.69,7237,3.75,2016-03-14T04:00:00Z,1698404,3.79549
3.68,3.76,3.525,4674,3.7,2016-03-15T04:00:00Z,803806,3.669289
3.72,3.74,3.52,3086,3.67,2016-03-16T04:00:00Z,475739,3.654183
3.8,3.82,3.47,6122,3.73,2016-03-17T04:00:00Z,1282253,3.736539
3.83,3.97,3.6,4412,3.83,2016-03-18T04:00:00Z,2459742,3.822291
4.13,4.21,3.75,7466,3.84,2016-03-21T04:00:00Z,1703103,4.02018
3.95,4.18,3.85,4164,4.09,2016-03-22T04:00:00Z,872130,3.983328
3.76,3.95,3.66,3972,3.93,2016-03-23T04:00:00Z,782355,3.774119
3.69,3.85,3.64,3865,3.75,2016-03-24T04:00:00Z,590319,3.709845
3.8,3.85,3.64,3035,3.72,2016-03-28T04:00:00Z,532241,3.789762
3.94,4.0125,3.6805,3732,3.79,2016-03-29T04:00:00Z,579128,3.909648
3.91,4.11,3.89,3289,3.96,2016-03-30T04:00:00Z,613397,3.973268
3.79,3.955,3.75,2752,3.91,2016-03-31T04:00:00Z,507858,3.794117
3.95,4.055,3.75,3979,3.81,2016-04-01T04:00:00Z,751214,3.977852
3.99,4.08,3.8785,2846,4.02,2016-04-04T04:00:00Z,557286,4.008048
3.93,4.08,3.92,2677,3.98,2016-04-05T04:00:00Z,500427,3.988442
4.04,4.06,3.83,2409,3.95,2016-04-06T04:00:00Z,430969,4.001976
4.01,4.08,3.95,2108,4.03,2016-04-07T04:00:00Z,356020,4.011959
3.97,4.06,3.84,2035,4.04,2016-04-08T04:00:00Z,383148,3.936833
3.88,4.0,3.8,2498,4.0,2016-04-11T04:00:00Z,381317,3.907975
3.97,4.0,3.78,2061,3.87,2016-04-12T04:00:00Z,487193,3.902544
3.93,4.02,3.92,2572,3.97,2016-04-13T04:00:00Z,453730,3.960993
4.01,4.06,3.89,1890,3.93,2016-04-14T04:00:00Z,313641,4.015573
