c,h,l,n,o,t,v,vw
11.13,11.84,10.6,7079,10.95,2021-02-26T05:00:00Z,2543754,10.906372
11.55,12.0,11.5,813,11.79,2021-03-01T05:00:00Z,299295,11.651923
11.11,11.8,10.8,1744,11.58,2021-03-02T05:00:00Z,318201,11.10251
11.49,11.69,10.76,979,11.24,2021-03-03T05:00:00Z,141723,11.045964
10.99,12.38,10.8,371,11.3999,2021-03-04T05:00:00Z,53976,11.071376
10.8,11.04,10.8,198,10.9441,2021-03-05T05:00:00Z,185172,10.815037
10.85,10.95,10.81,312,10.89,2021-03-08T05:00:00Z,70027,10.865543
10.77,10.82,10.62,797,10.79,2021-03-09T05:00:00Z,259208,10.753352
10.77,10.9,10.55,866,10.8,2021-03-10T05:00:00Z,126490,10.714247
11.0,11.56,10.91,103,11.56,2021-03-11T05:00:00Z,234750,11.228628
10.98,11.0,10.79,199,10.99,2021-03-12T05:00:00Z,22993,10.942648
11.14,11.2495,11.0,65,11.0,2021-03-15T04:00:00Z,12642,11.109579
10.82,11.35,10.755,66,11.05,2021-03-16T04:00:00Z,7933,11.028372
10.65,10.8,10.6,302,10.8,2021-03-17T04:00:00Z,50628,10.6779
10.59,10.61,10.5,308,10.51,2021-03-18T04:00:00Z,94586,10.55298
10.51,10.7,10.5,112,10.52,2021-03-19T04:00:00Z,27180,10.550001
10.62,10.67,10.56,63,10.5601,2021-03-22T04:00:00Z,10219,10.605062
10.575,10.77,10.53,169,10.77,2021-03-23T04:00:00Z,45194,10.627047
10.58,10.7,10.5,198,10.678,2021-03-24T04:00:00Z,94331,10.537551
10.51,10.75,10.45,296,10.715,2021-03-25T04:00:00Z,114561,10.538943
10.5,10.5557,10.45,44,10.46,2021-03-26T04:00:00Z,11025,10.498566
10.45,10.75,10.45,1017,10.68,2021-03-29T04:00:00Z,60988,10.608681
10.44,10.97,10.34,1018,10.45,2021-03-30T04:00:00Z,57018,10.512103
10.4725,10.48,10.4,79,10.48,2021-03-31T04:00:00Z,3255,10.444674
10.65,10.95,10.35,39,10.47,2021-04-01T04:00:00Z,29993,10.753213
10.64,10.8,10.51,61,10.51,2021-04-05T04:00:00Z,7475,10.694193
