c,h,l,n,o,t,v,vw
290.0,290.0,290.0,3,290.0,2020-01-29T05:00:00Z,10,290.0
290.0,290.0,290.0,0,290.0,2020-01-30T05:00:00Z,0,0.0
270.0,270.0,270.0,1,270.0,2020-01-31T05:00:00Z,10,270.0
270.0,270.0,270.0,0,270.0,2020-02-03T05:00:00Z,0,0.0
270.0,270.0,270.0,0,270.0,2020-02-04T05:00:00Z,0,0.0
270.0,270.0,270.0,0,270.0,2020-02-05T05:00:00Z,0,0.0
270.0,270.0,270.0,0,270.0,2020-02-06T05:00:00Z,0,0.0
270.0,270.0,270.0,0,270.0,2020-02-07T05:00:00Z,0,0.0
270.0,270.0,270.0,0,270.0,2020-02-10T05:00:00Z,0,0.0
270.0,270.0,270.0,0,270.0,2020-02-11T05:00:00Z,0,0.0
226.0,226.4,226.0,11,226.4,2020-02-12T05:00:00Z,50,226.24
226.0,226.0,226.0,0,226.0,2020-02-13T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-02-14T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-02-18T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-02-19T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-02-20T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-02-21T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-02-24T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-02-25T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-02-26T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-02-27T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-02-28T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-03-02T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-03-03T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-03-04T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-03-05T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-03-06T05:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-03-09T04:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-03-10T04:00:00Z,0,0.0
226.0,226.0,226.0,0,226.0,2020-03-11T04:00:00Z,0,0.0
177.0,177.0,177.0,2,177.0,2020-03-12T04:00:00Z,11,177.0
177.0,177.0,177.0,0,177.0,2020-03-13T04:00:00Z,0,0.0
156.4,160.0,156.4,3,160.0,2020-03-16T04:00:00Z,10,158.38
140.8,140.8,140.8,4,140.8,2020-03-17T04:00:00Z,60,140.8
140.8,140.8,140.8,0,140.8,2020-03-18T04:00:00Z,0,0.0
140.8,140.8,140.8,0,140.8,2020-03-19T04:00:00Z,0,0.0
126.8,140.8,126.8,2,140.8,2020-03-20T04:00:00Z,10,133.8
123.8,123.8,123.8,2,123.8,2020-03-23T04:00:00Z,15,123.95
