c,h,l,n,o,t,v,vw
10.15,10.16,10.15,156,10.15,2024-01-22T05:00:00Z,387124,10.156186
10.16,10.17,10.15,87,10.16,2024-01-23T05:00:00Z,726260,10.157997
10.16,10.18,10.16,94,10.16,2024-01-24T05:00:00Z,939975,10.172915
10.17,10.17,10.16,11,10.16,2024-01-25T05:00:00Z,48730,10.160257
10.17,10.17,10.16,26,10.17,2024-01-26T05:00:00Z,37545,10.164584
10.18,10.18,10.17,27,10.17,2024-01-29T05:00:00Z,342537,10.175839
10.17,10.17,10.17,11,10.17,2024-01-30T05:00:00Z,177750,10.17
10.18,10.18,10.17,42,10.17,2024-01-31T05:00:00Z,330010,10.173132
10.17,10.175,10.17,38,10.175,2024-02-01T05:00:00Z,31285,10.170526
10.17,10.18,10.17,102,10.17,2024-02-02T05:00:00Z,203035,10.171884
10.165,10.175,10.165,195,10.175,2024-02-05T05:00:00Z,314589,10.170073
10.17,10.18,10.17,166,10.17,2024-02-06T05:00:00Z,133924,10.179133
10.18,10.18,10.17,27,10.18,2024-02-07T05:00:00Z,19277,10.175894
10.17,10.175,10.17,62,10.175,2024-02-08T05:00:00Z,8412,10.174762
10.17,10.18,10.17,61,10.175,2024-02-09T05:00:00Z,52105,10.170816
10.18,10.2,10.175,72,10.1779,2024-02-12T05:00:00Z,554223,10.17978
10.18,10.2,10.18,30,10.18,2024-02-13T05:00:00Z,28084,10.187207
10.19,10.2049,10.19,31,10.2,2024-02-14T05:00:00Z,4300,10.196782
10.19,10.19,10.19,24,10.19,2024-02-15T05:00:00Z,3653,10.19
10.18,10.18,10.1552,51,10.18,2024-02-16T05:00:00Z,36550,10.178659
10.18,10.18,10.18,10,10.18,2024-02-20T05:00:00Z,3325,10.18
10.18,10.18,10.18,2,10.18,2024-02-21T05:00:00Z,2350,10.18
10.18,10.18,10.18,0,10.18,2024-02-22T05:00:00Z,0,0.0
10.175,10.18,10.17,43,10.18,2024-02-23T05:00:00Z,125367,10.179227
10.18,10.18,10.1796,3,10.1796,2024-02-26T05:00:00Z,460,10.179774
10.1739,10.1739,10.1739,5,10.1739,2024-02-27T05:00:00Z,1148,10.1739
10.18,10.18,10.17,15,10.1718,2024-02-28T05:00:00Z,2205,10.174188
10.154,10.174,10.1501,4,10.1501,2024-02-29T05:00:00Z,3178,10.162531
10.175,10.175,10.17,5,10.17,2024-03-01T05:00:00Z,793,10.174286
10.19,10.19,10.17,166,10.18,2024-03-04T05:00:00Z,220405,10.179764
10.18,10.18,10.18,1,10.18,2024-03-05T05:00:00Z,1000,10.18
10.1837,10.19,10.1837,2,10.19,2024-03-06T05:00:00Z,45399,10.189938
10.18,10.185,10.18,12,10.185,2024-03-07T05:00:00Z,1492,10.182675
10.18,10.18,10.18,0,10.18,2024-03-08T05:00:00Z,0,0.0
10.19,10.19,10.185,25,10.19,2024-03-11T04:00:00Z,3399,10.18985
10.18,10.195,10.18,17,10.19,2024-03-12T04:00:00Z,7829,10.189808
10.19,10.19,10.1803,3,10.1803,2024-03-13T04:00:00Z,50705,10.189867
10.18,10.1999,10.18,175,10.19,2024-03-14T04:00:00Z,175853,10.190199
10.2,10.21,10.19,59,10.19,2024-03-15T04:00:00Z,148750,10.192033
10.19,10.205,10.19,130,10.2,2024-03-18T04:00:00Z,71247,10.19981
10.205,10.205,10.2,43,10.2,2024-03-19T04:00:00Z,46186,10.200011
10.1904,10.1904,10.19,2,10.19,2024-03-20T04:00:00Z,1110,10.190036
10.19,10.19,10.19,1,10.19,2024-03-21T04:00:00Z,1910,10.19
10.19,10.19,10.19,0,10.19,2024-03-22T04:00:00Z,0,0.0
10.19,10.19,10.19,0,10.19,2024-03-25T04:00:00Z,0,0.0
10.22,10.22,10.2,13,10.205,2024-03-26T04:00:00Z,44470,10.209689
10.26,10.26,10.2,39,10.2,2024-03-27T04:00:00Z,109650,10.219945
10.26,10.26,10.26,0,10.26,2024-03-28T04:00:00Z,0,0.0
10.26,10.26,10.26,2,10.26,2024-04-01T04:00:00Z,133,10.26
