c,h,l,n,o,t,v,vw
16.62,16.67,16.57,180,16.57,2019-03-06T05:00:00Z,71285,16.61
16.63,16.67,16.59,463,16.61,2019-03-07T05:00:00Z,327410,16.62
16.64,16.64,16.61,358,16.63,2019-03-08T05:00:00Z,174653,16.62
16.65,16.71,16.63,327,16.71,2019-03-11T04:00:00Z,171871,16.67
16.65,16.69,16.63,220,16.65,2019-03-12T04:00:00Z,244155,16.65
16.69,16.69,16.65,251,16.69,2019-03-13T04:00:00Z,105760,16.68
16.67,16.73,16.65,422,16.71,2019-03-14T04:00:00Z,104768,16.69
16.69,16.77,16.66,502,16.67,2019-03-15T04:00:00Z,314323,16.7
16.77,16.86,16.71,1866,16.73,2019-03-18T04:00:00Z,301196,16.77
16.71,16.79,16.71,479,16.78,2019-03-19T04:00:00Z,163438,16.74
16.75,16.77,16.67,510,16.74,2019-03-20T04:00:00Z,219776,16.73
16.77,16.79,16.74,842,16.75,2019-03-21T04:00:00Z,272575,16.77
16.73,16.81,16.71,349,16.81,2019-03-22T04:00:00Z,104950,16.74
16.75,16.77,16.73,259,16.76,2019-03-25T04:00:00Z,87998,16.75
16.76,16.79,16.75,328,16.77,2019-03-26T04:00:00Z,147842,16.76
16.77,16.79,16.75,638,16.77,2019-03-27T04:00:00Z,292722,16.77
16.83,16.83,16.77,767,16.79,2019-03-28T04:00:00Z,214166,16.79
16.76,16.92,16.76,771,16.88,2019-03-29T04:00:00Z,633625,16.78
16.82,16.83,16.76,519,16.8,2019-04-01T04:00:00Z,121953,16.8
16.86,16.86,16.8,505,16.83,2019-04-02T04:00:00Z,131147,16.84
16.86,16.89,16.84,430,16.86,2019-04-03T04:00:00Z,143435,16.87
16.91,16.93,16.86,457,16.9,2019-04-04T04:00:00Z,106443,16.91
16.97,16.99,16.9,295,16.93,2019-04-05T04:00:00Z,63217,16.93
16.97,17.03,16.95,349,16.99,2019-04-08T04:00:00Z,85004,16.99
16.96,17.0,16.93,184,16.97,2019-04-09T04:00:00Z,128880,16.95
16.96,16.97,16.92,134,16.92,2019-04-10T04:00:00Z,25215,16.95
16.95,17.01,16.95,126,16.97,2019-04-11T04:00:00Z,44200,16.96
16.95,16.97,16.93,121,16.93,2019-04-12T04:00:00Z,31348,16.95
16.98,16.99,16.94,87,16.98,2019-04-15T04:00:00Z,24638,16.96
16.98,17.02,16.94,238,16.98,2019-04-16T04:00:00Z,63615,16.98
16.93,16.97,16.9,154,16.97,2019-04-17T04:00:00Z,34576,16.94
16.88,16.98,16.86,585,16.91,2019-04-18T04:00:00Z,127140,16.9
16.9,16.92,16.88,217,16.9,2019-04-22T04:00:00Z,92701,16.9
16.93,17.0,16.89,322,16.9,2019-04-23T04:00:00Z,171551,16.92
16.96,16.98,16.91,263,16.95,2019-04-24T04:00:00Z,71471,16.95
16.97,16.99,16.93,256,16.99,2019-04-25T04:00:00Z,850391,16.95
16.93,17.01,16.93,407,16.97,2019-04-26T04:00:00Z,145522,16.97
17.01,17.03,16.94,183,16.94,2019-04-29T04:00:00Z,36267,16.98
16.98,17.03,16.95,291,17.02,2019-04-30T04:00:00Z,164253,16.98
16.97,16.97,16.92,330,16.96,2019-05-01T04:00:00Z,81399,16.96
16.93,16.99,16.93,230,16.99,2019-05-02T04:00:00Z,81403,16.94
16.96,17.0,16.9,160,16.96,2019-05-03T04:00:00Z,61393,16.95
16.95,16.99,16.9,338,16.93,2019-05-06T04:00:00Z,134460,16.94
16.91,17.0,16.89,185,17.0,2019-05-07T04:00:00Z,49612,16.93
16.91,16.98,16.89,117,16.91,2019-05-08T04:00:00Z,37600,16.92
16.9,16.93,16.87,203,16.92,2019-05-09T04:00:00Z,86153,16.9
16.91,16.93,16.9,54,16.92,2019-05-10T04:00:00Z,19095,16.91
16.99,16.99,16.91,344,16.93,2019-05-13T04:00:00Z,189041,16.93
16.97,16.98,16.93,51,16.96,2019-05-14T04:00:00Z,16268,16.96
16.98,17.0,16.93,82,16.93,2019-05-15T04:00:00Z,26458,16.98
16.97,17.02,16.95,141,17.0,2019-05-16T04:00:00Z,52506,16.99
16.89,16.97,16.89,202,16.97,2019-05-17T04:00:00Z,56062,16.92
16.89,16.93,16.85,312,16.91,2019-05-20T04:00:00Z,101003,16.88
16.9,16.94,16.89,179,16.89,2019-05-21T04:00:00Z,46159,16.9
16.92,16.93,16.88,151,16.89,2019-05-22T04:00:00Z,37410,16.9
16.95,16.96,16.91,146,16.94,2019-05-23T04:00:00Z,41600,16.93
16.98,16.99,16.91,162,16.92,2019-05-24T04:00:00Z,36484,16.95
16.96,16.99,16.91,336,16.98,2019-05-28T04:00:00Z,88080,16.96
16.96,16.97,16.92,141,16.95,2019-05-29T04:00:00Z,38648,16.95
16.97,16.99,16.93,96,16.93,2019-05-30T04:00:00Z,16917,16.97
17.06,17.06,16.93,319,16.95,2019-05-31T04:00:00Z,192718,17.04
17.02,17.05,16.97,87,17.0,2019-06-03T04:00:00Z,26229,17.01
17.04,17.08,16.98,311,17.03,2019-06-04T04:00:00Z,55079,17.04
16.97,17.02,16.93,535,16.99,2019-06-05T04:00:00Z,219846,16.96
16.99,17.01,16.97,136,16.98,2019-06-06T04:00:00Z,46851,16.99
17.07,17.09,16.99,94,17.01,2019-06-07T04:00:00Z,19424,17.04
17.14,17.16,17.09,181,17.1,2019-06-10T04:00:00Z,39878,17.13
17.13,17.16,17.11,130,17.13,2019-06-11T04:00:00Z,25708,17.13
17.15,17.15,17.04,214,17.13,2019-06-12T04:00:00Z,45456,17.13
17.16,17.17,17.11,56,17.17,2019-06-13T04:00:00Z,13488,17.14
17.11,17.14,17.02,211,17.13,2019-06-14T04:00:00Z,52443,17.08
17.11,17.17,17.07,180,17.16,2019-06-17T04:00:00Z,35307,17.1
17.2,17.2,17.07,335,17.13,2019-06-18T04:00:00Z,72498,17.14
17.22,17.24,17.17,173,17.2,2019-06-19T04:00:00Z,50643,17.2
17.18,17.3,17.14,240,17.22,2019-06-20T04:00:00Z,66810,17.22
17.12,17.19,17.09,404,17.17,2019-06-21T04:00:00Z,87575,17.14
17.13,17.16,17.09,296,17.13,2019-06-24T04:00:00Z,93846,17.13
17.11,17.14,17.04,286,17.11,2019-06-25T04:00:00Z,64770,17.11
17.08,17.17,17.05,514,17.13,2019-06-26T04:00:00Z,80428,17.09
17.17,17.17,17.11,242,17.13,2019-06-27T04:00:00Z,47237,17.13
17.26,17.26,17.19,338,17.25,2019-06-28T04:00:00Z,181886,17.24
17.28,17.3,17.25,143,17.27,2019-07-01T04:00:00Z,65739,17.27
17.3,17.3,17.23,255,17.28,2019-07-02T04:00:00Z,52409,17.25
17.39,17.4,17.26,290,17.26,2019-07-03T04:00:00Z,115650,17.33
17.4,17.41,17.32,59,17.36,2019-07-05T04:00:00Z,15033,17.37
17.43,17.43,17.31,196,17.38,2019-07-08T04:00:00Z,61798,17.41
17.39,17.43,17.34,169,17.43,2019-07-09T04:00:00Z,22120,17.38
17.42,17.43,17.35,265,17.38,2019-07-10T04:00:00Z,39364,17.41
17.41,17.42,17.38,149,17.38,2019-07-11T04:00:00Z,23748,17.4
17.44,17.46,17.39,96,17.4,2019-07-12T04:00:00Z,13005,17.42
17.47,17.47,17.43,44,17.46,2019-07-15T04:00:00Z,23889,17.46
17.46,17.48,17.43,88,17.43,2019-07-16T04:00:00Z,29147,17.46
17.5,17.5,17.43,63,17.44,2019-07-17T04:00:00Z,22520,17.48
17.56,17.56,17.51,50,17.55,2019-07-18T04:00:00Z,6644,17.54
17.55,17.55,17.47,116,17.47,2019-07-19T04:00:00Z,28694,17.53
17.56,17.56,17.51,52,17.54,2019-07-22T04:00:00Z,14088,17.54
17.56,17.56,17.49,241,17.56,2019-07-23T04:00:00Z,97451,17.51
17.56,17.56,17.5,158,17.51,2019-07-24T04:00:00Z,29675,17.53
17.49,17.5,17.44,244,17.5,2019-07-25T04:00:00Z,54273,17.48
17.53,17.54,17.47,126,17.47,2019-07-26T04:00:00Z,32177,17.53
17.52,17.56,17.5,70,17.5,2019-07-29T04:00:00Z,21081,17.54
17.56,17.56,17.51,290,17.51,2019-07-30T04:00:00Z,79123,17.55
