c,h,l,n,o,t,v,vw
4.38,4.55,4.38,50,4.5,2016-01-04T05:00:00Z,18973,4.473544
4.46,4.57,4.32,72,4.38,2016-01-05T05:00:00Z,10841,4.440412
4.34,4.53,4.31,100,4.34,2016-01-06T05:00:00Z,13308,4.379788
4.13,4.56,4.13,176,4.4701,2016-01-07T05:00:00Z,23683,4.278169
4.36,4.75,4.09,233,4.1,2016-01-08T05:00:00Z,47509,4.438739
4.41,4.5099,4.245,112,4.44,2016-01-11T05:00:00Z,34058,4.454264
4.35,4.5,4.32,40,4.47,2016-01-12T05:00:00Z,4176,4.409041
4.22,4.38,4.2,82,4.29,2016-01-13T05:00:00Z,20438,4.303314
4.5,4.8,4.2,264,4.2,2016-01-14T05:00:00Z,55988,4.488445
4.2,4.49,3.98,228,4.38,2016-01-15T05:00:00Z,38127,4.110315
4.07,4.28,3.95,235,4.25,2016-01-19T05:00:00Z,28281,4.104131
3.97,4.04,3.91,45,4.0088,2016-01-20T05:00:00Z,6924,3.966131
3.97,4.08,3.97,73,4.05,2016-01-21T05:00:00Z,9301,4.007033
4.0,4.065,3.89,79,4.065,2016-01-22T05:00:00Z,9281,3.983682
4.09,4.13,3.904,74,3.99,2016-01-25T05:00:00Z,15111,4.074056
4.12,4.19,4.03,48,4.19,2016-01-26T05:00:00Z,7104,4.138738
4.2,4.27,4.08,32,4.27,2016-01-27T05:00:00Z,6755,4.173992
4.0,4.29,3.75,385,4.03,2016-01-28T05:00:00Z,76298,3.959283
4.01,4.24,3.77,251,4.24,2016-01-29T05:00:00Z,36646,4.020987
4.09,4.1005,3.86,189,3.97,2016-02-01T05:00:00Z,30175,3.997432
3.96,4.09,3.88,47,3.88,2016-02-02T05:00:00Z,4520,3.988099
3.88,4.16,3.754,122,3.84,2016-02-03T05:00:00Z,17995,3.856668
3.99,3.99,3.8685,18,3.869,2016-02-04T05:00:00Z,3673,3.895579
3.97,3.99,3.94,14,3.99,2016-02-05T05:00:00Z,1195,3.948748
3.925,3.93,3.8885,31,3.92,2016-02-08T05:00:00Z,6529,3.904399
3.97,3.97,3.97,2,3.97,2016-02-09T05:00:00Z,118,3.973036
3.82,3.87,3.77,59,3.77,2016-02-10T05:00:00Z,7993,3.823291
3.8,4.01,3.78,15,4.01,2016-02-11T05:00:00Z,1404,3.811966
3.85,3.88,3.76,45,3.76,2016-02-12T05:00:00Z,9633,3.800406
4.01,4.02,3.95,46,3.96,2016-02-16T05:00:00Z,11063,3.969285
4.05,4.05,3.951,27,3.9515,2016-02-17T05:00:00Z,4297,4.011222
3.9,3.98,3.9,23,3.9,2016-02-18T05:00:00Z,2082,3.931138
3.93,4.02,3.93,19,4.02,2016-02-19T05:00:00Z,2422,3.944716
4.02,4.04,3.96,44,3.97,2016-02-22T05:00:00Z,56544,3.999394
4.09,4.09,4.0,41,4.0,2016-02-23T05:00:00Z,114359,4.003267
4.3825,4.41,4.144,98,4.144,2016-02-24T05:00:00Z,20812,4.35831
4.39,4.51,4.3,37,4.32,2016-02-25T05:00:00Z,5223,4.371985
4.23,4.24,4.0211,24,4.05,2016-02-26T05:00:00Z,5198,4.192476
4.34,4.49,4.29,48,4.38,2016-02-29T05:00:00Z,13294,4.394758
4.2,4.3199,4.0111,52,4.04,2016-03-01T05:00:00Z,10486,4.126531
