c,h,l,n,o,t,v,vw
49.22,49.23,48.94,212,49.03,2024-06-04T04:00:00Z,5806,49.0
50.88,50.88,49.97,192,49.97,2024-06-05T04:00:00Z,15414,50.51
50.66,50.98,50.65,167,50.9,2024-06-06T04:00:00Z,16274,50.73
50.85,51.08,50.67,247,50.75,2024-06-07T04:00:00Z,14477,50.85
51.31,51.31,50.56,308,50.75,2024-06-10T04:00:00Z,13645,51.08
51.51,51.52,51.09,264,51.25,2024-06-11T04:00:00Z,13636,51.38
52.1,52.19,51.95,323,52.05,2024-06-12T04:00:00Z,40909,52.05
52.12,52.33,51.85,246,52.25,2024-06-13T04:00:00Z,14037,52.09
52.22,52.27,52.0,228,52.19,2024-06-14T04:00:00Z,8974,52.12
52.63,52.79,52.03,285,52.21,2024-06-17T04:00:00Z,17734,52.56
52.97,52.97,52.64,436,52.73,2024-06-18T04:00:00Z,28769,52.85
52.5,54.27,52.32,556,54.27,2024-06-20T04:00:00Z,36082,52.82
52.34,52.46,52.03,308,52.33,2024-06-21T04:00:00Z,16418,52.16
51.72,52.29,51.62,368,52.1,2024-06-24T04:00:00Z,22154,51.93
52.37,52.39,51.72,198,51.78,2024-06-25T04:00:00Z,15213,52.14
52.43,52.59,52.28,235,52.49,2024-06-26T04:00:00Z,19852,52.39
52.84,52.96,52.39,249,52.39,2024-06-27T04:00:00Z,15707,52.79
52.87,53.29,52.84,284,53.02,2024-06-28T04:00:00Z,27484,53.02
53.14,53.14,52.3,319,52.92,2024-07-01T04:00:00Z,14202,52.75
53.39,53.39,52.79,299,52.89,2024-07-02T04:00:00Z,25853,53.15
53.7,53.7,53.25,159,53.39,2024-07-03T04:00:00Z,8576,53.53
53.96,54.09,53.79,459,53.79,2024-07-05T04:00:00Z,43059,53.93
54.24,54.24,54.06,565,54.07,2024-07-08T04:00:00Z,54209,54.15
54.14,54.43,54.03,513,54.33,2024-07-09T04:00:00Z,17286,54.19
54.34,54.4,54.0,337,54.23,2024-07-10T04:00:00Z,16160,54.22
53.76,54.46,53.62,462,54.45,2024-07-11T04:00:00Z,25713,54.02
54.15,54.36,53.66,231,53.66,2024-07-12T04:00:00Z,19148,54.2
54.22,54.54,54.11,316,54.32,2024-07-15T04:00:00Z,17860,54.3
54.14,54.29,53.91,323,54.22,2024-07-16T04:00:00Z,18271,54.04
52.37,53.4,52.24,750,53.4,2024-07-17T04:00:00Z,88482,52.61
52.0,52.73,51.55,445,52.73,2024-07-18T04:00:00Z,23489,52.05
51.51,51.92,51.49,426,51.62,2024-07-19T04:00:00Z,18206,51.66
51.69,51.87,51.4,454,51.79,2024-07-22T04:00:00Z,28424,51.65
51.96,52.26,51.67,258,51.67,2024-07-23T04:00:00Z,13632,52.07
50.03,51.51,50.03,633,51.51,2024-07-24T04:00:00Z,28178,50.68
49.68,50.55,49.06,417,49.95,2024-07-25T04:00:00Z,57357,50.08
50.0894,50.39,49.83,1089,50.3,2024-07-26T04:00:00Z,152790,50.078734
49.85,50.58,49.61,873,50.29,2024-07-29T04:00:00Z,41027,50.122488
48.64,49.88,48.1963,733,49.72,2024-07-30T04:00:00Z,38923,48.872964
50.11,50.22,49.28,326,49.7,2024-07-31T04:00:00Z,21261,49.989171
48.64,50.21,48.24,563,49.85,2024-08-01T04:00:00Z,42510,49.079016
46.99,47.09,46.05,708,47.08,2024-08-02T04:00:00Z,41914,46.633863
