c,h,l,n,o,t,v,vw
371.25,437.5,340.75,12326,435.0,2020-10-16T04:00:00Z,130343,392.44
369.0,375.0,350.0,1518,368.5,2020-10-19T04:00:00Z,14043,361.13
330.0,373.25,320.5,2941,363.25,2020-10-20T04:00:00Z,26031,341.25
373.5,375.0,326.0,2776,335.5,2020-10-21T04:00:00Z,13239,346.39
376.75,386.5,362.75,2292,366.25,2020-10-22T04:00:00Z,13338,374.55
377.5,384.5,365.5,2262,384.5,2020-10-23T04:00:00Z,8074,376.27
370.0,374.25,361.25,1189,365.5,2020-10-26T04:00:00Z,5408,369.21
387.5,395.5,357.5,3159,366.25,2020-10-27T04:00:00Z,11013,367.9
378.5,398.63,373.0,1328,381.25,2020-10-28T04:00:00Z,5642,382.64
369.5,392.5,366.25,2042,380.75,2020-10-29T04:00:00Z,6025,375.64
373.5,391.5,354.46,918,369.0,2020-10-30T04:00:00Z,3617,369.14
375.0,385.25,354.25,1454,373.25,2020-11-02T05:00:00Z,6004,366.28
375.0,381.13,362.63,1390,375.0,2020-11-03T05:00:00Z,3985,373.31
388.75,424.75,367.0,2667,376.5,2020-11-04T05:00:00Z,10897,390.96
366.0,410.0,359.25,1828,396.75,2020-11-05T05:00:00Z,7270,378.27
377.25,402.5,356.0,1805,370.0,2020-11-06T05:00:00Z,7421,373.18
449.5,458.38,365.25,2691,383.5,2020-11-09T05:00:00Z,10941,398.65
401.0,456.75,397.75,1461,456.75,2020-11-10T05:00:00Z,6512,414.17
429.25,447.75,395.25,1255,409.75,2020-11-11T05:00:00Z,7352,416.63
425.5,456.25,405.6,1515,431.25,2020-11-12T05:00:00Z,4776,431.66
492.5,492.75,415.02,1174,425.5,2020-11-13T05:00:00Z,5168,459.25
522.75,528.25,493.0,1021,493.0,2020-11-16T05:00:00Z,4949,517.3
500.0,520.75,489.13,1066,517.5,2020-11-17T05:00:00Z,5310,508.08
500.25,523.25,470.25,1152,500.5,2020-11-18T05:00:00Z,5999,503.33
497.5,562.5,495.0,3444,512.25,2020-11-19T05:00:00Z,17995,520.34
486.75,525.79,481.25,1243,502.25,2020-11-20T05:00:00Z,5778,502.25
478.0,502.0,462.5,882,488.0,2020-11-23T05:00:00Z,4886,483.76
450.0,489.25,437.75,1249,478.25,2020-11-24T05:00:00Z,2654,452.99
448.75,466.5,442.75,521,451.0,2020-11-25T05:00:00Z,1334,452.2
454.0,458.5,437.75,400,457.5,2020-11-27T05:00:00Z,933,450.37
467.75,473.75,437.5,1165,453.5,2020-11-30T05:00:00Z,3512,461.98
404.5,489.25,384.75,2280,472.25,2020-12-01T05:00:00Z,7735,433.15
442.75,479.0,409.75,1901,411.5,2020-12-02T05:00:00Z,5356,438.21
422.75,473.5,409.25,2679,450.0,2020-12-03T05:00:00Z,5665,438.24
429.5,437.25,416.75,1876,430.75,2020-12-04T05:00:00Z,6263,426.34
469.75,487.5,431.0,2784,431.0,2020-12-07T05:00:00Z,12057,473.61
499.0,531.0,476.63,2395,478.0,2020-12-08T05:00:00Z,10259,502.38
495.5,525.46,489.5,2078,497.5,2020-12-09T05:00:00Z,5304,500.19
504.25,513.25,475.25,1165,492.75,2020-12-10T05:00:00Z,4082,505.14
553.0,561.25,475.25,1628,497.75,2020-12-11T05:00:00Z,4436,534.51
595.0,717.25,548.41,5298,557.75,2020-12-14T05:00:00Z,16604,631.7
572.25,642.4,570.0,3521,596.0,2020-12-15T05:00:00Z,8897,592.89
604.0,657.75,562.75,3471,568.0,2020-12-16T05:00:00Z,23816,603.62
622.75,643.75,554.25,3777,609.25,2020-12-17T05:00:00Z,24280,617.2
641.75,661.75,607.75,4418,631.25,2020-12-18T05:00:00Z,138678,641.82
667.0,670.0,616.5,2835,641.75,2020-12-21T05:00:00Z,16585,654.02
671.75,677.75,652.0,2035,674.5,2020-12-22T05:00:00Z,19210,666.45
818.5,891.75,670.5,2851,670.5,2020-12-23T05:00:00Z,8710,768.55
721.25,847.25,715.0,984,813.25,2020-12-24T05:00:00Z,2696,752.49
715.0,787.88,700.0,1926,732.5,2020-12-28T05:00:00Z,5307,725.56
656.0,715.0,626.25,1433,715.0,2020-12-29T05:00:00Z,8910,661.36
649.75,667.75,633.5,889,650.5,2020-12-30T05:00:00Z,2368,649.18
691.25,712.0,642.75,1483,647.75,2020-12-31T05:00:00Z,5652,696.84
673.75,724.88,649.75,2063,701.25,2021-01-04T05:00:00Z,8731,687.1
