c,h,l,n,o,t,v,vw
10.07,10.17,10.06,2607,10.16,2021-12-13T05:00:00Z,8053234,10.139467
10.12,10.13,10.08,36,10.1,2021-12-14T05:00:00Z,102933,10.104991
10.25,10.35,10.095,265,10.15,2021-12-15T05:00:00Z,309035,10.287809
10.25,10.25,10.15,41,10.24,2021-12-16T05:00:00Z,100594,10.235963
10.1615,10.1615,10.1615,7,10.1615,2021-12-17T05:00:00Z,532,10.169013
10.195,10.2244,10.195,8,10.2244,2021-12-20T05:00:00Z,1310,10.205206
10.195,10.195,10.195,0,10.195,2021-12-21T05:00:00Z,0,0.0
10.22,10.22,10.22,25,10.22,2021-12-22T05:00:00Z,11874,10.220017
10.2052,10.2052,10.19,10,10.19,2021-12-23T05:00:00Z,678,10.20056
10.2,10.21,10.17,12,10.17,2021-12-27T05:00:00Z,7937,10.172323
10.22,10.22,10.2,19,10.2,2021-12-28T05:00:00Z,14316,10.20603
10.244,10.265,10.2,91,10.2,2021-12-29T05:00:00Z,21932,10.229014
10.2476,10.2476,10.2476,1,10.2476,2021-12-30T05:00:00Z,100,10.2476
10.2476,10.2476,10.2476,0,10.2476,2021-12-31T05:00:00Z,0,0.0
10.23,10.23,10.2,90,10.22,2022-01-03T05:00:00Z,111080,10.227935
10.23,10.23,10.23,0,10.23,2022-01-04T05:00:00Z,0,0.0
10.23,10.23,10.23,0,10.23,2022-01-05T05:00:00Z,0,0.0
10.23,10.23,10.23,0,10.23,2022-01-06T05:00:00Z,0,0.0
10.28,10.28,10.27,11,10.2711,2022-01-07T05:00:00Z,11100,10.275851
10.21,10.25,10.21,48,10.23,2022-01-10T05:00:00Z,54700,10.247477
10.21,10.21,10.21,0,10.21,2022-01-11T05:00:00Z,0,0.0
10.29,10.3,10.29,5,10.29,2022-01-12T05:00:00Z,4600,10.295561
10.24,10.24,10.23,50,10.23,2022-01-13T05:00:00Z,38140,10.239801
10.24,10.25,10.24,55,10.24,2022-01-14T05:00:00Z,105310,10.248139
10.25,10.25,10.24,13,10.24,2022-01-18T05:00:00Z,36689,10.249945
10.18,10.19,10.18,12,10.19,2022-01-19T05:00:00Z,9700,10.180431
10.22,10.22,10.15,27,10.15,2022-01-20T05:00:00Z,39901,10.165217
10.25,10.25,10.25,10,10.25,2022-01-21T05:00:00Z,1739,10.25
10.25,10.25,10.25,1,10.25,2022-01-24T05:00:00Z,140,10.25
10.25,10.25,10.25,0,10.25,2022-01-25T05:00:00Z,0,0.0
10.25,10.25,10.25,0,10.25,2022-01-26T05:00:00Z,0,0.0
10.15,10.15,10.11,5,10.12,2022-01-27T05:00:00Z,2500,10.1352
10.15,10.15,10.15,0,10.15,2022-01-28T05:00:00Z,0,0.0
10.18,10.18,10.17,15,10.18,2022-01-31T05:00:00Z,25344,10.179946
10.18,10.18,10.18,17,10.18,2022-02-01T05:00:00Z,2000,10.18
10.18,10.18,10.18,0,10.18,2022-02-02T05:00:00Z,0,0.0
10.21,10.21,10.21,1,10.21,2022-02-03T05:00:00Z,2000,10.21
10.18,10.24,10.18,57,10.18,2022-02-04T05:00:00Z,216699,10.181157
10.12,10.12,10.12,6,10.12,2022-02-07T05:00:00Z,180440,10.179953
10.12,10.12,10.12,0,10.12,2022-02-08T05:00:00Z,0,0.0
10.12,10.12,10.12,0,10.12,2022-02-09T05:00:00Z,0,0.0
10.12,10.12,10.12,0,10.12,2022-02-10T05:00:00Z,0,0.0
10.12,10.12,10.12,0,10.12,2022-02-11T05:00:00Z,0,0.0
10.19,10.19,10.19,2,10.19,2022-02-14T05:00:00Z,101,10.190495
10.2,10.2,10.2,1,10.2,2022-02-15T05:00:00Z,100,10.2
10.09,10.29,10.09,3,10.29,2022-02-16T05:00:00Z,300,10.222033
10.09,10.09,10.09,0,10.09,2022-02-17T05:00:00Z,0,0.0
10.09,10.09,10.09,0,10.09,2022-02-18T05:00:00Z,0,0.0
10.09,10.09,10.09,0,10.09,2022-02-22T05:00:00Z,0,0.0
10.09,10.09,10.09,0,10.09,2022-02-23T05:00:00Z,0,0.0
10.09,10.09,10.09,0,10.09,2022-02-24T05:00:00Z,0,0.0
10.09,10.09,10.09,0,10.09,2022-02-25T05:00:00Z,0,0.0
10.09,10.09,10.09,0,10.09,2022-02-28T05:00:00Z,0,0.0
10.09,10.09,10.09,0,10.09,2022-03-01T05:00:00Z,0,0.0
10.05,10.05,10.05,2,10.05,2022-03-02T05:00:00Z,1159,10.05
10.05,10.05,10.05,0,10.05,2022-03-03T05:00:00Z,0,0.0
10.05,10.05,10.05,0,10.05,2022-03-04T05:00:00Z,0,0.0
10.05,10.05,10.05,0,10.05,2022-03-07T05:00:00Z,0,0.0
