c,h,l,n,o,t,v,vw
42.27,43.04,41.53,5848,41.93,2016-01-04T05:00:00Z,690089,42.378134
42.65,43.13,42.29,5446,42.53,2016-01-05T05:00:00Z,684257,42.708501
42.0,42.8,41.67,3900,41.87,2016-01-06T05:00:00Z,432893,42.200395
40.49,41.87,40.48,3764,41.29,2016-01-07T05:00:00Z,391193,40.769752
38.29,43.155,38.16,6412,40.32,2016-01-08T05:00:00Z,799189,39.010791
36.1,39.17,35.31,8458,38.4,2016-01-11T05:00:00Z,870698,36.316226
36.96,37.49,36.1,8032,36.79,2016-01-12T05:00:00Z,997995,36.773015
36.05,38.58,35.89,9369,37.01,2016-01-13T05:00:00Z,1602769,37.060842
38.31,38.87,35.23,5656,36.44,2016-01-14T05:00:00Z,636889,37.812644
39.02,39.31,36.5,8414,37.02,2016-01-15T05:00:00Z,1181514,38.316128
38.83,40.0,38.48,8152,39.65,2016-01-19T05:00:00Z,864141,39.043828
38.72,39.49,36.77,6623,38.34,2016-01-20T05:00:00Z,646136,38.219367
38.59,39.62,38.2,3781,38.76,2016-01-21T05:00:00Z,386948,38.863848
40.06,40.23,38.29,4113,39.25,2016-01-22T05:00:00Z,540966,39.890155
39.73,40.57,39.54,3962,39.81,2016-01-25T05:00:00Z,458769,40.05936
39.93,40.74,38.91,4562,39.83,2016-01-26T05:00:00Z,465845,39.889213
38.42,40.4,38.11,4363,39.84,2016-01-27T05:00:00Z,487483,38.733247
36.79,39.4,36.495,4801,38.71,2016-01-28T05:00:00Z,453942,37.211452
37.47,37.6,36.09,6360,36.89,2016-01-29T05:00:00Z,922675,37.011915
37.56,38.3,36.38,5708,37.15,2016-02-01T05:00:00Z,570904,37.236535
36.73,38.4299,36.56,5341,37.19,2016-02-02T05:00:00Z,512921,36.998843
36.0,37.75,35.21,5935,36.93,2016-02-03T05:00:00Z,542539,35.944033
34.9,36.35,34.67,6573,35.98,2016-02-04T05:00:00Z,639968,35.18367
33.76,35.13,33.52,7460,34.79,2016-02-05T05:00:00Z,1005005,34.021949
32.7,33.81,32.1,6331,33.33,2016-02-08T05:00:00Z,850811,32.729774
32.44,33.63,31.87,4934,32.25,2016-02-09T05:00:00Z,543498,32.52543
32.18,33.812,32.0,6185,32.63,2016-02-10T05:00:00Z,826072,32.504504
30.73,31.6,30.34,6947,31.41,2016-02-11T05:00:00Z,705817,30.794234
30.89,31.13,30.175,5500,30.98,2016-02-12T05:00:00Z,618265,30.783173
32.16,32.205,31.0,4580,31.26,2016-02-16T05:00:00Z,539667,31.94178
35.71,37.06,33.08,12020,33.08,2016-02-17T05:00:00Z,1674950,35.859399
34.99,36.43,34.7,8043,35.9,2016-02-18T05:00:00Z,1129211,35.465641
33.97,34.725,32.81,7929,34.6,2016-02-19T05:00:00Z,1173927,33.897595
33.14,33.8,29.66,24457,32.99,2016-02-22T05:00:00Z,3854615,32.129389
32.83,33.74,32.71,7965,33.02,2016-02-23T05:00:00Z,962052,33.143647
32.01,33.425,31.42,9694,32.27,2016-02-24T05:00:00Z,1191529,32.010762
32.67,33.455,31.74,5928,32.23,2016-02-25T05:00:00Z,615685,32.355146
33.27,33.45,32.32,6395,32.9,2016-02-26T05:00:00Z,667885,33.19443
32.69,33.99,32.64,9422,33.5,2016-02-29T05:00:00Z,1180944,33.000721
34.36,34.4,32.49,8169,32.98,2016-03-01T05:00:00Z,1302894,33.933048
34.46,34.68,33.59,7209,34.17,2016-03-02T05:00:00Z,704568,34.292888
34.86,34.9,34.02,6365,34.34,2016-03-03T05:00:00Z,503213,34.640513
34.3,35.01,34.04,6072,34.75,2016-03-04T05:00:00Z,593381,34.373504
34.71,35.23,33.73,5744,34.23,2016-03-07T05:00:00Z,661348,34.655187
32.53,34.95,32.44,6338,34.39,2016-03-08T05:00:00Z,699343,33.224353
33.59,34.17,30.72,9464,32.25,2016-03-09T05:00:00Z,1136963,32.80884
34.53,34.75,33.24,6686,33.62,2016-03-10T05:00:00Z,785077,34.279675
36.32,36.75,34.61,8277,34.79,2016-03-11T05:00:00Z,949696,36.144927
35.18,36.29,35.01,4799,36.29,2016-03-14T04:00:00Z,485595,35.365727
32.99,35.2,32.89,6675,34.92,2016-03-15T04:00:00Z,773962,33.540267
32.99,34.47,32.57,3778,32.76,2016-03-16T04:00:00Z,515302,33.243428
31.96,33.34,31.46,6703,32.79,2016-03-17T04:00:00Z,766789,32.00064
31.43,32.415,30.78,9439,32.16,2016-03-18T04:00:00Z,2426465,31.436727
32.24,32.96,30.95,5320,31.33,2016-03-21T04:00:00Z,589500,32.363733
33.44,33.55,32.0,3889,32.0,2016-03-22T04:00:00Z,446002,33.271254
32.0,34.26,31.98,3420,33.44,2016-03-23T04:00:00Z,421218,32.46248
32.22,32.78,30.75,3173,31.7,2016-03-24T04:00:00Z,364687,32.063811
31.37,32.7,31.17,3249,32.55,2016-03-28T04:00:00Z,353508,31.480733
32.65,32.68,30.61,4502,31.22,2016-03-29T04:00:00Z,661509,32.274562
32.32,33.13,32.18,3383,32.66,2016-03-30T04:00:00Z,344853,32.48107
32.02,32.7,31.28,4190,32.23,2016-03-31T04:00:00Z,535138,32.057418
33.26,33.5,31.69,6678,31.87,2016-04-01T04:00:00Z,855173,32.904216
32.52,33.995,32.4,6504,33.32,2016-04-04T04:00:00Z,829242,32.795753
32.35,32.63,31.57,5272,32.16,2016-04-05T04:00:00Z,595039,32.155447
34.7,34.8526,32.34,6092,32.48,2016-04-06T04:00:00Z,817846,34.22786
34.89,35.6,33.97,6501,34.59,2016-04-07T04:00:00Z,809555,34.821687
34.81,35.33,34.51,4532,35.24,2016-04-08T04:00:00Z,493120,34.811314
34.28,35.22,33.89,4300,34.84,2016-04-11T04:00:00Z,508427,34.333567
34.31,34.77,33.55,4353,34.2,2016-04-12T04:00:00Z,484238,34.257854
35.35,35.7,34.46,4755,34.46,2016-04-13T04:00:00Z,770595,35.271045
35.39,35.49,34.63,3711,35.27,2016-04-14T04:00:00Z,532405,35.215982
35.21,35.6158,34.6168,3453,35.32,2016-04-15T04:00:00Z,422671,35.223934
35.44,35.9,34.2701,5199,35.0,2016-04-18T04:00:00Z,621104,35.487028
35.38,35.83,34.83,3317,35.45,2016-04-19T04:00:00Z,383617,35.3386
35.2,35.8,35.06,3891,35.57,2016-04-20T04:00:00Z,356860,35.369566
36.4,37.0,35.025,6840,35.11,2016-04-21T04:00:00Z,1055301,36.184343
36.25,37.2,35.95,6604,36.4,2016-04-22T04:00:00Z,886591,36.344643
35.24,36.325,35.14,6420,35.9,2016-04-25T04:00:00Z,729912,35.441001
34.99,35.68,34.09,4274,35.42,2016-04-26T04:00:00Z,478704,34.83551
34.85,35.52,34.085,3691,34.91,2016-04-27T04:00:00Z,327658,34.937257
34.17,35.09,34.02,4091,34.76,2016-04-28T04:00:00Z,460641,34.374673
33.35,34.38,32.59,5585,34.16,2016-04-29T04:00:00Z,579729,33.277473
33.13,33.76,32.8,6925,33.53,2016-05-02T04:00:00Z,656625,33.107867
33.6,34.53,32.55,5209,32.77,2016-05-03T04:00:00Z,531477,33.639067
32.27,33.5,31.81,5026,33.5,2016-05-04T04:00:00Z,576628,32.317853
32.27,32.64,31.68,4159,32.4,2016-05-05T04:00:00Z,425712,32.210853
29.8,31.875,28.92,11280,31.74,2016-05-06T04:00:00Z,1841549,29.830063
30.39,31.17,29.9,9493,30.05,2016-05-09T04:00:00Z,1019158,30.402992
29.49,31.39,27.62,13444,31.39,2016-05-10T04:00:00Z,2005525,29.00763
28.83,30.14,28.79,6900,29.32,2016-05-11T04:00:00Z,830072,29.308694
