c,h,l,n,o,t,v,vw
21.41,21.71,21.41,11,21.58,2022-09-08T04:00:00Z,1762,21.48
20.78,21.27,20.78,21,21.27,2022-09-09T04:00:00Z,2467,20.98
20.34,20.48,20.34,35,20.48,2022-09-12T04:00:00Z,4976,20.38
21.74,21.8,21.06,99,21.06,2022-09-13T04:00:00Z,47044,21.48
21.46,21.73,21.46,64,21.73,2022-09-14T04:00:00Z,5426,21.67
21.83,21.86,21.55,55,21.73,2022-09-15T04:00:00Z,4281,21.74
22.31,22.81,22.29,330,22.49,2022-09-16T04:00:00Z,17591,22.53
22.09,22.48,22.09,74,22.48,2022-09-19T04:00:00Z,2637,22.28
22.61,22.7,22.21,108,22.35,2022-09-20T04:00:00Z,6700,22.51
23.26,23.26,22.32,160,22.6,2022-09-21T04:00:00Z,19989,22.89
23.48,23.63,23.28,120,23.47,2022-09-22T04:00:00Z,9442,23.48
24.18,24.25,23.88,130,23.88,2022-09-23T04:00:00Z,8584,24.2
23.92,24.31,23.49,145,24.3,2022-09-26T04:00:00Z,11726,23.79
24.07,24.2,23.41,82,23.47,2022-09-27T04:00:00Z,7823,23.96
23.33,24.07,23.22,114,24.06,2022-09-28T04:00:00Z,11437,23.54
23.96,24.26,23.79,151,23.8,2022-09-29T04:00:00Z,13085,24.07
24.29,24.34,23.54,120,24.13,2022-09-30T04:00:00Z,11347,24.01
23.66,24.21,23.58,81,24.1,2022-10-03T04:00:00Z,6339,23.85
22.67,22.77,22.26,142,22.65,2022-10-04T04:00:00Z,23631,22.52
22.72,23.22,22.54,106,23.14,2022-10-05T04:00:00Z,12647,22.99
22.8,22.9,22.61,73,22.79,2022-10-06T04:00:00Z,11380,22.81
23.92,23.94,23.3,85,23.31,2022-10-07T04:00:00Z,6236,23.8
24.06,24.27,23.66,88,23.75,2022-10-10T04:00:00Z,8303,23.87
24.4,24.76,23.71,116,24.33,2022-10-11T04:00:00Z,15774,24.29
24.25,24.52,24.15,72,24.33,2022-10-12T04:00:00Z,3774,24.28
24.3,25.81,24.26,160,25.37,2022-10-13T04:00:00Z,20186,24.72
25.56,25.56,24.05,141,24.05,2022-10-14T04:00:00Z,13479,25.11
23.94,24.64,23.84,165,24.64,2022-10-17T04:00:00Z,19317,24.22
23.4,23.66,22.75,165,22.75,2022-10-18T04:00:00Z,19085,23.37
23.62,23.85,23.49,129,23.74,2022-10-19T04:00:00Z,15297,23.7
23.58,23.75,22.98,152,23.75,2022-10-20T04:00:00Z,12944,23.42
22.77,23.66,22.75,132,23.66,2022-10-21T04:00:00Z,11398,23.01
22.68,23.27,22.61,116,22.85,2022-10-24T04:00:00Z,9759,22.82
22.55,22.74,22.45,170,22.68,2022-10-25T04:00:00Z,23878,22.57
23.48,23.56,22.84,354,23.42,2022-10-26T04:00:00Z,47842,23.32
24.44,24.6,23.81,1034,23.84,2022-10-27T04:00:00Z,161047,24.25
26.08,27.38,25.97,1391,27.26,2022-10-28T04:00:00Z,163086,26.75
26.32,26.73,25.8,405,26.04,2022-10-31T04:00:00Z,71486,26.3
27.78,27.94,25.82,541,25.89,2022-11-01T04:00:00Z,75721,27.11
29.09,29.12,27.78,561,27.8,2022-11-02T04:00:00Z,81467,28.25
29.99,30.07,28.71,444,29.04,2022-11-03T04:00:00Z,63434,29.52
29.5,30.2,29.07,259,29.26,2022-11-04T04:00:00Z,42632,29.74
29.61,30.01,29.17,277,29.17,2022-11-07T05:00:00Z,45642,29.79
29.77,30.35,29.25,239,29.54,2022-11-08T05:00:00Z,47789,29.71
31.05,31.13,30.15,196,30.15,2022-11-09T05:00:00Z,24899,30.64
