c,h,l,n,o,t,v,vw
0.47,0.51,0.44,49,0.47,2021-11-26T05:00:00Z,370011,0.459771
0.46,0.48,0.42,269,0.47,2021-11-29T05:00:00Z,754501,0.429685
0.42,0.46,0.42,39,0.46,2021-11-30T05:00:00Z,758474,0.43867
0.4101,0.48,0.41,1584,0.42,2021-12-01T05:00:00Z,711186,0.442426
0.43,0.44,0.4201,25,0.437075,2021-12-02T05:00:00Z,58825,0.432949
0.3976,0.43,0.3901,119,0.43,2021-12-03T05:00:00Z,702570,0.405889
0.4,0.4084,0.385,77,0.3975,2021-12-06T05:00:00Z,189400,0.395088
0.4024,0.405,0.399911,189,0.405,2021-12-07T05:00:00Z,254657,0.401653
0.39,0.402,0.39,46,0.4,2021-12-08T05:00:00Z,107450,0.393312
0.3866,0.3901,0.3855,54,0.3901,2021-12-09T05:00:00Z,33650,0.389411
0.3845,0.3892,0.3798,143,0.3855,2021-12-10T05:00:00Z,57600,0.382237
0.37845,0.387,0.3701,49,0.372,2021-12-13T05:00:00Z,27375,0.373462
0.3707,0.37242,0.3701,71,0.3703,2021-12-14T05:00:00Z,42300,0.370521
0.385,0.385,0.38,2,0.38,2021-12-15T05:00:00Z,600,0.384167
0.385,0.385,0.385,0,0.385,2021-12-16T05:00:00Z,0,0.0
0.38,0.38,0.3701,3,0.3702,2021-12-17T05:00:00Z,4200,0.370348
0.38,0.38,0.38,0,0.38,2021-12-20T05:00:00Z,0,0.0
0.3892,0.3892,0.38,11,0.38,2021-12-21T05:00:00Z,208774,0.380105
0.3925,0.3925,0.3711,17,0.3711,2021-12-22T05:00:00Z,10400,0.380183
0.3925,0.3925,0.3925,0,0.3925,2021-12-23T05:00:00Z,0,0.0
0.3898,0.39,0.3898,6,0.3899,2021-12-27T05:00:00Z,1400,0.389893
0.3898,0.3898,0.3898,0,0.3898,2021-12-28T05:00:00Z,0,0.0
0.3898,0.3898,0.3898,0,0.3898,2021-12-29T05:00:00Z,0,0.0
0.4,0.4,0.39,7,0.39,2021-12-30T05:00:00Z,14009,0.399419
0.3989,0.3989,0.3989,2,0.3989,2021-12-31T05:00:00Z,1010,0.3989
0.3899,0.3899,0.3888,7,0.3889,2022-01-03T05:00:00Z,8600,0.389413
0.3799,0.3799,0.3701,5,0.3701,2022-01-04T05:00:00Z,1486,0.371002
0.38,0.3899,0.38,3,0.3898,2022-01-05T05:00:00Z,300,0.386567
0.38,0.38,0.38,0,0.38,2022-01-06T05:00:00Z,0,0.0
0.3899,0.3899,0.38,8,0.38,2022-01-07T05:00:00Z,1600,0.384327
0.3702,0.3702,0.3702,2,0.3702,2022-01-10T05:00:00Z,400,0.3702
0.3701,0.38,0.37,11,0.3701,2022-01-11T05:00:00Z,8307,0.374493
0.375,0.3799,0.36,44,0.36,2022-01-12T05:00:00Z,42300,0.375342
0.3699,0.3699,0.3601,7,0.3601,2022-01-13T05:00:00Z,2200,0.361436
0.3601,0.3601,0.36,9,0.3601,2022-01-14T05:00:00Z,25600,0.360002
0.3553,0.3553,0.3401,17,0.3401,2022-01-18T05:00:00Z,3100,0.349906
0.3499,0.3499,0.33,4,0.33,2022-01-19T05:00:00Z,320,0.336633
0.3349,0.3349,0.3299,20,0.3301,2022-01-20T05:00:00Z,15449,0.330043
0.3101,0.32,0.31,19,0.3102,2022-01-21T05:00:00Z,85057,0.310243
0.28,0.29,0.28,116,0.29,2022-01-24T05:00:00Z,113459,0.280671
0.28,0.28,0.2799,4,0.2799,2022-01-25T05:00:00Z,3000,0.279967
0.28,0.285,0.2701,116,0.2805,2022-01-26T05:00:00Z,755177,0.280118
0.2899,0.2899,0.2899,2,0.2899,2022-01-27T05:00:00Z,500,0.2899
0.26,0.2607,0.26,3,0.2607,2022-01-28T05:00:00Z,402,0.260263
0.255,0.27,0.255,12,0.27,2022-01-31T05:00:00Z,55500,0.263531
0.24,0.2699,0.2399,38,0.25495,2022-02-01T05:00:00Z,20576,0.24364
0.24,0.24,0.2399,20,0.24,2022-02-02T05:00:00Z,35850,0.239991
0.24,0.24,0.24,0,0.24,2022-02-03T05:00:00Z,0,0.0
0.2698,0.2698,0.23,13,0.23,2022-02-04T05:00:00Z,28450,0.23021
0.2501,0.3199,0.2101,12,0.210101,2022-02-07T05:00:00Z,45500,0.21135
