c,h,l,n,o,t,v,vw
410.0,420.0,302.0,11423,309.2,2019-10-03T04:00:00Z,101129,334.04
381.4,402.31,373.4,1854,390.4,2019-10-04T04:00:00Z,13186,384.01
405.0,418.0,380.2,453,383.4,2019-10-07T04:00:00Z,6888,397.18
378.8,413.53,371.0,771,404.0,2019-10-08T04:00:00Z,5264,384.85
380.8,432.2,373.27,1070,378.8,2019-10-09T04:00:00Z,9484,394.38
388.8,398.64,382.6,124,382.6,2019-10-10T04:00:00Z,736,389.56
380.4,397.6,380.4,116,389.0,2019-10-11T04:00:00Z,617,389.75
387.2,396.4,380.4,103,380.4,2019-10-14T04:00:00Z,359,384.61
386.6,393.84,380.92,128,386.6,2019-10-15T04:00:00Z,496,387.73
390.0,393.6,382.2,188,382.4,2019-10-16T04:00:00Z,765,389.86
409.6,420.0,380.35,267,383.6,2019-10-17T04:00:00Z,2484,402.5
428.0,438.4,398.8,403,398.8,2019-10-18T04:00:00Z,2005,426.89
520.0,557.4,434.94,2034,436.0,2019-10-21T04:00:00Z,12371,486.93
494.0,535.4,490.8,914,520.0,2019-10-22T04:00:00Z,7551,517.25
496.0,510.0,471.2,1183,500.0,2019-10-23T04:00:00Z,8686,492.99
514.0,533.2,488.0,884,497.8,2019-10-24T04:00:00Z,6086,515.45
511.8,535.8,462.8,1672,518.2,2019-10-25T04:00:00Z,8574,497.44
496.8,509.99,453.8,972,490.0,2019-10-28T04:00:00Z,4690,484.22
499.4,510.0,475.7,627,492.4,2019-10-29T04:00:00Z,3838,499.25
473.6,499.6,454.2,643,499.4,2019-10-30T04:00:00Z,2598,474.11
483.0,494.7,462.4,374,482.4,2019-10-31T04:00:00Z,2057,483.31
499.4,515.46,484.4,314,484.4,2019-11-01T04:00:00Z,3595,494.64
499.6,514.4,487.79,324,500.0,2019-11-04T05:00:00Z,1848,501.46
496.0,512.0,484.4,279,498.0,2019-11-05T05:00:00Z,913,498.8
500.0,511.0,477.1,416,511.0,2019-11-06T05:00:00Z,2079,495.97
483.6,504.8,474.5,663,504.2,2019-11-07T05:00:00Z,5064,490.79
497.5,502.6,467.17,421,482.4,2019-11-08T05:00:00Z,2054,494.49
499.8,505.1,475.8,598,489.4,2019-11-11T05:00:00Z,2690,497.77
480.2,499.4,477.0,594,491.4,2019-11-12T05:00:00Z,5561,486.72
490.0,495.0,474.0,508,478.2,2019-11-13T05:00:00Z,2318,486.22
540.8,547.6,480.5,1142,490.0,2019-11-14T05:00:00Z,5474,508.48
597.0,640.9,523.0,1602,523.0,2019-11-15T05:00:00Z,5522,598.28
591.6,619.9,570.7,1153,597.0,2019-11-18T05:00:00Z,4483,599.63
603.2,617.8,579.2,759,599.4,2019-11-19T05:00:00Z,3246,600.76
580.2,603.2,578.16,653,597.8,2019-11-20T05:00:00Z,1705,591.06
492.4,582.2,467.2,843,582.2,2019-11-21T05:00:00Z,3564,506.29
511.4,517.2,462.0,920,496.2,2019-11-22T05:00:00Z,3041,485.27
477.4,539.2,470.2,1153,511.4,2019-11-25T05:00:00Z,4788,511.41
453.8,489.8,451.1,1208,477.0,2019-11-26T05:00:00Z,3953,462.89
471.0,489.0,437.4,678,471.4,2019-11-27T05:00:00Z,3570,463.3
503.6,516.0,477.2,608,477.2,2019-11-29T05:00:00Z,5097,502.17
503.6,519.8,490.4,1119,500.2,2019-12-02T05:00:00Z,7637,506.2
502.8,513.6,487.8,1026,499.2,2019-12-03T05:00:00Z,4758,500.0
512.2,519.8,490.1,1034,509.2,2019-12-04T05:00:00Z,4180,506.81
483.2,515.6,481.8,1107,509.0,2019-12-05T05:00:00Z,5241,501.23
521.0,576.42,500.0,2369,500.0,2019-12-06T05:00:00Z,10639,520.99
546.4,618.8,526.2,2314,526.2,2019-12-09T05:00:00Z,14263,574.26
613.8,634.2,523.4,2074,523.4,2019-12-10T05:00:00Z,14337,592.36
