c,h,l,n,o,t,v,vw
5.17,5.48,5.17,79,5.29,2016-01-04T05:00:00Z,19623,5.311775
5.39,5.39,5.0966,56,5.18,2016-01-05T05:00:00Z,15763,5.158058
5.25,5.34,5.25,12,5.34,2016-01-06T05:00:00Z,2258,5.31888
5.16,5.3034,5.1536,29,5.2,2016-01-07T05:00:00Z,8590,5.203984
5.2,5.24,5.0825,67,5.23,2016-01-08T05:00:00Z,24766,5.145184
5.09,5.31,5.0,87,5.31,2016-01-11T05:00:00Z,28987,5.127746
5.04,5.09,4.9999,38,5.089,2016-01-12T05:00:00Z,14038,5.020917
5.0,5.08,5.0,17,5.08,2016-01-13T05:00:00Z,5523,5.031952
5.07,5.1,5.0,17,5.0,2016-01-14T05:00:00Z,3375,5.0696
5.0,5.07,5.0,32,5.0,2016-01-15T05:00:00Z,10073,5.039087
4.93,5.01,4.91,38,5.01,2016-01-19T05:00:00Z,6421,4.991081
4.8,4.9598,4.74,71,4.9575,2016-01-20T05:00:00Z,12714,4.855154
4.51,4.86,4.5,146,4.85,2016-01-21T05:00:00Z,37249,4.590812
4.55,4.6558,4.5,54,4.65,2016-01-22T05:00:00Z,14265,4.568502
4.65,4.66,4.55,53,4.55,2016-01-25T05:00:00Z,7195,4.625351
4.74,4.75,4.51,71,4.67,2016-01-26T05:00:00Z,37694,4.617208
4.6762,4.75,4.6,21,4.6496,2016-01-27T05:00:00Z,1515,4.666785
4.655,4.7199,4.655,5,4.7199,2016-01-28T05:00:00Z,304,4.693512
4.63,4.75,4.63,49,4.7,2016-01-29T05:00:00Z,8425,4.695056
4.85,5.35,4.71,51,5.35,2016-02-01T05:00:00Z,12058,4.95332
4.81,4.89,4.6781,49,4.85,2016-02-02T05:00:00Z,15226,4.837155
4.89,4.91,4.77,58,4.77,2016-02-03T05:00:00Z,17701,4.840859
4.93,4.93,4.76,41,4.8488,2016-02-04T05:00:00Z,5792,4.831619
4.89,4.92,4.8374,9,4.8374,2016-02-05T05:00:00Z,919,4.856762
4.94,4.94,4.92,30,4.94,2016-02-08T05:00:00Z,3858,4.934002
4.71,4.92,4.71,68,4.87,2016-02-09T05:00:00Z,14714,4.853524
4.671,4.82,4.6,23,4.82,2016-02-10T05:00:00Z,54913,4.615305
4.7,4.74,4.68,34,4.73,2016-02-11T05:00:00Z,11338,4.703702
4.801,4.81,4.78,12,4.78,2016-02-12T05:00:00Z,3056,4.792238
4.9,4.9,4.7658,51,4.9,2016-02-16T05:00:00Z,5763,4.841215
4.94,5.0233,4.859,35,4.9499,2016-02-17T05:00:00Z,8070,4.924347
5.0211,5.18,5.0,16,5.17,2016-02-18T05:00:00Z,5073,5.046124
5.0211,5.0211,5.0211,0,5.0211,2016-02-19T05:00:00Z,0,0.0
5.08,5.09,5.01,91,5.09,2016-02-22T05:00:00Z,22534,5.085282
5.0601,5.2,5.0,113,5.08,2016-02-23T05:00:00Z,20859,5.096598
5.03,5.2,5.01,84,5.19,2016-02-24T05:00:00Z,15521,5.104919
4.83,5.11,4.82,100,5.11,2016-02-25T05:00:00Z,25592,4.965617
5.42,5.42,4.9592,129,4.98,2016-02-26T05:00:00Z,41624,5.245596
5.8,5.9,5.492,237,5.5,2016-02-29T05:00:00Z,66990,5.790438
5.77,5.78,5.5617,66,5.71,2016-03-01T05:00:00Z,27877,5.699519
5.9,5.9,5.73,110,5.79,2016-03-02T05:00:00Z,22951,5.828703
6.15,6.4099,5.8,171,5.8,2016-03-03T05:00:00Z,35823,6.124517
5.99,6.34,5.9501,120,6.34,2016-03-04T05:00:00Z,28489,6.099148
6.2,7.0,5.83,642,6.34,2016-03-07T05:00:00Z,142085,6.456971
6.55,6.7389,6.2,225,6.2,2016-03-08T05:00:00Z,44750,6.505577
6.42,6.65,6.39,140,6.39,2016-03-09T05:00:00Z,26053,6.486878
5.94,6.49,5.87,166,6.49,2016-03-10T05:00:00Z,25933,6.185988
6.16,6.16,5.88,119,5.99,2016-03-11T05:00:00Z,27621,5.947341
6.14,6.31,6.0101,176,6.17,2016-03-14T04:00:00Z,31060,6.212016
5.98,6.22,5.96,170,6.16,2016-03-15T04:00:00Z,29441,6.051252
6.1,6.24,6.03,174,6.22,2016-03-16T04:00:00Z,21493,6.144154
6.08,6.16,6.01,212,6.03,2016-03-17T04:00:00Z,32078,6.08598
6.09,6.26,5.95,387,6.1,2016-03-18T04:00:00Z,167839,6.083131
6.01,6.2599,5.98,205,6.14,2016-03-21T04:00:00Z,30872,6.120234
6.14,6.25,6.02,153,6.06,2016-03-22T04:00:00Z,21233,6.125538
6.23,6.4,6.15,120,6.15,2016-03-23T04:00:00Z,30422,6.229396
6.18,6.33,6.05,77,6.25,2016-03-24T04:00:00Z,21226,6.204079
6.25,6.34,6.12,115,6.2,2016-03-28T04:00:00Z,28795,6.224948
6.45,6.7599,6.26,415,6.34,2016-03-29T04:00:00Z,104022,6.492031
6.59,6.73,6.45,111,6.45,2016-03-30T04:00:00Z,22559,6.56242
