c,h,l,n,o,t,v,vw
20.93,21.79,20.81,456,21.68,2016-01-04T05:00:00Z,68046,21.13
21.27,21.35,20.43,356,21.02,2016-01-05T05:00:00Z,34711,21.0
21.61,21.62,20.78,365,21.03,2016-01-06T05:00:00Z,36632,21.37
21.52,21.61,21.34,284,21.49,2016-01-07T05:00:00Z,28932,21.51
21.76,21.99,21.18,359,21.55,2016-01-08T05:00:00Z,38692,21.66
22.1,22.25,21.7,302,21.81,2016-01-11T05:00:00Z,29794,21.98
21.54,22.18,21.2,381,22.18,2016-01-12T05:00:00Z,42510,21.58
21.4,21.95,21.06,531,21.45,2016-01-13T05:00:00Z,52961,21.45
21.55,22.03,21.34,279,21.34,2016-01-14T05:00:00Z,31779,21.57
21.21,21.53,20.67,402,21.08,2016-01-15T05:00:00Z,39750,21.04
21.28,21.48,21.07,296,21.2,2016-01-19T05:00:00Z,33811,21.28
21.49,21.9,20.86,564,20.93,2016-01-20T05:00:00Z,50891,21.25
21.64,21.91,21.2,321,21.45,2016-01-21T05:00:00Z,32164,21.54
22.46,22.51,21.52,266,21.92,2016-01-22T05:00:00Z,31832,22.2
22.18,22.71,22.07,275,22.46,2016-01-25T05:00:00Z,27841,22.36
22.24,22.73,22.07,226,22.34,2016-01-26T05:00:00Z,23991,22.38
21.88,22.48,21.84,352,22.2,2016-01-27T05:00:00Z,39407,22.1
22.81,23.0,22.04,299,22.04,2016-01-28T05:00:00Z,25067,22.53
24.04,24.06,22.89,561,22.99,2016-01-29T05:00:00Z,99450,23.91
24.67,24.83,24.13,571,24.16,2016-02-01T05:00:00Z,64503,24.49
24.83,24.99,24.45,282,24.56,2016-02-02T05:00:00Z,46380,24.77
24.63,25.33,24.62,271,24.95,2016-02-03T05:00:00Z,35234,24.88
23.47,24.61,23.35,325,24.61,2016-02-04T05:00:00Z,34406,23.72
23.17,24.23,22.88,250,23.37,2016-02-05T05:00:00Z,38700,23.2
23.43,23.47,22.37,392,23.03,2016-02-08T05:00:00Z,46893,22.86
23.7,24.04,23.19,266,23.43,2016-02-09T05:00:00Z,34856,23.74
24.21,24.33,23.72,236,23.72,2016-02-10T05:00:00Z,31873,24.07
23.58,24.27,23.54,298,24.05,2016-02-11T05:00:00Z,22803,23.89
23.43,24.21,23.29,399,23.73,2016-02-12T05:00:00Z,39438,23.58
23.45,23.83,23.17,271,23.63,2016-02-16T05:00:00Z,26089,23.4
23.27,23.71,23.18,310,23.41,2016-02-17T05:00:00Z,35999,23.33
23.26,23.65,22.95,326,23.29,2016-02-18T05:00:00Z,27433,23.3
23.25,23.72,22.97,258,23.21,2016-02-19T05:00:00Z,27305,23.29
23.12,23.54,22.99,198,23.38,2016-02-22T05:00:00Z,23134,23.26
23.02,23.37,22.95,265,22.95,2016-02-23T05:00:00Z,25873,23.12
23.3,23.32,23.02,141,23.02,2016-02-24T05:00:00Z,14643,23.2
23.28,23.7,22.97,155,23.29,2016-02-25T05:00:00Z,14697,23.19
22.26,23.17,22.18,270,23.17,2016-02-26T05:00:00Z,26522,22.66
22.57,22.93,22.09,264,22.14,2016-02-29T05:00:00Z,32950,22.53
22.35,22.77,22.29,371,22.51,2016-03-01T05:00:00Z,34910,22.47
22.2,22.23,21.67,337,22.08,2016-03-02T05:00:00Z,35291,22.05
21.88,22.33,21.78,339,22.13,2016-03-03T05:00:00Z,31052,22.02
22.12,22.21,21.4,250,21.71,2016-03-04T05:00:00Z,28197,21.84
21.73,22.18,21.56,470,22.01,2016-03-07T05:00:00Z,48359,21.83
21.63,21.84,21.57,411,21.66,2016-03-08T05:00:00Z,33058,21.73
21.9,21.96,21.56,307,21.78,2016-03-09T05:00:00Z,34563,21.84
21.42,22.15,21.33,341,22.15,2016-03-10T05:00:00Z,31053,21.63
21.36,21.68,20.83,617,21.6,2016-03-11T05:00:00Z,72028,21.16
20.92,21.36,20.9,324,21.36,2016-03-14T04:00:00Z,27698,21.09
20.83,21.17,20.8,345,20.94,2016-03-15T04:00:00Z,31445,20.97
20.83,21.07,20.58,333,20.82,2016-03-16T04:00:00Z,35717,20.74
20.39,20.82,20.11,528,20.82,2016-03-17T04:00:00Z,58535,20.43
21.54,21.58,20.12,549,20.49,2016-03-18T04:00:00Z,216396,21.24
