c,h,l,n,o,t,v,vw
21.41,22.15,21.41,8,21.6,2018-07-10T04:00:00Z,872,21.86
20.89,20.96,20.89,4,20.96,2018-07-11T04:00:00Z,413,20.94
21.36,21.36,20.35,6,20.35,2018-07-12T04:00:00Z,510,20.6
20.95,21.41,20.74,5,21.41,2018-07-13T04:00:00Z,937,21.2
21.06,21.11,20.91,6,20.91,2018-07-16T04:00:00Z,815,20.96
21.11,21.53,20.57,8,20.57,2018-07-17T04:00:00Z,472,21.02
21.19,21.19,21.19,9,21.19,2018-07-18T04:00:00Z,321,21.19
21.27,21.27,20.53,3,20.53,2018-07-19T04:00:00Z,908,20.69
21.16,21.16,21.16,8,21.16,2018-07-20T04:00:00Z,476,21.16
21.07,21.07,21.01,9,21.01,2018-07-23T04:00:00Z,631,21.04
21.0,21.59,20.99,10,21.59,2018-07-24T04:00:00Z,1833,21.23
20.92,20.92,20.76,15,20.9,2018-07-25T04:00:00Z,2607,20.8
20.97,21.0,20.91,23,20.93,2018-07-26T04:00:00Z,3944,20.96
20.62,20.77,20.59,8,20.77,2018-07-27T04:00:00Z,552,20.65
20.53,20.53,20.53,11,20.53,2018-07-30T04:00:00Z,433,20.53
20.47,20.52,20.31,10,20.52,2018-07-31T04:00:00Z,748,20.4
20.47,20.47,20.47,0,20.47,2018-08-01T04:00:00Z,0,0.0
20.39,20.39,20.27,18,20.27,2018-08-02T04:00:00Z,856,20.31
20.54,20.54,20.54,4,20.54,2018-08-03T04:00:00Z,156,20.54
20.55,20.71,20.47,14,20.6,2018-08-06T04:00:00Z,1453,20.55
20.6,20.6,20.47,19,20.56,2018-08-07T04:00:00Z,1713,20.55
20.77,20.77,20.57,12,20.57,2018-08-08T04:00:00Z,1117,20.6
20.87,20.87,20.79,16,20.79,2018-08-09T04:00:00Z,1516,20.81
20.87,20.87,20.87,0,20.87,2018-08-10T04:00:00Z,0,0.0
20.68,21.09,20.68,11,21.09,2018-08-13T04:00:00Z,1026,20.9
20.6,20.84,20.6,6,20.84,2018-08-14T04:00:00Z,211,20.72
20.32,20.32,20.22,10,20.22,2018-08-15T04:00:00Z,528,20.29
20.33,20.33,20.12,8,20.12,2018-08-16T04:00:00Z,1109,20.19
20.69,20.69,20.14,14,20.16,2018-08-17T04:00:00Z,1135,20.24
20.45,20.79,20.42,14,20.79,2018-08-20T04:00:00Z,1455,20.55
20.63,20.63,20.58,9,20.58,2018-08-21T04:00:00Z,384,20.6
20.68,20.68,20.62,8,20.62,2018-08-22T04:00:00Z,662,20.65
20.81,20.84,20.81,11,20.84,2018-08-23T04:00:00Z,1430,20.81
21.0,21.0,20.95,22,20.96,2018-08-24T04:00:00Z,1767,20.96
21.29,21.3,21.26,10,21.26,2018-08-27T04:00:00Z,499,21.28
21.33,21.33,21.31,14,21.31,2018-08-28T04:00:00Z,568,21.32
21.74,21.75,21.27,26,21.27,2018-08-29T04:00:00Z,4055,21.5
21.59,21.64,21.3,17,21.3,2018-08-30T04:00:00Z,795,21.49
21.34,21.88,21.19,19,21.88,2018-08-31T04:00:00Z,1748,21.44
21.02,21.09,20.95,14,21.01,2018-09-04T04:00:00Z,1282,21.03
20.99,21.37,20.93,25,20.93,2018-09-05T04:00:00Z,1065,21.19
20.75,21.12,20.7,12,20.7,2018-09-06T04:00:00Z,1141,20.81
20.75,20.75,20.75,0,20.75,2018-09-07T04:00:00Z,0,0.0
20.75,21.01,20.75,15,21.01,2018-09-10T04:00:00Z,1290,20.86
20.76,20.76,20.74,10,20.75,2018-09-11T04:00:00Z,836,20.75
21.1,21.1,20.75,15,20.81,2018-09-12T04:00:00Z,717,20.88
21.01,21.25,20.85,14,20.85,2018-09-13T04:00:00Z,2639,21.13
21.3,21.4,20.94,20,21.4,2018-09-14T04:00:00Z,1196,21.2
20.71,21.42,20.71,22,21.42,2018-09-17T04:00:00Z,2269,21.02
20.75,20.75,20.75,8,20.75,2018-09-18T04:00:00Z,235,20.75
21.0,21.0,20.84,9,20.84,2018-09-19T04:00:00Z,400,20.95
21.6,21.63,21.25,10,21.6,2018-09-20T04:00:00Z,1656,21.5
21.15,21.15,21.15,13,21.15,2018-09-21T04:00:00Z,2188,21.15
21.36,21.47,21.01,17,21.01,2018-09-24T04:00:00Z,870,21.35
21.26,21.6,21.26,10,21.27,2018-09-25T04:00:00Z,670,21.38
21.55,21.55,21.32,10,21.38,2018-09-26T04:00:00Z,617,21.47
21.29,21.5,21.22,34,21.26,2018-09-27T04:00:00Z,2290,21.34
21.12,21.27,21.11,12,21.27,2018-09-28T04:00:00Z,736,21.17
21.25,21.62,21.25,14,21.62,2018-10-01T04:00:00Z,819,21.42
21.16,21.16,20.99,5,21.04,2018-10-02T04:00:00Z,484,21.08
21.01,21.01,21.0,7,21.01,2018-10-03T04:00:00Z,1125,21.01
20.55,21.09,20.55,8,20.71,2018-10-04T04:00:00Z,802,20.9
20.47,20.47,20.47,5,20.47,2018-10-05T04:00:00Z,131,20.47
20.13,20.13,19.98,12,20.1,2018-10-08T04:00:00Z,1043,20.1
20.13,20.13,20.13,0,20.13,2018-10-09T04:00:00Z,0,0.0
19.37,19.8,19.35,15,19.8,2018-10-10T04:00:00Z,1194,19.42
18.97,19.24,18.97,16,19.07,2018-10-11T04:00:00Z,929,19.14
19.36,19.37,19.23,15,19.37,2018-10-12T04:00:00Z,1872,19.32
19.28,19.66,19.28,7,19.66,2018-10-15T04:00:00Z,260,19.47
19.68,19.7,19.68,9,19.7,2018-10-16T04:00:00Z,833,19.69
19.68,19.68,19.68,0,19.68,2018-10-17T04:00:00Z,0,0.0
19.11,19.11,19.11,10,19.11,2018-10-18T04:00:00Z,949,19.11
18.74,18.74,18.74,8,18.74,2018-10-19T04:00:00Z,201,18.74
18.74,18.74,18.74,0,18.74,2018-10-22T04:00:00Z,0,0.0
18.99,19.28,18.99,10,18.99,2018-10-23T04:00:00Z,1066,19.03
18.48,18.53,18.48,11,18.53,2018-10-24T04:00:00Z,969,18.49
18.24,18.24,18.24,6,18.24,2018-10-25T04:00:00Z,119,18.24
18.17,19.51,17.85,11,19.51,2018-10-26T04:00:00Z,1281,18.9
18.34,18.7,18.34,17,18.69,2018-10-29T04:00:00Z,1316,18.59
18.16,18.46,18.03,11,18.03,2018-10-30T04:00:00Z,816,18.23
18.51,18.51,18.42,10,18.44,2018-10-31T04:00:00Z,1753,18.48
18.51,18.51,18.51,0,18.51,2018-11-01T04:00:00Z,0,0.0
18.51,18.51,18.51,0,18.51,2018-11-02T04:00:00Z,0,0.0
18.51,18.51,18.51,0,18.51,2018-11-05T05:00:00Z,0,0.0
18.51,18.51,18.51,0,18.51,2018-11-06T05:00:00Z,0,0.0
18.51,18.51,18.51,0,18.51,2018-11-07T05:00:00Z,0,0.0
18.51,18.51,18.51,0,18.51,2018-11-08T05:00:00Z,0,0.0
18.11,18.11,18.11,7,18.11,2018-11-09T05:00:00Z,388,18.11
18.22,18.22,18.22,5,18.22,2018-11-12T05:00:00Z,678,18.22
17.63,17.63,17.63,7,17.63,2018-11-13T05:00:00Z,219,17.63
17.27,17.48,17.27,9,17.48,2018-11-14T05:00:00Z,671,17.39
17.62,17.62,17.48,9,17.48,2018-11-15T05:00:00Z,653,17.59
17.62,17.62,17.62,0,17.62,2018-11-16T05:00:00Z,0,0.0
17.62,17.62,17.62,0,17.62,2018-11-19T05:00:00Z,0,0.0
17.0,17.0,16.68,8,16.68,2018-11-20T05:00:00Z,1092,16.8
17.0,17.0,17.0,0,17.0,2018-11-21T05:00:00Z,0,0.0
17.08,17.42,17.08,6,17.38,2018-11-23T05:00:00Z,876,17.33
17.08,17.08,17.08,0,17.08,2018-11-26T05:00:00Z,0,0.0
17.08,17.08,17.08,0,17.08,2018-11-27T05:00:00Z,0,0.0
17.53,17.53,17.53,7,17.53,2018-11-28T05:00:00Z,405,17.53
17.53,17.53,17.53,0,17.53,2018-11-29T05:00:00Z,0,0.0
17.62,17.62,17.62,2,17.62,2018-11-30T05:00:00Z,536,17.62
17.62,17.62,17.62,0,17.62,2018-12-03T05:00:00Z,0,0.0
17.77,17.78,17.76,11,17.77,2018-12-04T05:00:00Z,1231,17.77
16.92,17.31,16.92,12,17.31,2018-12-06T05:00:00Z,855,17.0
16.74,16.74,16.74,6,16.74,2018-12-07T05:00:00Z,258,16.74
16.64,16.64,15.8,4,15.8,2018-12-10T05:00:00Z,315,16.36
16.9,16.9,16.9,3,16.9,2018-12-11T05:00:00Z,150,16.9
16.9,16.9,16.9,0,16.9,2018-12-12T05:00:00Z,0,0.0
16.9,16.9,16.9,0,16.9,2018-12-13T05:00:00Z,0,0.0
16.61,16.61,16.54,7,16.54,2018-12-14T05:00:00Z,587,16.58
16.41,16.54,15.8,7,16.54,2018-12-17T05:00:00Z,557,16.17
16.68,16.69,16.68,2,16.69,2018-12-18T05:00:00Z,320,16.69
16.51,16.63,16.44,10,16.44,2018-12-19T05:00:00Z,854,16.52
16.07,16.07,16.07,1,16.07,2018-12-20T05:00:00Z,100,16.07
15.86,15.86,15.32,7,15.69,2018-12-21T05:00:00Z,818,15.47
15.73,15.73,15.66,3,15.69,2018-12-24T05:00:00Z,736,15.69
15.73,15.73,15.73,0,15.73,2018-12-26T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2018-12-27T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2018-12-28T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2018-12-31T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-02T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-03T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-04T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-07T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-08T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-09T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-10T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-11T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-14T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-15T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-16T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-17T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-18T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-22T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-23T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-24T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-25T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-28T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-29T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-30T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-01-31T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-01T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-04T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-05T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-06T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-07T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-08T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-11T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-12T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-13T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-14T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-15T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-19T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-20T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-21T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-22T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-25T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-26T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-27T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-02-28T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-01T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-04T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-05T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-06T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-07T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-08T05:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-11T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-12T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-13T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-14T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-15T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-18T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-19T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-20T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-21T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-22T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-25T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-26T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-27T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-28T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-03-29T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-01T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-02T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-03T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-04T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-05T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-08T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-09T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-10T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-11T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-12T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-15T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-16T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-17T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-18T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-22T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-23T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-24T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-25T04:00:00Z,0,0.0
15.73,15.73,15.73,0,15.73,2019-04-26T04:00:00Z,0,0.0
