c,h,l,n,o,t,v,vw
14080000.0,14910000.0,13580000.0,2621,14900000.0,2016-01-04T05:00:00Z,0,14014500.0
13250000.0,14490000.0,13000000.0,3759,14490000.0,2016-01-05T05:00:00Z,0,13513100.0
12600000.0,13880000.0,12500000.0,2696,13760000.0,2016-01-06T05:00:00Z,0,12955100.0
11990000.0,12790000.0,11000000.0,10755,12750000.0,2016-01-07T05:00:00Z,0,11490900.0
11470000.0,12200000.0,11090000.0,3809,12000000.0,2016-01-08T05:00:00Z,0,11509200.0
9990000.0,11000000.0,8950000.0,6540,10200000.0,2016-01-11T05:00:00Z,0,9750100.0
8300000.0,10130000.0,8000000.0,5640,10000000.0,2016-01-12T05:00:00Z,0,9060600.0
6510000.0,8300000.0,5790000.0,8339,8000000.0,2016-01-13T05:00:00Z,0,6893800.0
7780000.0,8000000.0,6840000.0,6109,7000000.0,2016-01-14T05:00:00Z,0,7532200.0
7250000.0,8000000.0,7010000.0,4617,7900000.0,2016-01-15T05:00:00Z,0,7477500.0
8100000.0,8640000.0,7400000.0,5769,7610000.0,2016-01-19T05:00:00Z,0,8043200.0
6980000.0,7700000.0,6600000.0,3227,7600000.0,2016-01-20T05:00:00Z,0,7054700.0
6460000.0,7400000.0,6360000.0,4877,6360000.0,2016-01-21T05:00:00Z,0,6847900.0
6900000.0,7360000.0,6000000.0,4800,6900000.0,2016-01-22T05:00:00Z,0,6531900.0
6850000.0,7500000.0,6710000.0,4427,7000000.0,2016-01-25T05:00:00Z,0,7000800.0
6760000.0,7200000.0,6500000.0,2873,7170000.0,2016-01-26T05:00:00Z,0,6899000.0
6350000.0,6970000.0,6000000.0,6137,6970000.0,2016-01-27T05:00:00Z,0,6287000.0
6690000.0,7500000.0,6590000.0,6046,7500000.0,2016-01-28T05:00:00Z,0,7087000.0
7100000.0,7190000.0,6500000.0,5811,7190000.0,2016-01-29T05:00:00Z,0,6935000.0
11060000.0,13000000.0,10250000.0,22575,11500000.0,2016-02-01T05:00:00Z,0,11588400.0
9540000.0,12340000.0,9200000.0,14410,12000000.0,2016-02-02T05:00:00Z,0,10156600.0
8030000.0,9940000.0,8000000.0,7086,9900000.0,2016-02-03T05:00:00Z,0,8713400.0
9390000.0,10600000.0,8100000.0,10127,8100000.0,2016-02-04T05:00:00Z,0,9478700.0
9700000.0,11000000.0,9500000.0,5714,11000000.0,2016-02-05T05:00:00Z,0,9966600.0
11380000.0,12000000.0,10110000.0,7529,12000000.0,2016-02-08T05:00:00Z,0,11051900.0
11000000.0,11700000.0,10300000.0,5578,11600000.0,2016-02-09T05:00:00Z,0,11032500.0
10840000.0,11400000.0,10000000.0,4122,11000000.0,2016-02-10T05:00:00Z,0,10470400.0
10490000.0,10500000.0,9730000.0,3582,10460000.0,2016-02-11T05:00:00Z,0,10161900.0
9500000.0,10200000.0,9200000.0,3895,10200000.0,2016-02-12T05:00:00Z,0,9742900.0
9430000.0,10020000.0,9100000.0,3908,10000000.0,2016-02-16T05:00:00Z,0,9529600.0
9500000.0,9850000.0,9100000.0,2842,9650000.0,2016-02-17T05:00:00Z,0,9411800.0
9290000.0,9750000.0,8800000.0,3003,9750000.0,2016-02-18T05:00:00Z,0,9215100.0
8760000.0,9300000.0,8500000.0,4213,9000000.0,2016-02-19T05:00:00Z,0,8803200.0
8700000.0,9190000.0,8500000.0,3924,9190000.0,2016-02-22T05:00:00Z,0,8756700.0
8250000.0,9000000.0,8000000.0,5032,9000000.0,2016-02-23T05:00:00Z,0,8224300.0
6000000.0,6500000.0,4600000.0,10856,5600000.0,2016-02-24T05:00:00Z,0,5788500.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-02-25T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-02-26T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-02-29T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-01T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-02T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-03T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-04T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-07T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-08T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-09T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-10T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-11T05:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-14T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-15T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-16T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-17T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-18T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-21T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-22T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-23T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-24T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-28T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-29T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-30T04:00:00Z,0,0.0
6000000.0,6000000.0,6000000.0,0,6000000.0,2016-03-31T04:00:00Z,0,0.0
