c,h,l,n,o,t,v,vw
120.0,128.88,114.36,3174,120.0,2019-06-12T04:00:00Z,98494,120.49
110.04,121.8,109.2,1358,119.88,2019-06-13T04:00:00Z,19558,114.23
102.0,110.64,96.0,700,109.8,2019-06-14T04:00:00Z,14062,102.03
84.6,102.0,83.64,1988,101.52,2019-06-17T04:00:00Z,30457,88.28
85.8,89.28,83.88,305,85.08,2019-06-18T04:00:00Z,4639,85.49
78.0,86.16,78.0,484,85.68,2019-06-19T04:00:00Z,9687,81.15
74.64,82.8,73.32,374,78.72,2019-06-20T04:00:00Z,9167,76.28
75.72,79.42,74.4,177,74.4,2019-06-21T04:00:00Z,3600,75.88
80.4,81.73,76.2,79,76.2,2019-06-24T04:00:00Z,1857,79.59
84.84,84.84,81.0,107,81.0,2019-06-25T04:00:00Z,1719,83.57
91.32,91.32,85.42,295,85.44,2019-06-26T04:00:00Z,5454,88.77
95.76,95.88,91.32,168,91.8,2019-06-27T04:00:00Z,3030,94.11
96.84,96.84,86.83,159,94.97,2019-06-28T04:00:00Z,2498,93.33
94.08,97.92,88.2,89,97.92,2019-07-01T04:00:00Z,2078,92.16
88.2,93.29,85.56,184,91.08,2019-07-02T04:00:00Z,3128,89.12
87.72,90.24,87.72,17,87.72,2019-07-03T04:00:00Z,237,87.97
91.68,92.04,86.4,135,86.88,2019-07-05T04:00:00Z,1438,88.63
85.92,94.32,85.2,83,94.32,2019-07-08T04:00:00Z,1854,88.58
90.0,90.0,87.0,103,87.0,2019-07-09T04:00:00Z,2956,88.65
89.28,91.56,87.0,103,90.0,2019-07-10T04:00:00Z,1873,89.21
87.0,93.0,84.84,164,93.0,2019-07-11T04:00:00Z,2001,87.11
87.36,89.52,84.84,93,87.0,2019-07-12T04:00:00Z,1589,87.47
87.36,89.88,84.96,75,89.88,2019-07-15T04:00:00Z,1073,86.4
90.0,90.48,85.2,120,86.52,2019-07-16T04:00:00Z,2291,85.9
88.2,90.18,87.12,121,89.5,2019-07-17T04:00:00Z,2639,88.77
88.92,90.0,86.52,71,89.52,2019-07-18T04:00:00Z,1064,88.33
90.0,90.0,86.64,34,88.2,2019-07-19T04:00:00Z,614,87.74
89.94,93.3,88.2,252,90.6,2019-07-22T04:00:00Z,2220,89.45
90.0,91.68,84.85,492,90.0,2019-07-23T04:00:00Z,1246,87.31
86.88,89.28,85.32,218,87.6,2019-07-24T04:00:00Z,2852,87.78
84.6,87.84,81.12,606,87.6,2019-07-25T04:00:00Z,2914,84.29
87.24,87.24,83.41,64,83.88,2019-07-26T04:00:00Z,957,84.59
85.5,93.0,82.08,81,89.28,2019-07-29T04:00:00Z,814,86.02
83.52,91.08,81.0,596,91.08,2019-07-30T04:00:00Z,2623,84.35
84.24,87.2,78.0,165,79.51,2019-07-31T04:00:00Z,2303,83.39
76.91,87.54,75.96,531,85.8,2019-08-01T04:00:00Z,3947,82.59
74.88,86.88,72.12,348,86.88,2019-08-02T04:00:00Z,6446,78.36
75.6,78.12,69.6,208,74.04,2019-08-05T04:00:00Z,5284,74.66
79.8,80.88,75.6,57,79.2,2019-08-06T04:00:00Z,637,76.95
74.76,79.08,74.64,45,77.16,2019-08-07T04:00:00Z,654,77.15
78.0,79.2,77.09,448,77.09,2019-08-08T04:00:00Z,1957,78.1
81.84,81.84,78.0,70,78.0,2019-08-09T04:00:00Z,903,79.89
87.0,87.0,82.04,258,82.44,2019-08-12T04:00:00Z,2465,83.71
87.6,88.2,82.8,190,86.88,2019-08-13T04:00:00Z,3262,85.51
83.16,87.0,82.8,464,87.0,2019-08-14T04:00:00Z,1197,85.32
87.48,87.96,84.01,325,84.12,2019-08-15T04:00:00Z,568,85.75
84.9,87.48,82.8,54,85.14,2019-08-16T04:00:00Z,673,84.57
85.2,87.36,79.32,131,83.04,2019-08-19T04:00:00Z,1915,81.99
80.52,86.88,80.4,95,83.4,2019-08-20T04:00:00Z,1210,82.53
88.8,89.76,82.8,176,82.8,2019-08-21T04:00:00Z,2767,86.85
95.88,96.0,84.01,394,88.56,2019-08-22T04:00:00Z,6440,91.63
101.16,101.64,93.0,498,96.0,2019-08-23T04:00:00Z,3986,97.1
100.92,102.6,98.04,529,102.6,2019-08-26T04:00:00Z,6019,100.62
101.28,102.72,98.4,327,98.41,2019-08-27T04:00:00Z,5896,99.88
105.36,105.6,98.88,366,99.37,2019-08-28T04:00:00Z,2671,102.15
110.88,110.88,103.53,185,105.36,2019-08-29T04:00:00Z,3974,106.91
106.32,108.0,101.64,299,107.16,2019-08-30T04:00:00Z,3422,105.72
98.4,104.88,98.4,123,102.24,2019-09-03T04:00:00Z,2312,102.6
97.08,102.36,96.12,425,100.8,2019-09-04T04:00:00Z,843,98.94
113.16,113.4,96.72,715,96.96,2019-09-05T04:00:00Z,16974,108.93
108.24,111.36,106.8,125,110.64,2019-09-06T04:00:00Z,589,109.24
99.24,108.58,97.44,245,108.24,2019-09-09T04:00:00Z,2153,101.01
95.7,106.44,94.44,203,101.64,2019-09-10T04:00:00Z,1702,98.5
95.52,101.04,94.32,1060,95.76,2019-09-11T04:00:00Z,21049,95.67
89.88,99.6,89.88,240,96.96,2019-09-12T04:00:00Z,2863,94.51
95.52,97.92,89.1,316,90.72,2019-09-13T04:00:00Z,1026,94.59
95.88,98.28,90.0,154,98.28,2019-09-16T04:00:00Z,2100,94.03
94.08,98.28,90.3,646,93.24,2019-09-17T04:00:00Z,2746,93.58
90.12,97.08,90.12,467,91.92,2019-09-18T04:00:00Z,7042,92.02
86.04,92.94,86.04,373,92.16,2019-09-19T04:00:00Z,6998,88.24
86.76,92.16,85.2,558,86.76,2019-09-20T04:00:00Z,26526,86.8
88.44,93.6,86.76,262,87.6,2019-09-23T04:00:00Z,4130,89.19
87.24,90.15,85.2,164,89.16,2019-09-24T04:00:00Z,3779,87.55
85.92,88.8,85.2,52,87.36,2019-09-25T04:00:00Z,601,86.75
93.0,94.56,85.5,317,85.5,2019-09-26T04:00:00Z,2931,90.14
92.28,93.0,88.27,366,88.32,2019-09-27T04:00:00Z,540,90.92
93.84,93.84,88.07,61,92.28,2019-09-30T04:00:00Z,831,91.86
89.4,93.24,87.24,17,93.24,2019-10-01T04:00:00Z,178,90.73
85.2,90.0,85.2,22,87.21,2019-10-02T04:00:00Z,515,85.43
84.6,90.63,84.6,190,84.72,2019-10-03T04:00:00Z,812,85.06
85.08,87.42,84.72,102,84.72,2019-10-04T04:00:00Z,1218,85.53
81.0,85.68,81.0,169,84.6,2019-10-07T04:00:00Z,1744,84.2
80.04,84.14,79.8,109,82.56,2019-10-08T04:00:00Z,814,81.24
79.8,80.76,79.8,47,80.76,2019-10-09T04:00:00Z,262,80.08
82.32,84.5,79.32,159,79.92,2019-10-10T04:00:00Z,1803,82.12
81.6,85.08,79.32,154,81.0,2019-10-11T04:00:00Z,3876,81.25
80.16,85.32,79.32,321,81.84,2019-10-14T04:00:00Z,2209,81.95
80.4,85.8,80.16,136,81.72,2019-10-15T04:00:00Z,1244,82.1
84.0,88.56,82.92,143,83.16,2019-10-16T04:00:00Z,1606,85.28
84.72,85.8,80.88,100,85.8,2019-10-17T04:00:00Z,993,83.92
83.52,84.0,82.38,24,82.44,2019-10-18T04:00:00Z,213,83.42
82.32,85.8,82.32,140,85.8,2019-10-21T04:00:00Z,1557,84.12
81.6,84.0,81.48,46,83.04,2019-10-22T04:00:00Z,367,82.87
81.6,84.0,81.6,9,84.0,2019-10-23T04:00:00Z,47,82.3
80.76,83.4,75.84,238,83.4,2019-10-24T04:00:00Z,2601,79.86
78.0,82.68,76.83,47,79.56,2019-10-25T04:00:00Z,560,79.64
80.76,82.39,76.2,140,78.84,2019-10-28T04:00:00Z,1482,78.0
76.56,79.44,76.32,141,79.32,2019-10-29T04:00:00Z,910,77.44
72.6,77.16,72.36,220,76.09,2019-10-30T04:00:00Z,2071,73.91
70.2,73.32,68.52,117,73.2,2019-10-31T04:00:00Z,1349,70.41
72.36,73.32,68.4,119,70.92,2019-11-01T04:00:00Z,1772,72.16
77.88,78.83,73.32,103,74.4,2019-11-04T05:00:00Z,606,76.63
78.24,83.4,76.2,144,77.76,2019-11-05T05:00:00Z,2489,80.79
79.08,83.28,76.44,312,83.28,2019-11-06T05:00:00Z,3705,79.64
78.6,80.76,76.68,225,77.4,2019-11-07T05:00:00Z,1837,78.23
77.04,78.6,73.8,153,78.6,2019-11-08T05:00:00Z,1165,75.79
77.88,77.88,73.8,28,75.6,2019-11-11T05:00:00Z,206,75.47
76.56,77.76,74.4,91,76.68,2019-11-12T05:00:00Z,733,74.79
71.4,74.58,71.4,95,73.15,2019-11-13T05:00:00Z,1185,72.15
73.68,74.28,71.16,141,74.28,2019-11-14T05:00:00Z,1513,73.03
