c,h,l,n,o,t,v,vw
26.71,27.02,25.43,755,26.96,2016-01-04T05:00:00Z,85794,26.612661
26.74,27.1,26.38,443,26.92,2016-01-05T05:00:00Z,43858,26.653565
26.92,27.48,26.19,426,26.27,2016-01-06T05:00:00Z,58419,26.82017
26.06,27.39,25.595,545,26.33,2016-01-07T05:00:00Z,56289,26.211938
25.86,26.68,25.55,503,26.01,2016-01-08T05:00:00Z,66357,26.080021
25.64,25.9,25.09,871,25.9,2016-01-11T05:00:00Z,84495,25.530906
25.99,26.5,25.31,505,25.77,2016-01-12T05:00:00Z,87895,25.97226
25.81,26.56,25.51,531,26.17,2016-01-13T05:00:00Z,68644,25.916638
25.92,26.225,25.465,544,26.14,2016-01-14T05:00:00Z,64715,25.855499
25.63,26.08,24.99,752,25.42,2016-01-15T05:00:00Z,100185,25.574847
25.26,26.3,24.3799,1057,25.91,2016-01-19T05:00:00Z,126086,25.398636
25.34,25.7899,24.74,987,24.85,2016-01-20T05:00:00Z,149439,25.101186
25.29,26.44,25.04,450,25.21,2016-01-21T05:00:00Z,43108,25.441806
25.34,26.02,24.6675,397,25.71,2016-01-22T05:00:00Z,43136,25.403383
25.0,25.95,24.33,774,25.05,2016-01-25T05:00:00Z,94413,25.189593
24.58,25.24,24.265,407,25.24,2016-01-26T05:00:00Z,36646,24.659732
23.79,25.38,23.58,563,24.98,2016-01-27T05:00:00Z,69229,23.867407
23.7,24.64,23.12,331,23.12,2016-01-28T05:00:00Z,33331,23.695409
24.07,24.82,23.49,527,23.74,2016-01-29T05:00:00Z,64258,24.032823
22.86,24.62,22.61,785,24.62,2016-02-01T05:00:00Z,81338,23.0912
22.22,22.96,21.58,640,22.69,2016-02-02T05:00:00Z,77602,21.993365
22.19,22.51,21.1101,238,22.25,2016-02-03T05:00:00Z,22058,22.072129
22.81,23.01,21.99,293,21.99,2016-02-04T05:00:00Z,23384,22.576475
22.45,23.31,22.33,331,22.57,2016-02-05T05:00:00Z,53135,22.494967
22.35,22.72,21.01,270,21.78,2016-02-08T05:00:00Z,30620,22.076943
22.27,22.77,21.89,459,21.96,2016-02-09T05:00:00Z,53819,22.210563
21.66,22.765,21.57,278,22.3,2016-02-10T05:00:00Z,31672,22.094766
24.4,24.86,21.29,565,21.29,2016-02-11T05:00:00Z,62754,23.349517
24.3,25.02,23.84,336,24.73,2016-02-12T05:00:00Z,34408,24.32784
23.95,24.72,23.41,531,24.72,2016-02-16T05:00:00Z,48597,23.911712
23.93,25.15,22.1,651,23.86,2016-02-17T05:00:00Z,87706,23.285601
23.99,24.42,23.67,497,24.05,2016-02-18T05:00:00Z,48170,24.021918
23.97,24.39,23.35,642,24.01,2016-02-19T05:00:00Z,94993,23.916124
24.85,26.19,24.01,362,24.01,2016-02-22T05:00:00Z,38670,25.167998
24.45,25.91,24.27,390,24.95,2016-02-23T05:00:00Z,43120,24.54077
24.51,24.81,23.45,300,24.39,2016-02-24T05:00:00Z,27885,24.340359
24.86,25.2,24.08,353,24.42,2016-02-25T05:00:00Z,32527,24.773618
25.75,26.33,24.36,329,24.77,2016-02-26T05:00:00Z,33897,25.508881
28.4,28.92,25.68,895,25.79,2016-02-29T05:00:00Z,269552,28.23313
27.84,28.6525,27.05,738,28.19,2016-03-01T05:00:00Z,85062,27.855866
28.17,28.3,27.87,445,28.01,2016-03-02T05:00:00Z,51145,28.10268
28.31,28.68,27.955,513,28.49,2016-03-03T05:00:00Z,40332,28.315812
27.69,28.89,27.48,372,28.46,2016-03-04T05:00:00Z,30398,28.097606
28.5,28.8899,26.64,631,27.42,2016-03-07T05:00:00Z,104426,28.637596
27.98,29.05,27.3975,680,28.26,2016-03-08T05:00:00Z,59331,28.027069
27.87,28.9139,26.81,337,28.23,2016-03-09T05:00:00Z,27233,27.686059
27.64,28.7,27.34,515,27.96,2016-03-10T05:00:00Z,56918,27.750316
28.97,29.045,27.25,364,27.89,2016-03-11T05:00:00Z,45544,28.325732
28.97,29.23,28.5,505,28.57,2016-03-14T04:00:00Z,52347,28.842876
28.84,29.93,28.81,367,29.1,2016-03-15T04:00:00Z,29591,29.010614
29.28,29.32,28.35,487,28.92,2016-03-16T04:00:00Z,48541,28.999542
30.01,30.43,28.8,473,28.88,2016-03-17T04:00:00Z,50206,29.520636
30.69,31.7699,28.885,543,30.38,2016-03-18T04:00:00Z,145988,30.731345
29.85,31.6,29.6,263,30.85,2016-03-21T04:00:00Z,27231,30.275678
29.67,30.22,29.22,356,29.67,2016-03-22T04:00:00Z,35534,29.771831
30.17,30.87,29.33,621,29.77,2016-03-23T04:00:00Z,68900,30.250453
29.88,30.2,29.41,390,29.99,2016-03-24T04:00:00Z,41112,29.79535
30.51,30.57,29.265,295,29.8,2016-03-28T04:00:00Z,31187,30.042
33.35,33.37,29.7,437,30.64,2016-03-29T04:00:00Z,47259,32.149336
33.74,34.22,33.5,1691,33.5,2016-03-30T04:00:00Z,147858,33.75046
34.34,34.66,33.8,582,34.0,2016-03-31T04:00:00Z,50122,34.301447
35.73,36.56,33.5001,648,34.37,2016-04-01T04:00:00Z,62877,35.024202
36.58,37.2799,35.49,976,35.8,2016-04-04T04:00:00Z,105522,36.341061
36.29,37.29,35.84,576,36.44,2016-04-05T04:00:00Z,86960,36.279117
36.77,36.84,35.6,323,36.43,2016-04-06T04:00:00Z,30349,36.312155
36.89,37.03,35.98,602,36.77,2016-04-07T04:00:00Z,50877,36.399072
38.38,38.446,36.84,267,37.35,2016-04-08T04:00:00Z,31789,37.995337
38.88,39.36,38.0,484,38.38,2016-04-11T04:00:00Z,58191,38.458595
37.37,39.1975,37.07,566,38.74,2016-04-12T04:00:00Z,63565,37.59119
37.66,37.8542,36.63,475,37.71,2016-04-13T04:00:00Z,47514,37.559782
38.14,38.27,36.92,284,37.58,2016-04-14T04:00:00Z,20997,37.647408
38.12,38.4,37.5,470,37.95,2016-04-15T04:00:00Z,56705,37.9631
39.93,40.61,37.32,1327,37.85,2016-04-18T04:00:00Z,85886,38.920711
39.86,40.97,39.49,828,40.23,2016-04-19T04:00:00Z,108433,39.953309
39.73,40.15,39.41,613,39.95,2016-04-20T04:00:00Z,53368,39.769684
39.85,40.025,39.5501,603,40.0,2016-04-21T04:00:00Z,62909,39.824958
40.21,40.42,39.8904,667,40.12,2016-04-22T04:00:00Z,79388,40.031586
40.91,41.045,39.6601,591,40.33,2016-04-25T04:00:00Z,51931,40.82096
40.99,41.77,40.74,682,41.0,2016-04-26T04:00:00Z,86032,41.040921
40.57,41.06,39.75,636,41.06,2016-04-27T04:00:00Z,62171,40.592845
40.47,41.2788,40.27,414,40.67,2016-04-28T04:00:00Z,34315,40.616124
40.38,40.73,39.44,685,40.58,2016-04-29T04:00:00Z,78165,40.281426
41.19,41.33,40.0,759,40.69,2016-05-02T04:00:00Z,55734,40.88264
40.01,43.04,39.92,468,41.21,2016-05-03T04:00:00Z,44896,40.628252
38.9,40.69,38.0,378,40.05,2016-05-04T04:00:00Z,46596,38.876452
38.4,39.3,38.04,263,39.3,2016-05-05T04:00:00Z,24067,38.466857
38.83,39.25,38.2,163,38.8,2016-05-06T04:00:00Z,21184,38.652855
38.41,40.95,38.02,225,38.7,2016-05-09T04:00:00Z,25245,38.635315
38.1,39.7,38.0901,679,38.3,2016-05-10T04:00:00Z,51690,38.661623
36.77,38.57,36.42,332,38.01,2016-05-11T04:00:00Z,31207,37.167633
35.66,37.4,35.19,366,37.4,2016-05-12T04:00:00Z,28048,35.778617
35.2,35.88,34.65,582,35.67,2016-05-13T04:00:00Z,50598,35.320364
35.25,36.8,35.0,446,35.33,2016-05-16T04:00:00Z,31613,35.591768
33.23,35.24,32.65,760,35.01,2016-05-17T04:00:00Z,85299,34.049643
32.78,33.585,32.54,480,33.23,2016-05-18T04:00:00Z,39210,32.934813
32.03,33.55,31.5,389,33.55,2016-05-19T04:00:00Z,33651,32.288337
32.96,33.6,32.24,317,32.24,2016-05-20T04:00:00Z,32083,32.779506
33.66,34.07,32.495,335,34.07,2016-05-23T04:00:00Z,102735,33.440858
33.49,34.24,32.74,602,32.822,2016-05-24T04:00:00Z,53058,33.565706
33.4,34.135,32.99,328,33.9,2016-05-25T04:00:00Z,31128,33.457743
31.5,33.87,30.74,804,33.45,2016-05-26T04:00:00Z,85992,31.552949
27.0,31.5,26.65,1384,31.5,2016-05-27T04:00:00Z,255129,28.695636
24.13,27.24,24.01,2013,27.24,2016-05-31T04:00:00Z,426948,24.580859
23.89,24.42,22.36,1658,23.96,2016-06-01T04:00:00Z,1513810,24.043807
23.45,24.2,22.61,795,23.91,2016-06-02T04:00:00Z,88833,23.299044
21.72,24.16,20.99,963,23.16,2016-06-03T04:00:00Z,106827,21.889936
22.69,22.95,21.434,932,22.0,2016-06-06T04:00:00Z,88221,22.409707
22.5,22.93,22.01,581,22.72,2016-06-07T04:00:00Z,74900,22.50663
22.3,22.66,21.85,540,22.33,2016-06-08T04:00:00Z,52693,22.285362
21.08,22.7017,21.03,382,22.12,2016-06-09T04:00:00Z,44726,21.285948
20.92,21.99,20.715,695,21.08,2016-06-10T04:00:00Z,83564,21.256362
19.27,21.0599,19.15,1422,20.79,2016-06-13T04:00:00Z,188727,19.503294
19.25,21.0,18.6,2044,19.18,2016-06-14T04:00:00Z,294330,19.773578
19.63,19.825,19.01,1047,19.29,2016-06-15T04:00:00Z,115086,19.538531
20.95,21.48,19.71,984,19.71,2016-06-16T04:00:00Z,138865,20.88376
21.15,22.31,21.05,1629,21.05,2016-06-17T04:00:00Z,257248,21.44868
21.96,22.285,20.7,1183,22.0,2016-06-20T04:00:00Z,133356,21.762853
22.17,22.33,21.602,1095,22.06,2016-06-21T04:00:00Z,116750,22.03815
22.2,22.42,21.47,797,22.4,2016-06-22T04:00:00Z,90861,22.004412
22.1,22.49,21.73,755,22.49,2016-06-23T04:00:00Z,66724,22.01606
21.59,21.88,20.38,1411,21.42,2016-06-24T04:00:00Z,695925,21.524005
20.04,21.81,19.64,1375,21.51,2016-06-27T04:00:00Z,172965,20.074206
19.8,20.292,19.27,540,20.21,2016-06-28T04:00:00Z,70543,19.791746
21.23,21.32,19.52,637,19.89,2016-06-29T04:00:00Z,69285,20.668506
21.39,21.49,20.71,894,21.44,2016-06-30T04:00:00Z,103112,21.148132
21.81,22.06,20.51,556,21.51,2016-07-01T04:00:00Z,54959,21.61763
21.3,22.47,20.98,616,21.62,2016-07-05T04:00:00Z,53600,21.317484
21.99,22.22,20.428,658,21.42,2016-07-06T04:00:00Z,71595,21.620756
22.41,22.44,19.98,669,19.98,2016-07-07T04:00:00Z,74488,21.93487
23.67,23.75,22.52,623,22.52,2016-07-08T04:00:00Z,58809,23.460952
23.97,24.412,23.3701,791,23.82,2016-07-11T04:00:00Z,78488,23.966777
24.12,24.83,23.92,549,24.21,2016-07-12T04:00:00Z,57047,24.370043
