c,h,l,n,o,t,v,vw
6565.4,6565.4,129.54,23105,270.0,2022-08-31T04:00:00Z,52197,1911.26
300.0,5750.0,226.5,41170,5717.6,2022-09-01T04:00:00Z,99713,465.87
95.9,295.3,86.1,105957,295.3,2022-09-02T04:00:00Z,506113,142.67
58.0,98.0,45.1,82078,91.2,2022-09-06T04:00:00Z,1181042,65.13
61.9,69.4,50.25,87894,55.4,2022-09-07T04:00:00Z,1756698,58.84
52.2,63.0,51.5,31418,59.0,2022-09-08T04:00:00Z,699500,57.33
46.9,52.95,45.3,21119,52.6,2022-09-09T04:00:00Z,379826,48.52
45.0,47.1,41.3,16021,46.2,2022-09-12T04:00:00Z,362956,43.94
40.8,44.9,40.1,11544,43.3,2022-09-13T04:00:00Z,204413,42.62
47.8,62.4,38.1,89482,40.3,2022-09-14T04:00:00Z,2906903,52.0
54.0,75.1,53.0,201679,57.0,2022-09-15T04:00:00Z,4280785,62.8
44.7,53.4,43.8,21776,49.1,2022-09-16T04:00:00Z,416236,49.19
48.4,51.5,40.0,18228,42.3,2022-09-19T04:00:00Z,396253,45.49
43.9,47.91,42.3,5634,47.4,2022-09-20T04:00:00Z,74831,45.5
41.4,46.4,41.0,6561,43.1,2022-09-21T04:00:00Z,148510,43.89
39.3,42.5,36.2,8408,41.0,2022-09-22T04:00:00Z,145386,38.43
37.6,38.35,34.4,6602,36.8,2022-09-23T04:00:00Z,135699,36.51
33.2,39.9,33.2,5245,37.1,2022-09-26T04:00:00Z,94054,36.75
32.0,34.77,30.9,4433,33.5,2022-09-27T04:00:00Z,85365,32.73
32.6,32.7,30.1,3976,31.2,2022-09-28T04:00:00Z,85268,31.2
29.8,31.8,29.1,3685,31.3,2022-09-29T04:00:00Z,78526,30.3
28.3,30.5,26.9,3538,30.1,2022-09-30T04:00:00Z,51988,28.54
26.1,28.5,26.1,2581,28.3,2022-10-03T04:00:00Z,39822,27.02
26.4,28.0,26.0,3582,27.2,2022-10-04T04:00:00Z,71572,26.91
26.8,27.9,25.3,2870,26.8,2022-10-05T04:00:00Z,53366,26.65
34.4,42.9,26.5,56106,26.9,2022-10-06T04:00:00Z,1583934,37.15
28.5,32.94,28.1,6607,31.4,2022-10-07T04:00:00Z,138553,30.41
26.1,28.37,25.3,3172,27.5,2022-10-10T04:00:00Z,53209,26.57
27.2,30.6,26.0,5002,26.1,2022-10-11T04:00:00Z,135474,28.73
28.2,32.29,27.2,3417,27.2,2022-10-12T04:00:00Z,68190,29.53
27.7,28.8,26.2,2413,27.5,2022-10-13T04:00:00Z,49828,27.25
26.1,29.7,25.6,2687,27.7,2022-10-14T04:00:00Z,59011,27.78
26.9,27.8,26.0,1830,26.3,2022-10-17T04:00:00Z,37613,26.81
25.8,27.6,25.4,1736,27.6,2022-10-18T04:00:00Z,32382,26.31
24.5,26.58,24.1,1991,25.8,2022-10-19T04:00:00Z,40022,24.97
23.7,25.61,23.3,1416,24.3,2022-10-20T04:00:00Z,25928,24.4
23.2,23.9,22.3,1414,23.5,2022-10-21T04:00:00Z,31949,22.85
21.3,22.9,20.2,2092,22.9,2022-10-24T04:00:00Z,41553,21.22
22.0,22.6,21.2,1596,21.4,2022-10-25T04:00:00Z,41807,22.08
22.3,23.7,19.2,1347,22.1,2022-10-26T04:00:00Z,25676,22.17
20.6,22.6,20.5,783,22.4,2022-10-27T04:00:00Z,11630,21.51
20.1,21.29,19.8,885,20.4,2022-10-28T04:00:00Z,12956,20.33
20.5,21.5,20.2,1181,20.2,2022-10-31T04:00:00Z,26174,20.73
20.29,20.9,19.8,868,20.5,2022-11-01T04:00:00Z,15597,20.28
19.3,20.7,19.25,907,19.9,2022-11-02T04:00:00Z,14321,19.86
18.4,19.85,18.13,991,19.6,2022-11-03T04:00:00Z,16457,18.86
19.2,21.0,19.0,1328,19.4,2022-11-04T04:00:00Z,35436,19.8
17.8,19.77,17.8,1031,19.7,2022-11-07T05:00:00Z,16233,18.76
17.9,18.8,17.6,917,17.9,2022-11-08T05:00:00Z,17235,18.06
16.5,17.66,16.0,1117,17.4,2022-11-09T05:00:00Z,23321,16.85
16.9,17.4,16.5,697,16.5,2022-11-10T05:00:00Z,10857,17.03
17.8,18.4,16.82,1162,17.0,2022-11-11T05:00:00Z,18230,17.59
17.6,19.4,17.6,877,18.4,2022-11-14T05:00:00Z,15272,18.37
18.9,21.39,17.9,2126,18.4,2022-11-15T05:00:00Z,62375,19.65
18.1,20.5,18.0,964,20.4,2022-11-16T05:00:00Z,22455,19.21
17.7,18.55,16.6,761,18.1,2022-11-17T05:00:00Z,12368,17.66
16.5,17.75,16.3,1083,17.2,2022-11-18T05:00:00Z,20106,16.82
15.5,17.0,15.37,685,16.85,2022-11-21T05:00:00Z,11050,16.23
15.3,16.0,15.2,673,15.4,2022-11-22T05:00:00Z,7238,15.53
19.8,21.8,15.3,10992,15.9,2022-11-23T05:00:00Z,352594,19.5
19.5,20.9,18.2,3570,19.3,2022-11-25T05:00:00Z,96980,19.87
17.4,19.9,17.3,2251,18.2,2022-11-28T05:00:00Z,55024,18.32
17.0,18.7,16.8,1121,18.7,2022-11-29T05:00:00Z,20087,17.45
17.0,18.0,16.59,1194,16.9,2022-11-30T05:00:00Z,21816,17.24
16.9,17.6,16.81,666,17.6,2022-12-01T05:00:00Z,13194,17.24
17.77,18.0,16.6,743,16.7,2022-12-02T05:00:00Z,13651,17.32
17.0,18.5,17.0,636,17.7,2022-12-05T05:00:00Z,10302,17.57
15.7,17.4,15.2,1081,17.4,2022-12-06T05:00:00Z,25579,16.2
15.3,16.4,15.0,544,15.7,2022-12-07T05:00:00Z,7363,15.56
15.3,15.87,15.0,455,15.4,2022-12-08T05:00:00Z,8469,15.48
14.49,15.6,14.0,1045,15.51,2022-12-09T05:00:00Z,17269,14.59
14.0,14.88,14.0,652,14.5,2022-12-12T05:00:00Z,13284,14.38
14.5,15.1,14.07,620,14.6,2022-12-13T05:00:00Z,11290,14.44
13.7,14.69,13.2,636,14.3,2022-12-14T05:00:00Z,8488,14.05
13.2,13.95,12.5,577,13.6,2022-12-15T05:00:00Z,8108,13.27
12.7,13.2,12.0,492,12.9,2022-12-16T05:00:00Z,8412,12.63
12.2,13.01,12.0,512,12.4,2022-12-19T05:00:00Z,8531,12.55
11.6,12.4,11.5,618,11.9,2022-12-20T05:00:00Z,11834,11.92
12.1,12.5,11.6,582,11.9,2022-12-21T05:00:00Z,11041,12.05
11.3,12.1,11.2,501,11.6,2022-12-22T05:00:00Z,12691,11.56
11.4,11.81,11.1,242,11.45,2022-12-23T05:00:00Z,3436,11.54
10.6,12.0,10.38,676,11.4,2022-12-27T05:00:00Z,16781,10.66
10.4,11.5,9.9,583,10.7,2022-12-28T05:00:00Z,13068,10.48
11.9,13.1,9.75,2185,10.9,2022-12-29T05:00:00Z,78874,11.29
10.71,11.72,10.3,783,11.2,2022-12-30T05:00:00Z,17407,10.93
10.8,11.6,10.5,582,11.2,2023-01-03T05:00:00Z,10710,10.83
11.9,12.2,10.5,750,10.9,2023-01-04T05:00:00Z,18661,11.5
18.1,22.5,13.01,45086,13.6,2023-01-05T05:00:00Z,1377386,18.71
18.4,18.7,14.8,34012,17.6,2023-01-06T05:00:00Z,633107,19.15
17.5,18.3,16.0,5684,17.7,2023-01-09T05:00:00Z,91802,17.23
16.1,17.5,14.6,2547,16.9,2023-01-10T05:00:00Z,55132,16.21
16.2,16.9,16.1,1196,16.9,2023-01-11T05:00:00Z,24430,16.5
15.4,16.7,15.0,1381,16.4,2023-01-12T05:00:00Z,24008,15.9
15.9,16.48,15.2,1133,15.4,2023-01-13T05:00:00Z,21506,15.7
16.6,16.7,15.6,743,16.1,2023-01-17T05:00:00Z,12927,16.12
