c,h,l,n,o,t,v,vw
22.06,22.42,21.55,12,22.42,2016-01-04T05:00:00Z,791,22.14
22.06,22.06,22.06,0,22.06,2016-01-05T05:00:00Z,0,0.0
22.06,22.06,22.06,0,22.06,2016-01-06T05:00:00Z,0,0.0
22.06,22.06,22.06,0,22.06,2016-01-07T05:00:00Z,0,0.0
21.84,21.84,21.81,4,21.81,2016-01-08T05:00:00Z,370,21.87
21.84,21.84,21.84,0,21.84,2016-01-11T05:00:00Z,0,0.0
21.49,21.49,21.49,15,21.49,2016-01-12T05:00:00Z,1988,21.5
21.49,21.5,21.49,9,21.5,2016-01-13T05:00:00Z,607,21.51
21.79,21.79,21.49,23,21.49,2016-01-14T05:00:00Z,3765,21.52
21.79,21.79,21.79,0,21.79,2016-01-15T05:00:00Z,0,0.0
21.79,21.79,21.79,0,21.79,2016-01-19T05:00:00Z,0,0.0
22.21,22.21,21.49,22,21.49,2016-01-20T05:00:00Z,2208,21.58
20.54,22.06,20.41,43,22.06,2016-01-21T05:00:00Z,6194,20.86
21.05,21.05,20.28,18,20.46,2016-01-22T05:00:00Z,2553,20.49
20.54,21.15,20.54,139,20.66,2016-01-25T05:00:00Z,18358,20.73
20.54,20.54,20.54,6,20.54,2016-01-26T05:00:00Z,489,20.54
20.69,20.7,20.54,14,20.54,2016-01-27T05:00:00Z,814,20.67
20.66,20.73,20.66,8,20.73,2016-01-28T05:00:00Z,1335,20.72
20.68,21.11,20.66,21,20.74,2016-01-29T05:00:00Z,1290,20.75
20.35,20.72,20.35,40,20.7,2016-02-01T05:00:00Z,14833,20.43
20.47,20.47,20.47,3,20.47,2016-02-02T05:00:00Z,105,20.47
20.45,20.45,20.45,4,20.45,2016-02-03T05:00:00Z,207,20.47
20.62,20.7,20.62,6,20.7,2016-02-04T05:00:00Z,871,20.62
20.24,20.37,20.24,13,20.35,2016-02-05T05:00:00Z,8468,20.34
20.16,20.17,20.16,12,20.17,2016-02-08T05:00:00Z,421,20.2
20.16,20.16,20.16,0,20.16,2016-02-09T05:00:00Z,0,0.0
20.16,20.16,20.16,0,20.16,2016-02-10T05:00:00Z,0,0.0
20.32,20.58,20.16,6,20.43,2016-02-11T05:00:00Z,645,20.33
20.16,20.16,20.16,4,20.16,2016-02-12T05:00:00Z,161,20.16
18.85,20.35,18.85,51,20.16,2016-02-16T05:00:00Z,8771,19.83
19.39,19.75,18.31,44,19.6,2016-02-17T05:00:00Z,7989,18.88
18.69,18.69,18.51,9,18.56,2016-02-18T05:00:00Z,646,18.69
19.48,19.48,19.25,12,19.25,2016-02-19T05:00:00Z,915,19.41
19.78,19.78,19.21,21,19.21,2016-02-22T05:00:00Z,2167,19.74
19.79,19.96,19.78,21,19.96,2016-02-23T05:00:00Z,2351,19.84
19.85,20.16,19.78,8,19.8,2016-02-24T05:00:00Z,1800,19.88
19.81,19.85,19.78,7,19.79,2016-02-25T05:00:00Z,1511,19.79
20.01,20.01,19.78,8,19.78,2016-02-26T05:00:00Z,2831,19.79
19.9,19.9,19.78,15,19.8,2016-02-29T05:00:00Z,1338,19.82
19.95,19.95,19.95,2,19.95,2016-03-01T05:00:00Z,508,19.95
20.51,20.51,19.55,11,19.55,2016-03-02T05:00:00Z,1040,20.16
20.21,20.21,19.78,10,19.78,2016-03-03T05:00:00Z,1381,19.92
20.34,20.4,20.34,8,20.4,2016-03-04T05:00:00Z,583,20.35
20.36,20.36,20.36,12,20.36,2016-03-07T05:00:00Z,580,20.39
20.57,20.6,20.57,8,20.6,2016-03-08T05:00:00Z,650,20.55
20.57,20.57,20.57,0,20.57,2016-03-09T05:00:00Z,0,0.0
20.57,20.57,20.57,0,20.57,2016-03-10T05:00:00Z,0,0.0
20.49,20.49,20.49,3,20.49,2016-03-11T05:00:00Z,354,20.49
20.49,20.49,20.49,0,20.49,2016-03-14T04:00:00Z,0,0.0
