c,h,l,n,o,t,v,vw
2455200.0,2695188.0,2400000.0,1098,2656800.0,2016-01-04T05:00:00Z,1,2518444.92
2392800.0,2559600.0,2343600.0,832,2542800.0,2016-01-05T05:00:00Z,0,2444482.44
2352000.0,2551728.0,2346000.0,694,2389200.0,2016-01-06T05:00:00Z,0,2405997.36
2271600.0,2358000.0,2202000.0,849,2340000.0,2016-01-07T05:00:00Z,1,2265436.68
2217600.0,2333760.0,2168400.0,1177,2296800.0,2016-01-08T05:00:00Z,1,2225382.12
2194800.0,2260800.0,2112000.0,1259,2250000.0,2016-01-11T05:00:00Z,1,2175090.12
2253600.0,2337600.0,2214000.0,792,2234400.0,2016-01-12T05:00:00Z,0,2247020.52
2223600.0,2271600.0,2220000.0,671,2223600.0,2016-01-13T05:00:00Z,0,2241802.68
2196000.0,2292000.0,2073600.0,1450,2220000.0,2016-01-14T05:00:00Z,1,2172241.56
2209200.0,2233200.0,2120400.0,516,2139600.0,2016-01-15T05:00:00Z,0,2178346.68
2028000.0,2240400.0,1980000.0,694,2205600.0,2016-01-19T05:00:00Z,0,2082951.36
2058000.0,2073600.0,1890012.0,437,1998000.0,2016-01-20T05:00:00Z,0,1960426.44
2034000.0,2104800.0,2025000.0,431,2054400.0,2016-01-21T05:00:00Z,0,2062862.64
1945200.0,2050800.0,1904400.0,508,2050800.0,2016-01-22T05:00:00Z,0,1962678.48
1882800.0,2037600.0,1863600.0,813,1957200.0,2016-01-25T05:00:00Z,0,1952436.96
1950000.0,1983600.0,1794000.0,397,1880400.0,2016-01-26T05:00:00Z,0,1911815.64
1821600.0,1933200.0,1813200.0,220,1930800.0,2016-01-27T05:00:00Z,0,1871923.08
1566000.0,1850400.0,1551600.0,965,1848000.0,2016-01-28T05:00:00Z,1,1673491.44
1740000.0,1810800.0,1711200.0,1331,1737600.0,2016-01-29T05:00:00Z,1,1756865.4
1728000.0,1845432.0,1632000.0,301,1740000.0,2016-02-01T05:00:00Z,0,1711143.36
1670400.0,1722000.0,1647600.0,456,1716000.0,2016-02-02T05:00:00Z,0,1682914.56
1750800.0,1768800.0,1602000.0,307,1669200.0,2016-02-03T05:00:00Z,0,1672082.64
1701600.0,1818000.0,1611600.0,498,1704000.0,2016-02-04T05:00:00Z,0,1710942.6
1562400.0,1789200.0,1560000.0,551,1693200.0,2016-02-05T05:00:00Z,0,1661932.44
1593600.0,1798800.0,1560000.0,403,1560000.0,2016-02-08T05:00:00Z,0,1602447.6
1593600.0,1680000.0,1561200.0,446,1575600.0,2016-02-09T05:00:00Z,0,1626924.6
1666800.0,1666800.0,1562400.0,778,1643988.0,2016-02-10T05:00:00Z,1,1620616.56
1813200.0,1863600.0,1611600.0,862,1659600.0,2016-02-11T05:00:00Z,1,1754028.96
1777200.0,1899276.0,1743600.0,338,1868400.0,2016-02-12T05:00:00Z,0,1818100.68
1797600.0,1800000.0,1719600.0,383,1786800.0,2016-02-16T05:00:00Z,0,1774239.36
1798800.0,1808400.0,1760400.0,345,1798800.0,2016-02-17T05:00:00Z,0,1795898.16
1802400.0,1821600.0,1771200.0,627,1800000.0,2016-02-18T05:00:00Z,0,1796781.36
1996800.0,2144160.0,1729200.0,1395,1815600.0,2016-02-19T05:00:00Z,1,1891413.0
1880400.0,2146800.0,1860000.0,591,2056800.0,2016-02-22T05:00:00Z,0,1913858.4
1813200.0,1866000.0,1731600.0,595,1818000.0,2016-02-23T05:00:00Z,0,1801667.4
1882800.0,1882800.0,1745400.0,360,1798800.0,2016-02-24T05:00:00Z,0,1809663.48
1994400.0,1994400.0,1754400.0,625,1915200.0,2016-02-25T05:00:00Z,0,1863179.4
1924800.0,2020200.0,1885200.0,789,2016000.0,2016-02-26T05:00:00Z,0,1961315.76
1851600.0,1909200.0,1818000.0,650,1909200.0,2016-02-29T05:00:00Z,0,1843966.2
1910400.0,1988400.0,1842000.0,548,1842000.0,2016-03-01T05:00:00Z,0,1913875.32
1620000.0,1884000.0,1572000.0,2653,1884000.0,2016-03-02T05:00:00Z,3,1659975.96
1558800.0,1639200.0,1512012.0,1352,1639200.0,2016-03-03T05:00:00Z,1,1565098.32
1570800.0,1570800.0,1471200.0,1735,1554000.0,2016-03-04T05:00:00Z,1,1515030.48
1555200.0,1586400.0,1477200.0,1267,1586400.0,2016-03-07T05:00:00Z,1,1540687.56
1506000.0,1551600.0,1485600.0,838,1551600.0,2016-03-08T05:00:00Z,0,1511147.04
1449600.0,1531188.0,1428000.0,776,1521600.0,2016-03-09T05:00:00Z,1,1457110.68
1440000.0,1463400.0,1400400.0,587,1461600.0,2016-03-10T05:00:00Z,0,1436550.24
1356000.0,1440000.0,1338000.0,1005,1413600.0,2016-03-11T05:00:00Z,1,1387753.8
1256400.0,1380000.0,1250400.0,1404,1380000.0,2016-03-14T04:00:00Z,2,1322192.28
1042800.0,1276800.0,1005600.0,2755,1273200.0,2016-03-15T04:00:00Z,4,1155483.96
1088400.0,1156800.0,1002000.0,1925,1066800.0,2016-03-16T04:00:00Z,2,1105462.56
1069200.0,1105200.0,1009200.0,1076,1084800.0,2016-03-17T04:00:00Z,1,1055153.4
1088400.0,1095600.0,1060800.0,740,1078800.0,2016-03-18T04:00:00Z,0,1081326.6
1021200.0,1086000.0,1005600.0,819,1086000.0,2016-03-21T04:00:00Z,1,1024407.96
1045200.0,1066800.0,990000.0,742,1020000.0,2016-03-22T04:00:00Z,1,1028524.8
1076400.0,1086000.0,1041600.0,790,1041600.0,2016-03-23T04:00:00Z,1,1065974.16
1059600.0,1080000.0,1051200.0,719,1080000.0,2016-03-24T04:00:00Z,0,1064087.28
1046400.0,1079988.0,1014000.0,623,1063200.0,2016-03-28T04:00:00Z,0,1041750.24
1029600.0,1053600.0,1011600.0,536,1041600.0,2016-03-29T04:00:00Z,0,1031484.24
1076400.0,1090800.0,1014000.0,823,1028400.0,2016-03-30T04:00:00Z,0,1060928.4
1149600.0,1197600.0,1075200.0,1186,1082400.0,2016-03-31T04:00:00Z,1,1136090.4
1236000.0,1261200.0,1136400.0,751,1146000.0,2016-04-01T04:00:00Z,0,1215405.12
1190400.0,1239600.0,1171200.0,794,1230000.0,2016-04-04T04:00:00Z,0,1200150.24
1210800.0,1251600.0,1140000.0,886,1176000.0,2016-04-05T04:00:00Z,0,1193786.04
1293600.0,1399200.0,1218000.0,961,1226400.0,2016-04-06T04:00:00Z,1,1307468.88
1417200.0,1516800.0,1293600.0,991,1293600.0,2016-04-07T04:00:00Z,1,1414211.4
1419600.0,1436400.0,1384800.0,482,1423200.0,2016-04-08T04:00:00Z,0,1413360.36
1443600.0,1494000.0,1389600.0,445,1425600.0,2016-04-11T04:00:00Z,0,1441313.64
1448400.0,1479600.0,1434000.0,410,1450800.0,2016-04-12T04:00:00Z,0,1457824.92
1570800.0,1596000.0,1454400.0,558,1462800.0,2016-04-13T04:00:00Z,0,1546995.6
1646400.0,1737600.0,1580400.0,762,1580400.0,2016-04-14T04:00:00Z,0,1653895.32
1526400.0,1660800.0,1479600.0,649,1660800.0,2016-04-15T04:00:00Z,1,1561821.0
1506000.0,1620000.0,1470012.0,683,1531200.0,2016-04-18T04:00:00Z,0,1507797.48
1486800.0,1555200.0,1470000.0,437,1520400.0,2016-04-19T04:00:00Z,0,1500535.2
1418400.0,1525200.0,1410000.0,831,1496400.0,2016-04-20T04:00:00Z,0,1456805.52
1428000.0,1489200.0,1410000.0,616,1426800.0,2016-04-21T04:00:00Z,0,1441245.36
1417200.0,1462788.0,1384800.0,387,1440000.0,2016-04-22T04:00:00Z,0,1411965.36
1498800.0,1504620.0,1386000.0,739,1404000.0,2016-04-25T04:00:00Z,0,1451373.48
1470000.0,1518000.0,1437600.0,465,1518000.0,2016-04-26T04:00:00Z,0,1465469.28
1485600.0,1498800.0,1424400.0,314,1456800.0,2016-04-27T04:00:00Z,0,1475094.84
1498800.0,1558800.0,1468800.0,449,1483200.0,2016-04-28T04:00:00Z,0,1528180.8
1389600.0,1509600.0,1364400.0,1008,1507200.0,2016-04-29T04:00:00Z,1,1392165.36
1500000.0,1521600.0,1382400.0,567,1404000.0,2016-05-02T04:00:00Z,0,1433658.36
1579200.0,1675200.0,1442400.0,894,1503600.0,2016-05-03T04:00:00Z,1,1552210.8
1560000.0,1579200.0,1512000.0,731,1579200.0,2016-05-04T04:00:00Z,0,1545776.76
1580400.0,1626000.0,1537200.0,770,1556400.0,2016-05-05T04:00:00Z,0,1582265.76
1488000.0,1645200.0,1425600.0,762,1588800.0,2016-05-06T04:00:00Z,0,1559619.96
1588800.0,1602000.0,1467600.0,633,1492800.0,2016-05-09T04:00:00Z,0,1534537.56
1470000.0,1609200.0,1431600.0,919,1585200.0,2016-05-10T04:00:00Z,0,1506798.6
1424400.0,1466400.0,1346400.0,534,1464000.0,2016-05-11T04:00:00Z,0,1407991.68
1314000.0,1468800.0,1287600.0,836,1380000.0,2016-05-12T04:00:00Z,0,1331477.88
1338000.0,1363200.0,1309200.0,284,1309200.0,2016-05-13T04:00:00Z,0,1338985.32
1290000.0,1407600.0,1272000.0,453,1347600.0,2016-05-16T04:00:00Z,0,1329066.6
1333200.0,1344000.0,1213200.0,590,1296000.0,2016-05-17T04:00:00Z,0,1305497.88
1299600.0,1322400.0,1263600.0,730,1322400.0,2016-05-18T04:00:00Z,0,1299910.92
1334400.0,1349520.0,1291200.0,330,1291200.0,2016-05-19T04:00:00Z,0,1326636.24
1360800.0,1388400.0,1304400.0,237,1329600.0,2016-05-20T04:00:00Z,0,1357853.16
1400400.0,1419600.0,1336800.0,262,1347600.0,2016-05-23T04:00:00Z,0,1388431.68
1394400.0,1430400.0,1353600.0,381,1411200.0,2016-05-24T04:00:00Z,0,1394774.16
1419600.0,1426800.0,1364400.0,257,1404000.0,2016-05-25T04:00:00Z,0,1407747.72
1362000.0,1431600.0,1321200.0,758,1411200.0,2016-05-26T04:00:00Z,0,1398282.36
1372800.0,1412400.0,1338000.0,554,1351200.0,2016-05-27T04:00:00Z,0,1373646.72
1352400.0,1376136.0,1299000.0,520,1360800.0,2016-05-31T04:00:00Z,0,1335947.28
1352400.0,1383000.0,1297200.0,1140,1339200.0,2016-06-01T04:00:00Z,1,1332594.72
1346400.0,1407600.0,1312800.0,1284,1362000.0,2016-06-02T04:00:00Z,1,1354980.48
1311600.0,1377600.0,1282800.0,635,1348800.0,2016-06-03T04:00:00Z,0,1316701.44
1321200.0,1329600.0,1304400.0,612,1304400.0,2016-06-06T04:00:00Z,0,1319532.12
1346400.0,1374000.0,1304400.0,548,1311600.0,2016-06-07T04:00:00Z,0,1345510.56
1338000.0,1392000.0,1302000.0,734,1368000.0,2016-06-08T04:00:00Z,0,1354151.4
1335600.0,1352400.0,1310400.0,321,1342800.0,2016-06-09T04:00:00Z,0,1330318.44
1286400.0,1326000.0,1281600.0,172,1320000.0,2016-06-10T04:00:00Z,0,1301710.08
1262400.0,1320000.0,1233600.0,1034,1304400.0,2016-06-13T04:00:00Z,1,1268621.28
1286400.0,1306800.0,1219200.0,659,1263600.0,2016-06-14T04:00:00Z,0,1283281.2
1347600.0,1375200.0,1296600.0,568,1306800.0,2016-06-15T04:00:00Z,0,1340987.52
1364400.0,1396800.0,1282920.0,934,1359600.0,2016-06-16T04:00:00Z,0,1336597.92
1308000.0,1407600.0,1300800.0,828,1375200.0,2016-06-17T04:00:00Z,0,1356278.52
1351200.0,1405188.0,1234800.0,1654,1317600.0,2016-06-20T04:00:00Z,1,1305499.56
1362000.0,1368000.0,1269600.0,1107,1363200.0,2016-06-21T04:00:00Z,1,1318079.52
1423200.0,1423200.0,1320012.0,787,1345200.0,2016-06-22T04:00:00Z,0,1387684.56
1384800.0,1458000.0,1355844.0,1331,1426800.0,2016-06-23T04:00:00Z,1,1413042.6
1459200.0,1500000.0,1263600.0,2159,1364400.0,2016-06-24T04:00:00Z,17,1457827.08
1345200.0,1498800.0,1338000.0,1429,1437600.0,2016-06-27T04:00:00Z,1,1392064.8
1426800.0,1460400.0,1347600.0,1333,1390800.0,2016-06-28T04:00:00Z,1,1432807.44
1452000.0,1477800.0,1430400.0,703,1454400.0,2016-06-29T04:00:00Z,0,1448398.56
1431600.0,1489188.0,1396800.0,723,1473600.0,2016-06-30T04:00:00Z,0,1434313.8
1438800.0,1452000.0,1400412.0,388,1448400.0,2016-07-01T04:00:00Z,0,1436974.56
1404000.0,1428000.0,1356000.0,614,1428000.0,2016-07-05T04:00:00Z,0,1387892.28
1376400.0,1422000.0,1339200.0,561,1339200.0,2016-07-06T04:00:00Z,0,1386732.72
1380000.0,1440000.0,1360800.0,630,1402800.0,2016-07-07T04:00:00Z,1,1399653.72
1370400.0,1392000.0,1360800.0,461,1376400.0,2016-07-08T04:00:00Z,0,1377409.56
1377600.0,1386000.0,1358400.0,369,1369200.0,2016-07-11T04:00:00Z,0,1378568.64
1371600.0,1435200.0,1360800.0,639,1372800.0,2016-07-12T04:00:00Z,0,1397095.32
826800.0,870000.0,781200.0,12598,812400.0,2016-07-13T04:00:00Z,22,827723.76
778800.0,861600.0,772800.0,5985,861600.0,2016-07-14T04:00:00Z,10,800144.4
