c,h,l,n,o,t,v,vw
3.529,3.648,3.45,42,3.45,2016-01-04T05:00:00Z,438,3.523
3.549,3.589,3.545,36,3.589,2016-01-05T05:00:00Z,877,3.555
3.539,3.567,3.45,34,3.517,2016-01-06T05:00:00Z,695,3.522
3.51,3.549,3.39,79,3.529,2016-01-07T05:00:00Z,1821,3.452
3.529,3.569,3.41,42,3.41,2016-01-08T05:00:00Z,845,3.506
3.371,3.45,3.311,60,3.39,2016-01-11T05:00:00Z,1121,3.396
3.291,3.351,3.172,25,3.272,2016-01-12T05:00:00Z,571,3.244
3.272,3.311,3.172,49,3.232,2016-01-13T05:00:00Z,613,3.25
3.232,3.269,3.113,74,3.232,2016-01-14T05:00:00Z,1583,3.196
3.053,3.272,1.983,154,3.053,2016-01-15T05:00:00Z,3881,2.973
2.905,2.974,2.558,172,2.974,2016-01-19T05:00:00Z,5191,2.868
3.034,3.113,2.677,140,2.697,2016-01-20T05:00:00Z,4269,2.838
3.034,3.153,2.974,119,3.153,2016-01-21T05:00:00Z,1860,3.043
3.053,3.153,2.98,19,3.073,2016-01-22T05:00:00Z,190,3.043
3.053,3.192,3.053,83,3.053,2016-01-25T05:00:00Z,581,3.105
3.133,3.172,3.053,30,3.053,2016-01-26T05:00:00Z,322,3.131
3.153,3.357,3.133,40,3.172,2016-01-27T05:00:00Z,728,3.174
3.252,3.291,3.172,34,3.236,2016-01-28T05:00:00Z,384,3.218
3.033,3.252,2.994,46,3.172,2016-01-29T05:00:00Z,1562,3.131
3.129,3.129,2.974,14,2.974,2016-02-01T05:00:00Z,117,3.0
3.073,3.105,3.053,23,3.053,2016-02-02T05:00:00Z,1597,3.076
3.073,3.073,2.974,22,3.034,2016-02-03T05:00:00Z,303,3.013
2.776,3.014,2.716,46,2.994,2016-02-04T05:00:00Z,1214,2.877
2.716,2.855,2.716,67,2.855,2016-02-05T05:00:00Z,1333,2.753
2.459,2.855,2.375,107,2.855,2016-02-08T05:00:00Z,3106,2.537
2.28,2.593,2.28,96,2.58,2016-02-09T05:00:00Z,1511,2.368
2.34,2.478,2.24,27,2.24,2016-02-10T05:00:00Z,539,2.318
2.32,2.496,2.065,73,2.419,2016-02-11T05:00:00Z,2381,2.287
2.478,2.507,2.359,67,2.498,2016-02-12T05:00:00Z,1373,2.388
2.439,2.518,2.399,59,2.518,2016-02-16T05:00:00Z,1184,2.442
2.736,2.756,2.429,48,2.439,2016-02-17T05:00:00Z,34012,2.441
2.677,3.034,2.558,48,3.004,2016-02-18T05:00:00Z,930,2.78
2.776,3.014,2.558,47,2.657,2016-02-19T05:00:00Z,576,2.667
2.815,3.034,2.697,87,3.034,2016-02-22T05:00:00Z,14733,2.746
2.796,2.974,2.736,53,2.974,2016-02-23T05:00:00Z,646,2.829
2.597,2.796,2.399,59,2.595,2016-02-24T05:00:00Z,5943,2.669
2.716,2.756,2.578,75,2.716,2016-02-25T05:00:00Z,1925,2.669
3.172,3.212,2.677,151,2.677,2016-02-26T05:00:00Z,5745,2.983
3.212,3.272,2.954,99,3.172,2016-02-29T05:00:00Z,1278,3.097
2.994,3.034,2.875,40,2.878,2016-03-01T05:00:00Z,961,2.967
