c,h,l,n,o,t,v,vw
5.05,5.112,4.91,610,4.92,2016-01-04T05:00:00Z,88907,5.009327
5.0,5.05,4.91,228,5.05,2016-01-05T05:00:00Z,42136,4.984321
5.01,5.05,4.91,395,4.93,2016-01-06T05:00:00Z,56326,4.988811
5.0,5.11,4.9083,529,4.97,2016-01-07T05:00:00Z,91477,5.01971
5.01,5.05,4.93,445,5.01,2016-01-08T05:00:00Z,101510,4.994412
4.99,5.01,4.85,543,5.01,2016-01-11T05:00:00Z,75332,4.914495
4.91,5.04,4.736,480,5.0,2016-01-12T05:00:00Z,73261,4.849857
4.81,4.897,4.65,437,4.89,2016-01-13T05:00:00Z,90243,4.799896
4.78,4.87,4.54,368,4.84,2016-01-14T05:00:00Z,134389,4.769975
4.61,4.71,4.52,310,4.63,2016-01-15T05:00:00Z,69289,4.567824
4.83,4.86,4.58,464,4.62,2016-01-19T05:00:00Z,114488,4.749717
5.02,5.05,4.56,593,4.72,2016-01-20T05:00:00Z,121719,4.867096
5.04,5.1891,4.67,514,4.9,2016-01-21T05:00:00Z,132959,5.030937
5.01,5.1299,4.84,528,5.06,2016-01-22T05:00:00Z,129220,5.017773
4.82,4.99,4.8,196,4.96,2016-01-25T05:00:00Z,43516,4.872643
5.03,5.1,4.68,216,4.81,2016-01-26T05:00:00Z,32868,4.916375
4.76,5.0199,4.75,122,4.98,2016-01-27T05:00:00Z,17538,4.879332
4.81,4.84,4.69,316,4.83,2016-01-28T05:00:00Z,43294,4.788294
4.96,5.0,4.85,218,4.85,2016-01-29T05:00:00Z,31451,4.938334
5.07,5.1,4.94,150,4.99,2016-02-01T05:00:00Z,33791,5.041016
5.0,5.1,5.0,125,5.03,2016-02-02T05:00:00Z,19125,5.045468
5.01,5.06,4.97,136,5.06,2016-02-03T05:00:00Z,16838,5.005742
5.03,5.0683,5.0,135,5.0,2016-02-04T05:00:00Z,24711,5.035803
5.06,5.07,4.99,213,5.03,2016-02-05T05:00:00Z,42537,5.042764
5.06,5.06,4.9,302,5.06,2016-02-08T05:00:00Z,56146,4.995849
