c,h,l,n,o,t,v,vw
33.21,34.36,32.9,2263,33.72,2016-01-04T05:00:00Z,199031,33.19
33.25,33.6,32.88,1505,33.36,2016-01-05T05:00:00Z,137539,33.2
33.5,33.51,32.71,1783,32.81,2016-01-06T05:00:00Z,158353,33.32
32.69,33.21,32.69,2079,32.82,2016-01-07T05:00:00Z,374201,32.81
32.26,33.0,32.08,2458,32.61,2016-01-08T05:00:00Z,335967,32.47
32.53,32.77,32.23,1842,32.51,2016-01-11T05:00:00Z,144478,32.45
32.49,32.8,32.03,1417,32.8,2016-01-12T05:00:00Z,124362,32.4
31.43,32.85,31.22,2011,32.59,2016-01-13T05:00:00Z,149570,31.56
31.54,32.13,31.1,1287,31.57,2016-01-14T05:00:00Z,139609,31.63
31.4,31.48,30.39,2382,30.75,2016-01-15T05:00:00Z,243358,31.07
30.93,31.71,30.7,1649,31.71,2016-01-19T05:00:00Z,168236,31.08
30.72,31.13,29.97,1930,30.46,2016-01-20T05:00:00Z,112570,30.52
30.33,31.04,30.32,1345,30.72,2016-01-21T05:00:00Z,141901,30.61
30.99,30.99,30.34,1483,30.72,2016-01-22T05:00:00Z,117618,30.8
29.89,31.07,29.8,2555,30.87,2016-01-25T05:00:00Z,159735,30.24
30.61,30.92,29.86,1644,30.03,2016-01-26T05:00:00Z,134592,30.5
30.59,31.15,30.02,2798,30.49,2016-01-27T05:00:00Z,171647,30.52
30.56,31.93,29.54,1645,30.29,2016-01-28T05:00:00Z,158569,30.65
31.05,31.1,30.02,2111,30.57,2016-01-29T05:00:00Z,232960,30.65
31.25,31.35,30.68,1583,30.94,2016-02-01T05:00:00Z,135149,31.07
30.3,30.95,30.12,3022,30.95,2016-02-02T05:00:00Z,187771,30.42
30.25,31.11,29.36,2283,30.48,2016-02-03T05:00:00Z,207858,29.94
30.03,31.02,29.69,1043,30.26,2016-02-04T05:00:00Z,64614,30.13
29.36,30.36,29.36,1024,29.95,2016-02-05T05:00:00Z,91720,29.54
28.85,29.51,28.21,2319,28.85,2016-02-08T05:00:00Z,212683,28.59
28.87,29.2,28.38,1039,28.46,2016-02-09T05:00:00Z,78032,28.86
28.24,29.48,28.24,1338,29.19,2016-02-10T05:00:00Z,107982,28.6
27.36,28.46,26.48,2676,27.53,2016-02-11T05:00:00Z,178509,27.44
28.54,28.64,27.32,1831,27.32,2016-02-12T05:00:00Z,201582,28.13
29.2,29.39,28.28,1477,28.96,2016-02-16T05:00:00Z,182078,28.99
29.2,29.71,29.05,1272,29.41,2016-02-17T05:00:00Z,187627,29.26
28.58,29.35,28.29,1675,29.35,2016-02-18T05:00:00Z,162863,28.72
28.88,28.99,28.29,984,28.47,2016-02-19T05:00:00Z,188982,28.81
28.95,29.24,28.5,1573,29.12,2016-02-22T05:00:00Z,150549,28.93
28.52,28.93,28.37,1668,28.93,2016-02-23T05:00:00Z,135055,28.56
28.68,28.7,27.79,1689,28.19,2016-02-24T05:00:00Z,92795,28.32
29.2,29.23,28.43,1315,28.68,2016-02-25T05:00:00Z,89806,28.99
30.08,30.15,29.15,1983,29.48,2016-02-26T05:00:00Z,152590,29.82
29.71,30.0,29.51,1901,29.97,2016-02-29T05:00:00Z,236700,29.69
30.36,30.51,29.58,3137,29.9,2016-03-01T05:00:00Z,134937,30.24
30.76,30.78,30.22,994,30.39,2016-03-02T05:00:00Z,90808,30.57
31.08,31.14,30.61,1743,30.76,2016-03-03T05:00:00Z,148907,30.96
31.34,31.37,30.89,1719,31.13,2016-03-04T05:00:00Z,153131,31.18
31.76,31.82,30.98,1350,31.11,2016-03-07T05:00:00Z,156709,31.57
31.08,31.84,31.04,1821,31.59,2016-03-08T05:00:00Z,142958,31.36
30.7,31.36,30.63,1169,31.27,2016-03-09T05:00:00Z,84798,30.79
30.59,31.1,30.03,1518,30.68,2016-03-10T05:00:00Z,106928,30.52
31.49,31.51,30.75,1153,30.86,2016-03-11T05:00:00Z,79135,31.29
31.23,31.7,30.99,870,31.4,2016-03-14T04:00:00Z,67618,31.21
30.8,31.31,30.68,770,30.97,2016-03-15T04:00:00Z,78047,30.95
30.93,31.07,30.63,2161,30.66,2016-03-16T04:00:00Z,163805,30.9
31.88,31.91,30.63,1877,30.77,2016-03-17T04:00:00Z,155687,31.45
32.39,32.56,31.88,1982,31.88,2016-03-18T04:00:00Z,329295,32.31
31.85,32.42,30.84,1173,32.31,2016-03-21T04:00:00Z,93960,31.99
