c,h,l,n,o,t,v,vw
8.99,9.342,8.869,1418,9.342,2016-01-04T05:00:00Z,546052,9.081
8.869,9.136,8.827,1176,8.988,2016-01-05T05:00:00Z,387520,8.905
8.975,9.205,8.838,798,8.84,2016-01-06T05:00:00Z,329480,9.038
8.777,9.001,8.777,1333,8.81,2016-01-07T05:00:00Z,516264,8.859
8.298,8.908,8.267,1942,8.81,2016-01-08T05:00:00Z,871468,8.539
8.437,8.478,8.0,1078,8.406,2016-01-11T05:00:00Z,383632,8.277
8.79,8.835,8.441,1208,8.543,2016-01-12T05:00:00Z,487808,8.657
8.287,8.884,8.182,924,8.84,2016-01-13T05:00:00Z,339244,8.399
8.352,8.536,8.176,1117,8.384,2016-01-14T05:00:00Z,419872,8.426
8.326,8.326,7.853,691,8.126,2016-01-15T05:00:00Z,280468,8.155
7.883,8.38,7.74,1537,8.38,2016-01-19T05:00:00Z,507628,8.028
8.274,8.374,7.399,2611,7.766,2016-01-20T05:00:00Z,839064,7.793
8.087,8.421,8.054,855,8.387,2016-01-21T05:00:00Z,310280,8.224
8.426,8.478,8.252,578,8.252,2016-01-22T05:00:00Z,207100,8.388
8.282,8.521,8.213,815,8.406,2016-01-25T05:00:00Z,283136,8.326
8.497,8.621,8.226,858,8.302,2016-01-26T05:00:00Z,278304,8.434
8.072,8.48,7.991,798,8.48,2016-01-27T05:00:00Z,230048,8.204
8.235,8.367,8.037,626,8.15,2016-01-28T05:00:00Z,246284,8.223
8.504,8.56,8.265,575,8.265,2016-01-29T05:00:00Z,284116,8.455
8.126,8.499,8.1,888,8.447,2016-02-01T05:00:00Z,316604,8.219
8.02,9.292,7.918,709,8.122,2016-02-02T05:00:00Z,275268,8.091
7.792,8.065,7.529,695,8.033,2016-02-03T05:00:00Z,254208,7.757
7.724,7.868,7.661,875,7.727,2016-02-04T05:00:00Z,279412,7.761
7.577,7.722,7.323,1049,7.703,2016-02-05T05:00:00Z,422028,7.573
7.001,7.455,6.971,988,7.455,2016-02-08T05:00:00Z,446560,7.117
6.978,7.054,6.789,1086,6.934,2016-02-09T05:00:00Z,368324,6.964
6.832,7.212,6.8,876,7.021,2016-02-10T05:00:00Z,354980,6.933
6.993,7.121,6.695,820,6.713,2016-02-11T05:00:00Z,378556,6.955
7.909,8.385,7.366,1244,8.269,2016-02-12T05:00:00Z,470976,8.0
7.455,8.304,7.384,1433,8.057,2016-02-16T05:00:00Z,510324,7.628
7.57,7.776,7.404,892,7.531,2016-02-17T05:00:00Z,341312,7.579
7.592,8.088,7.47,1015,7.575,2016-02-18T05:00:00Z,369668,7.711
7.559,7.806,7.483,804,7.529,2016-02-19T05:00:00Z,330480,7.619
7.599,7.732,7.562,524,7.614,2016-02-22T05:00:00Z,209588,7.622
7.588,7.858,7.575,660,7.596,2016-02-23T05:00:00Z,230880,7.646
7.688,7.706,7.385,708,7.47,2016-02-24T05:00:00Z,218816,7.588
7.551,7.741,7.479,1227,7.741,2016-02-25T05:00:00Z,342172,7.587
7.71,7.806,7.568,1023,7.607,2016-02-26T05:00:00Z,357540,7.676
7.634,7.901,7.614,1042,7.739,2016-02-29T05:00:00Z,435608,7.713
7.822,7.883,7.614,1068,7.682,2016-03-01T05:00:00Z,453412,7.772
7.922,8.041,7.734,862,7.83,2016-03-02T05:00:00Z,332696,7.905
8.042,8.11,7.865,951,7.922,2016-03-03T05:00:00Z,423204,8.002
8.09,8.189,7.985,747,8.073,2016-03-04T05:00:00Z,359468,8.08
8.208,8.258,7.983,631,8.084,2016-03-07T05:00:00Z,271712,8.165
7.863,8.237,7.853,1043,8.145,2016-03-08T05:00:00Z,442780,7.949
7.979,8.053,7.8,607,7.865,2016-03-09T05:00:00Z,240648,7.922
5.322,5.962,4.927,7024,5.619,2016-03-10T05:00:00Z,4058512,5.158
6.017,6.106,5.265,4114,5.268,2016-03-11T05:00:00Z,2247252,5.81
6.148,6.251,5.962,1651,6.019,2016-03-14T04:00:00Z,708132,6.14
6.078,6.286,5.901,1488,6.08,2016-03-15T04:00:00Z,534156,6.099
6.115,6.253,5.921,1539,6.122,2016-03-16T04:00:00Z,637104,6.121
5.914,6.004,5.724,1228,6.004,2016-03-17T04:00:00Z,481828,5.899
6.131,6.189,5.93,868,5.936,2016-03-18T04:00:00Z,518632,6.057
5.978,6.227,5.962,1150,6.082,2016-03-21T04:00:00Z,494768,6.071
6.039,6.203,5.932,950,5.932,2016-03-22T04:00:00Z,379436,6.065
5.954,6.102,5.932,1230,6.037,2016-03-23T04:00:00Z,680680,5.957
