c,h,l,n,o,t,v,vw
20.46,20.54,20.37,1071,20.41,2020-11-23T05:00:00Z,582856,20.45
20.34,20.48,20.33,1824,20.45,2020-11-24T05:00:00Z,460026,20.39
20.45,20.46,20.19,1555,20.35,2020-11-25T05:00:00Z,418286,20.36
20.5,20.5,20.45,1108,20.5,2020-11-27T05:00:00Z,792278,20.49
20.66,20.81,20.4,3433,20.5,2020-11-30T05:00:00Z,4944688,20.64
20.62,20.65,20.57,823,20.63,2020-12-01T05:00:00Z,945744,20.62
20.64,20.79,20.58,528,20.65,2020-12-02T05:00:00Z,256277,20.66
20.58,20.66,20.47,448,20.47,2020-12-03T05:00:00Z,129348,20.61
20.55,20.71,20.55,545,20.64,2020-12-04T05:00:00Z,117634,20.62
20.57,20.69,20.54,357,20.58,2020-12-07T05:00:00Z,85262,20.59
20.69,20.77,20.62,238,20.63,2020-12-08T05:00:00Z,77236,20.69
20.64,20.77,20.64,329,20.76,2020-12-09T05:00:00Z,54319,20.7
20.64,20.76,20.51,323,20.68,2020-12-10T05:00:00Z,71777,20.63
20.62,20.78,20.57,576,20.57,2020-12-11T05:00:00Z,163010,20.61
20.67,20.71,20.59,148,20.64,2020-12-14T05:00:00Z,37192,20.64
20.89,21.0,20.68,397,20.71,2020-12-15T05:00:00Z,85589,20.83
20.88,20.93,20.74,370,20.93,2020-12-16T05:00:00Z,101583,20.85
20.87,20.89,20.82,173,20.89,2020-12-17T05:00:00Z,128646,20.86
20.87,21.0,20.25,593,20.89,2020-12-18T05:00:00Z,183193,20.85
20.85,20.91,20.74,610,20.78,2020-12-21T05:00:00Z,135391,20.81
20.73,21.04,20.71,467,20.89,2020-12-22T05:00:00Z,82936,20.91
20.8,20.98,20.74,122,20.85,2020-12-23T05:00:00Z,29792,20.84
20.81,20.92,20.77,83,20.92,2020-12-24T05:00:00Z,17032,20.86
20.9,21.0,20.74,377,20.85,2020-12-28T05:00:00Z,114403,20.88
20.91,21.02,20.77,255,20.99,2020-12-29T05:00:00Z,64904,20.87
21.21,21.99,20.89,316,20.89,2020-12-30T05:00:00Z,50878,21.11
21.38,21.44,21.2,288,21.26,2020-12-31T05:00:00Z,64363,21.33
20.92,21.35,20.87,277,21.34,2021-01-04T05:00:00Z,68288,21.04
20.93,20.98,20.87,180,20.91,2021-01-05T05:00:00Z,35067,20.93
20.73,20.96,20.59,358,20.91,2021-01-06T05:00:00Z,84404,20.74
20.59,20.74,20.45,293,20.74,2021-01-07T05:00:00Z,82927,20.59
20.54,20.65,20.31,319,20.59,2021-01-08T05:00:00Z,93209,20.42
20.26,20.57,20.26,215,20.57,2021-01-11T05:00:00Z,41837,20.43
20.32,20.44,20.03,368,20.29,2021-01-12T05:00:00Z,111207,20.28
20.55,20.61,20.28,544,20.35,2021-01-13T05:00:00Z,100926,20.5
20.72,20.91,20.56,299,20.65,2021-01-14T05:00:00Z,60427,20.72
20.73,20.98,20.57,532,20.79,2021-01-15T05:00:00Z,103523,20.78
