c,h,l,n,o,t,v,vw
8.3,15.55,7.52,88716,8.4,2022-09-01T04:00:00Z,11021273,10.504885
7.05,12.82,6.96,118437,10.07,2022-09-02T04:00:00Z,16380567,10.445225
5.39,6.59,5.08,16775,6.34,2022-09-06T04:00:00Z,2110487,5.959074
5.75,7.78,5.6,62254,7.0,2022-09-07T04:00:00Z,12982505,6.838163
5.63,6.4,5.33,12240,5.51,2022-09-08T04:00:00Z,2386987,5.945233
4.78,5.5899,4.65,7039,5.5,2022-09-09T04:00:00Z,1157998,4.929247
4.59,4.6897,4.36,5311,4.42,2022-09-12T04:00:00Z,1087174,4.492884
4.14,4.56,4.06,3225,4.46,2022-09-13T04:00:00Z,684883,4.286658
4.86,6.8,4.71,215607,5.7,2022-09-14T04:00:00Z,48598131,5.950217
4.74,5.38,4.37,22414,4.63,2022-09-15T04:00:00Z,5136372,4.858004
4.3,4.63,4.05,2751,4.45,2022-09-16T04:00:00Z,619936,4.286622
3.81,4.2857,3.78,2482,4.18,2022-09-19T04:00:00Z,343035,4.009599
3.67,3.9,3.5499,1646,3.64,2022-09-20T04:00:00Z,443300,3.673808
3.32,3.67,3.3,3014,3.67,2022-09-21T04:00:00Z,464355,3.411359
2.72,3.32,2.6801,1897,3.24,2022-09-22T04:00:00Z,365794,2.934178
2.11,2.5991,2.09,2536,2.55,2022-09-23T04:00:00Z,532429,2.294582
2.12,2.49,2.0214,2976,2.15,2022-09-26T04:00:00Z,612608,2.245839
2.12,2.39,2.1,1960,2.12,2022-09-27T04:00:00Z,461518,2.219832
2.92,4.23,2.79,213681,3.6,2022-09-28T04:00:00Z,51019072,3.57718
3.0,3.11,2.75,7012,2.88,2022-09-29T04:00:00Z,1424057,2.94418
2.91,3.07,2.8,2553,2.8,2022-09-30T04:00:00Z,395678,2.957508
2.51,2.9615,2.51,1621,2.9,2022-10-03T04:00:00Z,321369,2.716882
2.94,2.9879,2.52,1716,2.52,2022-10-04T04:00:00Z,261245,2.796505
2.76,2.96,2.63,1020,2.93,2022-10-05T04:00:00Z,136443,2.738109
2.9,3.05,2.6501,1095,2.73,2022-10-06T04:00:00Z,223484,2.893867
2.95,3.1499,2.7963,1013,2.87,2022-10-07T04:00:00Z,185765,2.941804
2.78,2.95,2.67,1159,2.84,2022-10-10T04:00:00Z,192652,2.80763
2.8,2.85,2.67,846,2.77,2022-10-11T04:00:00Z,90850,2.768099
2.79,2.875,2.61,992,2.8,2022-10-12T04:00:00Z,159915,2.754231
2.66,2.7865,2.51,498,2.62,2022-10-13T04:00:00Z,93358,2.648369
2.62,2.6892,2.55,385,2.63,2022-10-14T04:00:00Z,73267,2.607082
2.89,3.0,2.5626,854,2.62,2022-10-17T04:00:00Z,163821,2.833537
3.14,3.25,3.0,2415,3.2,2022-10-18T04:00:00Z,496599,3.147819
2.9,3.17,2.74,1189,3.13,2022-10-19T04:00:00Z,219308,2.954957
2.8,2.95,2.7,971,2.74,2022-10-20T04:00:00Z,148014,2.802619
2.61,2.88,2.55,1588,2.75,2022-10-21T04:00:00Z,193333,2.68061
2.65,2.73,2.55,693,2.66,2022-10-24T04:00:00Z,92097,2.628927
2.71,2.98,2.56,1039,2.73,2022-10-25T04:00:00Z,174085,2.767096
2.86,2.93,2.6101,1074,2.65,2022-10-26T04:00:00Z,137451,2.765071
2.75,2.89,2.62,1266,2.76,2022-10-27T04:00:00Z,141502,2.734109
2.8,2.9,2.6701,1091,2.76,2022-10-28T04:00:00Z,103158,2.788714
2.85,2.88,2.77,456,2.84,2022-10-31T04:00:00Z,58917,2.818957
2.8,2.86,2.78,371,2.79,2022-11-01T04:00:00Z,52547,2.801691
2.89,2.89,2.78,688,2.78,2022-11-02T04:00:00Z,68236,2.821234
2.89,2.95,2.62,1037,2.89,2022-11-03T04:00:00Z,89330,2.781987
2.63,2.98,2.62,670,2.87,2022-11-04T04:00:00Z,44779,2.763813
2.65,2.715,2.55,476,2.63,2022-11-07T05:00:00Z,46338,2.629519
2.62,2.7834,2.568,241,2.6453,2022-11-08T05:00:00Z,20401,2.646758
2.385,2.8599,2.35,1610,2.6,2022-11-09T05:00:00Z,173434,2.565432
2.56,2.76,2.41,736,2.41,2022-11-10T05:00:00Z,81714,2.519585
2.83,2.9999,2.46,1111,2.56,2022-11-11T05:00:00Z,114006,2.786421
2.75,2.8,2.64,377,2.75,2022-11-14T05:00:00Z,47274,2.705812
2.81,2.81,2.55,540,2.6378,2022-11-15T05:00:00Z,42113,2.687314
2.6,2.7772,2.54,277,2.658,2022-11-16T05:00:00Z,28716,2.609974
2.6494,2.7,2.52,170,2.54,2022-11-17T05:00:00Z,24323,2.607025
2.56,2.6901,2.53,127,2.6901,2022-11-18T05:00:00Z,19677,2.596728
2.6,2.65,2.3001,367,2.5192,2022-11-21T05:00:00Z,79920,2.573114
2.65,2.65,2.535,279,2.57,2022-11-22T05:00:00Z,53952,2.599159
2.64,2.65,2.4919,202,2.4919,2022-11-23T05:00:00Z,36369,2.579989
2.6,2.62,2.565,566,2.57,2022-11-25T05:00:00Z,25460,2.595591
2.64,2.8,2.515,293,2.54,2022-11-28T05:00:00Z,72363,2.649041
2.6,2.71,2.5738,148,2.59,2022-11-29T05:00:00Z,17038,2.613834
2.7,2.84,2.6501,593,2.8,2022-11-30T05:00:00Z,87006,2.723622
2.77,2.79,2.675,300,2.734,2022-12-01T05:00:00Z,39764,2.751453
2.94,2.95,2.66,358,2.6715,2022-12-02T05:00:00Z,32957,2.839872
3.05,3.1941,2.88,595,2.96,2022-12-05T05:00:00Z,40975,3.043904
3.02,3.17,2.86,347,2.97,2022-12-06T05:00:00Z,26599,2.955
2.65,3.0,2.52,437,2.8,2022-12-07T05:00:00Z,37812,2.747318
2.55,2.76,2.55,486,2.76,2022-12-08T05:00:00Z,49126,2.658798
2.02,2.6,1.92,1232,2.5,2022-12-09T05:00:00Z,206830,2.132769
2.0001,2.05,1.955,367,2.02,2022-12-12T05:00:00Z,36774,2.013118
2.0,2.05,1.96,315,2.0,2022-12-13T05:00:00Z,29849,2.002144
2.01,2.02,1.98,507,2.0153,2022-12-14T05:00:00Z,50396,1.994345
2.01,2.06,1.96,343,1.97,2022-12-15T05:00:00Z,48627,2.031901
1.97,2.02,1.95,1276,1.96,2022-12-16T05:00:00Z,232232,1.985772
1.88,2.08,1.74,758,1.97,2022-12-19T05:00:00Z,141828,1.933333
1.73,1.88,1.71,330,1.88,2022-12-20T05:00:00Z,60535,1.772355
1.69,1.89,1.66,444,1.78,2022-12-21T05:00:00Z,21324,1.718566
1.81,1.92,1.55,289,1.615,2022-12-22T05:00:00Z,28024,1.67107
1.85,2.17,1.6201,424,1.6201,2022-12-23T05:00:00Z,43266,1.932673
1.78,2.072,1.705,462,1.85,2022-12-27T05:00:00Z,57722,1.912958
1.72,1.9,1.6368,313,1.72,2022-12-28T05:00:00Z,17437,1.702648
1.68,1.72,1.6,201,1.71,2022-12-29T05:00:00Z,46158,1.639739
1.6,1.78,1.31,697,1.63,2022-12-30T05:00:00Z,122842,1.558491
1.56,1.8,1.4501,219,1.8,2023-01-03T05:00:00Z,29403,1.542153
1.65,1.7801,1.49,397,1.78,2023-01-04T05:00:00Z,72239,1.702044
1.63,1.7031,1.51,429,1.7,2023-01-05T05:00:00Z,56151,1.625358
1.6,1.94,1.52,239,1.94,2023-01-06T05:00:00Z,25115,1.652822
1.64,1.79,1.6101,307,1.7,2023-01-09T05:00:00Z,36574,1.686996
1.8,1.93,1.61,366,1.7,2023-01-10T05:00:00Z,49062,1.742702
1.86,1.9707,1.75,371,1.87,2023-01-11T05:00:00Z,57079,1.88923
1.9,2.07,1.85,362,1.89,2023-01-12T05:00:00Z,50338,1.937682
1.6601,1.91,1.63,347,1.85,2023-01-13T05:00:00Z,88320,1.782548
1.61,1.72,1.58,266,1.7,2023-01-17T05:00:00Z,40794,1.659936
1.53,1.61,1.5,234,1.61,2023-01-18T05:00:00Z,51822,1.54891
1.6,1.65,1.51,252,1.56,2023-01-19T05:00:00Z,51474,1.585994
1.52,1.57,1.5,235,1.53,2023-01-20T05:00:00Z,74115,1.527392
1.59,1.62,1.48,240,1.48,2023-01-23T05:00:00Z,44926,1.553776
2.79,3.99,1.7,271263,1.91,2023-01-24T05:00:00Z,68782749,3.181275
2.62,2.86,2.35,10629,2.56,2023-01-25T05:00:00Z,2427272,2.58891
3.06,3.67,2.62,18431,2.69,2023-01-26T05:00:00Z,5495902,3.267274
2.8725,3.24,2.7,3777,2.87,2023-01-27T05:00:00Z,837563,2.952918
2.77,3.06,2.63,1303,2.79,2023-01-30T05:00:00Z,248105,2.740416
2.61,2.7963,2.58,798,2.76,2023-01-31T05:00:00Z,204212,2.628079
2.6,2.7999,2.5,1052,2.66,2023-02-01T05:00:00Z,192865,2.636137
2.55,2.69,2.45,694,2.54,2023-02-02T05:00:00Z,102772,2.557312
2.38,2.52,2.36,508,2.52,2023-02-03T05:00:00Z,95012,2.411607
2.4,2.49,2.36,410,2.49,2023-02-06T05:00:00Z,86272,2.425463
2.33,2.4684,2.25,471,2.4,2023-02-07T05:00:00Z,71998,2.326471
2.26,2.3432,2.2399,312,2.26,2023-02-08T05:00:00Z,71501,2.241312
2.07,2.3,2.001,674,2.16,2023-02-09T05:00:00Z,147085,2.11856
2.0501,2.075,2.01,240,2.01,2023-02-10T05:00:00Z,26991,2.040475
2.11,2.18,2.0,488,2.0,2023-02-13T05:00:00Z,53544,2.100878
2.04,2.1983,2.0,187,2.15,2023-02-14T05:00:00Z,22314,2.056181
2.02,2.02,1.9,233,2.0,2023-02-15T05:00:00Z,20674,1.98049
2.22,2.22,1.95,274,1.95,2023-02-16T05:00:00Z,40754,2.094014
2.06,2.2999,2.04,326,2.29,2023-02-17T05:00:00Z,30466,2.187909
