c,h,l,n,o,t,v,vw
2.45,4.15,2.25,9338,3.8,2024-07-24T04:00:00Z,2081963,3.236745
3.26,4.3,2.6,102314,2.66,2024-07-25T04:00:00Z,13121910,3.613859
2.97,3.48,2.8,6914,3.44,2024-07-26T04:00:00Z,1380440,3.151544
2.57,3.08,2.5208,4327,3.01,2024-07-29T04:00:00Z,713507,2.723671
1.67,2.29,1.55,2991,2.25,2024-07-30T04:00:00Z,640947,1.869453
1.59,1.98,1.55,2961,1.82,2024-07-31T04:00:00Z,529315,1.775538
1.52,1.6,1.4,1238,1.56,2024-08-01T04:00:00Z,233631,1.495685
1.78,1.79,1.38,2072,1.46,2024-08-02T04:00:00Z,591393,1.626892
1.37,1.5,1.28,1219,1.35,2024-08-05T04:00:00Z,460047,1.352062
1.29,1.37,1.23,460,1.37,2024-08-06T04:00:00Z,107908,1.27933
1.32,1.39,1.2,730,1.24,2024-08-07T04:00:00Z,126178,1.294672
1.26,1.4,1.22,343,1.34,2024-08-08T04:00:00Z,64111,1.303832
1.276,1.2899,1.2,143,1.22,2024-08-09T04:00:00Z,32741,1.247276
1.25,1.5,1.23,381,1.27,2024-08-12T04:00:00Z,76671,1.304802
1.3139,1.4,1.21,262,1.28,2024-08-13T04:00:00Z,67703,1.298969
1.2301,1.34,1.23,310,1.28,2024-08-14T04:00:00Z,73313,1.280288
1.2,1.28,1.1706,186,1.28,2024-08-15T04:00:00Z,41252,1.204725
1.16,1.22,1.11,324,1.21,2024-08-16T04:00:00Z,86127,1.153158
1.1788,1.22,1.075,514,1.17,2024-08-19T04:00:00Z,147181,1.128338
1.1878,1.25,1.14,320,1.2,2024-08-20T04:00:00Z,79028,1.205186
