c,h,l,n,o,t,v,vw
64.24,64.4,64.22,8214,64.29,2016-01-04T05:00:00Z,2919537,64.31
64.31,64.37,64.22,6373,64.25,2016-01-05T05:00:00Z,1525695,64.3
64.6,64.6,64.44,11659,64.48,2016-01-06T05:00:00Z,2626924,64.54
64.61,64.61,64.43,7943,64.55,2016-01-07T05:00:00Z,2815727,64.57
64.69,64.71,64.54,6593,64.57,2016-01-08T05:00:00Z,1410926,64.63
64.42,64.59,64.42,10253,64.54,2016-01-11T05:00:00Z,2155255,64.51
64.58,64.72,64.46,7802,64.52,2016-01-12T05:00:00Z,1654268,64.61
64.76,64.81,64.58,12344,64.62,2016-01-13T05:00:00Z,2961267,64.67
64.66,64.83,64.63,12477,64.73,2016-01-14T05:00:00Z,4574835,64.7
64.77,64.87,64.74,8637,64.85,2016-01-15T05:00:00Z,1782508,64.79
64.7,64.77,64.64,10561,64.71,2016-01-19T05:00:00Z,3886517,64.72
64.77,64.94,64.7,12906,64.88,2016-01-20T05:00:00Z,7807974,64.79
64.73,64.9,64.72,13038,64.88,2016-01-21T05:00:00Z,3071222,64.8
64.7,64.74,64.62,11185,64.71,2016-01-22T05:00:00Z,3198531,64.68
64.7,64.79,64.7,9013,64.77,2016-01-25T05:00:00Z,2171728,64.74
64.8,64.83,64.71,11186,64.77,2016-01-26T05:00:00Z,2665554,64.77
64.8,64.85,64.66,8704,64.74,2016-01-27T05:00:00Z,1841041,64.75
64.85,64.88,64.75,6622,64.78,2016-01-28T05:00:00Z,1498108,64.82
65.06,65.09,64.97,11319,65.06,2016-01-29T05:00:00Z,3756541,65.03
64.91,65.1,64.86,8274,65.0,2016-02-01T05:00:00Z,2306310,64.94
65.13,65.17,65.06,7761,65.13,2016-02-02T05:00:00Z,2561706,65.12
65.18,65.34,65.04,11985,65.12,2016-02-03T05:00:00Z,3288760,65.18
65.22,65.28,65.14,5182,65.18,2016-02-04T05:00:00Z,1185871,65.21
65.16,65.23,65.07,10241,65.15,2016-02-05T05:00:00Z,2370671,65.15
65.44,65.5,65.27,8886,65.33,2016-02-08T05:00:00Z,2749164,65.45
65.43,65.57,65.37,10875,65.56,2016-02-09T05:00:00Z,2367931,65.43
65.57,65.58,65.33,10657,65.47,2016-02-10T05:00:00Z,2567707,65.46
65.61,65.85,65.57,8780,65.79,2016-02-11T05:00:00Z,1894563,65.69
65.39,65.55,65.3,5893,65.52,2016-02-12T05:00:00Z,1488153,65.4
65.3,65.34,65.23,6491,65.32,2016-02-16T05:00:00Z,1499677,65.29
65.28,65.3,65.12,8982,65.23,2016-02-17T05:00:00Z,2240525,65.23
65.5,65.51,65.28,6764,65.28,2016-02-18T05:00:00Z,1830173,65.41
65.42,65.51,65.39,9787,65.44,2016-02-19T05:00:00Z,1880193,65.43
65.43,65.46,65.37,7213,65.42,2016-02-22T05:00:00Z,1641608,65.43
65.47,65.58,65.31,9212,65.34,2016-02-23T05:00:00Z,2252030,65.49
65.52,65.78,65.48,9570,65.58,2016-02-24T05:00:00Z,2456295,65.6
65.62,65.7,65.58,10156,65.58,2016-02-25T05:00:00Z,2463191,65.64
65.55,65.56,65.42,6610,65.49,2016-02-26T05:00:00Z,1638803,65.49
65.59,65.65,65.5,7301,65.5,2016-02-29T05:00:00Z,1970724,65.59
65.37,65.66,65.31,8672,65.66,2016-03-01T05:00:00Z,2681753,65.4
65.33,65.37,65.24,8898,65.28,2016-03-02T05:00:00Z,2152130,65.34
65.36,65.48,65.32,7992,65.35,2016-03-03T05:00:00Z,2952379,65.4
65.33,65.42,65.24,6328,65.4,2016-03-04T05:00:00Z,1162938,65.32
65.32,65.35,65.26,6237,65.29,2016-03-07T05:00:00Z,1311727,65.3
65.53,65.63,65.52,5847,65.58,2016-03-08T05:00:00Z,2174455,65.56
65.42,65.52,65.4,5780,65.44,2016-03-09T05:00:00Z,2038190,65.47
65.39,65.54,65.33,7462,65.49,2016-03-10T05:00:00Z,1795918,65.4
65.3,65.44,65.3,6039,65.44,2016-03-11T05:00:00Z,1437412,65.35
65.44,65.5,65.36,6537,65.39,2016-03-14T04:00:00Z,1551168,65.46
65.38,65.53,65.36,7354,65.51,2016-03-15T04:00:00Z,1899171,65.41
65.64,65.64,65.29,6983,65.32,2016-03-16T04:00:00Z,1412314,65.42
65.78,65.8,65.67,5757,65.69,2016-03-17T04:00:00Z,1656853,65.75
65.84,65.89,65.78,5257,65.84,2016-03-18T04:00:00Z,1225113,65.84
65.72,65.76,65.69,7801,65.76,2016-03-21T04:00:00Z,1627637,65.73
65.7,65.86,65.68,8011,65.84,2016-03-22T04:00:00Z,2160708,65.79
65.84,65.85,65.71,5311,65.74,2016-03-23T04:00:00Z,1253098,65.76
65.76,65.94,65.69,7734,65.94,2016-03-24T04:00:00Z,1765752,65.77
65.8,65.88,65.75,6279,65.76,2016-03-28T04:00:00Z,2378857,65.82
66.07,66.12,65.86,8649,65.88,2016-03-29T04:00:00Z,1899166,65.98
66.04,66.12,65.96,8014,66.03,2016-03-30T04:00:00Z,1635614,66.03
66.17,66.26,66.08,8208,66.1,2016-03-31T04:00:00Z,3199046,66.16
66.25,66.29,66.09,8141,66.18,2016-04-01T04:00:00Z,3165120,66.19
66.25,66.35,66.22,5544,66.28,2016-04-04T04:00:00Z,1462630,66.27
66.37,66.45,66.37,9551,66.43,2016-04-05T04:00:00Z,2313411,66.39
66.33,66.4,66.3,7701,66.38,2016-04-06T04:00:00Z,1846746,66.35
66.55,66.58,66.46,6255,66.53,2016-04-07T04:00:00Z,1541913,66.54
66.49,66.52,66.44,5946,66.51,2016-04-08T04:00:00Z,1430552,66.48
66.49,66.52,66.41,5872,66.44,2016-04-11T04:00:00Z,1224643,66.46
66.38,66.45,66.32,7602,66.4,2016-04-12T04:00:00Z,2405506,66.37
66.42,66.46,66.3,6868,66.36,2016-04-13T04:00:00Z,1768709,66.39
66.37,66.45,66.34,6606,66.42,2016-04-14T04:00:00Z,1631214,66.39
66.52,66.57,66.43,5274,66.45,2016-04-15T04:00:00Z,1191053,66.53
66.49,66.49,66.43,6280,66.48,2016-04-18T04:00:00Z,1445119,66.47
66.53,66.53,66.41,5846,66.49,2016-04-19T04:00:00Z,1247090,66.49
66.35,66.58,66.35,8325,66.52,2016-04-20T04:00:00Z,2411973,66.48
66.27,66.35,66.2,6462,66.3,2016-04-21T04:00:00Z,1696760,66.3
66.25,66.37,66.23,10138,66.32,2016-04-22T04:00:00Z,5156142,66.33
66.17,66.28,66.16,6088,66.24,2016-04-25T04:00:00Z,2543417,66.2
66.07,66.2,66.01,8010,66.2,2016-04-26T04:00:00Z,1700764,66.07
66.27,66.31,66.1,8252,66.15,2016-04-27T04:00:00Z,1511993,66.21
66.39,66.44,66.25,6878,66.29,2016-04-28T04:00:00Z,1634968,66.35
66.44,66.45,66.32,8408,66.36,2016-04-29T04:00:00Z,2926076,66.39
66.32,66.42,66.3,8392,66.42,2016-05-02T04:00:00Z,2479534,66.35
66.51,66.56,66.47,6665,66.55,2016-05-03T04:00:00Z,1783364,66.51
66.53,66.6,66.46,9809,66.55,2016-05-04T04:00:00Z,2982685,66.55
66.65,66.67,66.49,5606,66.56,2016-05-05T04:00:00Z,1283411,66.6
66.62,66.67,66.57,6172,66.65,2016-05-06T04:00:00Z,1542335,66.62
66.67,66.71,66.62,5121,66.68,2016-05-09T04:00:00Z,1544092,66.68
66.67,66.72,66.62,5908,66.67,2016-05-10T04:00:00Z,1955189,66.68
66.68,66.8,66.65,7049,66.71,2016-05-11T04:00:00Z,2420261,66.73
66.69,66.74,66.64,7165,66.67,2016-05-12T04:00:00Z,1720898,66.69
66.76,66.79,66.66,5978,66.72,2016-05-13T04:00:00Z,1406384,66.75
66.62,66.71,66.61,6242,66.71,2016-05-16T04:00:00Z,3156612,66.65
66.57,66.7,66.55,7613,66.7,2016-05-17T04:00:00Z,1837577,66.6
66.26,66.53,66.21,7087,66.53,2016-05-18T04:00:00Z,1698855,66.39
66.33,66.34,66.27,6497,66.3,2016-05-19T04:00:00Z,1487545,66.31
66.33,66.41,66.29,6935,66.32,2016-05-20T04:00:00Z,2069931,66.36
66.35,66.41,66.3,5548,66.38,2016-05-23T04:00:00Z,1319311,66.36
66.31,66.35,66.24,6471,66.35,2016-05-24T04:00:00Z,2670568,66.3
66.29,66.35,66.27,5052,66.33,2016-05-25T04:00:00Z,1489136,66.31
66.4,66.45,66.33,6280,66.37,2016-05-26T04:00:00Z,1582281,66.41
66.38,66.44,66.31,6078,66.43,2016-05-27T04:00:00Z,2061081,66.39
66.43,66.51,66.27,5632,66.32,2016-05-31T04:00:00Z,1420114,66.42
66.46,66.55,66.41,6860,66.52,2016-06-01T04:00:00Z,1658674,66.47
66.59,66.64,66.51,6746,66.53,2016-06-02T04:00:00Z,1527432,66.6
67.0,67.03,66.87,8450,66.91,2016-06-03T04:00:00Z,2078612,66.96
66.9,66.93,66.83,6762,66.92,2016-06-06T04:00:00Z,1621706,66.89
66.91,66.97,66.89,5672,66.96,2016-06-07T04:00:00Z,1303697,66.94
66.99,67.0,66.93,5577,66.97,2016-06-08T04:00:00Z,1685179,66.98
