c,h,l,n,o,t,v,vw
10.15,10.15,9.968,12,9.968,2016-01-04T05:00:00Z,1267,10.08
10.38,10.39,10.15,16,10.15,2016-01-05T05:00:00Z,1959,10.34
10.38,10.38,10.38,0,10.38,2016-01-06T05:00:00Z,0,0.0
10.38,10.38,10.37,6,10.37,2016-01-07T05:00:00Z,1200,10.38
10.32,10.32,10.32,2,10.32,2016-01-08T05:00:00Z,127,10.33
10.32,10.32,10.32,0,10.32,2016-01-11T05:00:00Z,0,0.0
10.29,10.29,10.29,1,10.29,2016-01-12T05:00:00Z,100,10.29
10.17,10.17,10.17,1,10.17,2016-01-13T05:00:00Z,500,10.17
10.17,10.17,10.17,0,10.17,2016-01-14T05:00:00Z,0,0.0
10.55,10.55,10.42,8,10.42,2016-01-15T05:00:00Z,1473,10.47
10.69,10.69,10.57,47,10.57,2016-01-19T05:00:00Z,4884,10.67
11.11,11.15,10.69,338,10.69,2016-01-20T05:00:00Z,110234,11.07
11.17,11.19,11.08,16,11.16,2016-01-21T05:00:00Z,12655,11.17
11.22,11.24,10.99,24,11.23,2016-01-22T05:00:00Z,4700,11.2
11.1,11.1,11.1,4,11.1,2016-01-25T05:00:00Z,1700,11.1
11.06,11.39,10.94,7,11.39,2016-01-26T05:00:00Z,700,11.18
10.91,10.91,10.91,1,10.91,2016-01-27T05:00:00Z,2220,10.91
10.91,10.91,10.91,0,10.91,2016-01-28T05:00:00Z,0,0.0
10.91,10.91,10.91,0,10.91,2016-01-29T05:00:00Z,0,0.0
10.91,10.91,10.91,0,10.91,2016-02-01T05:00:00Z,0,0.0
10.91,10.91,10.91,0,10.91,2016-02-02T05:00:00Z,0,0.0
10.91,10.91,10.91,0,10.91,2016-02-03T05:00:00Z,0,0.0
10.91,10.91,10.91,0,10.91,2016-02-04T05:00:00Z,0,0.0
11.1,11.1,11.1,1,11.1,2016-02-05T05:00:00Z,100,11.1
10.81,10.93,10.81,11,10.92,2016-02-08T05:00:00Z,3325,10.91
10.81,10.81,10.81,0,10.81,2016-02-09T05:00:00Z,0,0.0
10.61,10.81,10.61,5,10.81,2016-02-10T05:00:00Z,1322,10.86
10.68,11.09,10.68,3,11.09,2016-02-11T05:00:00Z,560,10.9
10.68,10.68,10.68,0,10.68,2016-02-12T05:00:00Z,0,0.0
10.68,10.68,10.68,0,10.68,2016-02-16T05:00:00Z,0,0.0
10.68,10.68,10.68,0,10.68,2016-02-17T05:00:00Z,0,0.0
10.61,10.88,10.61,10,10.88,2016-02-18T05:00:00Z,1250,10.65
11.21,11.35,11.21,3,11.35,2016-02-19T05:00:00Z,350,11.29
10.72,10.75,10.62,31,10.68,2016-02-22T05:00:00Z,2863,10.66
10.75,10.75,10.75,2,10.75,2016-02-23T05:00:00Z,150,10.75
10.79,10.79,10.75,7,10.75,2016-02-24T05:00:00Z,2448,10.76
10.86,10.86,10.86,5,10.86,2016-02-25T05:00:00Z,1350,10.86
10.86,11.09,10.85,38,10.87,2016-02-26T05:00:00Z,5500,10.94
10.82,10.9,10.82,15,10.9,2016-02-29T05:00:00Z,2600,10.88
10.82,10.82,10.82,0,10.82,2016-03-01T05:00:00Z,0,0.0
10.88,10.88,10.88,7,10.88,2016-03-02T05:00:00Z,351,10.95
11.16,11.17,11.16,4,11.17,2016-03-03T05:00:00Z,320,11.16
11.32,11.32,11.32,5,11.32,2016-03-04T05:00:00Z,2371,11.32
10.95,11.18,10.85,68,11.18,2016-03-07T05:00:00Z,16106,10.91
11.44,11.44,10.91,55,10.96,2016-03-08T05:00:00Z,4787,11.11
11.74,11.74,11.47,7,11.49,2016-03-09T05:00:00Z,802,11.53
11.74,11.74,11.52,5,11.53,2016-03-10T05:00:00Z,451,11.6
11.55,11.55,11.55,4,11.55,2016-03-11T05:00:00Z,1300,11.55
11.55,11.55,11.51,6,11.55,2016-03-14T04:00:00Z,1350,11.53
11.25,11.3,11.25,11,11.3,2016-03-15T04:00:00Z,3165,11.29
11.25,11.25,11.25,0,11.25,2016-03-16T04:00:00Z,0,0.0
11.25,11.25,11.24,2,11.24,2016-03-17T04:00:00Z,1100,11.25
11.25,11.25,11.25,0,11.25,2016-03-18T04:00:00Z,0,0.0
11.25,11.25,11.25,0,11.25,2016-03-21T04:00:00Z,0,0.0
11.25,11.25,10.95,72,11.0,2016-03-22T04:00:00Z,9510,11.03
10.85,11.23,10.85,28,11.23,2016-03-23T04:00:00Z,6748,11.01
11.04,11.05,10.92,31,10.92,2016-03-24T04:00:00Z,3200,10.99
10.95,10.95,10.95,4,10.95,2016-03-28T04:00:00Z,1300,10.95
10.95,11.01,10.92,28,10.97,2016-03-29T04:00:00Z,7600,10.96
10.92,11.01,10.92,29,11.01,2016-03-30T04:00:00Z,5830,10.96
10.9,11.06,10.89,141,11.02,2016-03-31T04:00:00Z,21130,10.95
10.84,11.01,10.81,7,10.99,2016-04-01T04:00:00Z,862,10.88
10.95,10.95,10.95,11,10.95,2016-04-04T04:00:00Z,2144,10.95
10.87,10.92,10.87,11,10.92,2016-04-05T04:00:00Z,1817,10.89
10.87,10.95,10.87,6,10.95,2016-04-06T04:00:00Z,1770,10.91
10.87,10.87,10.87,0,10.87,2016-04-07T04:00:00Z,0,0.0
10.9,10.95,10.9,5,10.95,2016-04-08T04:00:00Z,3100,10.95
10.95,10.95,10.95,43,10.95,2016-04-11T04:00:00Z,7968,10.95
11.01,11.01,10.94,31,11.01,2016-04-12T04:00:00Z,6665,10.97
11.03,11.03,10.9,9,11.03,2016-04-13T04:00:00Z,900,10.98
11.03,11.13,10.97,17,11.13,2016-04-14T04:00:00Z,2617,11.02
11.03,11.03,10.98,8,11.03,2016-04-15T04:00:00Z,1085,11.01
11.03,11.03,10.97,16,11.02,2016-04-18T04:00:00Z,6090,11.02
11.12,11.18,11.02,53,11.02,2016-04-19T04:00:00Z,11681,11.07
11.21,11.21,11.14,116,11.18,2016-04-20T04:00:00Z,18957,11.17
11.57,11.61,11.21,195,11.33,2016-04-21T04:00:00Z,36274,11.36
11.63,11.63,11.45,30,11.48,2016-04-22T04:00:00Z,4767,11.51
11.66,11.73,11.48,55,11.63,2016-04-25T04:00:00Z,12299,11.62
11.69,11.69,11.63,27,11.63,2016-04-26T04:00:00Z,2906,11.68
11.67,11.69,11.67,27,11.69,2016-04-27T04:00:00Z,5400,11.69
11.72,11.89,11.69,102,11.69,2016-04-28T04:00:00Z,23210,11.74
11.73,11.89,11.73,15,11.88,2016-04-29T04:00:00Z,3406,11.75
11.61,11.81,11.45,45,11.81,2016-05-02T04:00:00Z,13220,11.62
11.45,11.68,11.41,78,11.68,2016-05-03T04:00:00Z,14799,11.49
11.48,11.54,11.45,15,11.45,2016-05-04T04:00:00Z,3615,11.48
11.5,11.63,11.47,23,11.48,2016-05-05T04:00:00Z,6310,11.48
11.33,11.57,11.31,50,11.57,2016-05-06T04:00:00Z,4884,11.4
11.33,11.52,11.24,58,11.33,2016-05-09T04:00:00Z,14912,11.31
11.52,11.61,11.47,144,11.47,2016-05-10T04:00:00Z,6058,11.49
11.62,11.68,11.55,8,11.65,2016-05-11T04:00:00Z,1000,11.63
11.91,12.26,11.64,31,11.64,2016-05-12T04:00:00Z,11329,11.81
11.79,11.85,11.7,72,11.85,2016-05-13T04:00:00Z,19391,11.8
11.81,11.88,11.79,36,11.88,2016-05-16T04:00:00Z,9595,11.87
12.15,12.3,11.88,72,11.88,2016-05-17T04:00:00Z,23521,12.07
12.17,12.36,12.12,190,12.3,2016-05-18T04:00:00Z,30944,12.3
12.42,12.42,12.19,176,12.27,2016-05-19T04:00:00Z,32035,12.37
12.42,12.61,12.33,156,12.51,2016-05-20T04:00:00Z,51846,12.55
13.05,13.2,12.49,164,12.53,2016-05-23T04:00:00Z,44257,12.93
13.1,13.13,12.75,90,12.75,2016-05-24T04:00:00Z,20410,13.06
13.2,13.22,13.05,38,13.2,2016-05-25T04:00:00Z,13659,13.19
13.17,13.2,12.67,15,13.19,2016-05-26T04:00:00Z,5665,13.13
13.17,13.2,13.17,14,13.2,2016-05-27T04:00:00Z,5203,13.19
13.14,13.14,13.14,1,13.14,2016-05-31T04:00:00Z,775,13.14
13.06,13.11,12.9,15,13.0,2016-06-01T04:00:00Z,3030,13.04
13.2,13.2,13.11,13,13.12,2016-06-02T04:00:00Z,3900,13.15
12.9,13.13,12.9,71,13.13,2016-06-03T04:00:00Z,11037,12.95
12.9,13.04,12.9,27,13.04,2016-06-06T04:00:00Z,7547,12.97
12.9,13.2,12.9,24,12.96,2016-06-07T04:00:00Z,6450,13.04
12.75,12.9,12.7,15,12.76,2016-06-08T04:00:00Z,2625,12.78
13.05,13.14,12.83,67,12.84,2016-06-09T04:00:00Z,16417,13.01
12.9,13.14,12.9,9,13.14,2016-06-10T04:00:00Z,683,12.98
13.22,13.22,12.69,43,12.97,2016-06-13T04:00:00Z,14751,13.11
