c,h,l,n,o,t,v,vw
18.95,18.97,18.52,1191,18.63,2021-07-27T04:00:00Z,641265,18.88
18.94,19.08,18.88,1671,18.98,2021-07-28T04:00:00Z,733847,19.01
19.01,19.01,18.86,2327,18.94,2021-07-29T04:00:00Z,535754,18.94
18.82,18.93,18.77,3223,18.93,2021-07-30T04:00:00Z,2855492,18.83
18.8,18.85,18.75,2416,18.77,2021-08-02T04:00:00Z,618692,18.79
18.77,18.8,18.71,1736,18.78,2021-08-03T04:00:00Z,422708,18.78
18.73,18.82,18.71,1790,18.8,2021-08-04T04:00:00Z,592923,18.75
18.66,18.78,18.64,2206,18.71,2021-08-05T04:00:00Z,514932,18.7
18.61,18.68,18.58,1859,18.65,2021-08-06T04:00:00Z,354168,18.62
18.64,18.77,18.57,1334,18.77,2021-08-09T04:00:00Z,208983,18.63
18.54,18.72,18.53,902,18.64,2021-08-10T04:00:00Z,111678,18.59
18.49,18.68,18.49,1592,18.54,2021-08-11T04:00:00Z,156774,18.61
18.58,18.67,18.48,1362,18.48,2021-08-12T04:00:00Z,144892,18.61
18.63,18.69,18.58,1001,18.58,2021-08-13T04:00:00Z,203296,18.64
18.64,18.67,18.63,1497,18.67,2021-08-16T04:00:00Z,229921,18.66
18.67,18.74,18.63,1166,18.63,2021-08-17T04:00:00Z,155208,18.66
18.67,18.78,18.61,1009,18.67,2021-08-18T04:00:00Z,126590,18.69
18.67,18.74,18.59,1357,18.6,2021-08-19T04:00:00Z,277122,18.7
18.79,18.86,18.64,1039,18.67,2021-08-20T04:00:00Z,252604,18.71
18.97,19.01,18.8,1684,18.82,2021-08-23T04:00:00Z,288295,18.9
19.07,19.07,18.95,1478,19.04,2021-08-24T04:00:00Z,215307,19.03
19.06,19.07,18.99,1389,19.04,2021-08-25T04:00:00Z,410282,19.03
19.1,19.11,19.02,944,19.07,2021-08-26T04:00:00Z,264614,19.07
19.1,19.1,18.91,1201,19.1,2021-08-27T04:00:00Z,282484,19.08
19.22,19.27,19.08,1159,19.2,2021-08-30T04:00:00Z,375320,19.2
19.68,19.77,19.25,2889,19.33,2021-08-31T04:00:00Z,4601346,19.66
19.7,19.7,19.36,2710,19.54,2021-09-01T04:00:00Z,488509,19.61
19.65,19.72,19.62,1330,19.7,2021-09-02T04:00:00Z,2614720,19.63
19.64,19.7,19.63,762,19.64,2021-09-03T04:00:00Z,172675,19.66
19.51,19.68,19.44,324,19.63,2021-09-07T04:00:00Z,38501,19.52
19.44,19.51,19.4,269,19.48,2021-09-08T04:00:00Z,24814,19.46
19.19,19.4,19.14,1009,19.4,2021-09-09T04:00:00Z,160954,19.26
18.9,19.33,18.88,1296,19.18,2021-09-10T04:00:00Z,187184,19.04
18.81,19.02,18.75,1103,18.9,2021-09-13T04:00:00Z,201005,18.91
18.84,19.09,18.83,332,18.83,2021-09-14T04:00:00Z,33214,18.96
19.04,19.1,18.83,399,18.87,2021-09-15T04:00:00Z,206731,18.89
18.99,19.15,18.99,659,19.03,2021-09-16T04:00:00Z,59029,19.07
18.98,19.22,18.91,613,18.99,2021-09-17T04:00:00Z,52644,19.02
18.89,19.03,18.81,739,18.97,2021-09-20T04:00:00Z,56271,18.9
18.83,18.93,18.83,426,18.85,2021-09-21T04:00:00Z,54762,18.86
18.87,18.93,18.81,821,18.83,2021-09-22T04:00:00Z,69749,18.86
18.87,19.38,18.85,336,19.38,2021-09-23T04:00:00Z,37034,18.91
18.87,19.05,18.8,275,18.8,2021-09-24T04:00:00Z,21594,18.91
18.82,19.04,18.75,503,19.04,2021-09-27T04:00:00Z,202361,18.83
18.65,18.9,18.6,761,18.69,2021-09-28T04:00:00Z,90028,18.68
18.71,18.74,18.65,491,18.66,2021-09-29T04:00:00Z,36032,18.72
18.64,18.81,18.64,723,18.75,2021-09-30T04:00:00Z,142539,18.68
18.68,18.82,18.64,538,18.71,2021-10-01T04:00:00Z,44179,18.7
18.88,18.9,18.71,1021,18.8,2021-10-04T04:00:00Z,234166,18.83
18.83,18.93,18.79,411,18.92,2021-10-05T04:00:00Z,84177,18.84
18.87,18.9,18.68,325,18.68,2021-10-06T04:00:00Z,19904,18.83
18.8,18.87,18.74,540,18.83,2021-10-07T04:00:00Z,80883,18.83
18.69,18.79,18.69,346,18.75,2021-10-08T04:00:00Z,27830,18.72
18.67,18.74,18.67,399,18.71,2021-10-11T04:00:00Z,41545,18.7
18.74,18.83,18.69,462,18.71,2021-10-12T04:00:00Z,61163,18.76
18.89,18.93,18.71,430,18.71,2021-10-13T04:00:00Z,40212,18.89
18.96,19.02,18.89,829,18.98,2021-10-14T04:00:00Z,1189455,18.9
19.19,19.21,18.88,2161,18.91,2021-10-15T04:00:00Z,471920,19.09
19.21,19.32,19.15,1649,19.16,2021-10-18T04:00:00Z,375643,19.25
19.17,19.3,19.14,456,19.22,2021-10-19T04:00:00Z,117443,19.2
19.16,19.24,19.15,476,19.24,2021-10-20T04:00:00Z,47035,19.19
19.08,19.35,19.07,961,19.15,2021-10-21T04:00:00Z,185878,19.21
19.07,19.21,19.06,287,19.06,2021-10-22T04:00:00Z,37573,19.08
18.97,19.11,18.94,437,19.08,2021-10-25T04:00:00Z,327790,18.96
18.97,19.05,18.89,366,18.93,2021-10-26T04:00:00Z,1220776,18.9
