c,h,l,n,o,t,v,vw
49.14,49.14,49.14,13,49.14,2024-06-18T04:00:00Z,93,0.0
49.24,49.36,49.19,148,49.36,2024-06-20T04:00:00Z,21558,49.25
49.27,49.31,49.26,40,49.29,2024-06-21T04:00:00Z,1610,49.28
49.32,49.41,49.32,65,49.32,2024-06-24T04:00:00Z,3592,49.36
49.29,49.34,49.29,33,49.31,2024-06-25T04:00:00Z,3648,49.33
49.25,49.25,49.22,30,49.22,2024-06-26T04:00:00Z,458,49.23
49.22,49.22,49.2,40,49.2,2024-06-27T04:00:00Z,886,49.2
49.24,49.29,49.24,22,49.25,2024-06-28T04:00:00Z,745,49.26
49.19,49.19,49.19,17,49.19,2024-07-01T04:00:00Z,144,0.0
49.18,49.19,49.17,31,49.18,2024-07-02T04:00:00Z,1143,49.18
49.17,49.2,49.17,56,49.2,2024-07-03T04:00:00Z,7320,49.18
49.48,49.48,49.35,19,49.35,2024-07-05T04:00:00Z,3187,49.39
49.52,49.52,49.48,17,49.48,2024-07-08T04:00:00Z,393,49.48
49.52,49.54,49.48,22,49.51,2024-07-09T04:00:00Z,1113,49.51
49.58,49.59,49.46,17,49.46,2024-07-10T04:00:00Z,1461,49.53
49.71,49.71,49.71,10,49.71,2024-07-11T04:00:00Z,269,0.0
49.82,49.82,49.77,17,49.77,2024-07-12T04:00:00Z,559,49.77
49.87,49.88,49.83,30,49.88,2024-07-15T04:00:00Z,1357,49.86
50.01,50.02,49.94,68,49.94,2024-07-16T04:00:00Z,3099,50.0
49.98,49.98,49.92,20,49.95,2024-07-17T04:00:00Z,1151,49.94
49.95,49.99,49.95,15,49.99,2024-07-18T04:00:00Z,228,49.99
49.92,49.94,49.9,16,49.9,2024-07-19T04:00:00Z,297,49.92
50.01,50.01,49.99,12,49.99,2024-07-22T04:00:00Z,534,49.99
50.08,50.08,50.07,13,50.07,2024-07-23T04:00:00Z,165,50.07
50.02,50.05,50.02,9,50.05,2024-07-24T04:00:00Z,189,50.05
49.99,49.99,49.99,19,49.99,2024-07-25T04:00:00Z,418,49.99
50.09,50.09,50.09,10,50.09,2024-07-26T04:00:00Z,78,0.0
50.07,50.07,50.07,10,50.07,2024-07-29T04:00:00Z,65,0.0
50.09,50.09,50.07,11,50.07,2024-07-30T04:00:00Z,346,50.07
50.18,50.18,50.15,12,50.15,2024-07-31T04:00:00Z,192,50.15
50.17,50.22,50.14,16,50.22,2024-08-01T04:00:00Z,846,50.17
50.04,50.04,49.98,11,50.02,2024-08-02T04:00:00Z,951,50.01
49.7,49.7,49.67,15,49.67,2024-08-05T04:00:00Z,177,49.67
49.96,50.13,49.92,49,49.92,2024-08-06T04:00:00Z,17059,50.04
49.99,50.12,49.98,27,50.12,2024-08-07T04:00:00Z,757,50.05
50.05,50.07,50.05,16,50.07,2024-08-08T04:00:00Z,695,50.07
50.11,50.14,50.1,21,50.13,2024-08-09T04:00:00Z,1399,50.12
50.11,50.17,50.11,21,50.14,2024-08-12T04:00:00Z,2048,50.14
50.22,50.24,50.2,25,50.2,2024-08-13T04:00:00Z,1143,50.22
50.34,50.39,50.29,23,50.32,2024-08-14T04:00:00Z,804,50.33
50.43,50.43,50.43,54,50.43,2024-08-15T04:00:00Z,1194,0.0
50.53,50.53,50.53,12,50.53,2024-08-16T04:00:00Z,367,50.53
50.65,50.65,50.62,30,50.62,2024-08-19T04:00:00Z,977,50.62
50.68,50.73,50.68,10,50.73,2024-08-20T04:00:00Z,429,50.72
50.75,50.79,50.74,26,50.75,2024-08-21T04:00:00Z,1131,50.77
50.73,50.73,50.73,7,50.73,2024-08-22T04:00:00Z,49,0.0
50.92,50.92,50.81,20,50.84,2024-08-23T04:00:00Z,952,50.83
50.95,50.98,50.95,25,50.97,2024-08-26T04:00:00Z,1612,50.97
50.93,50.96,50.93,22,50.96,2024-08-27T04:00:00Z,924,50.96
50.93,50.93,50.93,9,50.93,2024-08-28T04:00:00Z,80,0.0
50.93,51.0,50.93,16,51.0,2024-08-29T04:00:00Z,798,50.99
51.03,51.03,51.03,10,51.03,2024-08-30T04:00:00Z,209,51.03
50.86,50.89,50.86,28,50.89,2024-09-03T04:00:00Z,816,50.88
50.94,50.94,50.83,16,50.85,2024-09-04T04:00:00Z,709,50.87
50.97,51.02,50.92,17,50.98,2024-09-05T04:00:00Z,8574,50.98
51.0,51.01,51.0,19,51.01,2024-09-06T04:00:00Z,507,51.01
51.02,51.02,51.02,14,51.02,2024-09-09T04:00:00Z,133,0.0
51.0,51.05,51.0,13,51.05,2024-09-10T04:00:00Z,425,51.05
51.02,51.02,51.02,4,51.02,2024-09-11T04:00:00Z,6,0.0
51.07,51.07,51.03,30,51.05,2024-09-12T04:00:00Z,2162,51.04
51.22,51.22,51.15,14,51.17,2024-09-13T04:00:00Z,598,51.17
51.28,51.28,51.28,11,51.28,2024-09-16T04:00:00Z,247,51.28
51.41,51.41,51.37,31,51.37,2024-09-17T04:00:00Z,2141,51.39
51.35,51.4,51.32,23,51.36,2024-09-18T04:00:00Z,1553,51.36
51.55,51.55,51.55,10,51.55,2024-09-19T04:00:00Z,82,0.0
51.53,51.53,51.47,15,51.51,2024-09-20T04:00:00Z,390,51.5
51.51,51.56,51.51,17,51.56,2024-09-23T04:00:00Z,945,51.53
51.49,51.51,51.49,19,51.51,2024-09-24T04:00:00Z,471,51.51
51.46,51.5,51.46,16,51.49,2024-09-25T04:00:00Z,450,51.49
51.5,51.56,51.5,43,51.51,2024-09-26T04:00:00Z,3123,51.51
51.53,51.54,51.51,17,51.51,2024-09-27T04:00:00Z,969,51.52
51.64,51.64,51.55,18,51.61,2024-09-30T04:00:00Z,1062,51.57
51.46,51.66,51.23,111,51.66,2024-10-01T04:00:00Z,32123,51.32
51.43,51.44,51.43,9,51.44,2024-10-02T04:00:00Z,413,51.44
51.37,51.37,51.34,14,51.35,2024-10-03T04:00:00Z,1023,51.34
51.35,51.35,51.34,18,51.34,2024-10-04T04:00:00Z,316,51.34
51.13,51.26,51.01,41,51.26,2024-10-07T04:00:00Z,1777,51.14
51.18,51.22,51.17,13,51.22,2024-10-08T04:00:00Z,624,51.19
51.18,51.23,51.15,20,51.23,2024-10-09T04:00:00Z,452,51.19
51.15,51.21,51.15,14,51.21,2024-10-10T04:00:00Z,367,51.21
51.23,51.25,51.23,13,51.25,2024-10-11T04:00:00Z,360,51.25
51.28,51.28,51.22,22,51.24,2024-10-14T04:00:00Z,1911,51.23
51.3,51.31,51.27,11,51.27,2024-10-15T04:00:00Z,378,51.28
51.41,51.41,51.41,7,51.41,2024-10-16T04:00:00Z,123,51.41
51.33,51.4,51.33,6,51.4,2024-10-17T04:00:00Z,410,51.37
51.39,51.41,51.37,16,51.41,2024-10-18T04:00:00Z,406,51.39
51.31,51.31,51.31,14,51.31,2024-10-21T04:00:00Z,235,0.0
51.3,51.3,51.3,11,51.3,2024-10-22T04:00:00Z,78,0.0
51.14,51.31,51.14,16,51.31,2024-10-23T04:00:00Z,372,51.3
51.15,51.15,51.11,14,51.11,2024-10-24T04:00:00Z,313,51.12
51.23,51.27,51.23,10,51.27,2024-10-25T04:00:00Z,384,51.27
51.22,51.27,51.22,15,51.27,2024-10-28T04:00:00Z,310,51.27
51.2,51.2,51.18,11,51.18,2024-10-29T04:00:00Z,158,51.18
51.22,51.22,51.22,7,51.22,2024-10-30T04:00:00Z,58,0.0
51.12,51.18,51.12,10,51.18,2024-10-31T04:00:00Z,1017,51.18
51.1345,51.1345,51.1345,8,51.1345,2024-11-01T04:00:00Z,97,0.0
51.19,51.19,51.19,13,51.19,2024-11-04T05:00:00Z,26,0.0
51.215,51.23,51.16,23,51.16,2024-11-05T05:00:00Z,1495,51.193701
51.25,51.255,51.23,44,51.23,2024-11-06T05:00:00Z,985,51.239937
51.425,51.425,51.3301,13,51.3301,2024-11-07T05:00:00Z,1292,51.3301
51.61,51.61,51.61,13,51.61,2024-11-08T05:00:00Z,88,0.0
51.565,51.6,51.55,26,51.55,2024-11-11T05:00:00Z,711,51.572439
51.46,51.5242,51.41,27,51.5242,2024-11-12T05:00:00Z,1042,51.471683
51.47,51.47,51.47,9,51.47,2024-11-13T05:00:00Z,65,0.0
51.42,51.42,51.42,12,51.42,2024-11-14T05:00:00Z,69,0.0
51.345,51.3572,51.34,18,51.35,2024-11-15T05:00:00Z,1260,51.3481
51.375,51.375,51.375,8,51.375,2024-11-18T05:00:00Z,23,0.0
51.375,51.375,51.37,16,51.37,2024-11-19T05:00:00Z,294,51.3725
51.475,51.475,51.475,36,51.475,2024-11-20T05:00:00Z,637,51.475
51.56,51.56,51.52,5,51.52,2024-11-21T05:00:00Z,169,51.52
51.5535,51.5535,51.5412,12,51.5412,2024-11-22T05:00:00Z,1297,51.5412
51.56,51.56,51.56,18,51.56,2024-11-25T05:00:00Z,211,0.0
