c,h,l,n,o,t,v,vw
9.82,9.82,9.76,36,9.76,2021-10-06T04:00:00Z,405000,9.788272
9.82,9.82,9.82,6,9.82,2021-10-07T04:00:00Z,416,9.819231
9.8,9.85,9.8,108,9.82,2021-10-08T04:00:00Z,161738,9.825318
9.8,9.82,9.8,130,9.81,2021-10-11T04:00:00Z,195012,9.812425
9.86,9.87,9.82,888,9.82,2021-10-12T04:00:00Z,646915,9.853262
9.87,9.87,9.84,895,9.86,2021-10-13T04:00:00Z,932436,9.862242
9.84,9.87,9.84,195,9.87,2021-10-14T04:00:00Z,219592,9.851933
9.85,9.87,9.84,158,9.84,2021-10-15T04:00:00Z,35851,9.859272
9.88,9.95,9.8501,170,9.86,2021-10-18T04:00:00Z,76781,9.876006
9.88,9.88,9.865,20,9.865,2021-10-19T04:00:00Z,8374,9.867659
9.85,9.9,9.84,292,9.87,2021-10-20T04:00:00Z,560137,9.863298
9.86,9.87,9.85,48,9.85,2021-10-21T04:00:00Z,127820,9.859765
9.85,9.87,9.84,175,9.8681,2021-10-22T04:00:00Z,46143,9.853431
9.9,9.9,9.84,56,9.84,2021-10-25T04:00:00Z,55648,9.879871
9.87,9.9289,9.87,76,9.9,2021-10-26T04:00:00Z,40218,9.902966
9.88,9.885,9.8689,108,9.8689,2021-10-27T04:00:00Z,3432,9.884554
9.905,9.905,9.905,5,9.905,2021-10-28T04:00:00Z,105,9.904904
9.91,9.9234,9.8837,9,9.905,2021-10-29T04:00:00Z,378168,9.880124
9.8864,9.9199,9.8864,10,9.9199,2021-11-01T04:00:00Z,1412,9.912651
9.91,9.91,9.89,43,9.8901,2021-11-02T04:00:00Z,5574,9.892392
9.8901,9.92,9.8901,5,9.92,2021-11-03T04:00:00Z,1030,9.905918
9.9,9.9,9.87,29,9.87,2021-11-04T04:00:00Z,494769,9.899923
9.93,9.93,9.9,29,9.9,2021-11-05T04:00:00Z,9663,9.912151
9.8948,9.8948,9.89,12,9.89,2021-11-08T05:00:00Z,1460,9.895134
9.89,9.9,9.8858,9,9.8858,2021-11-09T05:00:00Z,1499,9.89463
9.89,9.91,9.89,89,9.9,2021-11-10T05:00:00Z,237476,9.890191
9.9,9.9146,9.88,203,9.89,2021-11-11T05:00:00Z,56725,9.892502
9.89,9.9199,9.88,22,9.88,2021-11-12T05:00:00Z,5399,9.89867
9.91,9.9219,9.89,1330,9.8971,2021-11-15T05:00:00Z,204973,9.91411
9.92,9.93,9.9,162,9.9,2021-11-16T05:00:00Z,54982,9.920331
9.92,9.98,9.88,462,9.98,2021-11-17T05:00:00Z,519391,9.913157
9.9499,9.99,9.92,54,9.99,2021-11-18T05:00:00Z,10388,9.946578
9.946,10.1398,9.91,279,9.97,2021-11-19T05:00:00Z,121022,9.93726
9.95,9.97,9.91,192,9.97,2021-11-22T05:00:00Z,53895,9.951638
9.96,9.96,9.92,72,9.9275,2021-11-23T05:00:00Z,25031,9.940331
9.95,9.96,9.93,27,9.96,2021-11-24T05:00:00Z,1513,9.942979
9.95,9.96,9.928,22,9.95,2021-11-26T05:00:00Z,5013,9.948627
9.92,9.98,9.92,51,9.98,2021-11-29T05:00:00Z,5869,9.964191
9.9254,9.95,9.9229,40,9.935,2021-11-30T05:00:00Z,7686,9.940588
9.95,9.95,9.92,69,9.94,2021-12-01T05:00:00Z,21937,9.935802
9.935,9.95,9.93,38,9.95,2021-12-02T05:00:00Z,5914,9.941363
9.97,9.97,9.92,135,9.95,2021-12-03T05:00:00Z,56560,9.9354
9.93,9.97,9.9201,210,9.94,2021-12-06T05:00:00Z,86551,9.93099
9.94,9.94,9.93,47,9.93,2021-12-07T05:00:00Z,10457,9.933367
9.92,9.94,9.92,104,9.94,2021-12-08T05:00:00Z,41943,9.924531
9.94,9.94,9.92,106,9.94,2021-12-09T05:00:00Z,171940,9.930508
9.93,9.94,9.93,120,9.94,2021-12-10T05:00:00Z,20912,9.937892
9.93,9.94,9.92,42,9.94,2021-12-13T05:00:00Z,9833,9.929938
9.9,9.93,9.88,89,9.93,2021-12-14T05:00:00Z,172126,9.918916
9.8832,9.9,9.8815,83,9.8833,2021-12-15T05:00:00Z,35649,9.890707
9.88,9.9,9.88,19,9.9,2021-12-16T05:00:00Z,1709,9.89135
9.8801,9.8888,9.88,40,9.8888,2021-12-17T05:00:00Z,3357,9.881783
9.88,9.89,9.88,51,9.89,2021-12-20T05:00:00Z,5847,9.88404
9.88,9.88,9.8738,26,9.88,2021-12-21T05:00:00Z,2686,9.878791
9.94,9.94,9.8804,64,9.89,2021-12-22T05:00:00Z,27710,9.890728
9.89,9.89,9.88,129,9.89,2021-12-23T05:00:00Z,34802,9.885692
9.8801,9.8801,9.88,20,9.88,2021-12-27T05:00:00Z,1286,9.879401
9.89,9.89,9.87,14,9.8718,2021-12-28T05:00:00Z,1316,9.873259
9.88,9.88,9.87,15,9.87,2021-12-29T05:00:00Z,498,9.879883
9.88,9.8888,9.88,9,9.8888,2021-12-30T05:00:00Z,434,9.882335
9.88,9.9,9.86,22,9.86,2021-12-31T05:00:00Z,9528,9.890512
9.872,9.88,9.87,28,9.88,2022-01-03T05:00:00Z,53149,9.87524
9.88,9.88,9.88,8,9.88,2022-01-04T05:00:00Z,1128,9.880062
9.87,9.89,9.86,24,9.86,2022-01-05T05:00:00Z,80169,9.888547
9.87,9.875,9.87,70,9.87,2022-01-06T05:00:00Z,24532,9.87031
9.89,9.89,9.87,45,9.87,2022-01-07T05:00:00Z,9314,9.87396
9.89,9.9,9.87,54,9.87,2022-01-10T05:00:00Z,15787,9.886864
9.89,9.9,9.87,18,9.9,2022-01-11T05:00:00Z,1599,9.885198
9.89,9.8999,9.885,22,9.8999,2022-01-12T05:00:00Z,7030,9.889619
9.87,9.89,9.87,18,9.89,2022-01-13T05:00:00Z,2718,9.875427
9.87,9.87,9.86,15,9.86,2022-01-14T05:00:00Z,3930,9.868481
9.8725,9.8725,9.86,20,9.87,2022-01-18T05:00:00Z,2141,9.867606
9.86,9.9,9.86,105,9.89,2022-01-19T05:00:00Z,540469,9.866596
9.9,9.9,9.85,57,9.85,2022-01-20T05:00:00Z,14609,9.886344
9.86,9.88,9.83,52,9.83,2022-01-21T05:00:00Z,14767,9.873894
9.88,9.94,9.8601,31,9.9,2022-01-24T05:00:00Z,12052,9.922012
9.87,9.88,9.85,79,9.87,2022-01-25T05:00:00Z,405624,9.850281
9.8506,9.8506,9.8506,12,9.8506,2022-01-26T05:00:00Z,1186,9.855776
9.8513,9.86,9.85,14,9.86,2022-01-27T05:00:00Z,1424,9.855783
9.85,9.88,9.85,18,9.88,2022-01-28T05:00:00Z,1518,9.858744
9.85,9.885,9.85,17,9.85,2022-01-31T05:00:00Z,1766,9.86179
9.895,9.9127,9.885,44,9.89,2022-02-01T05:00:00Z,9189,9.894904
9.88,9.89,9.87,11,9.89,2022-02-02T05:00:00Z,989,9.881264
9.88,9.88,9.87,18,9.87,2022-02-03T05:00:00Z,899,9.873148
9.89,9.89,9.89,10,9.89,2022-02-04T05:00:00Z,31774,9.889995
9.89,9.9,9.89,13,9.9,2022-02-07T05:00:00Z,7135,9.899004
9.9,9.9,9.89,19,9.89,2022-02-08T05:00:00Z,1895,9.892021
9.88,9.88,9.88,5,9.88,2022-02-09T05:00:00Z,165,9.890503
9.92,9.92,9.86,373,9.86,2022-02-10T05:00:00Z,544388,9.886251
9.9,9.93,9.9,49,9.9,2022-02-11T05:00:00Z,3333,9.915642
9.9,9.9,9.9,4,9.9,2022-02-14T05:00:00Z,1034,9.900702
9.9,9.9,9.9,0,9.9,2022-02-15T05:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2022-02-16T05:00:00Z,0,0.0
9.91,9.945,9.9,23,9.945,2022-02-17T05:00:00Z,3422,9.906097
9.91,9.91,9.91,6,9.91,2022-02-18T05:00:00Z,281,9.916655
9.9001,9.93,9.9,13,9.92,2022-02-22T05:00:00Z,1396,9.919169
9.9,9.91,9.9,27,9.9,2022-02-23T05:00:00Z,2341,9.900759
9.9,9.91,9.89,55,9.89,2022-02-24T05:00:00Z,28056,9.899252
9.905,9.905,9.9,11,9.9,2022-02-25T05:00:00Z,443,9.90316
9.92,9.94,9.9,95,9.9,2022-02-28T05:00:00Z,17015,9.911815
9.94,9.94,9.92,76,9.925,2022-03-01T05:00:00Z,163014,9.939307
9.94,9.94,9.93,24,9.93,2022-03-02T05:00:00Z,2840,9.936512
