c,h,l,n,o,t,v,vw
17.64,17.95,17.64,42,17.76,2020-09-17T04:00:00Z,5468,17.77
17.65,18.07,17.58,103,17.58,2020-09-18T04:00:00Z,13861,17.76
17.62,17.64,17.62,8,17.64,2020-09-21T04:00:00Z,644,17.64
17.62,17.64,17.62,19,17.64,2020-09-22T04:00:00Z,2700,17.63
17.49,17.61,17.49,58,17.61,2020-09-23T04:00:00Z,11403,17.56
17.45,17.54,17.45,82,17.51,2020-09-24T04:00:00Z,11764,17.5
17.44,17.47,17.43,13,17.47,2020-09-25T04:00:00Z,1692,17.44
17.51,17.51,17.46,7,17.46,2020-09-28T04:00:00Z,2300,17.47
17.52,17.52,17.5,11,17.52,2020-09-29T04:00:00Z,8355,17.52
17.5,17.51,17.5,16,17.51,2020-09-30T04:00:00Z,6950,17.51
17.54,17.54,17.53,26,17.53,2020-10-01T04:00:00Z,1778,17.53
17.52,17.54,17.52,13,17.52,2020-10-02T04:00:00Z,3900,17.53
17.5,17.54,17.47,29,17.51,2020-10-05T04:00:00Z,10962,17.48
17.49,17.49,17.49,11,17.49,2020-10-06T04:00:00Z,1000,17.49
17.49,17.54,17.48,26,17.48,2020-10-07T04:00:00Z,3559,17.51
17.55,17.55,17.55,7,17.55,2020-10-08T04:00:00Z,520,17.55
17.55,17.57,17.54,11,17.55,2020-10-09T04:00:00Z,906,17.55
17.63,17.63,17.61,36,17.61,2020-10-12T04:00:00Z,4450,17.63
17.6,17.62,17.6,24,17.62,2020-10-13T04:00:00Z,2622,17.6
17.6,17.6,17.6,0,17.6,2020-10-14T04:00:00Z,0,0.0
17.59,17.61,17.58,57,17.61,2020-10-15T04:00:00Z,8476,17.6
17.6,17.61,17.58,12,17.6,2020-10-16T04:00:00Z,1307,17.6
17.58,17.59,17.56,18,17.58,2020-10-19T04:00:00Z,1962,17.57
17.51,17.51,17.51,5,17.51,2020-10-20T04:00:00Z,212,17.54
17.53,17.53,17.52,6,17.53,2020-10-21T04:00:00Z,547,17.52
17.49,17.5,17.49,10,17.5,2020-10-22T04:00:00Z,810,17.5
17.53,17.54,17.5,19,17.5,2020-10-23T04:00:00Z,2795,17.53
17.56,17.56,17.53,27,17.54,2020-10-26T04:00:00Z,5294,17.54
17.56,17.58,17.56,5,17.58,2020-10-27T04:00:00Z,550,17.57
17.54,17.55,17.53,19,17.55,2020-10-28T04:00:00Z,3700,17.54
17.47,17.49,17.47,6,17.48,2020-10-29T04:00:00Z,600,17.48
17.42,17.47,17.41,13,17.47,2020-10-30T04:00:00Z,501,17.44
17.45,17.45,17.45,1,17.45,2020-11-02T05:00:00Z,100,17.45
17.44,17.45,17.44,12,17.45,2020-11-03T05:00:00Z,1567,17.44
17.69,17.69,17.6,5,17.6,2020-11-04T05:00:00Z,1230,17.62
17.72,17.72,17.72,2,17.72,2020-11-05T05:00:00Z,200,17.72
17.72,17.72,17.72,0,17.72,2020-11-06T05:00:00Z,0,0.0
17.6,17.62,17.6,35,17.62,2020-11-09T05:00:00Z,5187,17.62
17.6,17.64,17.6,10,17.61,2020-11-10T05:00:00Z,990,17.62
17.61,17.61,17.58,6,17.58,2020-11-11T05:00:00Z,409,17.6
17.65,17.65,17.63,8,17.63,2020-11-12T05:00:00Z,700,17.65
17.69,17.69,17.67,5,17.67,2020-11-13T05:00:00Z,450,17.67
17.71,17.71,17.69,40,17.69,2020-11-16T05:00:00Z,5878,17.7
17.71,17.71,17.71,0,17.71,2020-11-17T05:00:00Z,0,0.0
17.71,17.71,17.71,0,17.71,2020-11-18T05:00:00Z,0,0.0
17.84,17.84,17.84,1,17.84,2020-11-19T05:00:00Z,179,17.84
17.84,17.84,17.84,5,17.84,2020-11-20T05:00:00Z,704,17.84
17.84,17.84,17.84,4,17.84,2020-11-23T05:00:00Z,377,17.84
17.86,17.86,17.86,2,17.86,2020-11-24T05:00:00Z,400,17.86
17.86,17.86,17.86,0,17.86,2020-11-25T05:00:00Z,0,0.0
17.91,17.91,17.91,3,17.91,2020-11-27T05:00:00Z,183,17.91
17.91,17.91,17.91,7,17.91,2020-11-30T05:00:00Z,503,17.91
17.88,17.96,17.87,36,17.96,2020-12-01T05:00:00Z,3860,17.91
17.86,17.86,17.86,2,17.86,2020-12-02T05:00:00Z,250,17.86
17.86,17.86,17.86,0,17.86,2020-12-03T05:00:00Z,0,0.0
17.86,17.86,17.86,0,17.86,2020-12-04T05:00:00Z,0,0.0
17.93,17.93,17.93,1,17.93,2020-12-07T05:00:00Z,210,17.93
17.89,17.9,17.89,54,17.89,2020-12-08T05:00:00Z,4613,17.9
17.79,17.86,17.79,35,17.86,2020-12-09T05:00:00Z,5656,17.85
17.87,17.89,17.82,44,17.82,2020-12-10T05:00:00Z,280888,17.85
17.85,17.9,17.85,107,17.89,2020-12-11T05:00:00Z,12723,17.89
17.85,17.94,17.83,110,17.94,2020-12-14T05:00:00Z,14812,17.9
17.9,17.92,17.88,79,17.89,2020-12-15T05:00:00Z,7399,17.9
17.9,17.92,17.9,35,17.9,2020-12-16T05:00:00Z,6240,17.9
17.9,17.91,17.9,24,17.91,2020-12-17T05:00:00Z,2090,17.91
17.9,17.97,17.9,152,17.92,2020-12-18T05:00:00Z,14335,17.92
17.87,17.96,17.87,97,17.96,2020-12-21T05:00:00Z,22344,17.9
17.91,17.96,17.9,9,17.96,2020-12-22T05:00:00Z,3074,17.94
17.91,17.93,17.88,124,17.91,2020-12-23T05:00:00Z,34849,17.91
17.96,17.96,17.94,45,17.94,2020-12-24T05:00:00Z,5335,17.95
17.98,17.98,17.94,82,17.94,2020-12-28T05:00:00Z,8673,17.97
17.99,18.0,17.95,133,17.95,2020-12-29T05:00:00Z,12664,17.99
18.0,18.03,17.98,150,18.01,2020-12-30T05:00:00Z,12094,18.01
18.01,18.04,18.01,234,18.03,2020-12-31T05:00:00Z,19655,18.02
17.96,18.02,17.96,205,18.02,2021-01-04T05:00:00Z,26583,17.98
17.93,18.02,17.91,91,17.94,2021-01-05T05:00:00Z,14066,17.93
17.81,17.81,17.77,87,17.79,2021-01-06T05:00:00Z,10312,17.8
17.78,17.79,17.77,40,17.78,2021-01-07T05:00:00Z,4256,17.78
17.75,17.81,17.74,117,17.8,2021-01-08T05:00:00Z,13513,17.77
17.68,17.74,17.68,193,17.73,2021-01-11T05:00:00Z,19274,17.7
17.68,17.69,17.63,33,17.63,2021-01-12T05:00:00Z,2046,17.65
17.82,17.83,17.76,102,17.76,2021-01-13T05:00:00Z,9472,17.81
17.76,17.84,17.76,36,17.84,2021-01-14T05:00:00Z,10362,17.82
17.79,17.83,17.79,131,17.8,2021-01-15T05:00:00Z,11794,17.8
17.79,17.84,17.79,201,17.84,2021-01-19T05:00:00Z,18766,17.8
17.79,17.83,17.79,158,17.82,2021-01-20T05:00:00Z,16044,17.8
17.76,17.77,17.76,159,17.76,2021-01-21T05:00:00Z,17321,17.77
17.75,17.82,17.75,323,17.8,2021-01-22T05:00:00Z,32244,17.77
17.81,17.81,17.8,157,17.81,2021-01-25T05:00:00Z,25835,17.8
17.81,17.82,17.8,60,17.81,2021-01-26T05:00:00Z,6308,17.81
17.79,17.89,17.78,112,17.89,2021-01-27T05:00:00Z,12102,17.81
17.78,17.8,17.78,89,17.8,2021-01-28T05:00:00Z,7927,17.79
17.71,17.73,17.7,86,17.71,2021-01-29T05:00:00Z,8927,17.72
17.75,17.78,17.75,77,17.78,2021-02-01T05:00:00Z,17821,17.76
17.73,17.74,17.72,93,17.72,2021-02-02T05:00:00Z,10419,17.73
17.76,17.76,17.72,14,17.75,2021-02-03T05:00:00Z,1201,17.73
17.7,17.72,17.69,25,17.7,2021-02-04T05:00:00Z,3740,17.71
17.71,17.72,17.71,28,17.72,2021-02-05T05:00:00Z,3277,17.72
17.71,17.73,17.71,245,17.72,2021-02-08T05:00:00Z,23935,17.71
17.72,17.72,17.72,13,17.72,2021-02-09T05:00:00Z,560,17.73
17.74,17.75,17.74,32,17.74,2021-02-10T05:00:00Z,2884,17.74
17.72,17.76,17.72,126,17.76,2021-02-11T05:00:00Z,11248,17.73
17.69,17.71,17.68,57,17.7,2021-02-12T05:00:00Z,4516,17.7
17.54,17.65,17.54,71,17.65,2021-02-16T05:00:00Z,8483,17.57
17.57,17.57,17.54,93,17.54,2021-02-17T05:00:00Z,10102,17.55
17.56,17.59,17.54,92,17.54,2021-02-18T05:00:00Z,8186,17.56
17.46,17.57,17.46,557,17.55,2021-02-19T05:00:00Z,53790,17.48
17.41,17.47,17.41,26,17.45,2021-02-22T05:00:00Z,2166,17.44
17.41,17.41,17.41,13,17.41,2021-02-23T05:00:00Z,341,17.4
17.42,17.42,17.4,67,17.42,2021-02-24T05:00:00Z,9548,17.42
17.14,17.29,17.14,170,17.29,2021-02-25T05:00:00Z,16130,17.2
17.29,17.29,17.2,133,17.26,2021-02-26T05:00:00Z,17478,17.27
17.33,17.34,17.31,82,17.34,2021-03-01T05:00:00Z,8919,17.33
17.35,17.36,17.33,40,17.36,2021-03-02T05:00:00Z,14358,17.35
