c,h,l,n,o,t,v,vw
16.81,16.81,16.79,3,16.79,2017-09-27T04:00:00Z,900,16.81
16.77,16.77,16.75,7,16.77,2017-09-28T04:00:00Z,2309,16.76
16.78,16.8,16.78,7,16.79,2017-09-29T04:00:00Z,1244,16.79
16.79,16.79,16.79,4,16.79,2017-10-02T04:00:00Z,3400,16.79
16.79,16.79,16.79,0,16.79,2017-10-03T04:00:00Z,0,0.0
16.79,16.79,16.79,8,16.79,2017-10-04T04:00:00Z,998,16.79
16.83,16.83,16.83,2,16.83,2017-10-05T04:00:00Z,254,16.83
16.8,16.8,16.79,2,16.79,2017-10-06T04:00:00Z,605,16.8
16.82,16.82,16.82,1,16.82,2017-10-09T04:00:00Z,200,16.82
16.84,16.84,16.84,4,16.84,2017-10-10T04:00:00Z,4400,16.84
16.82,16.83,16.82,4,16.83,2017-10-11T04:00:00Z,2800,16.83
16.81,16.81,16.81,1,16.81,2017-10-12T04:00:00Z,200,16.81
16.81,16.83,16.81,5,16.81,2017-10-13T04:00:00Z,2101,16.82
16.81,16.83,16.81,5,16.83,2017-10-16T04:00:00Z,1104,16.82
16.84,16.84,16.82,4,16.83,2017-10-17T04:00:00Z,599,16.84
16.86,16.86,16.84,3,16.84,2017-10-18T04:00:00Z,500,16.85
16.84,16.84,16.83,2,16.83,2017-10-19T04:00:00Z,1131,16.83
16.89,16.89,16.89,1,16.89,2017-10-20T04:00:00Z,1500,16.89
16.89,16.89,16.89,0,16.89,2017-10-23T04:00:00Z,0,0.0
16.89,16.89,16.89,0,16.89,2017-10-24T04:00:00Z,0,0.0
16.81,16.86,16.81,3,16.86,2017-10-25T04:00:00Z,1122,16.81
16.79,16.8,16.78,22,16.8,2017-10-26T04:00:00Z,4369,16.79
16.79,16.79,16.79,0,16.79,2017-10-27T04:00:00Z,0,0.0
16.75,16.79,16.75,9,16.79,2017-10-30T04:00:00Z,1550,16.77
16.81,16.81,16.81,2,16.81,2017-10-31T04:00:00Z,502,16.81
16.81,16.83,16.81,8,16.83,2017-11-01T04:00:00Z,2662,16.82
16.8,16.8,16.78,5,16.8,2017-11-02T04:00:00Z,1896,16.8
16.81,16.81,16.79,5,16.79,2017-11-03T04:00:00Z,269,16.8
16.76,16.78,16.76,16,16.77,2017-11-06T05:00:00Z,4346,16.78
16.74,16.8,16.74,9,16.78,2017-11-07T05:00:00Z,2201,16.78
16.69,16.71,16.67,11,16.71,2017-11-08T05:00:00Z,1317,16.68
16.56,16.56,16.56,2,16.56,2017-11-09T05:00:00Z,478,16.56
16.61,16.61,16.59,5,16.59,2017-11-10T05:00:00Z,1226,16.61
