c,h,l,n,o,t,v,vw
19.04,19.06,19.02,11,19.06,2019-09-13T04:00:00Z,5730,19.05
19.06,19.06,19.06,3,19.06,2019-09-16T04:00:00Z,260,19.06
19.09,19.09,19.08,3,19.09,2019-09-17T04:00:00Z,1500,19.09
19.06,19.09,19.06,3,19.09,2019-09-18T04:00:00Z,215,19.08
19.08,19.12,19.08,38,19.11,2019-09-19T04:00:00Z,4674,19.1
19.07,19.11,19.07,5,19.11,2019-09-20T04:00:00Z,1409,19.1
19.12,19.12,19.12,2,19.12,2019-09-23T04:00:00Z,450,19.12
19.11,19.11,19.11,1,19.11,2019-09-24T04:00:00Z,100,19.11
19.06,19.11,19.06,5,19.11,2019-09-25T04:00:00Z,1301,19.07
19.12,19.12,19.12,4,19.12,2019-09-26T04:00:00Z,341,19.12
19.09,19.11,19.09,13,19.1,2019-09-27T04:00:00Z,970,19.1
19.11,19.11,19.09,4,19.09,2019-09-30T04:00:00Z,1642,19.11
19.08,19.08,19.08,5,19.08,2019-10-01T04:00:00Z,310,19.08
19.02,19.05,19.02,3,19.05,2019-10-02T04:00:00Z,700,19.05
19.05,19.05,19.02,3,19.02,2019-10-03T04:00:00Z,2230,19.04
19.07,19.07,19.06,18,19.06,2019-10-04T04:00:00Z,3340,19.07
19.07,19.07,19.07,0,19.07,2019-10-07T04:00:00Z,0,0.0
19.0,19.03,18.99,26,19.03,2019-10-08T04:00:00Z,3800,19.0
19.08,19.08,19.08,21,19.08,2019-10-09T04:00:00Z,2121,19.08
19.08,19.08,19.07,9,19.07,2019-10-10T04:00:00Z,1223,19.08
19.16,19.18,19.14,25,19.18,2019-10-11T04:00:00Z,2825,19.16
19.16,19.16,19.16,0,19.16,2019-10-14T04:00:00Z,0,0.0
19.19,19.19,19.19,2,19.19,2019-10-15T04:00:00Z,483,19.19
19.16,19.16,19.16,1,19.16,2019-10-16T04:00:00Z,100,19.16
19.16,19.16,19.16,0,19.16,2019-10-17T04:00:00Z,0,0.0
19.16,19.16,19.16,0,19.16,2019-10-18T04:00:00Z,0,0.0
19.25,19.25,19.25,8,19.25,2019-10-21T04:00:00Z,630,19.25
19.25,19.25,19.25,0,19.25,2019-10-22T04:00:00Z,0,0.0
