c,h,l,n,o,t,v,vw
19.6,19.64,19.6,28,19.62,2020-09-16T04:00:00Z,5150,19.61
19.53,19.53,19.53,1,19.53,2020-09-17T04:00:00Z,200,19.53
19.53,19.91,19.53,62,19.91,2020-09-18T04:00:00Z,6400,19.66
19.32,19.45,19.3,14,19.45,2020-09-21T04:00:00Z,3851,19.34
19.37,19.37,19.37,1,19.37,2020-09-22T04:00:00Z,400,19.37
19.21,19.37,19.19,20,19.36,2020-09-23T04:00:00Z,2881,19.28
19.18,19.25,19.12,110,19.12,2020-09-24T04:00:00Z,10963,19.17
19.17,19.18,19.17,76,19.17,2020-09-25T04:00:00Z,7457,19.18
19.17,19.17,19.17,0,19.17,2020-09-28T04:00:00Z,0,0.0
19.17,19.17,19.17,0,19.17,2020-09-29T04:00:00Z,0,0.0
19.29,19.37,19.28,32,19.37,2020-09-30T04:00:00Z,2008,19.33
19.41,19.42,19.34,126,19.36,2020-10-01T04:00:00Z,12505,19.36
19.39,19.39,19.39,31,19.39,2020-10-02T04:00:00Z,3100,19.39
19.54,19.55,19.52,37,19.52,2020-10-05T04:00:00Z,4481,19.54
19.49,19.58,19.49,223,19.58,2020-10-06T04:00:00Z,23300,19.53
19.65,19.65,19.59,8,19.59,2020-10-07T04:00:00Z,901,19.61
19.65,19.65,19.65,0,19.65,2020-10-08T04:00:00Z,0,0.0
19.74,19.74,19.74,38,19.74,2020-10-09T04:00:00Z,3800,19.74
19.74,19.74,19.74,0,19.74,2020-10-12T04:00:00Z,0,0.0
19.76,19.76,19.76,21,19.76,2020-10-13T04:00:00Z,2100,19.76
19.71,19.75,19.71,44,19.75,2020-10-14T04:00:00Z,4394,19.71
19.71,19.71,19.71,0,19.71,2020-10-15T04:00:00Z,0,0.0
19.71,19.71,19.71,0,19.71,2020-10-16T04:00:00Z,0,0.0
19.61,19.7,19.61,52,19.7,2020-10-19T04:00:00Z,5200,19.68
19.66,19.66,19.66,4,19.66,2020-10-20T04:00:00Z,400,19.66
19.66,19.66,19.66,0,19.66,2020-10-21T04:00:00Z,0,0.0
19.66,19.66,19.66,0,19.66,2020-10-22T04:00:00Z,0,0.0
19.66,19.66,19.66,0,19.66,2020-10-23T04:00:00Z,0,0.0
19.52,19.61,19.52,26,19.61,2020-10-26T04:00:00Z,3323,19.56
19.53,19.57,19.53,4,19.57,2020-10-27T04:00:00Z,806,19.55
19.36,19.36,19.35,37,19.36,2020-10-28T04:00:00Z,4100,19.35
19.34,19.34,19.34,30,19.34,2020-10-29T04:00:00Z,3100,19.34
19.41,19.42,19.41,4,19.42,2020-10-30T04:00:00Z,248,19.41
19.47,19.47,19.46,25,19.46,2020-11-02T05:00:00Z,2302,19.46
19.62,19.63,19.58,72,19.58,2020-11-03T05:00:00Z,7304,19.6
19.69,19.7,19.69,59,19.7,2020-11-04T05:00:00Z,5900,19.7
19.91,19.91,19.91,23,19.91,2020-11-05T05:00:00Z,4204,19.91
19.91,19.91,19.91,0,19.91,2020-11-06T05:00:00Z,0,0.0
20.15,20.15,20.15,3,20.15,2020-11-09T05:00:00Z,102,20.15
20.04,20.04,20.01,7,20.01,2020-11-10T05:00:00Z,796,20.02
20.04,20.05,20.04,232,20.05,2020-11-11T05:00:00Z,22950,20.04
19.96,19.96,19.96,28,19.96,2020-11-12T05:00:00Z,2800,19.96
19.95,19.95,19.94,2,19.94,2020-11-13T05:00:00Z,300,19.94
19.95,19.95,19.95,0,19.95,2020-11-16T05:00:00Z,0,0.0
20.02,20.02,20.02,3,20.02,2020-11-17T05:00:00Z,247,20.02
20.06,20.06,20.06,40,20.06,2020-11-18T05:00:00Z,4000,20.06
20.06,20.06,20.06,0,20.06,2020-11-19T05:00:00Z,0,0.0
20.05,20.05,20.05,7,20.05,2020-11-20T05:00:00Z,1360,20.05
20.11,20.11,20.11,2,20.11,2020-11-23T05:00:00Z,200,20.11
20.13,20.16,20.13,4,20.16,2020-11-24T05:00:00Z,27855,20.15
20.13,20.13,20.13,0,20.13,2020-11-25T05:00:00Z,0,0.0
20.13,20.13,20.13,0,20.13,2020-11-27T05:00:00Z,0,0.0
20.13,20.13,20.13,0,20.13,2020-11-30T05:00:00Z,0,0.0
20.16,20.16,20.16,5,20.16,2020-12-01T05:00:00Z,218,20.16
20.16,20.16,20.16,0,20.16,2020-12-02T05:00:00Z,0,0.0
20.24,20.24,20.24,6,20.24,2020-12-03T05:00:00Z,502,20.24
20.28,20.3,20.28,3,20.3,2020-12-04T05:00:00Z,239,20.29
20.28,20.28,20.28,3,20.28,2020-12-07T05:00:00Z,198,20.28
20.3,20.3,20.28,4,20.3,2020-12-08T05:00:00Z,716,20.29
20.28,20.28,20.28,3,20.28,2020-12-09T05:00:00Z,204,20.28
20.28,20.28,20.28,0,20.28,2020-12-10T05:00:00Z,0,0.0
20.26,20.26,20.23,7,20.23,2020-12-11T05:00:00Z,1175,20.24
