c,h,l,n,o,t,v,vw
20.82,20.83,20.81,16,20.81,2021-09-15T04:00:00Z,7388,20.81
20.8,20.8,20.77,5,20.79,2021-09-16T04:00:00Z,577,20.78
20.77,20.81,20.77,43,20.81,2021-09-17T04:00:00Z,9315,20.79
20.69,20.7,20.67,12,20.7,2021-09-20T04:00:00Z,3030,20.7
20.73,20.73,20.71,14,20.71,2021-09-21T04:00:00Z,1400,20.73
20.76,20.81,20.76,18,20.79,2021-09-22T04:00:00Z,4565,20.78
20.76,20.76,20.76,0,20.76,2021-09-23T04:00:00Z,0,0.0
20.76,20.76,20.76,0,20.76,2021-09-24T04:00:00Z,0,0.0
20.71,20.73,20.69,27,20.72,2021-09-27T04:00:00Z,4956,20.72
20.59,20.66,20.59,5,20.66,2021-09-28T04:00:00Z,9743,20.66
20.63,20.67,20.63,9,20.67,2021-09-29T04:00:00Z,591,20.67
20.63,20.63,20.63,0,20.63,2021-09-30T04:00:00Z,0,0.0
20.66,20.68,20.62,12,20.62,2021-10-01T04:00:00Z,867,20.64
20.58,20.61,20.58,11,20.61,2021-10-04T04:00:00Z,1010,20.59
20.57,20.57,20.57,2,20.57,2021-10-05T04:00:00Z,105,20.57
20.53,20.53,20.47,7,20.51,2021-10-06T04:00:00Z,522,20.5
20.57,20.57,20.57,2,20.57,2021-10-07T04:00:00Z,101,20.57
20.48,20.5,20.48,8,20.5,2021-10-08T04:00:00Z,384,20.5
20.46,20.5,20.46,8,20.5,2021-10-11T04:00:00Z,480,20.49
20.43,20.43,20.43,3,20.43,2021-10-12T04:00:00Z,256,20.43
20.48,20.48,20.43,2,20.43,2021-10-13T04:00:00Z,101,20.43
20.48,20.48,20.48,0,20.48,2021-10-14T04:00:00Z,0,0.0
20.48,20.48,20.48,0,20.48,2021-10-15T04:00:00Z,0,0.0
20.57,20.57,20.54,23,20.55,2021-10-18T04:00:00Z,756,20.55
20.59,20.61,20.58,24,20.58,2021-10-19T04:00:00Z,8259,20.61
20.59,20.61,20.59,27,20.6,2021-10-20T04:00:00Z,2270,20.6
20.53,20.55,20.52,7,20.52,2021-10-21T04:00:00Z,5886,20.52
20.53,20.53,20.53,0,20.53,2021-10-22T04:00:00Z,0,0.0
20.51,20.51,20.51,7,20.51,2021-10-25T04:00:00Z,671,20.51
20.51,20.51,20.51,0,20.51,2021-10-26T04:00:00Z,0,0.0
20.51,20.55,20.51,6,20.54,2021-10-27T04:00:00Z,2123,20.55
20.51,20.51,20.51,0,20.51,2021-10-28T04:00:00Z,0,0.0
20.51,20.51,20.5,7,20.51,2021-10-29T04:00:00Z,476,20.5
20.48,20.51,20.48,15,20.51,2021-11-01T04:00:00Z,2906,20.49
20.48,20.48,20.48,0,20.48,2021-11-02T04:00:00Z,0,0.0
20.55,20.57,20.51,35,20.51,2021-11-03T04:00:00Z,3122,20.56
20.64,20.65,20.62,22,20.65,2021-11-04T04:00:00Z,1489,20.63
20.64,20.64,20.64,0,20.64,2021-11-05T04:00:00Z,0,0.0
20.64,20.64,20.64,0,20.64,2021-11-08T05:00:00Z,0,0.0
20.64,20.64,20.64,0,20.64,2021-11-09T05:00:00Z,0,0.0
20.59,20.65,20.59,10,20.65,2021-11-10T05:00:00Z,622,20.64
