c,h,l,n,o,t,v,vw
23.07,23.07,23.06,2,23.06,2019-09-26T04:00:00Z,335,23.07
23.04,23.04,23.04,2,23.04,2019-09-27T04:00:00Z,400,23.04
23.04,23.04,23.04,0,23.04,2019-09-30T04:00:00Z,0,0.0
23.05,23.05,23.05,2,23.05,2019-10-01T04:00:00Z,1500,23.05
23.09,23.11,23.09,7,23.11,2019-10-02T04:00:00Z,1900,23.1
23.09,23.09,23.09,0,23.09,2019-10-03T04:00:00Z,0,0.0
23.09,23.09,23.09,0,23.09,2019-10-04T04:00:00Z,0,0.0
23.09,23.09,23.09,0,23.09,2019-10-07T04:00:00Z,0,0.0
23.09,23.09,23.09,0,23.09,2019-10-08T04:00:00Z,0,0.0
23.09,23.09,23.09,0,23.09,2019-10-09T04:00:00Z,0,0.0
23.09,23.09,23.09,0,23.09,2019-10-10T04:00:00Z,0,0.0
23.09,23.09,23.09,0,23.09,2019-10-11T04:00:00Z,0,0.0
23.09,23.09,23.09,0,23.09,2019-10-14T04:00:00Z,0,0.0
23.1,23.12,23.07,13,23.07,2019-10-15T04:00:00Z,9336,23.07
23.1,23.1,23.1,0,23.1,2019-10-16T04:00:00Z,0,0.0
23.1,23.1,23.1,0,23.1,2019-10-17T04:00:00Z,0,0.0
23.1,23.1,23.1,0,23.1,2019-10-18T04:00:00Z,0,0.0
23.03,23.05,23.03,85,23.04,2019-10-21T04:00:00Z,8355,23.04
23.03,23.03,23.03,0,23.03,2019-10-22T04:00:00Z,0,0.0
23.04,23.04,23.03,11,23.03,2019-10-23T04:00:00Z,1100,23.04
23.02,23.02,23.02,29,23.02,2019-10-24T04:00:00Z,3798,23.02
23.02,23.02,23.02,0,23.02,2019-10-25T04:00:00Z,0,0.0
23.01,23.02,23.01,76,23.01,2019-10-28T04:00:00Z,12697,23.01
23.01,23.01,23.01,0,23.01,2019-10-29T04:00:00Z,0,0.0
23.02,23.02,23.01,6,23.01,2019-10-30T04:00:00Z,2103,23.02
23.02,23.02,23.02,0,23.02,2019-10-31T04:00:00Z,0,0.0
23.1,23.1,23.1,13,23.1,2019-11-01T04:00:00Z,1301,23.1
23.08,23.09,23.07,42,23.09,2019-11-04T05:00:00Z,5199,23.08
23.03,23.03,23.03,5,23.03,2019-11-05T05:00:00Z,118,23.03
23.03,23.03,23.03,0,23.03,2019-11-06T05:00:00Z,0,0.0
23.01,23.01,23.01,8,23.01,2019-11-07T05:00:00Z,380,23.01
22.97,22.99,22.97,7,22.98,2019-11-08T05:00:00Z,5300,22.98
22.97,22.97,22.97,0,22.97,2019-11-11T05:00:00Z,0,0.0
22.97,22.97,22.97,0,22.97,2019-11-12T05:00:00Z,0,0.0
23.01,23.02,23.01,29,23.01,2019-11-13T05:00:00Z,8089,23.01
