c,h,l,n,o,t,v,vw
10.0,10.0,10.0,1,10.0,2021-07-28T04:00:00Z,500,10.0
9.7,9.75,9.7,2,9.75,2021-07-29T04:00:00Z,3700,9.706757
9.71,9.71,9.71,1,9.71,2021-07-30T04:00:00Z,600,9.71
9.85,9.9,9.85,8,9.9,2021-08-02T04:00:00Z,7538,9.887469
9.75,9.9,9.73,8,9.9,2021-08-03T04:00:00Z,4200,9.805
9.75,9.75,9.75,0,9.75,2021-08-04T04:00:00Z,0,0.0
9.76,9.77,9.74,14,9.77,2021-08-05T04:00:00Z,3615,9.75654
9.75,9.78,9.75,136,9.75,2021-08-06T04:00:00Z,51160,9.75975
9.77,9.8753,9.75,30,9.8,2021-08-09T04:00:00Z,3912,9.781478
9.75,9.76,9.74,112,9.75,2021-08-10T04:00:00Z,75731,9.74974
9.74,9.83,9.73,140,9.8,2021-08-11T04:00:00Z,41413,9.754562
9.75,9.75,9.7,351,9.73,2021-08-12T04:00:00Z,139586,9.718774
9.768,9.82,9.75,52,9.8,2021-08-13T04:00:00Z,33925,9.770591
9.78,9.7906,9.72,87,9.78,2021-08-16T04:00:00Z,56439,9.777584
9.78,9.82,9.7593,143,9.8,2021-08-17T04:00:00Z,76714,9.766295
9.78,9.78,9.77,9,9.77,2021-08-18T04:00:00Z,5620,9.771245
9.77,9.77,9.75,32,9.76,2021-08-19T04:00:00Z,4332,9.76048
9.79,9.79,9.75,188,9.77,2021-08-20T04:00:00Z,127796,9.769736
9.77,9.78,9.77,22,9.77,2021-08-23T04:00:00Z,5528,9.773078
9.78,9.78,9.76,76,9.77,2021-08-24T04:00:00Z,60404,9.771425
9.79,9.79,9.76,156,9.76,2021-08-25T04:00:00Z,45047,9.779938
9.8,9.81,9.79,25,9.79,2021-08-26T04:00:00Z,6703,9.80091
9.89,9.89,9.78,212,9.78,2021-08-27T04:00:00Z,91011,9.80715
9.89,9.89,9.89,0,9.89,2021-08-30T04:00:00Z,0,0.0
9.87,9.9,9.87,24,9.89,2021-08-31T04:00:00Z,2968,9.88902
9.87,9.87,9.87,8,9.87,2021-09-01T04:00:00Z,4236,9.87
9.87,9.87,9.87,0,9.87,2021-09-02T04:00:00Z,0,0.0
9.89,9.89,9.89,2,9.89,2021-09-03T04:00:00Z,35005,9.889999
9.89,9.89,9.89,10,9.89,2021-09-07T04:00:00Z,1178,9.890985
9.89,9.89,9.89,6,9.89,2021-09-08T04:00:00Z,737,9.890417
9.89,9.89,9.89,35,9.89,2021-09-09T04:00:00Z,7676,9.89
9.9009,9.9009,9.9,3,9.9,2021-09-10T04:00:00Z,1400,9.900643
9.93,9.93,9.82,143,9.91,2021-09-13T04:00:00Z,12021,9.910032
9.83,9.83,9.83,1,9.83,2021-09-14T04:00:00Z,100,9.83
9.83,9.83,9.83,0,9.83,2021-09-15T04:00:00Z,0,0.0
9.9,9.9,9.89,29,9.89,2021-09-16T04:00:00Z,11045,9.898479
9.92,9.92,9.92,2,9.92,2021-09-17T04:00:00Z,200,9.92
9.92,9.94,9.9,19,9.92,2021-09-20T04:00:00Z,6765,9.919379
9.92,9.92,9.92,3,9.92,2021-09-21T04:00:00Z,787,9.920114
9.92,9.93,9.92,9,9.93,2021-09-22T04:00:00Z,6316,9.920342
9.92,9.92,9.92,2,9.92,2021-09-23T04:00:00Z,5400,9.92
9.92,9.92,9.92,0,9.92,2021-09-24T04:00:00Z,0,0.0
9.91,9.92,9.91,9,9.92,2021-09-27T04:00:00Z,5630,9.91116
9.91,9.91,9.91,11,9.91,2021-09-28T04:00:00Z,1053,9.910034
9.89,9.91,9.83,161,9.91,2021-09-29T04:00:00Z,32752,9.902501
9.9,9.9,9.89,25,9.89,2021-09-30T04:00:00Z,918,9.895512
9.9,9.9,9.9,0,9.9,2021-10-01T04:00:00Z,0,0.0
9.89,9.91,9.83,39,9.91,2021-10-04T04:00:00Z,13757,9.895999
9.91,9.91,9.91,1,9.91,2021-10-05T04:00:00Z,158,9.91
9.91,9.91,9.91,0,9.91,2021-10-06T04:00:00Z,0,0.0
9.91,9.91,9.91,0,9.91,2021-10-07T04:00:00Z,0,0.0
9.9,9.9,9.84,2,9.84,2021-10-08T04:00:00Z,2000,9.87
9.9,9.9,9.9,3,9.9,2021-10-11T04:00:00Z,7401,9.900001
9.9,9.9,9.9,0,9.9,2021-10-12T04:00:00Z,0,0.0
9.93,9.93,9.93,8,9.93,2021-10-13T04:00:00Z,6807,9.93001
9.93,9.93,9.93,0,9.93,2021-10-14T04:00:00Z,0,0.0
9.94,9.96,9.94,11,9.94,2021-10-15T04:00:00Z,26600,9.94885
9.94,9.945,9.94,11,9.945,2021-10-18T04:00:00Z,1292,9.957801
9.92,9.94,9.84,49,9.87,2021-10-19T04:00:00Z,27521,9.900621
9.93,9.94,9.9,40,9.9,2021-10-20T04:00:00Z,15836,9.926992
9.96,9.96,9.95,8,9.95,2021-10-21T04:00:00Z,12690,9.954729
9.96,9.96,9.96,0,9.96,2021-10-22T04:00:00Z,0,0.0
9.94,9.94,9.94,6,9.94,2021-10-25T04:00:00Z,204,9.940236
9.95,9.95,9.95,5,9.95,2021-10-26T04:00:00Z,10040,9.95002
9.95,9.955,9.95,4,9.955,2021-10-27T04:00:00Z,1000,9.9505
9.95,9.95,9.95,0,9.95,2021-10-28T04:00:00Z,0,0.0
9.92,9.92,9.92,3,9.92,2021-10-29T04:00:00Z,538,9.921413
9.92,9.92,9.92,0,9.92,2021-11-01T04:00:00Z,0,0.0
9.92,9.92,9.92,0,9.92,2021-11-02T04:00:00Z,0,0.0
9.9586,9.96,9.95,19,9.95,2021-11-03T04:00:00Z,5198,9.955887
9.95,9.95,9.95,5,9.95,2021-11-04T04:00:00Z,2198,9.950596
9.95,9.95,9.95,0,9.95,2021-11-05T04:00:00Z,0,0.0
9.96,9.98,9.96,6,9.98,2021-11-08T05:00:00Z,7002,9.977132
9.96,9.96,9.96,0,9.96,2021-11-09T05:00:00Z,0,0.0
