c,h,l,n,o,t,v,vw
10.17,10.2099,10.17,1541,10.18,2023-06-28T04:00:00Z,3962811,10.188891
10.18,10.19,10.18,137,10.18,2023-06-29T04:00:00Z,108657,10.183316
10.19,10.19,10.17,144,10.1815,2023-06-30T04:00:00Z,202854,10.187082
10.19,10.2,10.185,26,10.19,2023-07-03T04:00:00Z,218892,10.19
10.2,10.2,10.2,20,10.2,2023-07-05T04:00:00Z,41079,10.2
10.22,10.22,10.19,25,10.19,2023-07-06T04:00:00Z,59892,10.190304
10.2279,10.2279,10.2279,6,10.2279,2023-07-07T04:00:00Z,260,10.2279
10.2499,10.2499,10.2499,3,10.2499,2023-07-10T04:00:00Z,2069,10.2499
10.2499,10.2499,10.2499,0,10.2499,2023-07-11T04:00:00Z,0,0.0
10.25,10.25,10.25,6,10.25,2023-07-12T04:00:00Z,2776,10.25
10.2,10.2,10.2,3,10.2,2023-07-13T04:00:00Z,104,10.2
10.19,10.19,10.1899,35,10.1899,2023-07-14T04:00:00Z,19847,10.189996
10.25,10.25,10.25,5,10.25,2023-07-17T04:00:00Z,299,10.25
10.25,10.25,10.25,6,10.25,2023-07-18T04:00:00Z,255,10.25
10.25,10.25,10.25,0,10.25,2023-07-19T04:00:00Z,0,0.0
10.25,10.25,10.25,20,10.25,2023-07-20T04:00:00Z,3015,10.25
10.25,10.25,10.25,0,10.25,2023-07-21T04:00:00Z,0,0.0
10.19,10.19,10.17,3,10.17,2023-07-24T04:00:00Z,202,10.18
10.241,10.3,10.1801,8,10.3,2023-07-25T04:00:00Z,533,10.240367
10.25,10.25,10.25,11,10.25,2023-07-26T04:00:00Z,46549,10.25
10.23,10.25,10.225,40,10.25,2023-07-27T04:00:00Z,47096,10.249628
10.23,10.23,10.23,0,10.23,2023-07-28T04:00:00Z,0,0.0
10.2305,10.24,10.2305,3,10.2388,2023-07-31T04:00:00Z,1100,10.236864
10.2305,10.2305,10.2305,0,10.2305,2023-08-01T04:00:00Z,0,0.0
10.24,10.24,10.22,12,10.24,2023-08-02T04:00:00Z,835,10.232468
10.275,10.275,10.2501,3,10.2501,2023-08-03T04:00:00Z,1701,10.264747
10.275,10.275,10.275,0,10.275,2023-08-04T04:00:00Z,0,0.0
10.24,10.24,10.22,6,10.22,2023-08-07T04:00:00Z,1501,10.23576
10.24,10.24,10.24,0,10.24,2023-08-08T04:00:00Z,0,0.0
10.24,10.24,10.24,0,10.24,2023-08-09T04:00:00Z,0,0.0
10.24,10.24,10.24,41,10.24,2023-08-10T04:00:00Z,11041,10.24
10.24,10.24,10.24,0,10.24,2023-08-11T04:00:00Z,0,0.0
10.24,10.24,10.24,3,10.24,2023-08-14T04:00:00Z,301,10.24
10.24,10.24,10.24,3,10.24,2023-08-15T04:00:00Z,100001,10.24
10.24,10.75,10.24,53,10.75,2023-08-16T04:00:00Z,4809,10.305536
10.25,10.31,10.25,7,10.31,2023-08-17T04:00:00Z,7380,10.254065
10.24,10.475,10.24,3,10.475,2023-08-18T04:00:00Z,214,10.3575
10.41,10.44,10.25,81,10.25,2023-08-21T04:00:00Z,202626,10.345333
10.42,10.58,10.36,37,10.43,2023-08-22T04:00:00Z,7824,10.544399
10.3914,10.56,10.36,116,10.36,2023-08-23T04:00:00Z,8063,10.406276
10.6,10.6,9.695,36,10.4,2023-08-24T04:00:00Z,73318,10.364947
10.36,10.525,10.36,8,10.525,2023-08-25T04:00:00Z,715,10.436429
10.555,10.555,10.555,2,10.555,2023-08-28T04:00:00Z,114,10.555
10.37,10.53,10.37,4,10.53,2023-08-29T04:00:00Z,415,10.443903
10.39,10.565,10.39,12,10.565,2023-08-30T04:00:00Z,1147,10.419167
10.38,10.38,10.38,4,10.38,2023-08-31T04:00:00Z,214,10.38
10.38,10.38,10.38,0,10.38,2023-09-01T04:00:00Z,0,0.0
10.38,10.38,10.38,0,10.38,2023-09-05T04:00:00Z,0,0.0
10.38,10.38,10.38,0,10.38,2023-09-06T04:00:00Z,0,0.0
10.39,10.39,10.39,16,10.39,2023-09-07T04:00:00Z,1256,10.39
10.41,10.57,10.39,25,10.41,2023-09-08T04:00:00Z,1535,10.4299
10.3903,10.3903,10.3903,4,10.3903,2023-09-11T04:00:00Z,200,10.3903
10.75,10.75,10.74,4,10.74,2023-09-12T04:00:00Z,552,10.747821
10.75,10.75,10.75,0,10.75,2023-09-13T04:00:00Z,0,0.0
10.42,10.512,10.41,10,10.4101,2023-09-14T04:00:00Z,1865,10.462678
10.39,10.42,10.39,10,10.42,2023-09-15T04:00:00Z,468,10.405
10.39,10.39,10.39,12,10.39,2023-09-18T04:00:00Z,1368,10.39
10.39,10.3901,10.39,15,10.3901,2023-09-19T04:00:00Z,832,10.39005
10.39,10.39,10.39,14,10.39,2023-09-20T04:00:00Z,996,10.39
10.3901,10.3901,10.3901,2,10.3901,2023-09-21T04:00:00Z,285,10.3901
10.3901,10.3901,10.3901,0,10.3901,2023-09-22T04:00:00Z,0,0.0
10.3901,10.3901,10.3901,0,10.3901,2023-09-25T04:00:00Z,0,0.0
10.3901,10.3901,10.3901,0,10.3901,2023-09-26T04:00:00Z,0,0.0
10.3901,10.3901,10.3901,0,10.3901,2023-09-27T04:00:00Z,0,0.0
