c,h,l,n,o,t,v,vw
10.24,10.5,10.1,2165,10.5,2023-08-01T04:00:00Z,658937,10.265131
10.11,10.23,10.1,829,10.23,2023-08-02T04:00:00Z,225273,10.179964
9.88,10.07,9.75,1290,10.07,2023-08-03T04:00:00Z,294446,9.896481
9.94,9.98,9.8452,457,9.88,2023-08-04T04:00:00Z,190036,9.916858
9.99,10.005,9.91,452,9.98,2023-08-07T04:00:00Z,85560,9.996668
9.92,10.0,9.8938,202,9.96,2023-08-08T04:00:00Z,41662,9.945831
9.91,10.08,9.87,339,10.0,2023-08-09T04:00:00Z,95853,9.97163
9.835,9.93,9.82,167,9.88,2023-08-10T04:00:00Z,62361,9.879917
9.85,9.8875,9.82,217,9.85,2023-08-11T04:00:00Z,50521,9.848089
9.82,9.85,9.82,193,9.85,2023-08-14T04:00:00Z,49711,9.835039
9.76,9.81,9.76,132,9.8,2023-08-15T04:00:00Z,31396,9.775764
9.71,9.7501,9.65,147,9.75,2023-08-16T04:00:00Z,54642,9.687169
9.71,9.7567,9.7,107,9.73,2023-08-17T04:00:00Z,22721,9.736835
9.73,9.79,9.7,115,9.71,2023-08-18T04:00:00Z,38798,9.731551
9.73,9.7399,9.7,186,9.73,2023-08-21T04:00:00Z,56270,9.721588
9.73,9.8,9.6801,344,9.79,2023-08-22T04:00:00Z,29678,9.714413
9.71,9.74,9.67,114,9.74,2023-08-23T04:00:00Z,29489,9.694773
9.7,9.7233,9.6737,115,9.68,2023-08-24T04:00:00Z,22001,9.693049
9.71,9.79,9.67,105,9.79,2023-08-25T04:00:00Z,5704,9.705047
9.8,9.8,9.71,237,9.71,2023-08-28T04:00:00Z,46612,9.76471
9.76,9.8,9.75,107,9.75,2023-08-29T04:00:00Z,24446,9.769362
9.77,9.81,9.76,289,9.76,2023-08-30T04:00:00Z,20556,9.76706
9.73,9.75,9.71,136,9.71,2023-08-31T04:00:00Z,5135,9.72482
9.7,9.75,9.67,121,9.71,2023-09-01T04:00:00Z,16195,9.705021
9.92,9.92,9.74,812,9.79,2023-09-05T04:00:00Z,70493,9.837671
9.95,9.98,9.8,694,9.8,2023-09-06T04:00:00Z,60394,9.90863
9.98,10.0,9.8,736,9.82,2023-09-07T04:00:00Z,91184,9.99317
