c,h,l,n,o,t,v,vw
39.16,39.2,38.6,41,39.16,2021-03-05T05:00:00Z,760,39.01
39.08,39.42,39.04,52,39.04,2021-03-08T05:00:00Z,2061,39.23
39.96,39.96,38.72,495,39.08,2021-03-09T05:00:00Z,14084,39.65
39.64,43.76,38.76,1151,38.88,2021-03-10T05:00:00Z,48815,39.89
39.96,40.6,39.68,2950,40.6,2021-03-11T05:00:00Z,186032,39.94
39.84,39.92,39.64,1918,39.92,2021-03-12T05:00:00Z,92933,39.8
39.76,40.0,39.36,1080,40.0,2021-03-15T04:00:00Z,55212,39.79
39.8,39.86,39.44,436,39.8,2021-03-16T04:00:00Z,21240,39.77
39.52,39.72,39.28,119,39.6,2021-03-17T04:00:00Z,4573,39.55
39.4,39.56,39.32,434,39.56,2021-03-18T04:00:00Z,117987,39.49
39.6,39.68,39.12,213,39.16,2021-03-19T04:00:00Z,151190,39.41
40.12,40.12,39.08,273,39.56,2021-03-22T04:00:00Z,34134,39.75
39.36,39.84,39.0,735,39.6,2021-03-23T04:00:00Z,60555,39.52
38.84,39.4,38.6,560,39.24,2021-03-24T04:00:00Z,57631,38.94
38.64,38.75,38.41,223,38.44,2021-03-25T04:00:00Z,10055,38.57
39.0,39.28,38.52,84,38.52,2021-03-26T04:00:00Z,4346,38.82
39.2,39.2,38.76,55,38.8,2021-03-29T04:00:00Z,38384,39.06
38.96,39.24,38.49,481,39.14,2021-03-30T04:00:00Z,14173,38.84
38.76,39.08,38.64,711,39.08,2021-03-31T04:00:00Z,32200,38.83
38.96,39.32,38.8,59,38.96,2021-04-01T04:00:00Z,1278,39.02
39.16,39.32,38.92,607,39.32,2021-04-05T04:00:00Z,33799,39.09
39.24,39.28,39.04,147,39.16,2021-04-06T04:00:00Z,4705,39.21
39.4,39.4,39.12,307,39.12,2021-04-07T04:00:00Z,8657,39.25
39.6,39.6,39.2,99,39.2,2021-04-08T04:00:00Z,7332,39.38
39.74,39.88,39.24,213,39.59,2021-04-09T04:00:00Z,16808,39.8
39.48,39.54,39.08,1150,39.4,2021-04-12T04:00:00Z,30521,39.34
39.47,39.48,39.24,27,39.24,2021-04-13T04:00:00Z,323,39.44
39.64,39.68,39.27,103,39.27,2021-04-14T04:00:00Z,3418,39.57
39.24,39.6,39.2,179,39.44,2021-04-15T04:00:00Z,49339,39.32
39.32,39.4,39.16,109,39.4,2021-04-16T04:00:00Z,5001,39.24
39.16,39.4,39.16,59,39.2,2021-04-19T04:00:00Z,1761,39.21
39.12,39.4,38.76,377,39.04,2021-04-20T04:00:00Z,27455,38.83
39.12,39.16,38.96,138,39.04,2021-04-21T04:00:00Z,5240,39.05
39.16,39.22,39.0,55,39.0,2021-04-22T04:00:00Z,1464,39.11
39.4,39.4,39.2,43,39.2,2021-04-23T04:00:00Z,1902,39.24
39.24,39.4,39.14,24,39.14,2021-04-26T04:00:00Z,636,39.22
39.08,39.36,39.04,93,39.04,2021-04-27T04:00:00Z,2557,39.12
39.16,39.21,39.16,10,39.21,2021-04-28T04:00:00Z,70,39.19
39.32,39.44,39.08,208,39.24,2021-04-29T04:00:00Z,12515,39.21
39.44,39.52,39.04,288,39.12,2021-04-30T04:00:00Z,13291,39.22
39.36,39.36,39.2,44,39.2,2021-05-03T04:00:00Z,1407,39.26
39.72,39.72,39.16,783,39.36,2021-05-04T04:00:00Z,59882,39.27
39.2,39.36,39.2,91,39.32,2021-05-05T04:00:00Z,9001,39.23
39.2,39.25,39.16,24,39.16,2021-05-06T04:00:00Z,2065,39.2
39.12,39.2,39.12,59,39.2,2021-05-07T04:00:00Z,4691,39.2
39.16,39.18,39.12,20,39.12,2021-05-10T04:00:00Z,283,39.14
39.0,39.4,39.0,84,39.12,2021-05-11T04:00:00Z,68120,39.12
38.96,39.12,38.92,55,39.12,2021-05-12T04:00:00Z,14506,38.99
38.76,38.96,38.72,66,38.96,2021-05-13T04:00:00Z,4263,38.82
38.86,38.86,38.8,14,38.8,2021-05-14T04:00:00Z,636,38.81
38.8,38.8,38.36,71,38.8,2021-05-17T04:00:00Z,66698,38.79
38.64,38.8,38.64,31,38.74,2021-05-18T04:00:00Z,63389,38.64
38.72,38.84,38.68,70,38.8,2021-05-19T04:00:00Z,18559,38.7
38.52,38.84,38.44,632,38.8,2021-05-20T04:00:00Z,39803,38.57
38.6,38.6,38.48,473,38.52,2021-05-21T04:00:00Z,31295,38.5
38.8,38.86,38.7,146,38.72,2021-05-24T04:00:00Z,7597,38.79
38.84,38.88,38.64,55,38.84,2021-05-25T04:00:00Z,1381,38.83
38.72,38.92,38.68,40,38.88,2021-05-26T04:00:00Z,995,38.83
38.66,38.76,38.64,49,38.76,2021-05-27T04:00:00Z,1785,38.71
38.66,38.66,38.66,0,38.66,2021-05-28T04:00:00Z,0,0.0
38.64,38.88,38.6,126,38.76,2021-06-01T04:00:00Z,3978,38.7
38.64,38.64,38.64,0,38.64,2021-06-02T04:00:00Z,0,0.0
38.76,38.76,38.28,18,38.28,2021-06-03T04:00:00Z,641,38.38
38.96,38.96,38.79,18,38.79,2021-06-04T04:00:00Z,434,38.9
38.76,38.76,38.72,19,38.72,2021-06-07T04:00:00Z,313,38.73
38.72,38.72,38.55,23,38.55,2021-06-08T04:00:00Z,598,38.67
38.97,38.97,38.64,49,38.64,2021-06-09T04:00:00Z,1700,38.76
39.2,39.24,38.8,247,38.88,2021-06-10T04:00:00Z,14199,39.12
39.4,39.4,39.24,74,39.36,2021-06-11T04:00:00Z,3092,39.37
39.2,39.56,38.96,57,39.56,2021-06-14T04:00:00Z,2795,39.4
39.24,39.28,39.2,12,39.28,2021-06-15T04:00:00Z,430,39.24
39.2,39.36,39.2,54,39.24,2021-06-16T04:00:00Z,1925,39.21
39.2,39.24,39.2,51,39.24,2021-06-17T04:00:00Z,6808,39.2
39.08,39.08,39.08,14,39.08,2021-06-18T04:00:00Z,83,39.08
39.2,39.38,39.2,32,39.2,2021-06-21T04:00:00Z,2519,39.2
39.2,39.2,39.2,0,39.2,2021-06-22T04:00:00Z,0,0.0
39.12,39.4,38.8,299,39.16,2021-06-23T04:00:00Z,36856,39.12
39.48,39.72,39.36,3748,39.72,2021-06-24T04:00:00Z,655542,39.5
39.76,39.76,39.48,2705,39.64,2021-06-25T04:00:00Z,201843,39.65
39.6,39.76,39.56,1659,39.76,2021-06-28T04:00:00Z,236245,39.6
39.6,39.68,39.52,874,39.64,2021-06-29T04:00:00Z,348291,39.61
39.44,39.62,39.36,904,39.6,2021-06-30T04:00:00Z,221776,39.45
39.44,39.48,39.16,1518,39.48,2021-07-01T04:00:00Z,184417,39.3
39.48,39.48,39.4,218,39.48,2021-07-02T04:00:00Z,14959,39.45
39.48,39.5,39.4,392,39.48,2021-07-06T04:00:00Z,25169,39.47
39.48,39.56,39.44,197,39.51,2021-07-07T04:00:00Z,20413,39.49
39.48,39.56,39.4,326,39.4,2021-07-08T04:00:00Z,11096,39.52
39.48,39.56,39.44,527,39.56,2021-07-09T04:00:00Z,22806,39.5
39.52,39.64,39.48,594,39.64,2021-07-12T04:00:00Z,45753,39.54
39.52,39.6,39.48,433,39.56,2021-07-13T04:00:00Z,21487,39.57
39.64,39.68,39.52,214,39.68,2021-07-14T04:00:00Z,13984,39.6
39.52,39.64,39.4,754,39.64,2021-07-15T04:00:00Z,39967,39.48
39.52,39.52,39.4,186,39.52,2021-07-16T04:00:00Z,4600,39.48
39.52,39.6,39.4,346,39.44,2021-07-19T04:00:00Z,18244,39.5
39.56,39.56,39.44,392,39.52,2021-07-20T04:00:00Z,10853,39.51
39.52,39.64,39.48,371,39.56,2021-07-21T04:00:00Z,13549,39.53
39.48,39.52,39.4,536,39.44,2021-07-22T04:00:00Z,27233,39.47
39.52,39.52,39.44,365,39.44,2021-07-23T04:00:00Z,11915,39.48
39.52,39.6,39.4,269,39.44,2021-07-26T04:00:00Z,21354,39.5
39.48,39.52,39.44,191,39.48,2021-07-27T04:00:00Z,5456,39.46
39.48,39.64,39.44,592,39.52,2021-07-28T04:00:00Z,21551,39.57
39.4,39.56,39.28,682,39.56,2021-07-29T04:00:00Z,27516,39.39
39.64,39.68,39.36,707,39.44,2021-07-30T04:00:00Z,79591,39.43
39.48,39.6,39.48,532,39.56,2021-08-02T04:00:00Z,21410,39.52
39.36,39.52,39.36,330,39.52,2021-08-03T04:00:00Z,10342,39.43
39.4,39.44,39.24,219,39.24,2021-08-04T04:00:00Z,5915,39.38
39.36,39.48,39.36,456,39.48,2021-08-05T04:00:00Z,17375,39.37
39.44,39.68,39.36,214,39.68,2021-08-06T04:00:00Z,8885,39.6
39.44,39.52,39.4,128,39.44,2021-08-09T04:00:00Z,4991,39.42
39.48,39.52,39.36,547,39.36,2021-08-10T04:00:00Z,14940,39.48
39.64,39.67,39.52,117,39.52,2021-08-11T04:00:00Z,34333,39.64
39.6,39.72,39.44,134,39.56,2021-08-12T04:00:00Z,76655,39.57
39.48,39.6,39.36,1020,39.6,2021-08-13T04:00:00Z,100674,39.49
39.57,39.6,39.44,294,39.44,2021-08-16T04:00:00Z,15830,39.55
39.52,39.6,39.52,369,39.6,2021-08-17T04:00:00Z,24770,39.52
39.52,39.6,39.48,371,39.52,2021-08-18T04:00:00Z,18644,39.52
39.4,39.6,39.32,875,39.6,2021-08-19T04:00:00Z,47932,39.4
39.48,39.6,39.44,312,39.44,2021-08-20T04:00:00Z,8254,39.46
39.52,39.6,39.44,219,39.56,2021-08-23T04:00:00Z,5034,39.49
39.52,39.56,39.44,225,39.44,2021-08-24T04:00:00Z,11255,39.49
39.6,39.6,39.44,77,39.44,2021-08-25T04:00:00Z,4378,39.51
39.52,39.6,39.45,71,39.6,2021-08-26T04:00:00Z,587,39.53
39.56,39.6,39.48,265,39.52,2021-08-27T04:00:00Z,7157,39.52
39.46,39.6,39.44,87,39.44,2021-08-30T04:00:00Z,6800,39.51
39.64,39.64,39.44,1169,39.44,2021-08-31T04:00:00Z,80813,39.54
39.54,39.64,39.28,1769,39.53,2021-09-01T04:00:00Z,105836,39.5
39.56,39.64,39.48,220,39.48,2021-09-02T04:00:00Z,12916,39.53
39.46,39.6,39.44,41,39.6,2021-09-03T04:00:00Z,393,39.5
39.75,39.76,39.48,334,39.48,2021-09-07T04:00:00Z,129682,39.61
39.6,39.72,39.6,130,39.64,2021-09-08T04:00:00Z,93361,39.61
39.6,39.72,39.52,348,39.6,2021-09-09T04:00:00Z,68105,39.6
39.64,39.68,39.6,263,39.67,2021-09-10T04:00:00Z,226145,39.61
39.68,39.72,39.6,223,39.72,2021-09-13T04:00:00Z,6389,39.64
39.56,39.67,39.52,155,39.67,2021-09-14T04:00:00Z,11778,39.59
39.6,39.64,39.54,251,39.56,2021-09-15T04:00:00Z,5085,39.57
39.6,39.6,39.56,149,39.56,2021-09-16T04:00:00Z,17734,39.6
39.65,39.72,39.6,186,39.6,2021-09-17T04:00:00Z,33587,39.64
39.64,39.68,39.6,90,39.68,2021-09-20T04:00:00Z,3456,39.61
39.68,39.76,39.6,145,39.6,2021-09-21T04:00:00Z,2892,39.66
39.64,39.68,39.64,318,39.68,2021-09-22T04:00:00Z,7505,39.67
39.72,39.76,39.64,249,39.68,2021-09-23T04:00:00Z,36463,39.68
39.7,39.76,39.64,43,39.76,2021-09-24T04:00:00Z,1200,39.69
39.68,39.72,39.6,71,39.6,2021-09-27T04:00:00Z,10359,39.68
39.68,39.72,39.64,68,39.64,2021-09-28T04:00:00Z,4836,39.68
39.68,39.72,39.64,124,39.68,2021-09-29T04:00:00Z,8215,39.69
39.64,39.72,39.6,199,39.6,2021-09-30T04:00:00Z,7668,39.69
39.68,39.8,39.68,146,39.76,2021-10-01T04:00:00Z,24389,39.76
39.72,39.76,39.69,73,39.76,2021-10-04T04:00:00Z,6852,39.73
39.76,39.8,39.75,131,39.76,2021-10-05T04:00:00Z,6381,39.77
39.74,39.88,39.72,100,39.88,2021-10-06T04:00:00Z,2842,39.76
39.76,39.8,39.72,160,39.72,2021-10-07T04:00:00Z,7165,39.76
39.84,39.84,39.72,631,39.76,2021-10-08T04:00:00Z,190074,39.74
39.76,39.82,39.76,428,39.76,2021-10-11T04:00:00Z,12783,39.76
39.84,39.84,39.78,41,39.82,2021-10-12T04:00:00Z,568,39.82
39.88,39.88,39.76,90,39.76,2021-10-13T04:00:00Z,5857,39.84
39.84,39.84,39.76,55,39.8,2021-10-14T04:00:00Z,560,39.8
39.84,39.87,39.8,98,39.84,2021-10-15T04:00:00Z,7271,39.84
39.8,39.84,39.8,91,39.8,2021-10-18T04:00:00Z,715,39.81
39.82,39.84,39.8,69,39.82,2021-10-19T04:00:00Z,1594,39.8
39.8,39.84,39.8,88,39.84,2021-10-20T04:00:00Z,1027,39.81
39.84,39.84,39.76,212,39.8,2021-10-21T04:00:00Z,12583,39.8
39.8,39.88,39.76,97,39.84,2021-10-22T04:00:00Z,91094,39.8
39.92,39.92,39.76,260,39.8,2021-10-25T04:00:00Z,95845,39.82
39.8,39.88,39.8,181,39.88,2021-10-26T04:00:00Z,20356,39.82
39.83,39.83,39.8,42,39.8,2021-10-27T04:00:00Z,211,39.81
39.8,39.88,39.8,73,39.88,2021-10-28T04:00:00Z,2487,39.83
39.88,39.88,39.76,148,39.88,2021-10-29T04:00:00Z,3817,39.83
