c,h,l,n,o,t,v,vw
4.8,9.36,4.5,7733,5.5,2022-12-19T05:00:00Z,644901,6.379389
2.07,3.89,1.72,8222,3.7,2022-12-20T05:00:00Z,1332981,2.152949
1.74,2.32,1.65,25588,2.32,2022-12-21T05:00:00Z,3694416,1.814142
1.13,1.67,1.02,7881,1.67,2022-12-22T05:00:00Z,1613661,1.261292
1.29,1.9,0.95,25550,1.22,2022-12-23T05:00:00Z,8098189,1.48355
1.11,1.255,1.03,3790,1.17,2022-12-27T05:00:00Z,975836,1.128801
1.04,1.07,0.97,1787,1.05,2022-12-28T05:00:00Z,444326,1.021298
1.1,1.1099,1.0,1240,1.0,2022-12-29T05:00:00Z,449498,1.052564
1.27,1.33,1.04,2717,1.13,2022-12-30T05:00:00Z,699379,1.211153
1.32,1.4499,1.22,1713,1.23,2023-01-03T05:00:00Z,453029,1.33376
1.24,1.3563,1.18,1173,1.31,2023-01-04T05:00:00Z,358091,1.248945
1.21,1.22,1.091,813,1.2,2023-01-05T05:00:00Z,212746,1.136126
1.25,1.34,1.13,1349,1.13,2023-01-06T05:00:00Z,392067,1.271654
1.24,1.33,1.22,508,1.22,2023-01-09T05:00:00Z,134448,1.26501
1.22,1.2699,1.1901,387,1.24,2023-01-10T05:00:00Z,67996,1.21546
1.21,1.3,1.15,485,1.22,2023-01-11T05:00:00Z,116129,1.21856
1.21,1.26,1.2,211,1.21,2023-01-12T05:00:00Z,73014,1.226063
1.29,1.32,1.174,412,1.2,2023-01-13T05:00:00Z,97987,1.265491
1.47,2.08,1.26,22770,1.2872,2023-01-17T05:00:00Z,8138469,1.690289
1.58,1.64,1.32,2631,1.45,2023-01-18T05:00:00Z,741096,1.46793
1.68,1.75,1.52,1744,1.58,2023-01-19T05:00:00Z,626993,1.679304
1.6,1.86,1.41,2031,1.73,2023-01-20T05:00:00Z,594146,1.71359
1.56,1.6799,1.51,741,1.57,2023-01-23T05:00:00Z,141651,1.570717
1.5,1.58,1.45,821,1.53,2023-01-24T05:00:00Z,140807,1.506941
1.51,1.56,1.4201,598,1.495,2023-01-25T05:00:00Z,115566,1.496548
1.56,1.56,1.46,418,1.5,2023-01-26T05:00:00Z,100824,1.507908
1.53,1.58,1.52,454,1.56,2023-01-27T05:00:00Z,125216,1.551566
1.48,1.62,1.4538,454,1.62,2023-01-30T05:00:00Z,177826,1.510628
1.59,1.59,1.49,234,1.49,2023-01-31T05:00:00Z,77960,1.532553
1.69,1.7,1.5301,416,1.55,2023-02-01T05:00:00Z,120694,1.644219
1.63,1.75,1.6,607,1.69,2023-02-02T05:00:00Z,138773,1.683105
1.58,1.72,1.58,297,1.61,2023-02-03T05:00:00Z,51593,1.608205
1.72,1.73,1.54,349,1.65,2023-02-06T05:00:00Z,88017,1.658346
1.63,1.75,1.61,409,1.67,2023-02-07T05:00:00Z,107151,1.677356
1.66,1.7,1.6,301,1.665,2023-02-08T05:00:00Z,68779,1.631755
1.6,1.68,1.6,303,1.669,2023-02-09T05:00:00Z,60897,1.63498
1.68,1.68,1.5611,188,1.6,2023-02-10T05:00:00Z,29464,1.623947
1.65,1.7,1.59,236,1.65,2023-02-13T05:00:00Z,62842,1.640785
1.52,1.64,1.45,896,1.64,2023-02-14T05:00:00Z,178260,1.517892
1.52,1.61,1.51,172,1.55,2023-02-15T05:00:00Z,50214,1.526509
1.5,1.58,1.49,168,1.53,2023-02-16T05:00:00Z,61676,1.511579
1.55,1.65,1.5067,125,1.62,2023-02-17T05:00:00Z,49351,1.571187
1.43,1.6,1.41,297,1.52,2023-02-21T05:00:00Z,106792,1.486313
1.24,1.5,1.2,540,1.47,2023-02-22T05:00:00Z,160812,1.294874
1.29,1.35,1.0973,846,1.23,2023-02-23T05:00:00Z,232135,1.212953
1.24,1.365,1.22,236,1.29,2023-02-24T05:00:00Z,89495,1.280056
1.13,1.24,1.12,278,1.19,2023-02-27T05:00:00Z,83279,1.164178
1.12,1.2,1.06,675,1.2,2023-02-28T05:00:00Z,230413,1.103664
1.1,1.14,1.048,361,1.14,2023-03-01T05:00:00Z,121762,1.087186
1.0,1.37,0.9502,2398,1.12,2023-03-02T05:00:00Z,933662,1.10245
0.889,1.03,0.842201,1159,0.991,2023-03-03T05:00:00Z,390819,0.910156
0.888501,0.905099,0.8482,383,0.891,2023-03-06T05:00:00Z,200772,0.872801
0.890539,0.922,0.8604,144,0.89,2023-03-07T05:00:00Z,79712,0.894359
0.91,0.93,0.89,255,0.8901,2023-03-08T05:00:00Z,78946,0.900843
