c,h,l,n,o,t,v,vw
7.0,8.45,7.0,9239,8.0,2021-07-27T04:00:00Z,2678466,7.69125
6.89,7.1676,6.85,1214,6.99,2021-07-28T04:00:00Z,143817,6.947598
7.3,7.8,6.84,1078,6.99,2021-07-29T04:00:00Z,154642,7.381562
7.59,7.729,7.28,825,7.43,2021-07-30T04:00:00Z,80094,7.50931
7.5,7.87,7.03,1687,7.6,2021-08-02T04:00:00Z,253015,7.577796
7.5,8.0,7.11,3681,7.9,2021-08-03T04:00:00Z,524051,7.660678
7.5,7.84,7.38,449,7.5,2021-08-04T04:00:00Z,45737,7.562456
7.59,7.88,6.94,1012,7.64,2021-08-05T04:00:00Z,134798,7.38707
7.53,7.65,7.0464,116,7.22,2021-08-06T04:00:00Z,15213,7.397058
7.55,7.74,7.43,204,7.53,2021-08-09T04:00:00Z,15342,7.548371
7.83,7.84,7.4734,166,7.5,2021-08-10T04:00:00Z,12783,7.635119
8.45,8.45,7.5,1049,7.5,2021-08-11T04:00:00Z,168091,8.113417
8.26,8.68,8.0,1092,8.45,2021-08-12T04:00:00Z,108182,8.419545
7.59,8.57,7.4,382,8.25,2021-08-13T04:00:00Z,29860,7.824032
7.29,7.95,7.28,640,7.59,2021-08-16T04:00:00Z,36368,7.647441
6.445,7.41,6.3,452,7.3,2021-08-17T04:00:00Z,43995,6.818473
6.7,7.48,6.3,941,7.35,2021-08-18T04:00:00Z,99067,7.045633
5.75,6.87,5.51,495,6.64,2021-08-19T04:00:00Z,42814,6.047796
6.3,6.78,5.8,497,5.8,2021-08-20T04:00:00Z,75410,6.340931
7.93,8.0499,6.8,2525,6.8,2021-08-23T04:00:00Z,261682,7.593727
7.81,8.15,7.56,872,8.15,2021-08-24T04:00:00Z,107598,7.898197
7.62,8.0,7.6,365,7.89,2021-08-25T04:00:00Z,37081,7.789743
7.84,7.995,7.45,351,7.95,2021-08-26T04:00:00Z,55825,7.806382
8.0,8.055,7.6436,471,7.97,2021-08-27T04:00:00Z,164928,7.976418
7.94,8.1973,7.8,337,8.0,2021-08-30T04:00:00Z,35188,7.934711
8.04,8.04,7.73,292,7.99,2021-08-31T04:00:00Z,29446,7.938224
