c,h,l,n,o,t,v,vw
32.88,33.21,32.46,8391,33.15,2016-01-04T05:00:00Z,710516,32.79
32.9,33.27,32.63,5323,32.89,2016-01-05T05:00:00Z,530340,32.91
32.55,32.88,32.24,5556,32.3,2016-01-06T05:00:00Z,458052,32.59
31.9,32.39,31.87,7445,31.91,2016-01-07T05:00:00Z,650719,32.07
31.3,32.28,31.24,5808,32.28,2016-01-08T05:00:00Z,475335,31.65
31.38,31.67,31.18,6120,31.52,2016-01-11T05:00:00Z,451264,31.4
31.6,31.98,31.04,6318,31.66,2016-01-12T05:00:00Z,574860,31.39
30.81,31.79,30.67,8693,31.64,2016-01-13T05:00:00Z,804150,31.08
31.2,31.43,30.66,6289,30.93,2016-01-14T05:00:00Z,549346,31.16
30.85,30.89,30.13,9321,30.34,2016-01-15T05:00:00Z,884953,30.58
30.85,31.31,30.69,9851,31.13,2016-01-19T05:00:00Z,872322,30.94
30.82,31.45,29.58,12606,30.04,2016-01-20T05:00:00Z,1038086,30.34
30.09,31.02,30.09,10325,30.55,2016-01-21T05:00:00Z,771980,30.42
30.99,31.12,30.35,8709,30.47,2016-01-22T05:00:00Z,804210,30.88
29.91,30.96,29.86,12134,30.89,2016-01-25T05:00:00Z,1014715,30.18
31.04,31.22,30.02,10014,30.02,2016-01-26T05:00:00Z,974115,30.92
31.11,31.75,30.73,7172,30.88,2016-01-27T05:00:00Z,608013,31.24
31.65,32.16,31.43,5886,31.45,2016-01-28T05:00:00Z,468009,31.67
32.5,32.5,31.47,6825,31.64,2016-01-29T05:00:00Z,915932,32.24
32.26,32.51,32.03,5387,32.3,2016-02-01T05:00:00Z,513541,32.27
31.58,32.03,31.44,8670,31.87,2016-02-02T05:00:00Z,645611,31.67
32.09,32.46,31.04,6872,31.93,2016-02-03T05:00:00Z,685096,31.75
32.65,32.76,31.98,6696,31.98,2016-02-04T05:00:00Z,590138,32.52
32.5,33.05,32.42,6938,32.65,2016-02-05T05:00:00Z,624529,32.62
32.39,32.48,31.75,8019,32.06,2016-02-08T05:00:00Z,670036,32.16
32.47,32.68,31.87,7415,31.96,2016-02-09T05:00:00Z,784670,32.45
32.02,33.07,31.98,7946,32.83,2016-02-10T05:00:00Z,592859,32.37
