c,h,l,n,o,t,v,vw
26.38,26.39,26.14,64,26.29,2016-01-04T05:00:00Z,27865,26.25
26.53,26.53,26.32,117,26.38,2016-01-05T05:00:00Z,20347,26.42
26.16,26.37,26.09,288,26.37,2016-01-06T05:00:00Z,37159,26.24
25.75,26.0,25.74,33,25.87,2016-01-07T05:00:00Z,6638,25.88
25.47,25.86,25.45,236,25.86,2016-01-08T05:00:00Z,31888,25.69
25.58,25.69,25.35,49,25.49,2016-01-11T05:00:00Z,18943,25.53
25.56,25.78,25.39,26,25.78,2016-01-12T05:00:00Z,7284,25.59
25.17,25.72,25.14,37,25.61,2016-01-13T05:00:00Z,18188,25.37
25.55,25.65,25.24,95,25.24,2016-01-14T05:00:00Z,71078,25.57
25.14,25.18,24.85,268,25.0,2016-01-15T05:00:00Z,136320,25.02
25.19,25.46,25.02,157,25.46,2016-01-19T05:00:00Z,26282,25.24
24.82,25.11,24.35,142,25.11,2016-01-20T05:00:00Z,29858,24.73
25.02,25.17,24.72,83,24.74,2016-01-21T05:00:00Z,26583,24.87
25.46,25.47,25.23,132,25.23,2016-01-22T05:00:00Z,24037,25.39
25.08,25.49,25.06,259,25.48,2016-01-25T05:00:00Z,39869,25.25
25.46,25.47,25.21,38,25.22,2016-01-26T05:00:00Z,8607,25.35
25.42,25.77,25.31,64,25.54,2016-01-27T05:00:00Z,20918,25.57
25.65,25.7,25.42,56,25.68,2016-01-28T05:00:00Z,19903,25.6
26.19,26.19,25.92,35,25.96,2016-01-29T05:00:00Z,7573,26.12
26.42,26.42,26.08,42,26.24,2016-02-01T05:00:00Z,116130,26.22
26.07,26.19,25.97,89,26.19,2016-02-02T05:00:00Z,23082,26.06
26.31,26.41,25.98,137,25.98,2016-02-03T05:00:00Z,20967,26.13
26.25,26.46,26.22,116,26.31,2016-02-04T05:00:00Z,21380,26.29
26.17,26.28,26.17,35,26.24,2016-02-05T05:00:00Z,6140,26.22
25.87,25.98,25.77,38,25.91,2016-02-08T05:00:00Z,5379,25.86
26.04,26.04,25.84,21,25.93,2016-02-09T05:00:00Z,5421,25.91
25.91,26.1,25.9,74,25.96,2016-02-10T05:00:00Z,19235,25.99
25.68,25.73,25.48,82,25.72,2016-02-11T05:00:00Z,40312,25.63
25.93,25.93,25.74,50,25.87,2016-02-12T05:00:00Z,9026,25.84
26.4,26.4,26.07,49,26.31,2016-02-16T05:00:00Z,6969,26.29
26.69,26.71,26.58,63,26.58,2016-02-17T05:00:00Z,13116,26.67
26.77,26.85,26.63,31,26.73,2016-02-18T05:00:00Z,8432,26.74
26.66,26.69,26.57,70,26.6,2016-02-19T05:00:00Z,17443,26.64
26.96,26.96,26.85,38,26.85,2016-02-22T05:00:00Z,7618,26.93
26.84,26.88,26.75,54,26.87,2016-02-23T05:00:00Z,12307,26.82
26.91,26.91,26.5,39,26.55,2016-02-24T05:00:00Z,8168,26.65
27.13,27.13,26.89,60,26.89,2016-02-25T05:00:00Z,20854,26.98
27.0,27.22,26.94,55,27.22,2016-02-26T05:00:00Z,12960,27.05
26.97,27.15,26.93,45,27.08,2016-02-29T05:00:00Z,8376,27.02
27.21,27.23,27.07,110,27.07,2016-03-01T05:00:00Z,18233,27.15
27.37,27.37,27.07,87,27.15,2016-03-02T05:00:00Z,27229,27.23
27.56,27.56,27.27,64,27.29,2016-03-03T05:00:00Z,17451,27.34
27.72,27.79,27.45,213,27.46,2016-03-04T05:00:00Z,45344,27.68
27.88,27.93,27.67,30,27.69,2016-03-07T05:00:00Z,10591,27.83
27.7,27.82,27.63,102,27.65,2016-03-08T05:00:00Z,20626,27.71
27.8,27.9,27.74,34,27.74,2016-03-09T05:00:00Z,5603,27.83
27.9,28.01,27.62,97,27.84,2016-03-10T05:00:00Z,15261,27.81
28.22,28.28,27.77,211,27.77,2016-03-11T05:00:00Z,55450,27.99
28.24,28.24,28.14,59,28.2,2016-03-14T04:00:00Z,15482,28.2
28.11,28.12,28.02,79,28.09,2016-03-15T04:00:00Z,18608,28.07
28.38,28.39,28.07,119,28.13,2016-03-16T04:00:00Z,29659,28.17
28.65,28.72,28.35,147,28.35,2016-03-17T04:00:00Z,40939,28.62
28.69,28.87,28.65,212,28.87,2016-03-18T04:00:00Z,69027,28.7
28.7,28.79,28.59,144,28.79,2016-03-21T04:00:00Z,35988,28.68
28.59,28.69,28.44,106,28.44,2016-03-22T04:00:00Z,26043,28.61
28.49,28.75,28.46,78,28.75,2016-03-23T04:00:00Z,29941,28.5
28.43,28.44,28.27,42,28.44,2016-03-24T04:00:00Z,15566,28.35
28.48,28.55,28.39,63,28.45,2016-03-28T04:00:00Z,15278,28.5
28.74,28.75,28.35,137,28.35,2016-03-29T04:00:00Z,33941,28.48
28.79,28.88,28.75,138,28.81,2016-03-30T04:00:00Z,30187,28.82
28.8,28.99,28.74,84,28.99,2016-03-31T04:00:00Z,16603,28.81
28.89,28.89,28.56,51,28.88,2016-04-01T04:00:00Z,18796,28.79
28.73,29.04,28.73,76,29.04,2016-04-04T04:00:00Z,23943,28.78
28.39,28.5,28.38,70,28.45,2016-04-05T04:00:00Z,25906,28.47
28.5,28.5,28.28,50,28.39,2016-04-06T04:00:00Z,22082,28.35
28.2,28.35,28.09,58,28.35,2016-04-07T04:00:00Z,16391,28.23
28.18,28.44,28.18,48,28.37,2016-04-08T04:00:00Z,15740,28.29
28.22,28.56,28.22,40,28.56,2016-04-11T04:00:00Z,11069,28.37
