c,h,l,n,o,t,v,vw
22.75,23.17,22.51,1586,23.07,2016-01-04T05:00:00Z,218621,22.857771
22.91,23.31,22.88,1218,23.15,2016-01-05T05:00:00Z,146077,23.005821
22.37,22.77,21.2483,1295,22.55,2016-01-06T05:00:00Z,135610,22.419373
21.52,22.09,21.19,1367,21.96,2016-01-07T05:00:00Z,140168,21.738718
21.44,22.5,21.39,1566,21.91,2016-01-08T05:00:00Z,272063,21.705362
22.99,23.29,21.86,2394,21.86,2016-01-11T05:00:00Z,268669,22.776896
22.96,23.585,22.76,1429,23.16,2016-01-12T05:00:00Z,166972,23.135092
22.28,23.2699,22.03,1158,23.0,2016-01-13T05:00:00Z,112606,22.498309
22.82,23.08,21.3101,1316,22.46,2016-01-14T05:00:00Z,123360,22.721562
22.0,22.37,21.42,1196,22.07,2016-01-15T05:00:00Z,159881,21.962918
21.75,22.27,21.45,1081,22.23,2016-01-19T05:00:00Z,112320,21.815794
22.35,22.75,21.21,1385,21.45,2016-01-20T05:00:00Z,125974,22.055701
22.45,22.81,21.335,1317,22.49,2016-01-21T05:00:00Z,151957,22.487018
22.68,22.98,22.4,1316,22.85,2016-01-22T05:00:00Z,144637,22.711705
22.29,22.63,22.17,982,22.63,2016-01-25T05:00:00Z,92433,22.348524
22.53,22.7399,22.0,1282,22.43,2016-01-26T05:00:00Z,121580,22.503549
21.88,22.35,21.01,1064,22.35,2016-01-27T05:00:00Z,118442,21.979696
22.1,22.18,21.87,1177,22.04,2016-01-28T05:00:00Z,130047,22.043759
23.15,23.25,21.43,1665,22.22,2016-01-29T05:00:00Z,290074,23.048398
22.9,23.05,21.58,1467,22.95,2016-02-01T05:00:00Z,139900,22.837787
22.77,22.85,22.23,1264,22.33,2016-02-02T05:00:00Z,129992,22.636409
20.33,23.545,19.54,3280,22.79,2016-02-03T05:00:00Z,350119,20.581513
18.03,20.34,17.9535,4372,20.0,2016-02-04T05:00:00Z,523582,18.619397
17.41,18.17,17.31,1894,17.85,2016-02-05T05:00:00Z,208224,17.719336
18.14,18.24,17.105,2125,17.17,2016-02-08T05:00:00Z,206592,17.855876
18.04,18.44,17.735,1450,17.87,2016-02-09T05:00:00Z,159719,18.105442
18.03,18.58,17.96,1452,18.29,2016-02-10T05:00:00Z,164450,18.200242
17.91,18.54,17.6101,895,17.76,2016-02-11T05:00:00Z,95569,17.929427
18.13,18.18,17.66,1000,18.06,2016-02-12T05:00:00Z,138086,18.01999
18.59,18.62,18.24,904,18.41,2016-02-16T05:00:00Z,100173,18.538416
18.78,18.81,18.35,1383,18.68,2016-02-17T05:00:00Z,228601,18.621983
18.76,19.47,18.73,1560,18.86,2016-02-18T05:00:00Z,157044,18.849345
18.87,19.15,18.75,1056,18.76,2016-02-19T05:00:00Z,105235,18.907734
19.09,19.23,18.79,1117,19.1,2016-02-22T05:00:00Z,126010,19.047206
19.085,19.66,18.96,1051,18.96,2016-02-23T05:00:00Z,109034,19.302044
19.23,19.28,18.88,904,18.95,2016-02-24T05:00:00Z,70022,19.114412
19.36,19.36,18.79,932,19.27,2016-02-25T05:00:00Z,105877,19.141138
19.33,19.49,19.15,736,19.38,2016-02-26T05:00:00Z,66154,19.323567
19.61,19.84,19.36,1286,19.43,2016-02-29T05:00:00Z,157873,19.575759
20.0,20.05,17.96,1429,19.72,2016-03-01T05:00:00Z,135379,19.868084
19.92,20.16,19.8,813,19.98,2016-03-02T05:00:00Z,89846,19.929707
19.89,20.14,19.67,678,19.94,2016-03-03T05:00:00Z,92307,19.891886
20.11,20.17,19.61,917,19.85,2016-03-04T05:00:00Z,97966,20.018617
20.24,20.49,20.0,771,20.0,2016-03-07T05:00:00Z,79160,20.23605
19.95,20.29,19.91,664,20.15,2016-03-08T05:00:00Z,76558,20.018151
20.03,20.26,19.87,582,20.01,2016-03-09T05:00:00Z,77524,20.011784
19.99,20.415,19.76,602,20.22,2016-03-10T05:00:00Z,69012,20.019909
20.34,20.35,20.0,570,20.12,2016-03-11T05:00:00Z,64173,20.231025
20.58,21.11,20.36,1083,20.36,2016-03-14T04:00:00Z,97021,20.787278
20.48,20.63,20.25,922,20.58,2016-03-15T04:00:00Z,82139,20.459801
20.73,20.89,20.43,538,20.44,2016-03-16T04:00:00Z,50874,20.721631
21.08,21.2,20.575,619,20.74,2016-03-17T04:00:00Z,70825,21.031282
21.57,21.905,21.15,841,21.25,2016-03-18T04:00:00Z,171535,21.472875
21.36,21.59,21.26,802,21.5,2016-03-21T04:00:00Z,60050,21.373691
21.1,21.4,21.05,721,21.35,2016-03-22T04:00:00Z,52822,21.183499
20.9,21.07,19.75,766,21.07,2016-03-23T04:00:00Z,83941,20.921564
20.66,20.79,20.13,622,20.79,2016-03-24T04:00:00Z,61543,20.502508
20.66,20.83,20.23,531,20.83,2016-03-28T04:00:00Z,57073,20.632026
