c,h,l,n,o,t,v,vw
15.56,15.66,15.22,4259,15.44,2016-01-04T05:00:00Z,977972,15.48
15.24,15.59,15.13,3812,15.55,2016-01-05T05:00:00Z,778512,15.31
14.69,15.12,14.63,5733,15.07,2016-01-06T05:00:00Z,1671464,14.83
13.7,14.47,13.63,7396,14.41,2016-01-07T05:00:00Z,1578902,13.89
13.3,13.97,13.22,7568,13.7,2016-01-08T05:00:00Z,1834840,13.49
13.48,13.52,13.09,6970,13.27,2016-01-11T05:00:00Z,1548224,13.3
14.2,14.25,13.6,7091,13.6,2016-01-12T05:00:00Z,1536274,14.09
13.79,14.65,13.63,6125,14.24,2016-01-13T05:00:00Z,1519284,14.12
13.99,14.19,13.61,5645,13.82,2016-01-14T05:00:00Z,1513980,13.91
13.99,14.01,13.55,6937,13.7,2016-01-15T05:00:00Z,1660264,13.84
14.17,14.25,13.97,6837,14.1,2016-01-19T05:00:00Z,1784664,14.14
14.18,14.31,13.81,7118,13.94,2016-01-20T05:00:00Z,1434454,14.06
14.12,14.41,14.01,7360,14.17,2016-01-21T05:00:00Z,1655544,14.15
14.64,14.72,14.16,5500,14.47,2016-01-22T05:00:00Z,1606066,14.55
14.47,14.86,14.4,7111,14.54,2016-01-25T05:00:00Z,1793816,14.48
14.49,14.6,14.06,4605,14.51,2016-01-26T05:00:00Z,1032984,14.41
14.42,14.63,14.32,4018,14.37,2016-01-27T05:00:00Z,991880,14.45
14.24,14.59,14.19,3705,14.53,2016-01-28T05:00:00Z,1159662,14.34
15.07,15.09,14.32,4149,14.32,2016-01-29T05:00:00Z,1108932,14.96
14.82,15.06,14.66,2507,14.92,2016-02-01T05:00:00Z,570560,14.81
14.5,14.93,14.35,3315,14.71,2016-02-02T05:00:00Z,713840,14.51
14.64,14.71,14.3,5017,14.63,2016-02-03T05:00:00Z,1194238,14.56
14.82,15.03,14.64,3511,14.64,2016-02-04T05:00:00Z,591510,14.88
14.44,15.1,14.35,3937,14.73,2016-02-05T05:00:00Z,849488,14.5
14.12,14.39,13.77,4502,14.22,2016-02-08T05:00:00Z,1104156,14.05
14.45,14.66,13.98,4391,14.0,2016-02-09T05:00:00Z,1082484,14.46
14.49,14.75,14.35,7555,14.44,2016-02-10T05:00:00Z,1452232,14.51
15.33,15.46,14.06,10701,14.06,2016-02-11T05:00:00Z,2748970,15.0
15.63,15.78,15.08,7050,15.55,2016-02-12T05:00:00Z,1654608,15.52
16.14,16.29,15.63,6211,15.78,2016-02-16T05:00:00Z,1417942,16.1
16.99,17.05,16.15,7406,16.3,2016-02-17T05:00:00Z,1816688,16.81
16.98,17.25,16.9,6076,17.08,2016-02-18T05:00:00Z,1475728,17.05
17.17,17.25,16.92,4377,16.93,2016-02-19T05:00:00Z,880232,17.12
17.22,17.51,17.0,3030,17.31,2016-02-22T05:00:00Z,611734,17.16
17.21,17.57,17.21,3665,17.22,2016-02-23T05:00:00Z,1034642,17.31
17.2,17.25,16.95,5438,17.15,2016-02-24T05:00:00Z,1078352,17.11
17.28,17.49,17.14,3693,17.31,2016-02-25T05:00:00Z,776170,17.24
17.43,17.56,17.0,3166,17.35,2016-02-26T05:00:00Z,701850,17.41
17.3,17.59,17.08,2876,17.44,2016-02-29T05:00:00Z,636084,17.36
17.94,18.18,17.15,6106,17.5,2016-03-01T05:00:00Z,1379796,17.94
18.3,18.49,17.81,4804,17.96,2016-03-02T05:00:00Z,866238,18.3
18.6,18.61,17.86,4723,18.26,2016-03-03T05:00:00Z,1163444,18.52
18.9,19.04,18.55,4596,18.59,2016-03-04T05:00:00Z,1021520,18.89
18.86,18.93,18.32,3462,18.83,2016-03-07T05:00:00Z,682468,18.83
18.53,18.82,18.48,3723,18.73,2016-03-08T05:00:00Z,784948,18.58
18.57,18.72,18.26,2427,18.56,2016-03-09T05:00:00Z,517712,18.56
18.67,18.71,18.37,3368,18.6,2016-03-10T05:00:00Z,746412,18.59
18.42,18.7,18.08,5551,18.27,2016-03-11T05:00:00Z,1277268,18.44
18.32,18.55,18.3,3510,18.35,2016-03-14T04:00:00Z,573210,18.36
18.18,18.31,17.91,3467,18.25,2016-03-15T04:00:00Z,641550,18.11
18.23,18.24,17.79,5288,17.84,2016-03-16T04:00:00Z,1030916,18.02
18.57,18.63,18.22,3543,18.23,2016-03-17T04:00:00Z,624128,18.48
19.33,19.39,18.51,4196,18.51,2016-03-18T04:00:00Z,1668520,19.07
19.24,19.47,19.13,2966,19.27,2016-03-21T04:00:00Z,586030,19.29
18.83,19.27,18.75,4487,19.19,2016-03-22T04:00:00Z,997014,18.91
18.49,18.82,18.48,4398,18.73,2016-03-23T04:00:00Z,805578,18.57
17.52,17.8,17.11,8750,17.79,2016-03-24T04:00:00Z,2143728,17.42
17.65,17.75,17.32,4046,17.63,2016-03-28T04:00:00Z,748882,17.57
17.93,18.0,17.56,5439,17.58,2016-03-29T04:00:00Z,1239948,17.87
18.04,18.23,17.92,4438,18.07,2016-03-30T04:00:00Z,874918,18.07
18.24,18.36,18.04,3782,18.04,2016-03-31T04:00:00Z,1011394,18.23
18.34,18.5,18.07,4080,18.22,2016-04-01T04:00:00Z,869552,18.35
17.85,18.4,17.77,4426,18.4,2016-04-04T04:00:00Z,858120,17.88
17.34,17.84,17.31,4184,17.64,2016-04-05T04:00:00Z,1399774,17.39
17.57,17.58,17.21,6900,17.3,2016-04-06T04:00:00Z,1351382,17.4
17.21,17.67,17.14,3556,17.48,2016-04-07T04:00:00Z,754694,17.28
17.44,17.58,17.24,2972,17.31,2016-04-08T04:00:00Z,639782,17.42
17.39,17.79,17.35,2513,17.55,2016-04-11T04:00:00Z,484106,17.54
17.55,17.63,17.33,2383,17.33,2016-04-12T04:00:00Z,478606,17.51
18.23,18.27,17.75,3419,17.75,2016-04-13T04:00:00Z,754128,18.12
18.15,18.36,18.02,2968,18.18,2016-04-14T04:00:00Z,647242,18.18
17.97,18.26,17.96,3487,18.15,2016-04-15T04:00:00Z,871704,18.05
17.84,17.99,17.82,3142,17.89,2016-04-18T04:00:00Z,702550,17.88
17.58,18.08,17.54,4517,17.94,2016-04-19T04:00:00Z,967230,17.66
17.61,17.76,17.42,3794,17.6,2016-04-20T04:00:00Z,816372,17.62
17.45,17.79,17.4,3226,17.62,2016-04-21T04:00:00Z,617860,17.55
17.6,17.78,17.41,3835,17.41,2016-04-22T04:00:00Z,953282,17.62
17.53,17.77,17.38,3024,17.58,2016-04-25T04:00:00Z,651794,17.56
17.61,17.79,17.47,2831,17.62,2016-04-26T04:00:00Z,582894,17.62
17.28,17.55,17.05,7144,17.49,2016-04-27T04:00:00Z,1900612,17.24
17.03,17.29,16.99,3398,17.22,2016-04-28T04:00:00Z,796460,17.13
16.64,17.08,16.55,4150,16.92,2016-04-29T04:00:00Z,971020,16.66
16.49,16.74,16.46,7018,16.64,2016-05-02T04:00:00Z,1622792,16.54
19.26,19.89,17.98,23610,18.57,2016-05-03T04:00:00Z,5696558,19.04
18.84,19.32,18.64,7651,18.73,2016-05-04T04:00:00Z,2036572,18.88
18.79,19.09,18.77,5001,18.89,2016-05-05T04:00:00Z,1069744,18.89
19.02,19.02,18.59,4789,18.72,2016-05-06T04:00:00Z,922252,18.9
18.83,19.19,18.82,3737,18.95,2016-05-09T04:00:00Z,745490,18.95
19.12,19.14,18.67,3975,18.83,2016-05-10T04:00:00Z,859152,19.03
18.91,19.25,18.83,3687,19.01,2016-05-11T04:00:00Z,745200,19.0
18.87,19.18,18.73,3594,19.03,2016-05-12T04:00:00Z,763586,18.9
18.53,18.94,18.51,3045,18.81,2016-05-13T04:00:00Z,595050,18.62
18.76,19.11,18.63,3445,18.63,2016-05-16T04:00:00Z,683658,18.87
18.57,19.04,18.45,3180,18.74,2016-05-17T04:00:00Z,636328,18.66
18.47,18.98,18.34,4106,18.53,2016-05-18T04:00:00Z,782770,18.54
18.43,18.88,18.27,2603,18.41,2016-05-19T04:00:00Z,565378,18.45
18.78,18.92,18.47,2392,18.57,2016-05-20T04:00:00Z,663820,18.79
18.95,19.03,18.75,2194,18.75,2016-05-23T04:00:00Z,712968,18.95
19.39,19.46,18.67,3372,19.03,2016-05-24T04:00:00Z,871064,19.35
19.58,19.61,19.21,3144,19.43,2016-05-25T04:00:00Z,574626,19.53
19.9,20.13,19.61,3575,19.65,2016-05-26T04:00:00Z,654842,19.93
20.14,20.18,19.76,4386,19.97,2016-05-27T04:00:00Z,931498,20.09
20.17,20.4,20.08,2916,20.19,2016-05-31T04:00:00Z,779598,20.19
20.36,20.39,20.1,4080,20.16,2016-06-01T04:00:00Z,804518,20.3
20.46,20.54,20.17,3509,20.3,2016-06-02T04:00:00Z,789856,20.44
20.75,20.79,20.36,3579,20.47,2016-06-03T04:00:00Z,756796,20.66
20.89,21.03,20.64,3516,20.74,2016-06-06T04:00:00Z,751190,20.88
