c,h,l,n,o,t,v,vw
21.32,21.32,21.27,12,21.27,2016-01-04T05:00:00Z,1188,22.71
21.25,21.25,21.03,104,21.15,2016-01-05T05:00:00Z,20701,21.11
20.78,20.93,20.78,11,20.88,2016-01-06T05:00:00Z,1317,20.87
20.37,20.6,20.36,118,20.6,2016-01-07T05:00:00Z,11161,20.44
20.47,20.58,20.44,10,20.58,2016-01-08T05:00:00Z,1014,20.51
20.42,20.42,20.42,2,20.42,2016-01-11T05:00:00Z,214,20.43
20.58,20.58,20.58,7,20.58,2016-01-12T05:00:00Z,1390,20.57
20.27,20.7,20.27,20,20.68,2016-01-13T05:00:00Z,2774,20.5
20.42,20.46,20.4,98,20.42,2016-01-14T05:00:00Z,12577,20.43
19.81,19.87,19.62,9,19.87,2016-01-15T05:00:00Z,1673,19.71
19.78,19.9,19.78,12,19.89,2016-01-19T05:00:00Z,2760,19.86
19.61,19.61,19.34,8,19.45,2016-01-20T05:00:00Z,8208,19.42
19.82,19.82,19.82,2,19.82,2016-01-21T05:00:00Z,194,19.77
20.31,20.36,20.02,29,20.02,2016-01-22T05:00:00Z,4506,20.27
20.11,20.11,20.11,5,20.11,2016-01-25T05:00:00Z,406,20.12
20.39,20.39,20.07,39,20.07,2016-01-26T05:00:00Z,13604,20.36
20.66,20.66,20.34,5,20.34,2016-01-27T05:00:00Z,563,20.52
20.66,20.66,20.66,0,20.66,2016-01-28T05:00:00Z,0,0.0
20.66,20.66,20.66,0,20.66,2016-01-29T05:00:00Z,0,0.0
20.88,20.89,20.69,84,20.74,2016-02-01T05:00:00Z,151626,20.71
20.35,20.41,20.35,3,20.41,2016-02-02T05:00:00Z,531,20.37
20.17,20.17,20.17,3,20.17,2016-02-03T05:00:00Z,216,20.24
20.75,20.75,20.7,19,20.74,2016-02-04T05:00:00Z,4342,20.72
20.5,20.5,20.5,3,20.5,2016-02-05T05:00:00Z,309,20.5
20.07,20.07,20.07,1,20.07,2016-02-08T05:00:00Z,293,20.07
19.86,19.97,19.86,6,19.97,2016-02-09T05:00:00Z,1326,19.96
19.86,19.86,19.86,0,19.86,2016-02-10T05:00:00Z,0,0.0
19.57,19.6,19.57,7,19.6,2016-02-11T05:00:00Z,1258,19.59
19.94,19.94,19.85,5,19.85,2016-02-12T05:00:00Z,963,19.9
20.23,20.23,20.04,66,20.12,2016-02-16T05:00:00Z,95032,20.05
20.41,20.42,20.41,5,20.42,2016-02-17T05:00:00Z,800,20.41
20.6,20.6,20.6,1,20.6,2016-02-18T05:00:00Z,653,20.6
20.53,20.53,20.53,21,20.53,2016-02-19T05:00:00Z,10879,20.53
20.53,20.53,20.53,0,20.53,2016-02-22T05:00:00Z,0,0.0
20.44,20.44,20.44,1,20.44,2016-02-23T05:00:00Z,457,20.44
20.2,20.2,19.91,5,20.15,2016-02-24T05:00:00Z,516,20.06
20.44,20.44,20.44,2,20.44,2016-02-25T05:00:00Z,142,20.39
20.34,20.34,20.34,1,20.34,2016-02-26T05:00:00Z,382,20.34
20.39,20.39,20.32,24,20.32,2016-02-29T05:00:00Z,2547,20.39
20.67,20.7,20.57,47,20.57,2016-03-01T05:00:00Z,7982,20.67
20.85,20.87,20.76,34,20.76,2016-03-02T05:00:00Z,8198,20.86
20.85,20.85,20.85,0,20.85,2016-03-03T05:00:00Z,0,0.0
21.35,21.36,21.19,30,21.2,2016-03-04T05:00:00Z,8631,21.21
21.35,21.35,21.35,0,21.35,2016-03-07T05:00:00Z,0,0.0
21.14,21.14,21.14,3,21.14,2016-03-08T05:00:00Z,563,21.14
21.43,21.43,21.34,4,21.34,2016-03-09T05:00:00Z,359,21.39
21.19,21.2,21.18,8,21.18,2016-03-10T05:00:00Z,971,21.19
21.76,21.76,21.76,6,21.76,2016-03-11T05:00:00Z,1331,21.76
21.7,21.7,21.7,3,21.7,2016-03-14T04:00:00Z,138,21.72
21.61,21.61,21.5,66,21.5,2016-03-15T04:00:00Z,100010,21.57
21.96,21.96,21.56,5,21.56,2016-03-16T04:00:00Z,620,21.67
22.25,22.25,22.03,23,22.03,2016-03-17T04:00:00Z,2401,22.21
22.22,22.3,22.22,2,22.3,2016-03-18T04:00:00Z,235,22.25
22.18,22.74,22.16,16,22.74,2016-03-21T04:00:00Z,1652,22.38
22.01,22.01,22.01,2,22.01,2016-03-22T04:00:00Z,134,22.01
21.85,21.85,21.85,3,21.85,2016-03-23T04:00:00Z,21585,21.85
21.64,21.64,21.62,8,21.62,2016-03-24T04:00:00Z,750,21.62
21.79,21.79,21.79,1,21.79,2016-03-28T04:00:00Z,122,21.79
21.68,21.68,21.68,2,21.68,2016-03-29T04:00:00Z,224,21.68
22.2,22.23,22.2,2,22.23,2016-03-30T04:00:00Z,209,22.22
22.09,22.18,22.09,14,22.18,2016-03-31T04:00:00Z,1514,22.12
21.76,21.81,21.76,6,21.81,2016-04-01T04:00:00Z,55194,21.79
21.82,21.82,21.82,7,21.82,2016-04-04T04:00:00Z,494,21.82
21.43,21.59,21.43,6,21.59,2016-04-05T04:00:00Z,849,21.5
21.67,21.74,21.67,4,21.74,2016-04-06T04:00:00Z,752,21.73
21.39,21.63,21.39,6,21.63,2016-04-07T04:00:00Z,1329,21.43
21.69,21.82,21.69,32,21.82,2016-04-08T04:00:00Z,5974,21.78
21.87,21.94,21.87,15,21.94,2016-04-11T04:00:00Z,1894,21.92
22.08,22.08,21.95,4,21.95,2016-04-12T04:00:00Z,559,21.97
22.08,22.08,22.08,0,22.08,2016-04-13T04:00:00Z,0,0.0
22.36,22.38,22.36,17,22.38,2016-04-14T04:00:00Z,1808,22.37
22.31,22.31,22.3,28,22.31,2016-04-15T04:00:00Z,3911,22.31
22.32,22.47,22.29,23,22.29,2016-04-18T04:00:00Z,6041,22.34
22.69,22.7,22.65,22,22.65,2016-04-19T04:00:00Z,2295,22.69
22.76,22.81,22.76,13,22.76,2016-04-20T04:00:00Z,4948,22.76
22.47,22.48,22.45,7,22.46,2016-04-21T04:00:00Z,1701,22.46
22.46,22.46,22.38,8,22.38,2016-04-22T04:00:00Z,736,22.43
22.42,22.44,22.35,67,22.37,2016-04-25T04:00:00Z,10341,22.35
22.58,22.64,22.52,19,22.52,2016-04-26T04:00:00Z,2575,22.58
