c,h,l,n,o,t,v,vw
26.04,26.04,26.04,5,26.04,2016-01-04T05:00:00Z,405,26.03
26.14,26.14,26.14,3,26.14,2016-01-05T05:00:00Z,307,26.15
25.79,25.79,25.77,2,25.77,2016-01-06T05:00:00Z,465,25.78
25.19,25.47,25.19,7,25.47,2016-01-07T05:00:00Z,1024,25.3
25.18,25.18,25.15,3,25.16,2016-01-08T05:00:00Z,729,25.16
25.16,25.16,25.04,3,25.04,2016-01-11T05:00:00Z,306,25.08
25.21,25.29,25.21,4,25.29,2016-01-12T05:00:00Z,425,25.2
25.15,25.22,25.15,2,25.22,2016-01-13T05:00:00Z,219,25.18
25.15,25.15,24.97,3,24.97,2016-01-14T05:00:00Z,309,25.01
24.32,24.32,24.17,9,24.17,2016-01-15T05:00:00Z,1031,24.21
24.48,24.48,24.3,16,24.45,2016-01-19T05:00:00Z,2741,24.39
24.03,24.03,23.72,5,23.72,2016-01-20T05:00:00Z,555,23.77
24.09,24.09,24.09,2,24.09,2016-01-21T05:00:00Z,269,24.02
24.59,24.66,23.87,4,23.87,2016-01-22T05:00:00Z,591,24.17
24.59,24.59,24.59,0,24.59,2016-01-25T05:00:00Z,0,0.0
24.73,24.73,24.73,1,24.73,2016-01-26T05:00:00Z,100,24.73
24.89,25.07,24.72,6,24.72,2016-01-27T05:00:00Z,866,24.9
24.82,24.82,24.82,1,24.82,2016-01-28T05:00:00Z,100,24.82
24.82,24.82,24.82,0,24.82,2016-01-29T05:00:00Z,0,0.0
25.16,25.16,25.03,9,25.11,2016-02-01T05:00:00Z,122975,25.04
24.68,24.68,24.66,3,24.66,2016-02-02T05:00:00Z,521,24.67
24.73,24.77,24.34,8,24.77,2016-02-03T05:00:00Z,775,24.6
24.93,24.93,24.58,30,24.85,2016-02-04T05:00:00Z,4447,24.79
24.49,24.49,24.49,4,24.49,2016-02-05T05:00:00Z,213,24.53
23.91,23.91,23.88,5,23.88,2016-02-08T05:00:00Z,443,23.9
23.71,23.85,23.71,7,23.85,2016-02-09T05:00:00Z,1068,23.81
23.71,23.71,23.71,0,23.71,2016-02-10T05:00:00Z,0,0.0
23.51,23.51,23.27,10,23.31,2016-02-11T05:00:00Z,1594,23.34
23.58,23.58,23.56,3,23.56,2016-02-12T05:00:00Z,445,23.58
24.09,24.11,23.99,84,24.05,2016-02-16T05:00:00Z,102432,24.0
24.5,24.58,24.5,2,24.58,2016-02-17T05:00:00Z,200,24.54
24.76,24.82,24.62,4,24.82,2016-02-18T05:00:00Z,400,24.72
24.52,24.62,24.51,72,24.62,2016-02-19T05:00:00Z,26036,24.58
24.89,24.89,24.89,1,24.89,2016-02-22T05:00:00Z,300,24.89
24.89,24.89,24.89,0,24.89,2016-02-23T05:00:00Z,0,0.0
24.46,24.46,24.15,4,24.15,2016-02-24T05:00:00Z,363,24.23
24.77,24.77,24.77,2,24.77,2016-02-25T05:00:00Z,141,24.72
24.7,24.75,24.7,2,24.75,2016-02-26T05:00:00Z,200,24.73
24.68,24.68,24.68,4,24.68,2016-02-29T05:00:00Z,439,24.68
25.24,25.24,25.08,2,25.08,2016-03-01T05:00:00Z,260,25.18
25.17,25.2,25.17,46,25.2,2016-03-02T05:00:00Z,7007,25.17
25.17,25.17,25.17,0,25.17,2016-03-03T05:00:00Z,0,0.0
25.17,25.17,25.17,0,25.17,2016-03-04T05:00:00Z,0,0.0
25.17,25.17,25.17,0,25.17,2016-03-07T05:00:00Z,0,0.0
25.45,25.46,25.45,3,25.46,2016-03-08T05:00:00Z,792,25.46
25.45,25.45,25.45,0,25.45,2016-03-09T05:00:00Z,0,0.0
25.45,25.45,25.45,0,25.45,2016-03-10T05:00:00Z,0,0.0
25.45,25.45,25.45,0,25.45,2016-03-11T05:00:00Z,0,0.0
25.84,25.84,25.83,4,25.83,2016-03-14T04:00:00Z,487,25.89
25.99,26.0,25.89,92,25.9,2016-03-15T04:00:00Z,89003,25.99
26.26,26.26,26.26,5,26.26,2016-03-16T04:00:00Z,571,26.22
26.26,26.26,26.26,0,26.26,2016-03-17T04:00:00Z,0,0.0
26.5,26.57,26.5,6,26.57,2016-03-18T04:00:00Z,835,26.5
