c,h,l,n,o,t,v,vw
89.0,103.0,80.0,11664,100.0,2021-12-08T05:00:00Z,154101,88.43
77.8,88.0,75.0,3590,82.0,2021-12-09T05:00:00Z,48514,80.98
73.6,79.8,72.4,2198,75.28,2021-12-10T05:00:00Z,22296,75.65
61.8,74.2,61.6,2614,72.4,2021-12-13T05:00:00Z,23788,66.74
63.2,66.4,56.0,2742,62.6,2021-12-14T05:00:00Z,35494,61.44
60.0,63.0,56.6,1577,62.4,2021-12-15T05:00:00Z,14256,59.09
55.0,61.8,54.6,1574,60.0,2021-12-16T05:00:00Z,14475,58.11
51.8,55.0,50.6,1561,54.0,2021-12-17T05:00:00Z,16488,52.93
52.0,53.4,50.0,1690,53.4,2021-12-20T05:00:00Z,18761,51.44
55.09,59.4,52.6,1638,54.0,2021-12-21T05:00:00Z,21615,55.19
46.4,57.8,44.0,4743,55.4,2021-12-22T05:00:00Z,54528,49.44
51.0,54.59,46.2,4231,49.2,2021-12-23T05:00:00Z,51521,50.25
53.2,54.6,48.0,1603,50.8,2021-12-27T05:00:00Z,25522,50.92
50.0,53.6,49.2,889,51.8,2021-12-28T05:00:00Z,10987,51.28
53.4,54.0,47.2,2342,53.4,2021-12-29T05:00:00Z,51362,52.73
53.0,57.0,51.0,1995,53.8,2021-12-30T05:00:00Z,35497,54.18
55.2,55.2,52.0,795,52.0,2021-12-31T05:00:00Z,9086,53.58
58.2,62.8,54.2,5753,54.2,2022-01-03T05:00:00Z,95667,59.29
56.2,60.8,53.2,1410,60.8,2022-01-04T05:00:00Z,21533,56.45
50.8,57.2,48.6,1462,57.2,2022-01-05T05:00:00Z,21699,52.9
50.4,53.0,47.0,2159,51.0,2022-01-06T05:00:00Z,46631,49.79
49.2,50.09,46.6,1520,48.8,2022-01-07T05:00:00Z,29270,48.37
48.9,49.8,45.0,860,48.8,2022-01-10T05:00:00Z,12446,47.54
52.2,57.0,48.4,4529,48.4,2022-01-11T05:00:00Z,88580,53.53
51.8,53.0,51.0,1007,52.0,2022-01-12T05:00:00Z,10118,52.12
49.2,52.76,48.6,909,51.8,2022-01-13T05:00:00Z,10940,50.33
52.0,52.48,48.6,766,49.6,2022-01-14T05:00:00Z,8931,50.94
53.0,54.2,51.0,1187,52.0,2022-01-18T05:00:00Z,13605,52.73
51.6,54.4,50.4,703,53.4,2022-01-19T05:00:00Z,9003,52.05
49.6,59.0,48.36,11264,56.4,2022-01-20T05:00:00Z,206103,55.25
46.8,49.6,46.0,1526,48.0,2022-01-21T05:00:00Z,23602,47.36
37.8,47.6,34.0,3812,46.0,2022-01-24T05:00:00Z,67786,38.13
40.8,41.6,34.8,997,36.2,2022-01-25T05:00:00Z,15456,38.32
38.8,43.4,36.8,878,40.0,2022-01-26T05:00:00Z,10798,39.82
35.4,40.6,35.0,705,39.2,2022-01-27T05:00:00Z,8470,36.6
35.8,36.0,33.8,397,36.0,2022-01-28T05:00:00Z,6939,35.09
37.0,38.6,34.0,510,36.4,2022-01-31T05:00:00Z,9622,37.27
37.4,38.6,35.8,435,36.2,2022-02-01T05:00:00Z,5941,37.1
38.0,38.0,36.0,273,36.1,2022-02-02T05:00:00Z,3814,36.88
35.8,38.0,35.6,320,38.0,2022-02-03T05:00:00Z,3624,36.24
36.6,37.2,35.2,225,36.4,2022-02-04T05:00:00Z,1322,36.3
36.6,36.8,35.2,304,36.6,2022-02-07T05:00:00Z,3127,36.26
33.2,36.78,32.2,673,36.2,2022-02-08T05:00:00Z,11677,33.99
32.2,33.8,32.0,341,32.8,2022-02-09T05:00:00Z,4638,32.69
32.6,33.43,31.2,528,33.4,2022-02-10T05:00:00Z,6309,32.11
30.2,33.6,28.6,722,33.6,2022-02-11T05:00:00Z,8071,30.55
29.2,30.6,28.0,324,30.2,2022-02-14T05:00:00Z,3136,29.36
29.0,30.6,28.4,518,29.4,2022-02-15T05:00:00Z,3858,29.2
29.4,31.0,28.64,218,29.0,2022-02-16T05:00:00Z,1825,29.27
28.8,29.4,28.2,330,28.4,2022-02-17T05:00:00Z,2843,28.61
29.0,30.4,26.6,398,28.6,2022-02-18T05:00:00Z,7154,28.33
27.0,28.4,27.0,309,27.0,2022-02-22T05:00:00Z,3204,27.42
26.0,28.0,25.0,364,26.8,2022-02-23T05:00:00Z,3970,26.49
24.0,26.2,23.0,969,24.0,2022-02-24T05:00:00Z,11422,23.81
27.6,28.2,24.2,345,24.5,2022-02-25T05:00:00Z,3149,25.86
