c,h,l,n,o,t,v,vw
1102.5,1219.5,1023.75,1041,1125.0,2020-05-08T04:00:00Z,969,1114.12
902.25,1109.25,902.25,330,1109.25,2020-05-11T04:00:00Z,236,1006.66
849.38,897.75,798.75,315,897.75,2020-05-12T04:00:00Z,243,836.11
873.0,888.75,823.5,133,837.0,2020-05-13T04:00:00Z,94,844.31
924.77,994.5,832.5,184,832.5,2020-05-14T04:00:00Z,167,929.47
969.75,978.73,945.0,70,954.0,2020-05-15T04:00:00Z,69,961.07
933.75,978.75,864.0,120,956.25,2020-05-18T04:00:00Z,180,926.94
922.52,956.23,900.0,34,900.0,2020-05-19T04:00:00Z,44,923.25
994.5,1095.75,927.0,189,948.38,2020-05-20T04:00:00Z,212,967.64
1028.25,1091.14,1017.05,94,1032.75,2020-05-21T04:00:00Z,51,1034.69
1118.25,1122.75,1029.31,68,1029.31,2020-05-22T04:00:00Z,28,1063.3
990.0,1173.49,990.0,146,1118.25,2020-05-26T04:00:00Z,109,1057.14
956.25,1079.98,911.25,123,1039.5,2020-05-27T04:00:00Z,54,971.93
942.75,967.5,814.5,162,900.0,2020-05-28T04:00:00Z,114,913.74
810.0,911.54,810.0,111,888.75,2020-05-29T04:00:00Z,65,868.44
821.25,877.48,765.16,75,850.5,2020-06-01T04:00:00Z,75,807.93
845.98,873.0,832.5,85,866.25,2020-06-02T04:00:00Z,36,848.45
846.0,884.25,821.25,44,875.25,2020-06-03T04:00:00Z,17,849.74
850.5,900.0,821.25,215,873.0,2020-06-04T04:00:00Z,148,853.82
847.13,875.25,810.0,130,839.25,2020-06-05T04:00:00Z,120,838.87
884.25,911.25,839.25,138,855.0,2020-06-08T04:00:00Z,71,884.52
909.0,978.75,859.5,89,888.75,2020-06-09T04:00:00Z,48,893.28
886.5,949.5,821.25,57,870.75,2020-06-10T04:00:00Z,180,869.18
1080.0,1374.75,911.27,934,965.25,2020-06-11T04:00:00Z,806,1155.21
1127.25,1190.52,1080.0,225,1113.75,2020-06-12T04:00:00Z,240,1109.79
1102.5,1113.75,1057.5,35,1057.5,2020-06-15T04:00:00Z,16,1068.75
1077.75,1462.5,974.25,1331,1100.25,2020-06-16T04:00:00Z,1160,1232.17
1035.0,1125.0,1001.25,118,1062.0,2020-06-17T04:00:00Z,85,1041.95
1064.25,1122.75,1012.5,68,1080.0,2020-06-18T04:00:00Z,37,1042.04
1081.87,1122.75,1023.75,98,1053.02,2020-06-19T04:00:00Z,68,1050.33
1174.5,1174.5,976.5,109,1001.27,2020-06-22T04:00:00Z,113,1072.42
