c,h,l,n,o,t,v,vw
8.95,8.95,8.95,1,8.95,2018-01-31T05:00:00Z,100,8.95
8.99,8.99,8.99,2,8.99,2018-02-01T05:00:00Z,110,8.99
8.99,8.99,8.99,0,8.99,2018-02-02T05:00:00Z,0,0.0
7.5,7.77,7.5,4,7.77,2018-02-05T05:00:00Z,1700,7.515882
7.9,7.9,7.12,6,7.12,2018-02-06T05:00:00Z,1220,7.7975
7.9,7.9,7.9,0,7.9,2018-02-07T05:00:00Z,0,0.0
7.9,7.9,7.9,0,7.9,2018-02-08T05:00:00Z,0,0.0
7.9,7.9,7.9,0,7.9,2018-02-09T05:00:00Z,0,0.0
7.9,7.9,7.9,0,7.9,2018-02-12T05:00:00Z,0,0.0
7.34,7.34,7.34,2,7.34,2018-02-13T05:00:00Z,200,7.34
6.8,6.8,6.61,2,6.61,2018-02-14T05:00:00Z,200,6.705
6.8,6.8,6.8,0,6.8,2018-02-15T05:00:00Z,0,0.0
6.8,6.8,6.8,0,6.8,2018-02-16T05:00:00Z,0,0.0
6.8,6.8,6.8,0,6.8,2018-02-20T05:00:00Z,0,0.0
6.7,6.7,6.7,1,6.7,2018-02-21T05:00:00Z,560,6.7
6.7,6.7,6.7,0,6.7,2018-02-22T05:00:00Z,0,0.0
7.0,7.0,7.0,1,7.0,2018-02-23T05:00:00Z,100,7.0
7.0,7.0,7.0,0,7.0,2018-02-26T05:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-02-27T05:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-02-28T05:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-01T05:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-02T05:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-05T05:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-06T05:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-07T05:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-08T05:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-09T05:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-12T04:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-13T04:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-14T04:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-15T04:00:00Z,0,0.0
7.0,7.0,7.0,0,7.0,2018-03-16T04:00:00Z,0,0.0
6.9,6.9,6.9,2,6.9,2018-03-19T04:00:00Z,200,6.9
6.9,6.9,6.9,0,6.9,2018-03-20T04:00:00Z,0,0.0
6.9,6.9,6.9,0,6.9,2018-03-21T04:00:00Z,0,0.0
7.5,7.5,7.5,2,7.5,2018-03-22T04:00:00Z,120,7.5
7.5,7.5,7.5,0,7.5,2018-03-23T04:00:00Z,0,0.0
7.5,7.5,7.5,0,7.5,2018-03-26T04:00:00Z,0,0.0
7.5,7.5,7.5,0,7.5,2018-03-27T04:00:00Z,0,0.0
7.5,7.5,7.5,0,7.5,2018-03-28T04:00:00Z,0,0.0
7.5,7.5,7.5,0,7.5,2018-03-29T04:00:00Z,0,0.0
7.5,7.5,7.5,0,7.5,2018-04-02T04:00:00Z,0,0.0
7.5,7.5,7.5,0,7.5,2018-04-03T04:00:00Z,0,0.0
6.7,7.5,6.7,5,7.5,2018-04-04T04:00:00Z,1500,7.385714
6.5,6.5,6.5,1,6.5,2018-04-05T04:00:00Z,1000,6.5
5.22,5.22,5.22,1,5.22,2018-04-06T04:00:00Z,100,5.22
6.15,6.2777,6.15,8,6.26,2018-04-09T04:00:00Z,1317,6.218592
5.4,6.0,5.4,4,6.0,2018-04-10T04:00:00Z,2200,5.675909
5.4,5.4,5.4,0,5.4,2018-04-11T04:00:00Z,0,0.0
5.4,5.4,5.4,0,5.4,2018-04-12T04:00:00Z,0,0.0
6.0,6.0,5.75,3,5.75,2018-04-13T04:00:00Z,300,5.916667
6.0,6.0,6.0,0,6.0,2018-04-16T04:00:00Z,0,0.0
6.0,6.0,6.0,0,6.0,2018-04-17T04:00:00Z,0,0.0
6.0,6.0,6.0,0,6.0,2018-04-18T04:00:00Z,0,0.0
6.0,6.0,6.0,0,6.0,2018-04-19T04:00:00Z,0,0.0
6.0,6.0,6.0,0,6.0,2018-04-20T04:00:00Z,0,0.0
5.58,5.58,5.58,2,5.58,2018-04-23T04:00:00Z,754,5.58
5.58,5.58,5.58,0,5.58,2018-04-24T04:00:00Z,0,0.0
5.54,5.54,5.54,2,5.54,2018-04-25T04:00:00Z,2000,5.54
5.54,5.54,5.54,0,5.54,2018-04-26T04:00:00Z,0,0.0
5.54,5.54,5.54,0,5.54,2018-04-27T04:00:00Z,0,0.0
5.54,5.54,5.54,0,5.54,2018-04-30T04:00:00Z,0,0.0
5.54,5.54,5.54,0,5.54,2018-05-01T04:00:00Z,0,0.0
5.54,5.54,5.54,0,5.54,2018-05-02T04:00:00Z,0,0.0
5.54,5.54,5.54,0,5.54,2018-05-03T04:00:00Z,0,0.0
5.7,5.7,5.7,2,5.7,2018-05-04T04:00:00Z,1000,5.7
5.6735,5.72,5.3,11,5.7,2018-05-07T04:00:00Z,2450,5.601208
5.6735,5.6735,5.6735,0,5.6735,2018-05-08T04:00:00Z,0,0.0
5.6735,5.6735,5.6735,0,5.6735,2018-05-09T04:00:00Z,0,0.0
5.6,5.6,5.6,4,5.6,2018-05-10T04:00:00Z,2000,5.6
5.6,5.6,4.7001,14,4.7001,2018-05-11T04:00:00Z,2320,5.179579
5.6,5.6,5.6,0,5.6,2018-05-14T04:00:00Z,0,0.0
5.7,5.7,5.7,2,5.7,2018-05-15T04:00:00Z,600,5.7
5.7,5.7,5.7,0,5.7,2018-05-16T04:00:00Z,0,0.0
5.7,5.7,5.7,0,5.7,2018-05-17T04:00:00Z,0,0.0
5.7,5.7,5.7,0,5.7,2018-05-18T04:00:00Z,0,0.0
5.7,5.7,5.7,0,5.7,2018-05-21T04:00:00Z,0,0.0
5.8,5.8,5.8,1,5.8,2018-05-22T04:00:00Z,500,5.8
5.8,5.8,5.8,0,5.8,2018-05-23T04:00:00Z,0,0.0
5.6899,5.6899,5.4,5,5.65,2018-05-24T04:00:00Z,461,5.609357
5.5,5.8,5.5,19,5.8,2018-05-25T04:00:00Z,2942,5.552553
5.475,5.8,5.31,5,5.8,2018-05-29T04:00:00Z,750,5.653933
5.475,5.475,5.475,0,5.475,2018-05-30T04:00:00Z,0,0.0
6.0,6.2899,6.0,10,6.0,2018-05-31T04:00:00Z,1520,6.039768
6.2789,6.2789,6.2637,3,6.2637,2018-06-01T04:00:00Z,405,6.2713
6.5,7.4,6.01,72,6.51,2018-06-04T04:00:00Z,17059,6.471565
6.4,6.7247,6.25,16,6.25,2018-06-05T04:00:00Z,6749,6.362198
6.06,6.35,6.0383,22,6.3,2018-06-06T04:00:00Z,9065,6.205607
6.4799,6.4799,6.01,17,6.38,2018-06-07T04:00:00Z,8205,6.189145
6.4799,6.4799,6.4799,0,6.4799,2018-06-08T04:00:00Z,0,0.0
5.7,6.1,5.5047,27,6.1,2018-06-11T04:00:00Z,8253,5.82329
6.09,6.0901,6.0,21,6.0,2018-06-12T04:00:00Z,8725,6.023736
5.91,6.05,5.91,15,6.05,2018-06-13T04:00:00Z,6600,5.998639
5.81,6.03,5.81,11,6.03,2018-06-14T04:00:00Z,5000,5.9302
5.65,5.75,5.65,6,5.75,2018-06-15T04:00:00Z,4000,5.7375
5.6,5.6,5.36,10,5.36,2018-06-18T04:00:00Z,4000,5.45
5.5,5.5,5.5,6,5.5,2018-06-19T04:00:00Z,1100,5.5
5.57,5.57,5.57,1,5.57,2018-06-20T04:00:00Z,500,5.57
5.7,5.7,5.64,7,5.64,2018-06-21T04:00:00Z,1450,5.655556
5.7,5.7,5.7,3,5.7,2018-06-22T04:00:00Z,300,5.7
5.8,5.89,5.7,14,5.7,2018-06-25T04:00:00Z,14434,5.779583
5.8,5.8,5.8,5,5.8,2018-06-26T04:00:00Z,1348,5.8
5.8,5.8,5.8,0,5.8,2018-06-27T04:00:00Z,0,0.0
6.02,6.02,5.98,3,5.98,2018-06-28T04:00:00Z,682,5.985865
5.97,6.0,5.95,6,5.95,2018-06-29T04:00:00Z,500,5.97
5.97,5.97,5.97,0,5.97,2018-07-02T04:00:00Z,0,0.0
5.97,5.97,5.97,0,5.97,2018-07-03T04:00:00Z,0,0.0
5.97,5.97,5.97,0,5.97,2018-07-05T04:00:00Z,0,0.0
5.7,5.88,5.2747,32,5.4,2018-07-06T04:00:00Z,5500,5.534822
5.5,5.5,5.5,2,5.5,2018-07-09T04:00:00Z,300,5.5
5.5,5.5,5.4999,2,5.4999,2018-07-10T04:00:00Z,300,5.499933
5.4,5.85,5.4,8,5.4,2018-07-11T04:00:00Z,800,5.597368
5.35,5.78,5.35,36,5.672,2018-07-12T04:00:00Z,5725,5.544082
5.03,5.97,5.0,62,5.75,2018-07-13T04:00:00Z,20950,5.136154
5.59,5.65,5.08,40,5.0801,2018-07-16T04:00:00Z,8600,5.197103
5.8,5.8,5.1,39,5.2,2018-07-17T04:00:00Z,16477,5.324064
5.54,5.8,5.32,37,5.8,2018-07-18T04:00:00Z,7417,5.444852
6.01,6.04,5.4,63,5.76,2018-07-19T04:00:00Z,12300,5.725795
5.4,5.9,5.4,18,5.9,2018-07-20T04:00:00Z,2066,5.488347
5.76,6.03,5.22,79,5.5,2018-07-23T04:00:00Z,27650,5.414464
5.5,5.94,5.32,67,5.35,2018-07-24T04:00:00Z,10907,5.488339
6.34,6.37,5.63,43,5.7,2018-07-25T04:00:00Z,7729,5.895144
5.5,5.93,5.4648,34,5.61,2018-07-26T04:00:00Z,5585,5.576746
6.33,6.33,5.55,68,5.55,2018-07-27T04:00:00Z,17283,5.854759
6.21,6.77,6.0,69,6.65,2018-07-30T04:00:00Z,16456,6.22695
6.2,6.47,5.751,49,6.06,2018-07-31T04:00:00Z,8602,5.924383
6.2904,6.59,5.55,39,5.9,2018-08-01T04:00:00Z,5513,5.817253
5.4,6.15,5.26,62,5.61,2018-08-02T04:00:00Z,11380,5.542479
5.99,5.99,5.2301,30,5.5,2018-08-03T04:00:00Z,3632,5.368304
5.84,5.97,5.45,153,5.47,2018-08-06T04:00:00Z,55620,5.687832
6.0,6.0,5.8,2,5.8,2018-08-07T04:00:00Z,300,5.866667
5.56,5.75,5.5041,17,5.75,2018-08-08T04:00:00Z,3083,5.557398
5.35,5.89,5.35,31,5.45,2018-08-09T04:00:00Z,3890,5.419137
