c,h,l,n,o,t,v,vw
4.867,5.601,4.859,2923,5.088,2018-05-24T04:00:00Z,1106465,5.023
4.77,5.035,4.638,235,5.009,2018-05-25T04:00:00Z,101412,4.794
4.452,5.026,4.443,322,5.026,2018-05-29T04:00:00Z,109845,4.621
4.417,4.549,4.205,331,4.364,2018-05-30T04:00:00Z,139840,4.341
4.541,4.7,4.417,159,4.7,2018-05-31T04:00:00Z,73091,4.575
4.638,4.726,4.461,296,4.541,2018-06-01T04:00:00Z,122464,4.653
4.505,4.691,4.452,145,4.638,2018-06-04T04:00:00Z,74217,4.588
4.373,4.682,4.152,179,4.461,2018-06-05T04:00:00Z,51255,4.493
4.505,4.576,4.302,147,4.576,2018-06-06T04:00:00Z,51305,4.369
4.346,4.504,4.267,174,4.302,2018-06-07T04:00:00Z,40219,4.343
4.594,4.77,4.258,601,4.32,2018-06-08T04:00:00Z,241073,4.574
4.549,4.672,4.374,109,4.631,2018-06-11T04:00:00Z,47783,4.494
4.452,4.505,4.373,105,4.462,2018-06-12T04:00:00Z,43595,4.431
4.494,4.584,4.406,49,4.499,2018-06-13T04:00:00Z,32392,4.502
5.389,5.742,4.505,3465,4.594,2018-06-14T04:00:00Z,1326630,5.117
7.862,10.64,6.793,50148,8.525,2018-06-15T04:00:00Z,14358960,8.488
9.541,10.37,6.767,6431,7.677,2018-06-18T04:00:00Z,2590584,8.637
9.505,10.78,9.081,3894,9.435,2018-06-19T04:00:00Z,1435863,9.813
14.8,15.33,11.04,10536,13.07,2018-06-20T04:00:00Z,3208290,12.55
11.58,13.87,11.18,4106,13.63,2018-06-21T04:00:00Z,1312028,12.35
11.77,12.27,11.48,1123,11.88,2018-06-22T04:00:00Z,341371,11.86
10.31,12.0,9.876,1629,11.78,2018-06-25T04:00:00Z,544280,10.77
11.94,12.81,10.19,2577,10.25,2018-06-26T04:00:00Z,663834,11.66
11.62,13.12,11.5,2357,12.5,2018-06-27T04:00:00Z,703606,12.33
11.86,12.28,11.53,690,11.53,2018-06-28T04:00:00Z,201691,11.94
11.44,12.24,10.8,713,11.8,2018-06-29T04:00:00Z,215028,11.57
11.5,11.93,10.87,721,11.33,2018-07-02T04:00:00Z,175803,11.33
11.2,11.7,11.07,582,11.68,2018-07-03T04:00:00Z,123205,11.34
9.735,11.57,9.717,1319,11.21,2018-07-05T04:00:00Z,363703,10.51
9.594,9.91,9.435,398,9.717,2018-07-06T04:00:00Z,114482,9.663
9.761,10.11,8.95,906,9.717,2018-07-09T04:00:00Z,274384,9.599
11.7,12.01,9.762,1470,10.03,2018-07-10T04:00:00Z,458040,11.3
11.05,11.92,11.05,557,11.6,2018-07-11T04:00:00Z,176289,11.39
10.8,11.47,10.65,351,11.05,2018-07-12T04:00:00Z,112425,11.09
12.62,13.25,10.43,3855,10.78,2018-07-13T04:00:00Z,891255,11.69
12.15,13.17,12.01,1714,12.31,2018-07-16T04:00:00Z,436644,12.63
12.8,13.07,12.05,1102,12.19,2018-07-17T04:00:00Z,295260,12.72
12.55,13.62,12.26,2282,12.72,2018-07-18T04:00:00Z,654407,13.1
12.92,13.56,12.5,1052,12.5,2018-07-19T04:00:00Z,257020,13.09
12.65,13.4,12.54,662,12.87,2018-07-20T04:00:00Z,147344,12.94
12.81,12.99,11.68,900,12.61,2018-07-23T04:00:00Z,225794,12.51
12.58,13.03,12.23,484,13.03,2018-07-24T04:00:00Z,116181,12.69
13.18,14.12,12.26,1412,12.36,2018-07-25T04:00:00Z,419997,13.44
13.29,13.62,12.46,772,13.07,2018-07-26T04:00:00Z,218659,13.22
13.21,13.96,12.86,507,13.28,2018-07-27T04:00:00Z,154116,13.46
13.43,13.9,13.23,443,13.39,2018-07-30T04:00:00Z,97271,13.53
13.63,13.82,13.25,460,13.35,2018-07-31T04:00:00Z,120227,13.51
13.29,13.78,13.26,317,13.63,2018-08-01T04:00:00Z,83648,13.54
12.44,13.37,12.19,911,13.29,2018-08-02T04:00:00Z,190296,12.68
10.95,12.64,10.78,834,12.52,2018-08-03T04:00:00Z,192650,11.37
11.27,11.59,10.83,552,10.85,2018-08-06T04:00:00Z,109043,11.31
12.54,12.75,11.04,846,11.05,2018-08-07T04:00:00Z,211227,12.22
12.45,12.97,11.51,492,12.43,2018-08-08T04:00:00Z,93517,12.43
12.41,12.62,12.15,362,12.37,2018-08-09T04:00:00Z,50210,12.42
12.52,12.98,12.25,136,12.41,2018-08-10T04:00:00Z,27207,12.58
12.55,12.92,11.55,270,12.38,2018-08-13T04:00:00Z,48408,12.57
12.3,12.94,12.23,349,12.46,2018-08-14T04:00:00Z,112627,12.51
11.66,12.47,11.13,856,11.93,2018-08-15T04:00:00Z,171293,11.8
11.85,12.08,11.38,393,11.93,2018-08-16T04:00:00Z,63894,11.74
11.32,12.04,11.04,862,11.64,2018-08-17T04:00:00Z,127037,11.44
12.06,12.36,10.92,563,11.31,2018-08-20T04:00:00Z,113876,11.87
11.87,12.7,11.48,666,12.2,2018-08-21T04:00:00Z,137794,12.19
12.31,12.53,11.51,732,11.84,2018-08-22T04:00:00Z,146257,12.19
12.23,12.63,11.93,902,12.24,2018-08-23T04:00:00Z,193420,12.25
