c,h,l,n,o,t,v,vw
64.66,65.01,63.97,19628,64.75,2016-01-04T05:00:00Z,2755253,64.46
65.17,65.42,64.54,14044,65.2,2016-01-05T05:00:00Z,1675897,65.02
64.85,65.52,64.24,12607,64.44,2016-01-06T05:00:00Z,1655623,65.0
63.83,65.45,63.59,19284,63.7,2016-01-07T05:00:00Z,2139522,64.22
62.88,64.43,62.8,15586,64.43,2016-01-08T05:00:00Z,1699847,63.37
63.4,63.75,62.29,18348,63.04,2016-01-11T05:00:00Z,2072823,63.04
63.62,63.99,63.02,14842,63.94,2016-01-12T05:00:00Z,1910752,63.57
61.38,64.8,61.07,25482,64.8,2016-01-13T05:00:00Z,2748402,62.21
61.76,62.23,61.18,19155,61.7,2016-01-14T05:00:00Z,2332743,61.83
61.77,62.21,60.03,22658,60.03,2016-01-15T05:00:00Z,2892193,61.34
62.79,63.27,62.1,23411,62.68,2016-01-19T05:00:00Z,2749997,62.8
61.4,62.53,60.61,33252,62.2,2016-01-20T05:00:00Z,3069898,61.56
59.79,62.15,59.7,27035,61.61,2016-01-21T05:00:00Z,4124388,60.74
61.81,61.91,60.52,19416,60.94,2016-01-22T05:00:00Z,2241460,61.36
61.72,62.62,61.62,19431,61.68,2016-01-25T05:00:00Z,1910987,62.09
62.98,63.23,61.58,14530,62.16,2016-01-26T05:00:00Z,1505697,62.83
63.23,64.2,62.67,20581,62.8,2016-01-27T05:00:00Z,2022738,63.35
63.5,64.1,62.75,17985,63.56,2016-01-28T05:00:00Z,2209056,63.45
65.52,65.58,63.46,18284,63.88,2016-01-29T05:00:00Z,2844912,65.04
65.22,65.77,64.85,13310,65.47,2016-02-01T05:00:00Z,1489222,65.31
64.98,65.47,64.23,16076,64.46,2016-02-02T05:00:00Z,1694064,65.01
65.19,65.63,63.53,22079,65.21,2016-02-03T05:00:00Z,2175292,64.68
62.95,65.35,62.32,36908,65.1,2016-02-04T05:00:00Z,3925738,63.17
64.57,64.82,63.41,25900,63.99,2016-02-05T05:00:00Z,3145983,64.32
65.77,66.12,63.44,27193,64.47,2016-02-08T05:00:00Z,2910240,65.26
68.04,68.4,64.93,32979,64.93,2016-02-09T05:00:00Z,3343650,67.48
66.01,68.17,65.95,23872,67.84,2016-02-10T05:00:00Z,2239470,66.95
65.13,66.03,64.4,19948,64.43,2016-02-11T05:00:00Z,2119242,65.09
66.47,66.57,65.27,17645,66.3,2016-02-12T05:00:00Z,1847644,66.05
66.14,67.35,65.69,22942,67.27,2016-02-16T05:00:00Z,2560970,66.19
67.19,67.22,65.78,22277,66.85,2016-02-17T05:00:00Z,2517768,66.67
66.57,67.18,66.15,16790,67.06,2016-02-18T05:00:00Z,1477458,66.67
68.05,68.45,66.22,16484,66.67,2016-02-19T05:00:00Z,1832050,67.87
67.06,68.87,66.76,13748,68.54,2016-02-22T05:00:00Z,1490800,67.26
67.01,68.09,66.51,15969,67.11,2016-02-23T05:00:00Z,1547483,67.04
67.3,67.52,65.9,11163,66.71,2016-02-24T05:00:00Z,1006730,66.97
67.95,68.24,67.25,11191,67.79,2016-02-25T05:00:00Z,1095451,67.69
67.94,68.54,67.75,12323,68.28,2016-02-26T05:00:00Z,1334974,68.06
66.68,68.17,66.6,14052,67.41,2016-02-29T05:00:00Z,1684075,66.89
67.49,67.5,65.53,31639,66.93,2016-03-01T05:00:00Z,3584631,66.66
68.03,68.46,67.49,16485,67.81,2016-03-02T05:00:00Z,2025945,67.92
68.79,68.86,67.76,13965,68.24,2016-03-03T05:00:00Z,1411089,68.46
69.13,69.29,67.76,15680,69.1,2016-03-04T05:00:00Z,1626031,68.69
68.24,68.77,67.5,14706,68.51,2016-03-07T05:00:00Z,1369386,68.17
68.46,69.15,67.57,16257,67.6,2016-03-08T05:00:00Z,1583098,68.53
68.91,69.35,68.27,15502,68.58,2016-03-09T05:00:00Z,1425482,68.79
68.79,69.31,67.9,12737,69.31,2016-03-10T05:00:00Z,1306965,68.63
69.42,69.78,68.64,14024,68.93,2016-03-11T05:00:00Z,1579489,69.33
70.74,71.05,69.14,24274,69.48,2016-03-14T04:00:00Z,2357121,70.63
70.97,71.73,70.01,18079,70.01,2016-03-15T04:00:00Z,1930216,71.06
70.73,71.14,70.29,19178,70.52,2016-03-16T04:00:00Z,1849828,70.8
70.76,71.08,70.35,18030,70.59,2016-03-17T04:00:00Z,1941563,70.78
70.42,70.98,69.8,17412,70.94,2016-03-18T04:00:00Z,5893893,70.45
70.31,70.73,69.72,13915,70.42,2016-03-21T04:00:00Z,1449807,70.24
70.14,70.5,69.75,12185,70.29,2016-03-22T04:00:00Z,1711311,70.17
70.72,71.05,69.64,11226,70.28,2016-03-23T04:00:00Z,1556487,70.71
69.84,70.59,69.29,11849,70.59,2016-03-24T04:00:00Z,1602649,69.86
69.87,70.19,69.65,8411,69.84,2016-03-28T04:00:00Z,923695,69.83
69.72,69.84,68.65,14281,69.72,2016-03-29T04:00:00Z,1441301,69.31
70.14,70.42,69.82,10968,70.17,2016-03-30T04:00:00Z,1056628,70.13
70.49,70.72,70.11,11468,70.22,2016-03-31T04:00:00Z,1399742,70.48
71.15,71.25,70.12,11596,70.32,2016-04-01T04:00:00Z,1224753,71.0
70.99,71.09,70.2,9167,71.09,2016-04-04T04:00:00Z,878126,70.81
69.37,71.57,69.24,17136,71.53,2016-04-05T04:00:00Z,1666713,69.77
69.26,69.5,68.81,10799,69.15,2016-04-06T04:00:00Z,1158100,69.16
67.68,69.0,67.23,15447,68.79,2016-04-07T04:00:00Z,1584625,67.85
65.38,66.09,65.31,44130,66.05,2016-04-08T04:00:00Z,6665952,65.66
65.83,66.33,65.73,34680,65.81,2016-04-11T04:00:00Z,4576265,66.02
66.09,66.33,65.65,27332,66.04,2016-04-12T04:00:00Z,3288452,66.04
66.25,66.69,65.74,29916,66.65,2016-04-13T04:00:00Z,4974018,66.19
66.76,67.0,66.05,24814,66.47,2016-04-14T04:00:00Z,2818327,66.67
67.11,67.23,66.48,18782,66.89,2016-04-15T04:00:00Z,2762837,66.99
67.13,67.35,66.78,15078,67.07,2016-04-18T04:00:00Z,1680898,67.13
67.97,67.97,66.78,17845,67.05,2016-04-19T04:00:00Z,2104007,67.66
68.32,68.62,67.78,16919,68.01,2016-04-20T04:00:00Z,2116856,68.3
68.29,68.49,67.94,14908,68.3,2016-04-21T04:00:00Z,2096793,68.29
