c,h,l,n,o,t,v,vw
29.0,29.01,22.51,19972,23.4,2020-09-18T04:00:00Z,3289536,25.035704
28.83,31.8811,25.66,7177,30.1157,2020-09-21T04:00:00Z,946275,28.933853
38.39,43.5,28.53,9754,28.83,2020-09-22T04:00:00Z,1282094,34.843279
36.75,43.0,35.45,11185,42.75,2020-09-23T04:00:00Z,1300845,38.726834
39.94,43.48,35.36,6582,36.0,2020-09-24T04:00:00Z,1149928,38.622564
43.17,44.23,40.0,7942,40.29,2020-09-25T04:00:00Z,1007780,42.020561
37.0,45.0,36.59,7571,44.05,2020-09-28T04:00:00Z,722521,39.399077
35.61,39.0,33.09,6520,37.4,2020-09-29T04:00:00Z,671330,34.98202
34.9,37.67,34.9,4155,36.12,2020-09-30T04:00:00Z,443129,36.518882
33.8,36.075,33.01,5078,35.35,2020-10-01T04:00:00Z,563889,34.375623
36.82,37.41,32.75,7258,33.0,2020-10-02T04:00:00Z,1037136,35.553916
40.1,47.29,38.1,31613,38.24,2020-10-05T04:00:00Z,4483767,42.232419
39.6,42.0,37.5,7420,41.0,2020-10-06T04:00:00Z,876609,40.093492
42.45,42.9,39.02,4486,39.02,2020-10-07T04:00:00Z,654447,40.939324
38.1,44.71,37.8,4985,42.9,2020-10-08T04:00:00Z,562493,41.268604
34.61,39.377,34.29,10809,39.23,2020-10-09T04:00:00Z,1395107,35.28201
35.16,36.95,34.61,3726,35.11,2020-10-12T04:00:00Z,371018,35.578318
38.82,41.24,35.58,8825,36.77,2020-10-13T04:00:00Z,1091039,38.689056
38.65,40.4899,35.76,5023,39.17,2020-10-14T04:00:00Z,537696,38.220456
37.96,39.1999,37.1487,2330,38.73,2020-10-15T04:00:00Z,261636,37.922814
38.83,40.8,38.36,3887,38.4,2020-10-16T04:00:00Z,451231,39.326679
36.83,39.9,36.47,3161,39.18,2020-10-19T04:00:00Z,282308,38.011125
37.93,38.5,36.505,2389,37.17,2020-10-20T04:00:00Z,254747,37.372652
35.17,38.17,34.381,3980,38.17,2020-10-21T04:00:00Z,341659,35.575347
34.2,35.62,33.5,3067,35.62,2020-10-22T04:00:00Z,372357,34.136465
38.39,40.0,33.35,15671,34.39,2020-10-23T04:00:00Z,2164008,37.229703
35.7,38.9,34.85,4185,37.89,2020-10-26T04:00:00Z,421617,36.324569
35.62,38.1499,35.02,3108,35.9,2020-10-27T04:00:00Z,284084,35.878207
32.81,34.82,32.21,3904,33.32,2020-10-28T04:00:00Z,438526,33.226819
33.13,33.25,31.2,3345,33.0466,2020-10-29T04:00:00Z,283047,32.56319
32.0,33.0,30.55,2040,32.98,2020-10-30T04:00:00Z,172132,31.739881
32.58,33.5,32.01,2515,33.0444,2020-11-02T05:00:00Z,184906,32.585061
32.99,34.0,32.5,2226,33.0,2020-11-03T05:00:00Z,470876,32.960395
35.94,37.4999,34.01,6211,34.89,2020-11-04T05:00:00Z,724353,35.76265
39.85,39.85,35.5401,5599,36.24,2020-11-05T05:00:00Z,584503,38.126173
38.71,41.75,37.5,3879,40.3,2020-11-06T05:00:00Z,385287,39.215503
37.11,40.5,36.34,3517,40.44,2020-11-09T05:00:00Z,318162,37.632367
35.31,38.0,33.61,2994,37.44,2020-11-10T05:00:00Z,306102,35.203291
35.8,37.14,34.01,1743,35.26,2020-11-11T05:00:00Z,152161,35.834766
34.81,36.6,33.13,2852,35.85,2020-11-12T05:00:00Z,204939,34.554252
35.73,36.3,34.21,2133,35.68,2020-11-13T05:00:00Z,186538,35.399904
35.99,37.1983,35.1,2048,37.09,2020-11-16T05:00:00Z,151384,36.489548
36.31,36.47,35.4491,1898,35.78,2020-11-17T05:00:00Z,117596,36.016198
34.29,37.3653,34.05,3401,37.36,2020-11-18T05:00:00Z,275004,35.610035
33.94,35.36,33.53,2513,35.0,2020-11-19T05:00:00Z,147952,34.230126
33.83,34.17,33.1,2375,34.0,2020-11-20T05:00:00Z,152707,33.669999
35.73,35.74,33.1054,3792,33.99,2020-11-23T05:00:00Z,367084,34.156603
37.3,37.99,35.1,4628,36.63,2020-11-24T05:00:00Z,396709,36.596977
40.83,43.2298,37.3,9282,37.4344,2020-11-25T05:00:00Z,941503,40.786714
47.45,48.41,41.01,7938,41.48,2020-11-27T05:00:00Z,833428,45.568571
49.84,52.9792,45.1,9437,51.8,2020-11-30T05:00:00Z,903601,48.8204
44.61,49.35,43.56,7278,48.46,2020-12-01T05:00:00Z,572243,46.739919
48.08,48.99,43.91,4939,44.33,2020-12-02T05:00:00Z,353628,46.931928
53.47,54.09,47.0,7917,47.55,2020-12-03T05:00:00Z,671905,52.000107
49.0,54.23,48.25,5132,54.23,2020-12-04T05:00:00Z,402522,51.46238
54.83,55.98,48.7505,5876,51.0,2020-12-07T05:00:00Z,548526,53.145021
54.78,54.79,52.662,3112,54.46,2020-12-08T05:00:00Z,231781,53.839023
55.55,58.0,53.02,5205,57.9,2020-12-09T05:00:00Z,514344,55.490637
54.3,56.66,52.86,3134,55.99,2020-12-10T05:00:00Z,223368,54.476964
57.85,58.88,53.1082,4674,53.49,2020-12-11T05:00:00Z,433782,56.089321
55.16,61.69,53.64,7137,59.37,2020-12-14T05:00:00Z,545410,56.520528
55.45,56.8999,53.42,2832,56.0,2020-12-15T05:00:00Z,190710,54.683603
56.69,57.99,53.5,2871,56.49,2020-12-16T05:00:00Z,234781,56.289163
56.95,58.2587,55.613,2894,57.86,2020-12-17T05:00:00Z,249929,56.740789
56.99,58.2085,55.17,2680,57.26,2020-12-18T05:00:00Z,182917,56.625862
55.47,56.35,53.01,3810,56.22,2020-12-21T05:00:00Z,236391,54.759879
55.11,55.99,52.0,3783,55.99,2020-12-22T05:00:00Z,260352,54.315924
59.2,60.87,54.7501,4065,55.12,2020-12-23T05:00:00Z,325968,58.418116
55.03,60.3219,54.0201,2417,60.3219,2020-12-24T05:00:00Z,164609,56.563743
52.5,57.5,51.66,5653,57.4,2020-12-28T05:00:00Z,365371,53.478033
51.29,53.13,46.1001,5491,52.6,2020-12-29T05:00:00Z,406400,49.028427
48.48,51.32,47.56,3630,51.28,2020-12-30T05:00:00Z,215277,48.947815
47.64,49.05,46.26,3760,48.5,2020-12-31T05:00:00Z,293627,47.701436
43.6,49.41,42.73,6644,49.41,2021-01-04T05:00:00Z,439850,44.639896
44.22,45.25,43.11,3497,44.55,2021-01-05T05:00:00Z,231657,44.248273
46.85,49.9217,44.93,5634,45.37,2021-01-06T05:00:00Z,437278,47.907843
46.65,48.8995,44.4,4821,47.63,2021-01-07T05:00:00Z,401961,46.885079
45.21,47.49,44.24,3730,47.49,2021-01-08T05:00:00Z,242807,45.216824
44.16,45.5516,42.98,4053,45.5,2021-01-11T05:00:00Z,252946,43.938888
42.09,45.34,40.5,6759,44.17,2021-01-12T05:00:00Z,558698,42.95612
42.0,42.5,39.0866,7044,42.1,2021-01-13T05:00:00Z,437142,40.674644
42.83,44.9499,42.19,3806,42.19,2021-01-14T05:00:00Z,316227,43.378627
42.5,45.1899,41.95,3068,43.1,2021-01-15T05:00:00Z,216684,43.177679
45.33,45.89,43.91,4536,44.84,2021-01-19T05:00:00Z,341862,45.066899
