c,h,l,n,o,t,v,vw
10.2,10.2,10.2,1,10.2,2023-08-30T04:00:00Z,200,10.2
10.2,10.2,10.2,0,10.2,2023-08-31T04:00:00Z,0,0.0
10.2,10.2,10.2,0,10.2,2023-09-01T04:00:00Z,0,0.0
10.2,10.2,10.2,0,10.2,2023-09-05T04:00:00Z,0,0.0
10.2,10.2,10.2,0,10.2,2023-09-06T04:00:00Z,0,0.0
10.2,10.2,10.2,0,10.2,2023-09-07T04:00:00Z,0,0.0
10.2,10.2,10.2,0,10.2,2023-09-08T04:00:00Z,0,0.0
10.2,10.2,10.2,0,10.2,2023-09-11T04:00:00Z,0,0.0
10.2,10.2,10.2,0,10.2,2023-09-12T04:00:00Z,0,0.0
10.2,10.2,10.2,0,10.2,2023-09-13T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-14T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-15T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-18T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-19T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-20T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-21T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-22T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-25T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-26T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-27T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-28T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-09-29T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-02T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-03T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-04T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-05T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-06T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-09T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-10T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-11T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-12T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-13T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-16T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-17T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-18T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-19T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-20T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-23T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-24T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-25T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-26T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-27T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-30T04:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2023-10-31T04:00:00Z,0,0.0
21.0,23.62,14.22,68,14.22,2023-11-01T04:00:00Z,3184,18.33
13.71,15.22,13.71,29,15.22,2023-11-02T04:00:00Z,994,14.25
13.71,13.71,13.71,0,13.71,2023-11-03T04:00:00Z,0,0.0
14.71,14.71,14.71,3,14.71,2023-11-06T05:00:00Z,151,14.71
14.71,14.71,14.71,0,14.71,2023-11-07T05:00:00Z,0,0.0
15.48,15.48,15.48,3,15.48,2023-11-08T05:00:00Z,141,15.65
15.48,15.48,15.48,0,15.48,2023-11-09T05:00:00Z,0,0.0
15.48,15.48,15.48,0,15.48,2023-11-10T05:00:00Z,0,0.0
15.48,15.48,15.48,0,15.48,2023-11-13T05:00:00Z,0,0.0
15.48,15.48,15.48,0,15.48,2023-11-14T05:00:00Z,0,0.0
15.48,15.48,15.48,0,15.48,2023-11-15T05:00:00Z,0,0.0
15.48,15.48,15.48,0,15.48,2023-11-16T05:00:00Z,0,0.0
15.48,15.48,15.48,0,15.48,2023-11-17T05:00:00Z,0,0.0
13.13,13.82,13.13,4,13.82,2023-11-20T05:00:00Z,202,13.49
14.43,14.43,13.12,14,13.12,2023-11-21T05:00:00Z,1327,13.46
14.0,14.0,13.14,7,13.14,2023-11-22T05:00:00Z,830,13.44
14.16,14.16,13.12,4,13.12,2023-11-24T05:00:00Z,350,13.59
13.17,13.17,13.15,12,13.15,2023-11-27T05:00:00Z,1130,13.25
13.17,13.17,13.17,0,13.17,2023-11-28T05:00:00Z,0,0.0
