c,h,l,n,o,t,v,vw
9.9,10.01,9.89,85,9.9,2020-12-17T05:00:00Z,10457,9.925841
9.9,9.9,9.85,16,9.86,2020-12-18T05:00:00Z,5135,9.872919
9.9,10.15,9.8,27,9.85,2020-12-21T05:00:00Z,105512,9.804602
9.9,9.9,9.9,0,9.9,2020-12-22T05:00:00Z,0,0.0
9.9184,9.9184,9.9,14,9.9,2020-12-23T05:00:00Z,3924,9.901847
9.975,10.0,9.93,52,9.94,2020-12-24T05:00:00Z,6678,9.941517
10.08,10.18,10.02,273,10.02,2020-12-28T05:00:00Z,37491,10.370065
10.74,11.1,10.46,5705,11.0,2020-12-29T05:00:00Z,1471512,10.911427
10.44,11.1899,10.31,5509,10.64,2020-12-30T05:00:00Z,1195475,10.628142
10.19,10.34,10.06,1154,10.34,2020-12-31T05:00:00Z,199878,10.185611
10.06,10.1619,9.96,1032,10.15,2021-01-04T05:00:00Z,187161,10.038969
10.11,10.2,9.98,526,10.06,2021-01-05T05:00:00Z,92037,10.057637
10.15,10.2,10.05,461,10.06,2021-01-06T05:00:00Z,104423,10.125434
10.18,10.21,10.0701,342,10.0878,2021-01-07T05:00:00Z,77210,10.172363
10.23,10.33,10.18,726,10.19,2021-01-08T05:00:00Z,243861,10.24726
10.29,10.29,10.13,281,10.2001,2021-01-11T05:00:00Z,34594,10.189601
10.21,10.29,10.1501,570,10.27,2021-01-12T05:00:00Z,175341,10.226975
10.22,10.33,10.15,248,10.18,2021-01-13T05:00:00Z,42177,10.237746
10.27,10.27,10.16,792,10.21,2021-01-14T05:00:00Z,130724,10.19301
10.21,10.27,10.15,342,10.24,2021-01-15T05:00:00Z,46176,10.186188
10.22,10.27,10.16,624,10.22,2021-01-19T05:00:00Z,68613,10.208346
10.2,10.23,10.16,356,10.2,2021-01-20T05:00:00Z,57181,10.176519
10.13,10.2,10.1,695,10.175,2021-01-21T05:00:00Z,124670,10.146379
10.19,10.2,10.14,400,10.14,2021-01-22T05:00:00Z,76067,10.164039
10.16,10.2408,10.14,341,10.21,2021-01-25T05:00:00Z,58032,10.17751
10.13,10.205,10.1,456,10.16,2021-01-26T05:00:00Z,172154,10.138911
10.02,10.1,10.0,1716,10.09,2021-01-27T05:00:00Z,181279,10.029338
10.11,10.1899,10.03,556,10.1,2021-01-28T05:00:00Z,66992,10.089747
10.08,10.14,10.06,342,10.14,2021-01-29T05:00:00Z,52346,10.080106
10.17,10.18,10.0401,364,10.09,2021-02-01T05:00:00Z,46610,10.101456
10.22,10.25,10.07,644,10.07,2021-02-02T05:00:00Z,28221,10.188262
10.19,10.25,10.13,372,10.17,2021-02-03T05:00:00Z,33658,10.18353
10.24,10.28,10.16,385,10.21,2021-02-04T05:00:00Z,38998,10.21978
10.14,10.25,10.11,355,10.2499,2021-02-05T05:00:00Z,57761,10.164398
10.16,10.2,10.09,1510,10.14,2021-02-08T05:00:00Z,84121,10.136754
10.16,10.17,10.13,615,10.17,2021-02-09T05:00:00Z,23293,10.14622
